년도,월,나이,경산시,하양읍,진량읍,압량읍,와촌면,자인면,용성면,남산면,압량면,남천면,중방동,중앙동,남부동,서부1동,서부2동,북부동,동부동
2021,9,40,"21,355","2,128","3,140","1,781",362,360,169,209,,151,595,387,"1,775","2,941","2,744","1,278","3,335"
2021,9,50,"22,904","2,299","3,718","1,432",644,509,330,375,,320,871,620,"1,457","2,955","2,777","1,319","3,278"
2021,9,60,"18,215","1,707","2,269","1,216",743,705,476,503,,355,838,563,"1,234","2,362","2,030",949,"2,265"
2021,9,70,"8,982",928,"1,004",584,416,387,297,290,,245,377,261,669,"1,109",978,468,969
2021,9,80,"3,380",384,401,218,162,145,123,118,,81,106,106,243,438,344,154,357
2021,9,90,271,26,37,20,11,8,10,12,,11,7,9,19,36,30,10,25
2021,9,100,6,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,1
2021,10,총,"135,001","14,007","18,619","11,038","3,057","2,779","1,733","1,930",,"1,512","4,697","3,138","9,830","16,987","17,310","8,915","19,449"
2021,10,0,"10,081",983,"1,128","1,152",69,70,30,56,,44,262,101,946,"1,233","1,909",514,"1,584"
2021,10,10,"11,917","1,560","1,658",639,124,131,49,80,,49,287,197,"1,102","1,889","1,468",419,"2,265"
2021,10,20,"19,879","2,344","3,069","1,720",272,238,123,156,,145,749,511,"1,087","2,198","2,330","2,092","2,845"
2021,10,30,"17,841","1,624","2,164","2,246",257,233,122,126,,111,610,388,"1,272","1,829","2,671","1,697","2,491"
2021,10,40,"21,335","2,126","3,121","1,800",355,357,166,214,,152,599,383,"1,786","2,913","2,748","1,279","3,336"
2021,10,50,"22,982","2,305","3,740","1,441",647,510,333,376,,316,858,616,"1,461","2,971","2,787","1,330","3,291"
2021,10,60,"18,270","1,729","2,280","1,220",740,706,476,495,,357,839,567,"1,234","2,368","2,036",951,"2,272"
2021,10,70,"9,023",925,"1,016",581,417,380,300,295,,246,375,263,681,"1,108",986,468,982
2021,10,80,"3,394",384,406,218,164,147,124,119,,80,111,103,243,443,343,153,356
2021,10,90,273,26,37,21,11,7,10,13,,10,7,9,18,35,31,12,26
2021,10,100,6,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,1
2021,11,총,"135,017","14,093","18,606","11,036","3,073","2,784","1,724","1,925",,"1,508","4,664","3,131","9,833","16,965","17,331","8,916","19,428"
2021,11,0,"10,054",988,"1,122","1,150",68,70,28,56,,47,249,97,937,"1,228","1,921",522,"1,571"
2021,11,10,"11,893","1,568","1,637",645,128,128,51,80,,49,290,194,"1,103","1,878","1,470",408,"2,264"
2021,11,20,"19,812","2,360","3,062","1,713",273,238,119,157,,145,744,510,"1,088","2,185","2,327","2,072","2,819"
2021,11,30,"17,847","1,642","2,169","2,246",255,236,124,126,,109,604,386,"1,264","1,834","2,651","1,716","2,485"
2021,11,40,"21,337","2,141","3,123","1,795",360,357,162,211,,150,591,381,"1,791","2,911","2,763","1,270","3,331"
2021,11,50,"22,987","2,312","3,734","1,438",639,505,329,375,,313,853,611,"1,465","2,973","2,786","1,338","3,316"
2021,11,60,"18,355","1,734","2,295","1,221",747,712,480,494,,358,842,573,"1,238","2,377","2,048",954,"2,282"
2021,11,70,"9,031",931,"1,016",587,422,383,298,294,,246,373,267,679,"1,099",989,472,975
2021,11,80,"3,418",390,410,220,169,147,123,117,,80,110,101,250,445,343,152,361
2021,11,90,279,26,38,21,11,8,10,15,,9,8,11,18,35,33,12,24
2021,11,100,4,1,0,0,1,0,0,0,,2,0,0,0,0,0,0,0
2021,12,총,"134,940","14,118","18,565","11,063","3,080","2,786","1,715","1,930",,"1,502","4,662","3,160","9,836","16,889","17,344","8,894","19,396"
2021,12,0,"10,037",985,"1,119","1,151",71,71,29,58,,47,251,96,940,"1,218","1,918",519,"1,564"
2021,12,10,"11,884","1,576","1,635",653,131,129,50,79,,49,288,193,"1,098","1,866","1,471",411,"2,255"
2021,12,20,"19,729","2,361","3,036","1,721",271,237,120,156,,141,736,526,"1,092","2,157","2,320","2,040","2,815"
2021,12,30,"17,767","1,639","2,155","2,236",260,239,123,127,,105,600,394,"1,259","1,818","2,633","1,711","2,468"
2021,12,40,"21,368","2,151","3,124","1,814",354,354,159,211,,153,598,387,"1,788","2,903","2,788","1,268","3,316"
2021,12,50,"22,986","2,314","3,718","1,433",640,505,326,377,,315,850,612,"1,470","2,978","2,778","1,344","3,326"
2021,12,60,"18,414","1,735","2,317","1,229",754,711,480,492,,357,845,575,"1,242","2,366","2,064",962,"2,285"
2021,12,70,"9,043",938,"1,007",586,417,384,296,298,,244,375,263,686,"1,099",996,477,977
2021,12,80,"3,425",389,415,220,169,149,122,117,,78,111,103,243,448,343,151,367
2021,12,90,282,29,38,20,12,7,10,15,,11,8,11,18,36,33,11,23
2021,12,100,5,1,1,0,1,0,0,0,,2,0,0,0,0,0,0,0
