년도,월,나이,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020,3,총,"32,314","3,717","3,231","4,021","5,410","1,972",847,"1,578","4,293","2,181","3,441","1,623"
2020,3,0,"2,221",284,160,218,460,75,55,57,320,189,333,70
2020,3,10,"2,741",325,268,326,515,115,52,87,387,218,315,133
2020,3,20,"3,688",428,404,453,651,245,98,165,497,250,328,169
2020,3,30,"3,927",447,324,471,759,201,104,145,537,294,483,162
2020,3,40,"5,602",690,494,706,991,321,139,229,763,394,626,249
2020,3,50,"5,455",668,594,682,787,393,130,298,692,398,554,259
2020,3,60,"4,732",509,522,622,686,353,147,297,588,270,446,292
2020,3,70,"2,875",260,338,401,433,187,86,204,372,124,260,210
2020,3,80,948,91,113,131,114,75,31,83,117,36,89,68
2020,3,90,102,12,12,10,9,7,5,11,18,5,7,6
2020,3,100,23,3,2,1,5,0,0,2,2,3,0,5
2020,4,총,"32,239","3,720","3,210","3,985","5,413","1,965",852,"1,576","4,287","2,175","3,437","1,619"
2020,4,0,"2,193",280,157,213,462,74,56,54,311,184,333,69
2020,4,10,"2,735",328,268,318,509,112,52,87,388,221,316,136
2020,4,20,"3,676",431,401,449,655,244,100,166,494,247,321,168
2020,4,30,"3,913",448,313,453,770,200,105,145,545,296,481,157
2020,4,40,"5,578",688,492,704,982,320,140,227,758,392,624,251
2020,4,50,"5,454",672,595,679,784,395,129,298,694,395,554,259
2020,4,60,"4,721",506,516,625,687,350,147,297,588,267,449,289
2020,4,70,"2,885",262,340,397,436,189,87,205,370,127,262,210
2020,4,80,954,88,114,134,114,73,31,84,119,38,90,69
2020,4,90,107,14,12,12,9,8,5,11,18,5,7,6
2020,4,100,23,3,2,1,5,0,0,2,2,3,0,5
2020,5,총,"32,230","3,708","3,210","4,005","5,412","1,967",849,"1,575","4,282","2,164","3,445","1,613"
2020,5,0,"2,185",276,157,215,463,73,55,55,304,179,340,68
2020,5,10,"2,718",323,268,316,507,115,50,84,388,217,316,134
2020,5,20,"3,671",430,399,453,654,245,99,165,497,245,314,170
2020,5,30,"3,912",449,316,459,772,201,103,142,543,296,477,154
2020,5,40,"5,551",678,493,702,977,315,138,226,750,395,628,249
2020,5,50,"5,449",672,591,677,782,397,131,297,702,388,554,258
2020,5,60,"4,740",508,513,630,692,350,150,302,584,270,452,289
2020,5,70,"2,909",267,342,403,436,190,86,207,372,128,267,211
2020,5,80,964,88,116,137,115,73,32,85,122,37,90,69
2020,5,90,108,14,13,12,9,8,5,10,18,6,7,6
2020,5,100,23,3,2,1,5,0,0,2,2,3,0,5
2020,6,총,"32,101","3,694","3,205","3,983","5,397","1,969",841,"1,582","4,250","2,140","3,437","1,603"
2020,6,0,"2,146",268,158,206,458,75,52,55,297,177,333,67
2020,6,10,"2,689",317,265,313,503,108,49,84,391,214,314,131
2020,6,20,"3,670",431,396,451,657,244,102,166,492,243,321,167
2020,6,30,"3,870",449,317,450,772,204,99,140,531,285,473,150
2020,6,40,"5,538",670,491,706,971,312,136,228,751,395,630,248
2020,6,50,"5,433",672,593,672,776,395,130,301,698,385,551,260
2020,6,60,"4,754",513,515,631,695,357,150,306,577,269,453,288
2020,6,70,"2,908",270,339,404,433,190,86,206,372,129,267,212
2020,6,80,962,88,116,137,117,76,32,85,121,34,88,68
2020,6,90,108,13,13,12,10,8,5,9,18,6,7,7
2020,6,100,23,3,2,1,5,0,0,2,2,3,0,5
2020,7,총,"31,979","3,691","3,198","3,976","5,379","1,960",842,"1,580","4,214","2,126","3,434","1,579"
2020,7,0,"2,116",267,153,204,457,73,51,54,292,169,333,63
2020,7,10,"2,666",318,266,303,496,111,49,87,385,212,313,126
2020,7,20,"3,651",434,396,448,654,241,101,163,493,237,323,161
2020,7,30,"3,835",445,314,456,770,200,101,137,516,282,468,146
2020,7,40,"5,522",670,483,703,973,309,138,229,744,395,632,246
2020,7,50,"5,425",667,595,677,773,397,131,300,695,390,544,256
2020,7,60,"4,744",515,518,628,692,355,150,305,577,263,454,287
2020,7,70,"2,926",273,341,405,437,188,85,207,372,134,271,213
2020,7,80,962,86,117,139,113,77,31,86,120,35,89,69
2020,7,90,109,13,13,12,9,9,5,10,18,6,7,7
2020,7,100,23,3,2,1,5,0,0,2,2,3,0,5
2020,8,총,"31,856","3,683","3,180","3,939","5,366","1,961",846,"1,575","4,190","2,114","3,421","1,581"
2020,8,0,"2,080",265,152,200,449,75,53,52,283,165,326,60
2020,8,10,"2,653",316,262,300,493,109,50,85,387,208,316,127
2020,8,20,"3,628",431,387,439,653,240,102,165,487,235,324,165
2020,8,30,"3,789",443,315,442,769,200,97,137,508,278,458,142
2020,8,40,"5,501",669,476,700,954,310,141,227,742,395,636,251
2020,8,50,"5,407",655,594,675,786,393,132,297,699,388,533,255
2020,8,60,"4,768",526,520,629,695,361,148,305,571,266,459,288
2020,8,70,"2,934",276,344,403,438,187,86,208,371,135,274,212
2020,8,80,965,86,115,139,115,77,32,86,123,35,88,69
2020,8,90,108,13,13,11,9,9,5,11,17,6,7,7
2020,8,100,23,3,2,1,5,0,0,2,2,3,0,5
2020,9,총,"31,767","3,678","3,162","3,940","5,350","1,955",841,"1,567","4,182","2,110","3,415","1,567"
2020,9,0,"2,067",268,149,203,443,73,50,51,283,168,321,58
2020,9,10,"2,632",315,260,302,490,110,52,82,380,204,315,122
2020,9,20,"3,608",430,378,439,646,239,99,169,491,232,321,164
2020,9,30,"3,755",436,309,439,766,202,99,134,507,274,450,139
2020,9,40,"5,462",661,476,694,946,307,140,228,733,393,634,250
2020,9,50,"5,407",659,595,672,784,387,131,300,698,394,535,252
2020,9,60,"4,785",530,518,638,700,361,148,295,576,264,466,289
2020,9,70,"2,943",273,346,401,443,190,86,206,374,137,277,210
2020,9,80,977,90,116,140,118,76,31,89,122,35,89,71
2020,9,90,108,13,13,11,9,10,5,11,16,6,7,7
2020,9,100,23,3,2,1,5,0,0,2,2,3,0,5
2020,10,총,"31,701","3,675","3,164","3,931","5,350","1,946",837,"1,556","4,165","2,101","3,410","1,566"
2020,10,0,"2,049",268,147,194,442,74,50,50,287,164,317,56
2020,10,10,"2,638",315,261,306,489,109,51,80,376,204,323,124
2020,10,20,"3,612",435,386,438,641,237,100,170,489,233,320,163
2020,10,30,"3,701",418,303,437,755,205,97,130,500,273,442,141
2020,10,40,"5,444",661,474,690,951,301,141,230,728,391,630,247
2020,10,50,"5,397",663,590,675,791,384,130,298,690,389,536,251
2020,10,60,"4,793",530,525,636,703,358,148,292,579,268,467,287
2020,10,70,"2,954",276,346,404,446,190,84,208,369,137,282,212
2020,10,80,980,93,117,139,118,78,31,87,129,33,86,69
2020,10,90,110,13,13,11,9,10,5,9,16,6,7,11
2020,10,100,23,3,2,1,5,0,0,2,2,3,0,5
2020,11,총,"31,690","3,679","3,162","3,919","5,343","1,934",839,"1,552","4,138","2,148","3,410","1,566"
2020,11,0,"2,023",260,147,194,435,72,50,50,279,162,316,58
2020,11,10,"2,631",316,253,307,491,109,52,79,370,216,320,118
2020,11,20,"3,619",440,391,434,645,236,100,170,487,231,319,166
2020,11,30,"3,671",418,299,427,748,201,96,129,489,291,436,137
2020,11,40,"5,446",663,475,684,956,300,141,228,720,393,637,249
2020,11,50,"5,414",659,589,683,786,381,129,296,697,400,541,253
2020,11,60,"4,802",536,526,637,698,358,150,292,580,273,464,288
2020,11,70,"2,965",277,350,403,452,189,86,207,369,140,282,210
2020,11,80,986,94,118,138,118,78,30,90,128,33,88,71
2020,11,90,110,13,12,11,9,10,5,9,17,6,7,11
2020,11,100,23,3,2,1,5,0,0,2,2,3,0,5
2020,12,총,"31,575","3,678","3,154","3,895","5,290","1,921",832,"1,539","4,097","2,220","3,387","1,562"
2020,12,0,"1,964",251,144,189,422,72,48,50,263,160,307,58
2020,12,10,"2,608",316,255,304,484,106,51,82,357,214,319,120
2020,12,20,"3,616",437,391,430,638,226,99,169,487,253,318,168
2020,12,30,"3,655",423,292,422,735,202,92,126,488,314,428,133
2020,12,40,"5,394",659,470,680,940,298,142,228,702,394,636,245
2020,12,50,"5,415",662,594,676,791,377,125,289,699,409,539,254
