년도,월,나이,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020,1,총,"284,748","9,237","12,425","11,583","14,908","15,863","7,362","15,988","12,592","18,961","10,822","18,625","19,707","11,850","18,419","3,564","11,501","9,264","23,486","12,401","8,320","9,319","8,551"
2020,1,0,"18,697",506,381,598,"1,176","1,161",436,"1,214",935,919,406,586,"1,494",965,"1,444",192,832,559,"2,464","1,086",405,597,341
2020,1,10,"28,847",884,486,624,"1,498","1,214",583,"1,565","2,490","2,732","1,190",765,"2,894","1,277","2,708",321,"1,340",816,"2,301","1,500",564,742,353
2020,1,20,"39,478","1,287","2,584","1,955","1,730","2,269",959,"2,081","1,264","2,421","1,781","4,333","2,710","1,661","2,248",419,"1,489","1,304","2,795","1,285","1,156",932,815
2020,1,30,"46,357","1,422","3,226","2,629","2,077","2,810","1,151","3,094","1,046","1,851","1,870","5,190","3,090","1,860","2,263",395,"1,503","1,403","3,937","1,730","1,143","1,421","1,246"
2020,1,40,"53,618","1,740","1,972","1,919","2,736","2,746","1,317","3,508","3,500","4,385","2,369","2,916","4,644","2,050","3,737",501,"2,042","1,560","3,881","2,514","1,120","1,633",828
2020,1,50,"40,407","1,260","1,457","1,480","2,016","2,424","1,255","1,968","1,667","3,239","1,611","2,019","2,136","1,839","2,687",581,"1,964","1,638","3,119","1,923","1,400","1,368","1,356"
2020,1,60,"31,512",988,"1,289","1,261","1,783","1,791",935,"1,325",969,"2,002",833,"1,564","1,433","1,259","1,853",644,"1,498","1,204","2,630","1,482","1,384","1,446","1,939"
2020,1,70,"17,322",774,702,787,"1,289",976,509,894,485,967,566,862,937,610,995,345,550,534,"1,362",532,721,837,"1,088"
2020,1,80,"6,615",306,264,260,455,344,164,265,182,338,161,304,278,262,365,114,214,187,798,261,345,286,462
2020,1,90,"1,674",61,48,56,133,109,49,64,42,90,27,69,73,62,104,42,61,55,194,84,78,52,121
