년도,월,나이,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020,3,총,"26,542","5,611","7,054","2,525","1,202",872,"1,375",794,663,626,"1,102","1,070","1,522","2,126"
2020,3,0,"1,208",302,513,81,25,19,31,33,15,12,28,25,22,102
2020,3,10,"1,748",449,733,109,26,32,60,34,29,13,34,42,52,135
2020,3,20,"1,691",453,602,146,38,36,63,34,25,10,40,41,74,129
2020,3,30,"1,622",417,613,137,46,26,47,28,26,28,38,37,63,116
2020,3,40,"2,715",748,"1,054",193,62,48,110,44,32,28,66,68,91,171
2020,3,50,"4,036",852,"1,093",367,154,129,183,114,90,86,162,144,279,383
2020,3,60,"5,110","1,026","1,061",515,271,171,274,163,130,167,264,249,353,466
2020,3,70,"4,449",848,752,534,258,189,292,160,139,142,218,227,310,380
2020,3,80,"3,337",446,526,364,281,180,268,163,160,114,204,199,225,207
2020,3,90,593,65,103,74,39,40,44,21,16,24,45,37,49,36
2020,3,100,33,5,4,5,2,2,3,0,1,2,3,1,4,1
2020,4,총,"26,476","5,593","7,062","2,517","1,199",865,"1,368",792,658,629,"1,092","1,065","1,521","2,115"
2020,4,0,"1,208",304,510,83,26,20,30,33,15,11,29,24,21,102
2020,4,10,"1,733",445,732,106,24,32,60,34,28,14,34,43,49,132
2020,4,20,"1,680",450,598,146,39,35,63,32,26,11,38,38,76,128
2020,4,30,"1,602",413,611,130,47,26,44,28,25,26,38,37,64,113
2020,4,40,"2,709",742,"1,057",196,60,46,108,44,33,31,64,66,92,170
2020,4,50,"4,011",847,"1,096",363,150,127,183,112,90,84,159,140,278,382
2020,4,60,"5,089","1,020","1,061",512,272,168,270,164,127,166,260,249,352,468
