년도,월,나이,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020,3,총,"773,983","138,977","174,379","105,665","45,731","21,949","40,398","33,491","35,140","23,690","20,110","21,424","19,234","23,561","13,333","11,806","17,013","13,981","14,101"
2020,3,0,"55,523","11,377","14,718","7,182","3,509","1,429","3,010","2,044","1,963","1,167",927,"1,003",944,"1,731",921,893,"1,320",670,715
2020,3,10,"73,634","14,415","18,985","10,411","4,694","2,066","3,957","2,788","2,746","1,847","1,604","1,592","1,367","2,045",948,"1,053","1,189",926,"1,001"
2020,3,20,"100,504","19,675","23,998","13,718","5,468","2,110","4,979","4,229","3,824","2,216","1,919","1,964","1,635","3,958","2,654","2,080","2,742","1,921","1,414"
2020,3,30,"88,434","17,569","23,011","11,468","4,950","2,144","4,921","3,285","3,389","1,925","1,625","1,792","1,880","2,639","1,627","1,429","2,222","1,276","1,282"
2020,3,40,"117,128","21,228","28,506","16,737","7,730","3,522","6,249","5,095","4,536","2,860","2,673","3,024","2,900","3,156","1,538","1,414","2,219","1,778","1,963"
2020,3,50,"137,929","23,509","30,186","18,394","8,039","4,023","7,427","6,145","6,779","4,727","4,108","4,378","3,914","3,947","2,174","1,937","2,851","2,667","2,724"
2020,3,60,"113,466","17,499","21,106","15,376","6,349","3,677","5,791","5,357","6,816","5,001","4,011","4,359","3,727","3,087","1,870","1,680","2,609","2,540","2,611"
2020,3,70,"60,595","9,242","9,462","8,664","3,595","2,165","2,911","3,145","3,442","2,707","2,221","2,326","2,052","2,143","1,082",904,"1,302","1,546","1,686"
2020,3,80,"24,097","3,996","3,992","3,373","1,286",735,"1,011","1,291","1,469","1,114",915,894,717,771,463,369,487,575,639
2020,3,90,"2,419",419,394,316,102,52,128,100,168,114,93,81,79,72,49,40,68,79,65
2020,3,100,254,48,21,26,9,26,14,12,8,12,14,11,19,12,7,7,4,3,1
2020,4,총,"773,468","138,867","174,467","105,639","45,698","21,856","40,393","33,402","35,194","23,669","20,002","21,394","19,232","23,476","13,318","11,801","17,027","13,926","14,107"
2020,4,0,"55,320","11,311","14,703","7,143","3,495","1,418","2,993","2,042","1,960","1,168",918,997,933,"1,726",921,893,"1,323",664,712
2020,4,10,"73,290","14,351","18,915","10,353","4,681","2,051","3,943","2,765","2,733","1,830","1,589","1,580","1,364","2,026",932,"1,081","1,190",912,994
2020,4,20,"100,309","19,666","24,016","13,709","5,441","2,081","4,980","4,191","3,868","2,207","1,885","1,955","1,633","3,921","2,646","2,040","2,740","1,911","1,419"
