년도,월,나이,충청북도,청주시,상당구,서원구,흥덕구,청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군
2020,1,총,"789,262","416,948","90,203","102,021","129,358","95,366","104,173","67,033","16,364","25,294","24,463","18,048","38,749","18,811","44,738","14,641"
2020,1,0,"62,984","37,656","7,352","7,715","12,089","10,500","7,521","4,580",749,"1,306","1,226","1,758","3,759",682,"3,133",614
2020,1,10,"73,583","42,183","9,312","10,429","12,968","9,474","9,361","5,912","1,042","1,921","1,780","1,658","3,765","1,094","3,862","1,005"
2020,1,20,"88,974","54,151","10,597","13,452","18,536","11,566","10,504","6,803","1,072","1,991","2,110","1,948","3,803","1,399","4,180","1,013"
2020,1,30,"94,188","57,539","10,344","12,161","19,483","15,551","11,149","6,552","1,056","1,990","1,702","2,248","5,158","1,156","4,625","1,013"
2020,1,40,"117,344","67,805","14,605","16,649","21,333","15,218","15,348","9,177","1,543","2,924","2,543","2,651","5,906","1,673","6,217","1,557"
2020,1,50,"133,248","68,181","15,651","17,921","21,112","13,497","18,521","11,969","2,730","4,326","4,164","2,897","6,129","3,514","8,040","2,777"
2020,1,60,"104,300","45,994","10,951","12,339","12,930","9,774","14,830","10,811","3,202","4,553","4,328","2,314","4,664","3,904","6,778","2,922"
2020,1,70,"65,919","25,718","6,680","6,839","6,471","5,728","9,778","6,768","2,574","3,396","3,648","1,491","2,971","2,971","4,401","2,203"
2020,1,80,"41,699","15,068","3,987","3,815","3,805","3,461","6,248","3,817","2,020","2,458","2,515",961,"2,233","2,076","2,970","1,333"
2020,1,90,"6,635","2,514",679,668,598,569,862,597,354,409,425,114,348,322,502,188
2020,1,100,388,139,45,33,33,28,51,47,22,20,22,8,13,20,30,16
2020,2,총,"788,794","417,036","90,492","101,591","129,693","95,260","104,108","66,927","16,319","25,238","24,374","18,046","38,766","18,685","44,690","14,605"
2020,2,0,"62,764","37,542","7,403","7,609","12,100","10,430","7,503","4,562",751,"1,294","1,222","1,737","3,740",673,"3,125",615
2020,2,10,"73,274","42,104","9,317","10,344","12,968","9,475","9,295","5,882","1,028","1,915","1,757","1,666","3,743","1,076","3,818",990
2020,2,20,"88,533","53,975","10,555","13,383","18,509","11,528","10,472","6,728","1,055","1,964","2,090","1,940","3,785","1,341","4,181","1,002"
2020,2,30,"93,822","57,411","10,403","11,999","19,591","15,418","11,096","6,508","1,052","1,969","1,685","2,223","5,153","1,144","4,579","1,002"
2020,2,40,"117,428","67,890","14,671","16,577","21,382","15,260","15,341","9,178","1,537","2,927","2,535","2,647","5,934","1,669","6,214","1,556"
2020,2,50,"133,159","68,226","15,682","17,888","21,185","13,471","18,513","11,961","2,720","4,302","4,124","2,915","6,130","3,479","8,033","2,756"
2020,2,60,"104,988","46,352","11,035","12,402","13,050","9,865","14,937","10,868","3,198","4,575","4,356","2,340","4,697","3,909","6,819","2,937"
2020,2,70,"65,804","25,713","6,694","6,837","6,458","5,724","9,755","6,751","2,570","3,388","3,630","1,492","2,974","2,963","4,380","2,188"
2020,2,80,"41,923","15,158","4,000","3,856","3,813","3,489","6,270","3,828","2,029","2,468","2,527",963,"2,245","2,080","3,002","1,353"
2020,2,90,"6,711","2,526",687,660,606,573,875,614,356,416,425,115,352,331,510,191
2020,2,100,388,139,45,36,31,27,51,47,23,20,23,8,13,20,29,15
2020,3,총,"788,270","417,289","91,081","101,099","130,111","94,998","104,003","66,754","16,260","25,195","24,279","17,996","38,805","18,531","44,570","14,588"
2020,3,0,"62,552","37,478","7,556","7,486","12,124","10,312","7,486","4,528",737,"1,290","1,215","1,714","3,731",655,"3,104",614
2020,3,10,"73,011","41,958","9,302","10,270","12,946","9,440","9,272","5,826","1,027","1,910","1,755","1,674","3,749","1,055","3,807",978
2020,3,20,"88,390","54,117","10,605","13,314","18,697","11,501","10,472","6,666","1,041","1,923","2,037","1,930","3,784","1,289","4,138",993
2020,3,30,"93,479","57,297","10,544","11,860","19,606","15,287","11,037","6,491","1,035","1,959","1,677","2,203","5,139","1,110","4,538",993
2020,3,40,"117,103","67,721","14,725","16,392","21,382","15,222","15,283","9,143","1,519","2,920","2,526","2,632","5,947","1,662","6,201","1,549"
2020,3,50,"132,973","68,318","15,755","17,859","21,243","13,461","18,455","11,902","2,715","4,280","4,108","2,916","6,110","3,442","7,987","2,740"
2020,3,60,"105,627","46,695","11,106","12,487","13,172","9,930","15,022","10,936","3,205","4,606","4,351","2,342","4,742","3,920","6,853","2,955"
2020,3,70,"65,813","25,752","6,719","6,853","6,459","5,721","9,739","6,750","2,560","3,387","3,628","1,487","2,988","2,947","4,393","2,182"
2020,3,80,"42,142","15,253","4,027","3,874","3,832","3,520","6,299","3,844","2,034","2,483","2,535",969,"2,247","2,096","3,011","1,371"
2020,3,90,"6,788","2,560",697,668,619,576,886,619,363,417,423,121,355,335,511,198
2020,3,100,392,140,45,36,31,28,52,49,24,20,24,8,13,20,27,15
2020,4,총,"787,608","417,394","91,422","100,847","130,294","94,831","103,878","66,608","16,234","25,170","24,135","17,963","38,831","18,423","44,441","14,531"
2020,4,0,"62,198","37,326","7,578","7,431","12,107","10,210","7,412","4,488",736,"1,282","1,197","1,702","3,719",648,"3,081",607
2020,4,10,"72,788","41,841","9,303","10,189","12,917","9,432","9,269","5,795","1,018","1,899","1,739","1,669","3,759","1,044","3,791",964
2020,4,20,"88,172","54,199","10,635","13,294","18,765","11,505","10,421","6,619","1,028","1,911","1,988","1,924","3,762","1,243","4,088",989
2020,4,30,"93,226","57,218","10,638","11,794","19,594","15,192","10,997","6,458","1,038","1,943","1,649","2,195","5,130","1,091","4,521",986
2020,4,40,"116,827","67,577","14,727","16,291","21,357","15,202","15,244","9,113","1,507","2,931","2,511","2,625","5,957","1,664","6,167","1,531"
2020,4,50,"132,947","68,445","15,814","17,833","21,316","13,482","18,443","11,875","2,716","4,245","4,081","2,910","6,120","3,416","7,977","2,719"
2020,4,60,"106,147","46,981","11,216","12,541","13,275","9,949","15,093","10,993","3,204","4,646","4,341","2,347","4,771","3,931","6,873","2,967"
2020,4,70,"65,774","25,763","6,718","6,871","6,455","5,719","9,724","6,740","2,557","3,384","3,654","1,486","2,981","2,927","4,377","2,181"
2020,4,80,"42,308","15,319","4,034","3,898","3,854","3,533","6,341","3,859","2,037","2,492","2,532",974,"2,263","2,103","3,017","1,371"
2020,4,90,"6,823","2,586",714,669,623,580,882,619,368,415,418,122,356,336,520,201
2020,4,100,398,139,45,36,31,27,52,49,25,22,25,9,13,20,29,15
2020,5,총,"787,596","417,681","91,606","100,655","130,560","94,860","103,863","66,547","16,199","25,184","24,070","17,949","38,875","18,359","44,371","14,498"
2020,5,0,"62,033","37,259","7,603","7,378","12,096","10,182","7,387","4,457",733,"1,285","1,193","1,697","3,723",638,"3,063",598
2020,5,10,"72,538","41,722","9,283","10,147","12,889","9,403","9,235","5,778","1,013","1,884","1,731","1,660","3,757","1,023","3,771",964
2020,5,20,"88,117","54,323","10,660","13,243","18,879","11,541","10,367","6,596","1,020","1,906","1,971","1,921","3,787","1,211","4,037",978
2020,5,30,"93,042","57,145","10,648","11,730","19,613","15,154","11,015","6,424","1,029","1,943","1,638","2,174","5,116","1,081","4,503",974
2020,5,40,"116,605","67,504","14,732","16,214","21,365","15,193","15,184","9,078","1,488","2,915","2,512","2,627","5,939","1,665","6,164","1,529"
2020,5,50,"133,131","68,617","15,898","17,853","21,360","13,506","18,498","11,876","2,720","4,249","4,045","2,910","6,136","3,401","7,974","2,705"
2020,5,60,"106,548","47,195","11,261","12,577","13,364","9,993","15,121","11,029","3,207","4,667","4,353","2,367","4,797","3,945","6,884","2,983"
2020,5,70,"65,881","25,815","6,720","6,888","6,480","5,727","9,742","6,766","2,545","3,394","3,657","1,492","2,985","2,920","4,387","2,178"
2020,5,80,"42,423","15,358","4,035","3,921","3,851","3,551","6,368","3,874","2,045","2,498","2,529",969,"2,260","2,115","3,033","1,374"
2020,5,90,"6,879","2,603",721,668,631,583,894,620,373,421,416,124,362,339,526,201
2020,5,100,399,140,45,36,32,27,52,49,26,22,25,8,13,21,29,14
2020,6,총,"787,936","418,260","92,415","100,143","131,021","94,681","103,861","66,470","16,172","25,217","24,013","17,893","38,929","18,291","44,337","14,493"
2020,6,0,"61,796","37,161","7,687","7,278","12,082","10,114","7,371","4,425",728,"1,288","1,178","1,682","3,692",634,"3,038",599
2020,6,10,"72,402","41,624","9,303","10,075","12,879","9,367","9,197","5,771",998,"1,882","1,722","1,649","3,809","1,008","3,785",957
2020,6,20,"88,150","54,433","10,828","13,149","18,963","11,493","10,370","6,563","1,012","1,928","1,956","1,917","3,791","1,188","4,016",976
2020,6,30,"92,833","57,118","10,787","11,612","19,651","15,068","10,950","6,387","1,021","1,930","1,619","2,171","5,096","1,085","4,483",973
2020,6,40,"116,634","67,618","14,867","16,125","21,451","15,175","15,195","9,052","1,492","2,911","2,494","2,610","5,945","1,647","6,149","1,521"
2020,6,50,"133,025","68,694","16,008","17,749","21,459","13,478","18,443","11,848","2,704","4,248","4,035","2,885","6,137","3,386","7,948","2,697"
2020,6,60,"107,388","47,606","11,384","12,651","13,491","10,080","15,249","11,103","3,224","4,703","4,376","2,393","4,820","3,964","6,945","3,005"
2020,6,70,"65,960","25,900","6,741","6,893","6,532","5,734","9,754","6,762","2,548","3,385","3,661","1,487","3,004","2,909","4,372","2,178"
2020,6,80,"42,464","15,368","4,037","3,917","3,851","3,563","6,380","3,889","2,043","2,497","2,530",969,"2,255","2,110","3,050","1,373"
2020,6,90,"6,881","2,596",726,659,632,579,899,621,376,423,416,122,366,339,522,201
2020,6,100,403,142,47,35,30,30,53,49,26,22,26,8,14,21,29,13
2020,7,총,"788,095","418,518","92,972","99,918","131,020","94,608","103,931","66,426","16,149","25,194","24,013","17,865","38,985","18,214","44,320","14,480"
2020,7,0,"61,653","37,110","7,754","7,232","12,038","10,086","7,376","4,400",723,"1,287","1,178","1,672","3,683",626,"3,007",591
2020,7,10,"72,265","41,570","9,314","10,044","12,880","9,332","9,183","5,747",997,"1,867","1,705","1,643","3,827",996,"3,776",954
2020,7,20,"88,114","54,429","10,921","13,106","18,903","11,499","10,366","6,568","1,002","1,927","1,972","1,902","3,794","1,173","4,011",970
2020,7,30,"92,591","57,029","10,844","11,531","19,640","15,014","10,908","6,371","1,017","1,915","1,601","2,163","5,080","1,066","4,475",966
2020,7,40,"116,662","67,663","14,988","16,059","21,436","15,180","15,176","9,024","1,484","2,923","2,495","2,609","5,954","1,646","6,168","1,520"
2020,7,50,"133,024","68,774","16,095","17,728","21,467","13,484","18,489","11,806","2,689","4,246","4,033","2,871","6,131","3,354","7,940","2,691"
2020,7,60,"107,882","47,842","11,465","12,694","13,580","10,103","15,317","11,160","3,241","4,717","4,397","2,420","4,864","3,970","6,945","3,009"
2020,7,70,"66,127","25,999","6,774","6,929","6,568","5,728","9,771","6,780","2,553","3,381","3,663","1,486","3,012","2,906","4,392","2,184"
2020,7,80,"42,468","15,366","4,046","3,902","3,841","3,577","6,377","3,892","2,036","2,491","2,531",971,"2,258","2,115","3,053","1,378"
2020,7,90,"6,906","2,594",726,658,635,575,913,630,382,419,412,120,367,340,525,204
2020,7,100,403,142,45,35,32,30,55,48,25,21,26,8,15,22,28,13
2020,8,총,"788,139","418,686","93,345","99,734","130,970","94,637","103,959","66,366","16,152","25,209","24,017","17,838","39,029","18,218","44,229","14,436"
2020,8,0,"61,416","37,015","7,811","7,153","12,022","10,029","7,334","4,372",718,"1,285","1,180","1,653","3,678",624,"2,975",582
2020,8,10,"72,095","41,497","9,304","9,994","12,860","9,339","9,162","5,719","1,002","1,858","1,683","1,636","3,828",985,"3,774",951
2020,8,20,"88,045","54,413","10,952","13,105","18,829","11,527","10,358","6,562",983,"1,933","1,976","1,894","3,791","1,185","3,995",955
2020,8,30,"92,197","56,836","10,895","11,424","19,600","14,917","10,881","6,315","1,020","1,904","1,597","2,146","5,056","1,053","4,436",953
2020,8,40,"116,638","67,675","14,995","15,977","21,457","15,246","15,145","9,023","1,480","2,935","2,485","2,605","5,973","1,647","6,161","1,509"
2020,8,50,"133,118","68,884","16,183","17,739","21,462","13,500","18,479","11,799","2,685","4,240","4,042","2,877","6,169","3,345","7,915","2,683"
2020,8,60,"108,507","48,151","11,565","12,789","13,653","10,144","15,442","11,193","3,259","4,723","4,418","2,437","4,878","3,991","6,990","3,025"
2020,8,70,"66,160","26,013","6,790","6,929","6,568","5,726","9,774","6,798","2,556","3,405","3,666","1,488","3,005","2,899","4,382","2,174"
2020,8,80,"42,576","15,432","4,066","3,920","3,849","3,597","6,391","3,904","2,038","2,477","2,537",971,"2,264","2,129","3,049","1,384"
2020,8,90,"6,980","2,628",738,671,638,581,939,632,385,427,406,123,372,339,522,207
2020,8,100,407,142,46,33,32,31,54,49,26,22,27,8,15,21,30,13
2020,9,총,"788,234","418,765","93,954","99,376","130,943","94,492","103,947","66,421","16,163","25,197","23,985","17,839","39,213","18,223","44,038","14,443"
2020,9,0,"61,147","36,853","7,857","7,066","11,986","9,944","7,296","4,355",716,"1,284","1,173","1,645","3,690",625,"2,926",584
2020,9,10,"72,010","41,458","9,343","9,932","12,831","9,352","9,172","5,716","1,000","1,848","1,685","1,614","3,837",977,"3,749",954
2020,9,20,"88,005","54,418","11,039","13,064","18,831","11,484","10,349","6,563",986,"1,919","1,965","1,910","3,804","1,176","3,962",953
2020,9,30,"91,996","56,723","10,984","11,329","19,569","14,841","10,817","6,314","1,016","1,910","1,585","2,149","5,093","1,062","4,368",959
2020,9,40,"116,486","67,612","15,078","15,881","21,394","15,259","15,120","9,004","1,470","2,920","2,485","2,596","6,014","1,644","6,108","1,513"
2020,9,50,"133,022","68,907","16,267","17,651","21,484","13,505","18,475","11,768","2,676","4,218","4,014","2,869","6,195","3,346","7,897","2,657"
2020,9,60,"109,250","48,469","11,700","12,874","13,735","10,160","15,527","11,298","3,285","4,751","4,448","2,455","4,914","4,003","7,054","3,046"
2020,9,70,"66,134","26,071","6,814","6,930","6,586","5,741","9,740","6,809","2,540","3,412","3,666","1,494","2,993","2,903","4,345","2,161"
2020,9,80,"42,673","15,421","4,072","3,924","3,841","3,584","6,430","3,911","2,062","2,479","2,537",971,"2,284","2,123","3,066","1,389"
2020,9,90,"7,103","2,691",754,692,656,589,966,634,386,434,400,128,375,342,533,214
2020,9,100,408,142,46,33,30,33,55,49,26,22,27,8,14,22,30,13
2020,10,총,"788,574","419,003","95,024","98,915","130,713","94,351","103,934","66,392","16,148","25,177","23,941","17,782","39,568","18,261","43,936","14,432"
2020,10,0,"60,840","36,674","7,951","6,962","11,881","9,880","7,236","4,322",713,"1,268","1,163","1,617","3,752",633,"2,886",576
2020,10,10,"71,903","41,461","9,446","9,869","12,782","9,364","9,141","5,702","1,000","1,846","1,664","1,619","3,835",971,"3,719",945
2020,10,20,"88,073","54,406","11,151","13,046","18,771","11,438","10,368","6,557",983,"1,919","1,966","1,903","3,880","1,172","3,965",954
2020,10,30,"91,709","56,569","11,186","11,191","19,494","14,698","10,763","6,279","1,009","1,882","1,560","2,133","5,160","1,069","4,331",954
2020,10,40,"116,401","67,603","15,221","15,782","21,313","15,287","15,099","8,976","1,474","2,916","2,473","2,575","6,074","1,644","6,065","1,502"
2020,10,50,"133,152","69,029","16,481","17,563","21,492","13,493","18,485","11,780","2,668","4,208","4,012","2,860","6,231","3,340","7,884","2,655"
2020,10,60,"109,944","48,803","11,851","12,907","13,829","10,216","15,648","11,339","3,287","4,773","4,468","2,481","4,962","4,026","7,094","3,063"
2020,10,70,"66,204","26,137","6,840","6,937","6,614","5,746","9,721","6,804","2,546","3,424","3,661","1,481","2,998","2,904","4,363","2,165"
2020,10,80,"42,798","15,481","4,091","3,936","3,844","3,610","6,442","3,938","2,054","2,487","2,545",976,"2,286","2,135","3,059","1,395"
2020,10,90,"7,138","2,697",761,689,662,585,976,644,388,433,402,129,376,344,539,210
2020,10,100,412,143,45,33,31,34,55,51,26,21,27,8,14,23,31,13
2020,11,총,"788,777","419,099","95,396","98,562","130,691","94,450","103,963","66,376","16,130","25,125","23,904","17,745","39,819","18,362","43,833","14,421"
