년도,월,나이,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2020,1,총,"138,714","1,403","4,174",995,"10,271","3,114","3,166","1,434",684,424,940,"2,338","1,612","2,306","2,009","3,085","1,946","2,722","5,933","3,649","9,812","9,966","5,715","5,244","5,318","16,204","17,958","10,467","4,063","1,173",589
2020,1,0,"10,766",33,300,15,"1,038",158,64,34,6,13,31,117,59,82,56,114,92,89,399,266,685,738,367,421,554,"1,453","2,276",677,560,45,24
2020,1,10,"13,263",60,327,39,"1,060",145,150,63,24,16,41,146,101,167,116,157,129,148,470,347,975,"1,083",548,617,454,"1,998","2,092","1,139",537,73,41
2020,1,20,"15,076",87,326,56,"1,045",205,247,61,27,27,67,205,180,168,153,320,179,203,591,359,"1,143","1,180",770,705,501,"2,187","2,148","1,409",384,102,41
2020,1,30,"14,975",49,391,45,"1,368",217,144,48,21,19,64,205,120,170,113,243,137,215,574,369,"1,050","1,054",570,559,716,"1,982","2,809","1,000",639,65,19
2020,1,40,"20,295",89,511,53,"1,523",245,251,84,24,30,69,242,153,252,193,329,197,234,722,465,"1,460","1,685",861,937,746,"2,976","3,278","1,710",802,126,48
2020,1,50,"23,551",238,684,162,"1,720",464,511,194,85,54,205,357,239,382,329,528,328,437,"1,164",636,"1,880","1,700","1,050",929,805,"2,830","2,786","2,141",422,203,88
2020,1,60,"19,552",295,777,215,"1,158",609,614,321,128,82,194,507,318,524,457,688,424,676,"1,065",666,"1,432","1,283",741,639,772,"1,583","1,468","1,253",350,213,100
2020,1,70,"13,081",328,542,215,787,579,648,351,190,102,140,378,307,393,408,468,288,500,657,376,755,768,502,282,502,723,649,676,248,193,126
2020,1,80,"6,851",185,272,166,487,406,451,244,142,67,104,147,119,144,148,202,147,188,249,134,367,405,267,120,217,391,374,385,111,126,86
2020,1,90,"1,222",37,43,28,81,82,82,31,37,13,22,32,14,16,33,31,23,25,34,29,65,70,38,34,44,79,78,76,10,19,16
2020,1,100,82,2,1,1,4,4,4,3,0,1,3,2,2,8,3,5,2,7,8,2,0,0,1,1,7,2,0,1,0,8,0
2020,2,총,"138,417","1,395","4,169",989,"10,265","3,102","3,158","1,429",686,425,941,"2,327","1,599","2,278","2,002","3,082","1,955","2,726","5,927","3,624","9,799","9,927","5,683","5,266","5,308","16,177","17,947","10,439","4,048","1,154",590
2020,2,0,"10,730",33,299,15,"1,040",155,63,34,8,13,30,116,53,86,54,113,92,90,389,260,696,721,364,428,554,"1,465","2,263",679,555,39,23
2020,2,10,"13,147",58,328,39,"1,053",144,143,62,24,18,41,142,100,161,112,152,131,152,471,342,964,"1,080",546,615,452,"1,968","2,089","1,118",532,69,41
2020,2,20,"14,958",85,324,56,"1,048",205,247,61,26,27,67,198,180,158,151,321,179,198,589,354,"1,130","1,176",749,706,506,"2,175","2,112","1,402",387,99,42
2020,2,30,"14,867",49,384,42,"1,356",207,143,47,21,19,65,201,119,161,114,240,141,218,569,367,"1,047","1,046",563,551,710,"1,977","2,806",992,631,63,18
2020,2,40,"20,273",88,516,52,"1,519",246,245,84,26,31,71,240,152,255,194,329,199,236,728,462,"1,451","1,680",859,940,744,"2,967","3,274","1,712",803,121,49
2020,2,50,"23,530",236,676,164,"1,725",462,515,193,86,54,204,359,238,374,324,524,328,426,"1,161",626,"1,878","1,689","1,047",938,805,"2,837","2,806","2,137",426,204,88
2020,2,60,"19,625",297,788,212,"1,165",607,617,322,127,82,193,510,316,522,455,692,424,678,"1,065",667,"1,446","1,284",738,650,764,"1,589","1,490","1,259",352,213,101
2020,2,70,"13,084",322,537,215,788,582,645,350,185,100,141,376,307,391,414,473,288,501,660,380,753,770,510,284,503,724,655,671,245,190,124
2020,2,80,"6,885",183,276,163,490,406,453,244,146,68,104,150,121,146,148,200,146,194,252,135,371,407,268,118,218,391,373,391,107,129,87
2020,2,90,"1,235",42,40,30,77,84,83,29,37,12,22,33,11,16,33,33,25,26,35,29,63,74,38,35,44,82,79,77,10,19,17
2020,2,100,83,2,1,1,4,4,4,3,0,1,3,2,2,8,3,5,2,7,8,2,0,0,1,1,8,2,0,1,0,8,0
2020,3,총,"138,243","1,388","4,157",991,"10,239","3,083","3,156","1,426",689,431,938,"2,332","1,612","2,258","2,004","3,081","1,955","2,720","5,924","3,632","9,768","9,870","5,663","5,263","5,278","16,090","18,164","10,363","4,036","1,148",584
2020,3,0,"10,721",34,298,16,"1,053",151,62,33,8,12,31,119,55,82,56,114,89,92,384,256,703,720,359,427,546,"1,450","2,304",654,550,40,23
2020,3,10,"13,096",56,324,41,"1,047",146,140,63,25,20,40,143,103,155,111,155,135,145,471,338,958,"1,069",540,608,448,"1,960","2,106","1,114",530,66,39
2020,3,20,"14,887",82,326,57,"1,038",197,246,62,27,27,65,193,178,158,155,320,183,198,585,357,"1,119","1,156",753,707,501,"2,147","2,135","1,386",389,98,42
2020,3,30,"14,801",51,382,43,"1,340",200,142,46,21,18,65,206,122,160,115,237,137,219,560,369,"1,045","1,035",562,545,704,"1,961","2,839",974,622,62,19
2020,3,40,"20,184",90,507,50,"1,518",245,246,86,28,32,66,240,153,252,191,325,199,230,737,464,"1,440","1,664",846,947,739,"2,940","3,297","1,690",796,123,43
2020,3,50,"23,483",233,676,164,"1,707",462,518,189,85,55,206,356,242,369,319,521,325,416,"1,156",622,"1,859","1,679","1,041",939,799,"2,829","2,855","2,136",435,197,93
2020,3,60,"19,720",297,788,212,"1,168",603,618,323,128,84,197,509,316,519,456,693,420,689,"1,065",677,"1,458","1,301",741,652,765,"1,600","1,506","1,269",353,215,98
2020,3,70,"13,074",318,535,210,785,583,637,345,183,100,140,378,310,394,415,477,293,501,668,385,746,765,513,283,496,727,667,665,242,188,125
2020,3,80,"6,926",184,277,167,495,407,455,244,147,70,101,153,119,145,152,200,146,198,257,133,373,409,264,120,226,391,374,395,109,130,85
2020,3,90,"1,264",41,43,30,83,85,89,32,37,12,24,33,12,16,30,34,26,25,33,29,66,72,43,34,46,81,81,79,10,21,17
2020,3,100,87,2,1,1,5,4,3,3,0,1,3,2,2,8,4,5,2,7,8,2,1,0,1,1,8,4,0,1,0,8,0
2020,4,총,"138,111","1,382","4,159",991,"10,216","3,072","3,152","1,411",685,430,935,"2,339","1,611","2,261","1,999","3,081","1,969","2,731","5,912","3,588","9,778","9,843","5,658","5,268","5,241","16,086","18,298","10,272","4,019","1,142",582
2020,4,0,"10,678",33,305,16,"1,053",150,59,32,8,12,30,123,55,82,57,116,91,93,382,249,699,710,359,422,539,"1,444","2,324",630,545,38,22
2020,4,10,"13,024",56,319,40,"1,043",143,138,64,25,20,40,140,102,151,110,152,138,147,463,341,959,"1,065",536,604,440,"1,945","2,115","1,102",523,63,40
2020,4,20,"14,826",79,327,58,"1,023",193,240,57,27,28,64,198,180,159,150,318,186,199,586,344,"1,119","1,147",745,703,497,"2,152","2,157","1,363",390,97,40
2020,4,30,"14,743",51,377,43,"1,331",198,146,42,21,18,65,204,120,162,118,239,140,219,552,357,"1,041","1,038",559,551,687,"1,951","2,869",949,616,60,19
2020,4,40,"20,156",88,512,49,"1,521",240,246,86,29,32,65,243,150,251,189,326,200,230,736,460,"1,450","1,648",850,942,736,"2,947","3,309","1,664",794,119,44
2020,4,50,"23,442",233,664,164,"1,706",463,511,185,83,53,199,360,240,368,318,520,322,416,"1,150",616,"1,843","1,674","1,035",946,785,"2,836","2,878","2,139",440,202,93
2020,4,60,"19,852",296,796,215,"1,173",602,627,321,127,85,205,511,318,525,453,695,424,691,"1,071",676,"1,476","1,307",750,655,775,"1,609","1,527","1,279",352,213,98
2020,4,70,"13,053",320,535,209,779,585,631,346,183,98,138,375,312,389,415,477,290,501,674,381,739,772,511,286,495,722,663,670,244,190,123
2020,4,80,"6,968",183,279,166,500,407,459,242,144,71,101,152,119,149,157,199,147,202,255,132,384,407,268,124,234,396,375,397,104,131,84
2020,4,90,"1,282",41,44,30,82,87,92,33,38,12,25,31,13,17,28,34,29,26,35,30,67,75,44,34,45,80,81,78,11,21,19
2020,4,100,87,2,1,1,5,4,3,3,0,1,3,2,2,8,4,5,2,7,8,2,1,0,1,1,8,4,0,1,0,8,0
