년도,월,나이,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 의정부3동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020,1,총,"222,611","15,646","15,946",0.0,"17,884","17,460","9,357","22,345","21,609","14,431","17,177","22,421","13,811","13,247","9,975","11,302"
2020,1,0,"18,129",642,"1,037",0.0,"1,359","1,391",718,"1,686","1,627","1,004","1,598","3,593","1,080",821,650,923
2020,1,10,"22,461",837,"1,253",0.0,"1,469","1,841","1,055","2,237","2,705","1,511","2,342","2,515","1,444","1,117",905,"1,230"
2020,1,20,"31,892","2,635","2,613",0.0,"2,298","2,371","1,162","3,369","3,337","2,125","2,435","2,512","2,039","1,950","1,400","1,646"
2020,1,30,"30,312","2,528","2,521",0.0,"2,554","2,134","1,084","2,839","2,381","1,840","1,985","4,209","1,645","1,826","1,303","1,463"
2020,1,40,"37,218","2,488","2,574",0.0,"3,020","2,886","1,632","3,521","3,495","2,342","3,271","4,314","2,212","2,033","1,585","1,845"
2020,1,50,"38,855","2,989","2,830",0.0,"2,805","2,945","1,517","4,213","4,013","2,700","3,039","2,779","2,582","2,579","1,879","1,985"
2020,1,60,"25,304","2,130","1,797",0.0,"2,294","2,002","1,239","2,733","2,455","1,740","1,381","1,587","1,631","1,729","1,302","1,284"
2020,1,70,"13,257",978,952,0.0,"1,547","1,331",699,"1,288","1,136",828,767,702,832,884,671,642
2020,1,80,"4,708",375,338,0.0,500,506,236,421,419,304,331,181,304,282,256,255
2020,1,90,431,32,27,0.0,34,52,14,35,38,36,26,29,32,25,22,29
2020,1,100,44,12,4,0.0,4,1,1,3,3,1,2,0,10,1,2,0
2020,2,총,"223,110","15,687","15,860",,"17,835","17,389","9,601","22,264","21,554","15,382","17,097","22,269","13,745","13,237","9,925","11,265"
2020,2,0,"18,127",630,"1,010",,"1,346","1,374",763,"1,658","1,629","1,174","1,588","3,526","1,065",809,640,915
2020,2,10,"22,417",848,"1,244",,"1,463","1,829","1,057","2,212","2,685","1,596","2,312","2,507","1,423","1,120",907,"1,214"
2020,2,20,"31,844","2,658","2,591",,"2,282","2,349","1,183","3,351","3,311","2,242","2,420","2,504","2,029","1,927","1,367","1,630"
2020,2,30,"30,391","2,546","2,499",,"2,539","2,112","1,137","2,831","2,388","2,048","1,960","4,127","1,640","1,815","1,297","1,452"
2020,2,40,"37,325","2,486","2,571",,"3,006","2,874","1,676","3,500","3,484","2,476","3,265","4,319","2,198","2,043","1,581","1,846"
2020,2,50,"38,966","2,986","2,817",,"2,784","2,939","1,555","4,214","3,990","2,832","3,043","2,788","2,571","2,589","1,871","1,987"
2020,2,60,"25,520","2,146","1,808",,"2,322","2,014","1,267","2,744","2,461","1,821","1,377","1,574","1,645","1,739","1,313","1,289"
2020,2,70,"13,260",961,947,,"1,550","1,331",702,"1,293","1,140",838,768,711,829,880,664,646
2020,2,80,"4,779",384,338,,504,515,245,423,425,318,337,185,300,287,261,257
2020,2,90,435,30,31,,35,51,15,35,38,35,25,28,35,27,21,29
2020,2,100,46,12,4,,4,1,1,3,3,2,2,0,10,1,3,0
2020,3,총,"223,534","15,822","15,774",,"17,822","17,329","9,764","22,204","21,497","16,018","16,985","22,276","13,687","13,234","9,914","11,208"
2020,3,0,"18,070",627,994,,"1,319","1,354",786,"1,639","1,621","1,234","1,561","3,513","1,061",813,630,918
2020,3,10,"22,330",842,"1,232",,"1,470","1,811","1,061","2,196","2,680","1,627","2,292","2,511","1,411","1,087",910,"1,200"
2020,3,20,"32,005","2,726","2,563",,"2,301","2,343","1,201","3,340","3,305","2,350","2,420","2,520","2,020","1,942","1,359","1,615"
2020,3,30,"30,409","2,560","2,501",,"2,519","2,117","1,157","2,806","2,367","2,181","1,934","4,092","1,626","1,808","1,308","1,433"
2020,3,40,"37,271","2,480","2,566",,"2,996","2,857","1,700","3,487","3,470","2,546","3,239","4,323","2,183","2,034","1,559","1,831"
2020,3,50,"39,018","2,999","2,795",,"2,797","2,920","1,595","4,213","3,969","2,941","3,026","2,805","2,549","2,574","1,870","1,965"
2020,3,60,"25,797","2,188","1,809",,"2,317","2,035","1,289","2,751","2,468","1,915","1,367","1,584","1,669","1,778","1,319","1,308"
2020,3,70,"13,309",976,942,,"1,545","1,320",705,"1,303","1,150",860,776,714,824,879,665,650
2020,3,80,"4,838",383,336,,519,519,252,429,426,327,343,188,299,291,268,258
2020,3,90,441,29,32,,35,52,17,37,38,35,25,26,35,27,23,30
2020,3,100,46,12,4,,4,1,1,3,3,2,2,0,10,1,3,0
2020,4,총,"223,765","15,899","15,711",,"17,836","17,317","9,857","22,161","21,452","16,316","16,981","22,303","13,645","13,195","9,882","11,210"
2020,4,0,"18,004",624,988,,"1,303","1,340",794,"1,617","1,607","1,261","1,553","3,526","1,043",815,623,910
2020,4,10,"22,207",826,"1,223",,"1,475","1,809","1,063","2,181","2,646","1,637","2,272","2,502","1,400","1,066",911,"1,196"
2020,4,20,"32,135","2,768","2,544",,"2,305","2,343","1,215","3,358","3,311","2,391","2,434","2,526","2,028","1,942","1,350","1,620"
2020,4,30,"30,418","2,598","2,479",,"2,485","2,106","1,180","2,793","2,357","2,248","1,939","4,093","1,625","1,794","1,297","1,424"
2020,4,40,"37,293","2,483","2,559",,"3,026","2,848","1,710","3,479","3,446","2,607","3,219","4,339","2,175","2,026","1,547","1,829"
