년도,월,나이,단양군,단양읍,매포읍,대강면,가곡면,영춘면,어상천면,적성면,단성면
2020,1,총,"14,641","5,395","2,677","1,275",975,"1,729",905,780,905
2020,1,0,614,329,132,28,24,45,28,10,18
2020,1,10,"1,005",505,200,57,41,87,31,25,59
2020,1,20,"1,013",519,206,66,48,56,31,41,46
2020,1,30,"1,013",534,200,57,35,76,33,31,47
2020,1,40,"1,557",722,309,85,87,176,62,49,67
2020,1,50,"2,777",977,467,250,197,350,208,152,176
2020,1,60,"2,922",868,491,292,255,414,211,186,205
2020,1,70,"2,203",570,431,259,166,297,176,150,154
2020,1,80,"1,333",317,215,148,107,199,114,118,115
2020,1,90,188,54,26,29,12,27,10,18,12
2020,1,100,16,0,0,4,3,2,1,0,6
2020,2,총,"14,605","5,369","2,669","1,272",979,"1,733",906,771,906
2020,2,0,615,329,130,29,24,47,28,10,18
2020,2,10,990,497,198,55,42,85,29,25,59
2020,2,20,"1,002",513,204,64,47,58,33,39,44
2020,2,30,"1,002",522,199,59,36,74,34,30,48
2020,2,40,"1,556",723,309,85,87,176,62,47,67
2020,2,50,"2,756",968,465,248,195,347,207,148,178
2020,2,60,"2,937",876,486,293,259,419,212,187,205
2020,2,70,"2,188",567,433,255,166,294,174,148,151
2020,2,80,"1,353",318,218,151,107,203,118,120,118
2020,2,90,191,56,27,29,13,28,9,17,12
2020,2,100,15,0,0,4,3,2,0,0,6
2020,3,총,"14,588","5,370","2,667","1,266",974,"1,739",902,768,902
2020,3,0,614,333,128,29,22,46,28,10,18
2020,3,10,978,488,201,51,42,82,31,25,58
2020,3,20,993,509,202,64,46,62,30,39,41
2020,3,30,993,518,195,59,36,74,35,29,47
2020,3,40,"1,549",721,306,83,85,178,61,48,67
2020,3,50,"2,740",966,467,247,195,342,203,144,176
2020,3,60,"2,955",890,489,298,258,418,213,185,204
2020,3,70,"2,182",563,431,252,165,298,174,147,152
2020,3,80,"1,371",324,219,151,109,206,117,124,121
2020,3,90,198,58,29,28,13,31,10,17,12
2020,3,100,15,0,0,4,3,2,0,0,6
2020,4,총,"14,531","5,348","2,662","1,257",975,"1,737",891,763,898
2020,4,0,607,329,128,29,23,46,24,10,18
2020,4,10,964,484,201,48,42,82,29,21,57
2020,4,20,989,508,198,63,49,62,28,41,40
2020,4,30,986,517,196,55,35,74,35,28,46
2020,4,40,"1,531",712,304,84,83,174,59,48,67
2020,4,50,"2,719",962,467,245,193,341,197,139,175
2020,4,60,"2,967",893,489,298,261,417,216,190,203
2020,4,70,"2,181",561,433,249,164,302,172,147,153
2020,4,80,"1,371",325,215,152,109,206,121,121,122
2020,4,90,201,57,31,30,13,31,10,18,11
2020,4,100,15,0,0,4,3,2,0,0,6
2020,5,총,"14,498","5,328","2,658","1,254",976,"1,736",888,760,898
2020,5,0,598,322,127,29,23,46,24,10,17
2020,5,10,964,485,201,46,43,81,29,21,58
2020,5,20,978,506,193,63,47,63,28,39,39
2020,5,30,974,510,196,52,36,72,35,29,44
2020,5,40,"1,529",712,303,85,82,173,59,47,68
2020,5,50,"2,705",951,465,245,193,340,197,137,177
2020,5,60,"2,983",902,495,295,260,421,216,190,204
2020,5,70,"2,178",557,429,252,167,303,170,148,152
2020,5,80,"1,374",327,220,152,109,204,120,121,121
2020,5,90,201,56,29,31,13,32,10,18,12
2020,5,100,14,0,0,4,3,1,0,0,6
2020,6,총,"14,493","5,331","2,648","1,264",977,"1,727",891,758,897
2020,6,0,599,325,126,31,21,45,24,10,17
2020,6,10,957,477,201,46,45,79,28,21,60
2020,6,20,976,507,192,63,48,63,28,37,38
2020,6,30,973,512,194,55,35,69,35,29,44
2020,6,40,"1,521",709,301,86,81,173,58,47,66
2020,6,50,"2,697",952,461,245,190,340,196,138,175
2020,6,60,"3,005",908,498,297,261,424,220,190,207
2020,6,70,"2,178",559,426,250,172,302,169,148,152
2020,6,80,"1,373",324,220,155,108,202,123,120,121
2020,6,90,201,58,29,32,13,30,10,18,11
2020,6,100,13,0,0,4,3,0,0,0,6
2020,7,총,"14,480","5,332","2,634","1,259",974,"1,728",892,764,897
2020,7,0,591,320,124,31,21,45,24,10,16
2020,7,10,954,477,200,45,44,79,27,21,61
2020,7,20,970,512,189,62,44,60,29,36,38
2020,7,30,966,504,191,53,38,69,36,30,45
2020,7,40,"1,520",714,298,84,81,171,58,48,66
2020,7,50,"2,691",950,458,243,188,343,195,141,173
2020,7,60,"3,009",905,501,299,263,425,221,189,206
2020,7,70,"2,184",564,425,252,172,301,167,149,154
2020,7,80,"1,378",328,219,154,106,203,125,122,121
2020,7,90,204,58,29,32,14,32,10,18,11
2020,7,100,13,0,0,4,3,0,0,0,6
2020,8,총,"14,436","5,313","2,625","1,254",972,"1,723",892,765,892
2020,8,0,582,313,122,30,23,45,24,9,16
2020,8,10,951,476,196,46,45,78,28,22,60
2020,8,20,955,506,188,58,41,60,28,35,39
2020,8,30,953,497,191,53,37,68,34,30,43
2020,8,40,"1,509",711,297,83,80,170,59,46,63
2020,8,50,"2,683",948,460,241,190,337,195,139,173
2020,8,60,"3,025",911,500,302,262,427,223,194,206
2020,8,70,"2,174",562,422,252,170,300,165,149,154
2020,8,80,"1,384",331,221,153,106,205,124,123,121
2020,8,90,207,58,28,32,15,33,12,18,11
2020,8,100,13,0,0,4,3,0,0,0,6
2020,9,총,"14,443","5,322","2,636","1,246",972,"1,717",889,765,896
2020,9,0,584,314,124,30,23,45,24,9,15
2020,9,10,954,473,194,45,50,78,27,23,64
2020,9,20,953,509,185,59,39,56,27,35,43
2020,9,30,959,500,196,51,38,67,34,30,43
2020,9,40,"1,513",714,299,81,80,167,63,46,63
2020,9,50,"2,657",939,461,236,187,336,191,138,169
2020,9,60,"3,046",921,502,303,262,432,224,194,208
2020,9,70,"2,161",557,424,249,169,297,165,149,151
2020,9,80,"1,389",336,221,156,106,203,122,123,122
2020,9,90,214,59,30,32,15,36,12,18,12
2020,9,100,13,0,0,4,3,0,0,0,6
2020,10,총,"14,432","5,315","2,634","1,248",966,"1,721",889,768,891
2020,10,0,576,309,123,31,22,43,23,10,15
2020,10,10,945,473,190,45,48,77,28,23,61
2020,10,20,954,510,189,59,37,57,27,33,42
2020,10,30,954,499,191,50,38,67,34,34,41
2020,10,40,"1,502",713,297,83,80,165,61,44,59
2020,10,50,"2,655",934,462,234,186,338,190,141,170
2020,10,60,"3,063",922,506,306,264,434,228,192,211
2020,10,70,"2,165",561,423,245,168,301,166,149,152
2020,10,80,"1,395",338,224,159,107,202,119,124,122
2020,10,90,210,56,29,32,13,37,13,18,12
2020,10,100,13,0,0,4,3,0,0,0,6
2020,11,총,"14,421","5,301","2,627","1,256",971,"1,718",893,760,895
2020,11,0,581,312,124,31,21,43,24,10,16
2020,11,10,935,469,187,44,49,75,28,23,60
2020,11,20,937,497,186,62,38,58,25,31,40
2020,11,30,958,504,191,49,37,65,36,34,42
2020,11,40,"1,500",714,291,84,81,164,61,45,60
2020,11,50,"2,651",924,461,235,186,341,193,141,170
2020,11,60,"3,079",925,513,310,263,434,230,190,214
2020,11,70,"2,163",561,420,245,171,300,167,147,152
2020,11,80,"1,390",337,224,160,109,200,115,122,123
2020,11,90,214,58,30,32,13,38,14,17,12
2020,11,100,13,0,0,4,3,0,0,0,6
2020,12,총,"14,373","5,294","2,606","1,254",973,"1,716",883,755,892
2020,12,0,574,310,122,32,20,40,22,11,17
2020,12,10,935,469,185,45,48,77,28,23,60
2020,12,20,920,493,180,61,41,54,23,29,39
2020,12,30,944,504,186,45,38,64,33,33,41
2020,12,40,"1,497",714,291,85,79,165,58,44,61
2020,12,50,"2,632",915,457,235,186,341,193,138,167
2020,12,60,"3,095",932,514,309,263,438,231,194,214
2020,12,70,"2,159",560,418,243,172,303,164,146,153
2020,12,80,"1,389",337,223,163,109,197,117,121,122
2020,12,90,215,60,30,32,14,37,14,16,12
2020,12,100,13,0,0,4,3,0,0,0,6
2021,1,총,"14,323","5,281","2,581","1,258",969,"1,713",882,748,891
2021,1,0,565,309,117,32,20,40,22,9,16
2021,1,10,919,465,182,44,43,76,28,22,59
2021,1,20,904,485,175,62,39,54,22,29,38
2021,1,30,934,503,182,44,37,62,34,31,41
2021,1,40,"1,482",708,289,84,78,162,56,45,60
2021,1,50,"2,625",907,451,238,185,348,194,136,166
2021,1,60,"3,114",947,511,312,268,433,233,194,216
2021,1,70,"2,155",563,418,240,171,301,164,145,153
2021,1,80,"1,401",336,226,166,111,200,116,122,124
2021,1,90,210,58,30,32,14,37,13,14,12
2021,1,100,14,0,0,4,3,0,0,1,6
2021,2,총,"14,265","5,256","2,572","1,253",966,"1,709",876,751,882
2021,2,0,557,307,113,32,20,39,22,9,15
2021,2,10,909,465,177,47,44,77,26,19,54
2021,2,20,894,476,175,60,40,50,20,35,38
2021,2,30,909,491,175,40,36,63,35,30,39
2021,2,40,"1,471",703,292,88,75,156,54,46,57
2021,2,50,"2,616",905,445,233,187,352,192,134,168
2021,2,60,"3,130",950,515,316,267,436,236,197,213
2021,2,70,"2,146",564,419,235,165,299,163,144,157
2021,2,80,"1,405",338,228,165,115,200,114,122,123
2021,2,90,213,56,33,32,14,37,14,14,13
2021,2,100,15,1,0,5,3,0,0,1,5
2021,3,총,"14,222","5,251","2,567","1,239",962,"1,701",874,748,880
2021,3,0,558,305,119,31,20,37,22,10,14
2021,3,10,901,462,173,45,47,76,24,19,55
2021,3,20,884,473,166,61,40,47,21,36,40
2021,3,30,905,489,176,40,35,62,34,31,38
2021,3,40,"1,452",699,286,85,73,152,54,44,59
2021,3,50,"2,573",895,439,224,185,350,190,129,161
2021,3,60,"3,170",963,526,321,266,440,237,200,217
2021,3,70,"2,137",565,416,230,166,299,163,142,156
2021,3,80,"1,411",341,232,166,113,199,115,123,122
2021,3,90,219,58,34,33,14,39,14,13,14
2021,3,100,12,1,0,3,3,0,0,1,4
2021,4,총,"14,187","5,240","2,559","1,239",959,"1,691",868,746,885
2021,4,0,551,305,113,31,20,36,20,12,14
2021,4,10,898,456,177,45,48,78,22,19,53
2021,4,20,879,471,163,63,40,46,20,34,42
2021,4,30,900,486,174,38,35,64,34,31,38
2021,4,40,"1,441",693,284,88,72,151,52,44,57
2021,4,50,"2,563",899,435,221,184,344,189,127,164
2021,4,60,"3,183",960,525,325,267,441,243,202,220
2021,4,70,"2,128",566,417,228,164,300,158,140,155
2021,4,80,"1,417",344,237,165,112,197,116,123,123
2021,4,90,215,58,34,33,14,34,14,13,15
2021,4,100,12,2,0,2,3,0,0,1,4
2021,5,총,"14,204","5,241","2,558","1,243",963,"1,695",872,746,886
2021,5,0,550,301,114,33,20,36,20,12,14
2021,5,10,897,459,177,45,47,78,21,18,52
2021,5,20,884,473,164,63,41,47,21,33,42
2021,5,30,898,484,170,39,35,66,35,29,40
2021,5,40,"1,430",694,284,86,67,150,51,44,54
2021,5,50,"2,535",889,432,218,188,336,184,124,164
2021,5,60,"3,232",967,531,330,272,447,250,211,224
2021,5,70,"2,129",567,418,229,163,301,159,140,152
2021,5,80,"1,417",347,234,164,111,200,117,120,124
2021,5,90,219,57,34,34,16,34,14,14,16
2021,5,100,13,3,0,2,3,0,0,1,4
2021,6,총,"14,157","5,220","2,565","1,245",961,"1,694",857,739,876
2021,6,0,550,303,116,32,19,36,18,12,14
2021,6,10,890,450,178,47,48,78,21,18,50
2021,6,20,895,480,166,63,44,46,21,33,42
2021,6,30,884,473,172,39,34,66,32,28,40
2021,6,40,"1,424",690,287,85,70,149,51,41,51
2021,6,50,"2,521",889,430,219,184,336,180,124,159
2021,6,60,"3,237",968,533,333,273,449,247,209,225
2021,6,70,"2,120",565,414,227,161,303,159,139,152
2021,6,80,"1,410",344,237,164,110,197,116,119,123
2021,6,90,214,55,32,34,16,34,12,15,16
2021,6,100,12,3,0,2,2,0,0,1,4
