년도,월,나이,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020,1,총,"148,057","12,914","9,292","10,987","17,222","11,712","11,509","11,229","11,392","8,182","9,711","15,939","9,412","8,556"
2020,1,0,"7,238",902,403,688,877,591,435,414,501,310,601,836,355,325
2020,1,10,"9,955","1,094",543,921,"1,443",821,683,661,691,473,661,949,556,459
2020,1,20,"20,124","1,299","1,144","1,160","2,047","1,716","2,021","1,481","1,637","1,517","1,367","2,340","1,375","1,020"
2020,1,30,"17,822","1,458","1,171","1,152","1,966","1,470","1,412","1,249","1,269",971,"1,392","2,208","1,137",967
2020,1,40,"21,034","2,098","1,389","1,528","2,640","1,684","1,537","1,541","1,481","1,039","1,449","2,334","1,231","1,083"
2020,1,50,"25,495","2,016","1,678","1,862","2,945","2,026","1,886","2,081","2,081","1,355","1,565","2,754","1,652","1,594"
2020,1,60,"23,418","1,787","1,446","1,821","2,678","1,815","1,721","1,944","1,998","1,218","1,390","2,327","1,613","1,660"
2020,1,70,"15,025","1,401",928,"1,147","1,672","1,091","1,203","1,269","1,190",855,827,"1,471",989,982
2020,1,80,"6,991",743,528,617,846,418,547,519,488,387,402,622,456,418
2020,1,90,872,109,55,86,97,77,57,59,49,52,54,87,46,44
2020,1,100,83,7,7,5,11,3,7,11,7,5,3,11,2,4
2020,2,총,"147,938","12,772","9,299","10,966","17,259","11,727","11,499","11,197","11,363","8,189","9,735","15,968","9,430","8,534"
2020,2,0,"7,195",875,395,693,892,585,428,401,499,299,606,834,364,324
2020,2,10,"9,907","1,080",546,909,"1,436",822,703,660,682,469,647,948,547,458
2020,2,20,"20,119","1,290","1,145","1,142","2,063","1,711","2,000","1,476","1,633","1,558","1,384","2,342","1,381",994
2020,2,30,"17,754","1,434","1,171","1,160","1,941","1,475","1,408","1,222","1,264",958,"1,388","2,223","1,143",967
2020,2,40,"21,009","2,061","1,393","1,520","2,635","1,695","1,532","1,550","1,472","1,036","1,454","2,351","1,231","1,079"
2020,2,50,"25,453","1,998","1,681","1,861","2,970","2,024","1,894","2,066","2,062","1,352","1,560","2,746","1,644","1,595"
2020,2,60,"23,484","1,783","1,452","1,821","2,693","1,819","1,712","1,951","2,024","1,214","1,408","2,323","1,622","1,662"
2020,2,70,"15,018","1,388",927,"1,145","1,671","1,092","1,207","1,273","1,186",853,827,"1,481",983,985
2020,2,80,"7,027",744,524,618,850,424,552,524,485,394,404,623,464,421
2020,2,90,887,112,58,91,96,76,56,63,49,51,54,86,49,46
2020,2,100,85,7,7,6,12,4,7,11,7,5,3,11,2,3
2020,3,총,"148,083","12,727","9,335","10,970","17,305","11,727","11,531","11,202","11,354","8,253","9,723","15,998","9,428","8,530"
2020,3,0,"7,188",869,406,696,897,582,422,403,497,303,593,837,359,324
2020,3,10,"9,829","1,075",542,896,"1,424",821,710,657,671,469,648,934,530,452
2020,3,20,"20,284","1,282","1,147","1,142","2,072","1,733","2,036","1,493","1,645","1,571","1,388","2,387","1,395",993
2020,3,30,"17,656","1,406","1,179","1,159","1,940","1,455","1,392","1,202","1,253",970,"1,384","2,210","1,147",959
2020,3,40,"20,919","2,052","1,389","1,503","2,634","1,682","1,538","1,550","1,463","1,040","1,432","2,339","1,225","1,072"
2020,3,50,"25,500","2,016","1,677","1,863","2,979","2,040","1,877","2,066","2,061","1,355","1,565","2,743","1,648","1,610"
2020,3,60,"23,587","1,766","1,476","1,842","2,725","1,818","1,726","1,955","2,032","1,233","1,413","2,329","1,620","1,652"
2020,3,70,"15,086","1,393",928,"1,148","1,664","1,093","1,219","1,273","1,192",859,838,"1,494",989,996
2020,3,80,"7,063",748,529,622,864,425,548,528,485,399,404,627,462,422
2020,3,90,883,113,55,92,94,74,56,64,48,49,54,86,51,47
2020,3,100,88,7,7,7,12,4,7,11,7,5,4,12,2,3
2020,4,총,"147,905","12,678","9,304","10,945","17,299","11,707","11,549","11,213","11,333","8,251","9,725","16,000","9,413","8,488"
2020,4,0,"7,164",856,406,693,897,584,420,404,498,298,586,842,355,325
2020,4,10,"9,793","1,072",544,896,"1,415",807,702,660,670,468,650,933,527,449
2020,4,20,"20,305","1,285","1,133","1,130","2,072","1,740","2,059","1,497","1,650","1,588","1,388","2,390","1,382",991
2020,4,30,"17,616","1,391","1,170","1,164","1,946","1,459","1,405","1,203","1,243",963,"1,373","2,206","1,151",942
2020,4,40,"20,868","2,056","1,399","1,493","2,631","1,659","1,531","1,559","1,444","1,037","1,435","2,327","1,219","1,078"
2020,4,50,"25,400","1,999","1,651","1,857","2,965","2,040","1,883","2,064","2,062","1,353","1,568","2,743","1,646","1,569"
2020,4,60,"23,623","1,759","1,481","1,849","2,736","1,817","1,716","1,949","2,028","1,237","1,422","2,344","1,622","1,663"
2020,4,70,"15,065","1,389",917,"1,143","1,662","1,098","1,221","1,276","1,194",855,841,"1,486",991,992
2020,4,80,"7,099",744,541,620,867,428,546,528,490,399,405,634,467,430
2020,4,90,887,120,55,93,97,72,60,63,46,47,53,84,51,46
2020,4,100,85,7,7,7,11,3,6,10,8,6,4,11,2,3
2020,5,총,"147,746","12,618","9,291","10,909","17,284","11,676","11,558","11,210","11,325","8,253","9,714","16,025","9,393","8,490"
2020,5,0,"7,110",850,409,688,888,573,417,398,498,301,575,836,351,326
2020,5,10,"9,727","1,065",535,890,"1,407",798,699,662,655,468,648,939,518,443
2020,5,20,"20,370","1,269","1,136","1,122","2,069","1,754","2,075","1,507","1,660","1,595","1,394","2,409","1,385",995
2020,5,30,"17,557","1,376","1,165","1,157","1,944","1,446","1,413","1,189","1,239",975,"1,373","2,197","1,151",932
2020,5,40,"20,749","2,055","1,394","1,496","2,617","1,634","1,512","1,544","1,435","1,031","1,430","2,325","1,202","1,074"
2020,5,50,"25,414","1,988","1,654","1,836","2,969","2,053","1,889","2,061","2,078","1,349","1,566","2,752","1,649","1,570"
2020,5,60,"23,602","1,754","1,475","1,842","2,738","1,809","1,713","1,956","2,020","1,231","1,422","2,346","1,620","1,676"
2020,5,70,"15,098","1,390",918,"1,152","1,669","1,097","1,221","1,281","1,198",853,845,"1,492",992,990
2020,5,80,"7,140",745,542,624,872,435,549,540,487,401,406,633,471,435
2020,5,90,895,118,56,95,100,74,64,62,47,44,51,85,52,47
2020,5,100,84,8,7,7,11,3,6,10,8,5,4,11,2,2
2020,6,총,"147,482","12,547","9,258","10,921","17,304","11,629","11,541","11,167","11,286","8,218","9,712","15,990","9,410","8,499"
2020,6,0,"7,052",846,403,692,886,559,417,388,487,299,573,824,353,325
2020,6,10,"9,705","1,060",533,897,"1,410",790,699,656,645,468,641,941,518,447
2020,6,20,"20,370","1,260","1,125","1,120","2,068","1,750","2,086","1,511","1,669","1,579","1,402","2,408","1,394",998
2020,6,30,"17,462","1,350","1,159","1,141","1,943","1,446","1,415","1,172","1,220",973,"1,372","2,176","1,159",936
2020,6,40,"20,672","2,052","1,369","1,512","2,615","1,613","1,496","1,538","1,417","1,028","1,425","2,331","1,205","1,071"
2020,6,50,"25,328","1,971","1,664","1,830","2,964","2,053","1,874","2,053","2,078","1,336","1,574","2,730","1,639","1,562"
2020,6,60,"23,649","1,755","1,472","1,853","2,758","1,808","1,718","1,955","2,015","1,231","1,416","2,358","1,623","1,687"
2020,6,70,"15,112","1,390",925,"1,151","1,671","1,100","1,214","1,277","1,211",853,851,"1,492",991,986
2020,6,80,"7,151",735,548,621,881,434,553,540,490,403,403,634,473,436
2020,6,90,897,120,53,98,97,73,63,67,46,43,51,85,53,48
2020,6,100,84,8,7,6,11,3,6,10,8,5,4,11,2,3
2020,7,총,"147,355","12,509","9,288","10,868","17,343","11,630","11,443","11,168","11,285","8,147","9,728","16,012","9,405","8,529"
2020,7,0,"7,021",843,406,685,884,553,404,386,485,305,571,820,347,332
2020,7,10,"9,637","1,058",529,893,"1,394",779,701,649,646,455,641,931,512,449
2020,7,20,"20,386","1,249","1,124","1,101","2,084","1,748","2,087","1,535","1,654","1,558","1,415","2,417","1,399","1,015"
2020,7,30,"17,478","1,341","1,178","1,126","1,951","1,442","1,410","1,161","1,236",978,"1,368","2,198","1,155",934
2020,7,40,"20,625","2,046","1,367","1,496","2,622","1,623","1,488","1,531","1,412","1,004","1,433","2,324","1,199","1,080"
2020,7,50,"25,268","1,977","1,661","1,835","2,961","2,059","1,837","2,059","2,058","1,330","1,567","2,729","1,644","1,551"
2020,7,60,"23,655","1,748","1,476","1,847","2,782","1,812","1,706","1,951","2,028","1,216","1,422","2,357","1,627","1,683"
2020,7,70,"15,148","1,386",943,"1,154","1,670","1,098","1,195","1,285","1,217",852,854,"1,508",995,991
2020,7,80,"7,147",733,540,625,885,441,547,538,490,399,403,630,472,444
2020,7,90,907,120,57,100,99,72,62,63,51,45,50,88,53,47
2020,7,100,83,8,7,6,11,3,6,10,8,5,4,10,2,3
2020,8,총,"147,235","12,501","9,304","10,850","17,367","11,647","11,325","11,166","11,281","8,054","9,742","16,025","9,457","8,516"
