년도,월,나이,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020,1,총,"18,036","3,552",765,563,"1,092","1,518",942,"2,119","2,828","2,962",623,"1,072"
2020,1,0,709,214,23,20,19,43,17,81,69,175,20,28
2020,1,10,"1,042",263,20,18,44,76,34,134,105,267,23,58
2020,1,20,"1,134",265,41,26,40,90,49,158,166,243,21,35
2020,1,30,"1,075",322,27,26,45,85,27,115,143,219,31,35
2020,1,40,"1,622",403,45,32,50,122,79,228,227,332,37,67
2020,1,50,"3,145",572,109,69,146,262,202,426,562,559,74,164
2020,1,60,"3,288",559,159,97,216,258,191,406,597,459,135,211
2020,1,70,"3,060",490,148,130,268,299,206,312,480,345,151,231
2020,1,80,"2,538",385,173,123,225,232,116,225,417,314,108,220
2020,1,90,411,76,20,22,37,50,21,33,59,48,23,22
2020,1,100,12,3,0,0,2,1,0,1,3,1,0,1
2020,2,총,"18,002","3,558",752,557,"1,089","1,508",940,"2,120","2,825","2,960",621,"1,072"
2020,2,0,710,214,23,20,19,44,17,79,70,174,22,28
2020,2,10,"1,033",257,20,18,43,75,34,139,104,264,22,57
2020,2,20,"1,120",265,38,26,40,89,46,152,166,240,22,36
2020,2,30,"1,055",324,25,23,41,83,26,114,139,216,30,34
2020,2,40,"1,618",407,44,30,50,119,80,229,227,330,36,66
2020,2,50,"3,134",565,106,68,149,261,200,425,563,560,72,165
2020,2,60,"3,320",567,158,98,215,263,194,411,602,468,136,208
2020,2,70,"3,033",486,147,129,269,291,206,310,479,340,147,229
2020,2,80,"2,555",392,172,124,225,235,116,224,414,319,110,224
2020,2,90,412,78,19,21,36,47,21,36,58,48,24,24
2020,2,100,12,3,0,0,2,1,0,1,3,1,0,1
2020,3,총,"17,996","3,560",744,554,"1,084","1,502",941,"2,132","2,815","2,968",625,"1,071"
2020,3,0,703,212,23,19,18,44,15,78,68,176,22,28
2020,3,10,"1,025",252,20,18,44,75,36,139,105,257,22,57
2020,3,20,"1,113",272,36,25,41,88,48,154,159,235,20,35
2020,3,30,"1,056",323,23,21,42,82,27,119,140,215,30,34
2020,3,40,"1,613",405,45,31,47,120,78,231,223,331,37,65
2020,3,50,"3,125",567,99,69,150,264,197,417,564,565,74,159
2020,3,60,"3,351",573,162,98,210,261,194,420,604,478,139,212
2020,3,70,"3,038",484,146,128,271,290,204,316,483,341,145,230
2020,3,80,"2,553",393,171,124,224,233,120,219,411,321,111,226
2020,3,90,406,76,19,21,35,44,22,38,55,47,25,24
2020,3,100,13,3,0,0,2,1,0,1,3,2,0,1
2020,4,총,"17,947","3,561",740,550,"1,076","1,492",943,"2,125","2,817","2,952",626,"1,065"
2020,4,0,697,210,23,19,17,45,16,75,67,175,22,28
2020,4,10,"1,021",252,19,18,44,75,36,138,106,257,22,54
2020,4,20,"1,098",273,35,24,38,84,47,154,160,229,20,34
2020,4,30,"1,047",325,24,20,41,81,26,115,141,211,29,34
2020,4,40,"1,603",402,46,32,42,122,79,230,219,331,36,64
2020,4,50,"3,103",564,96,66,151,262,196,414,562,561,73,158
2020,4,60,"3,365",575,162,96,209,255,195,425,615,478,141,214
2020,4,70,"3,039",487,149,127,273,293,203,318,478,338,145,228
2020,4,80,"2,546",393,167,126,222,231,122,217,410,322,111,225
2020,4,90,414,77,19,22,37,42,23,38,56,48,27,25
2020,4,100,14,3,0,0,2,2,0,1,3,2,0,1
2020,5,총,"17,906","3,574",737,551,"1,069","1,486",938,"2,111","2,813","2,937",627,"1,063"
2020,5,0,688,210,21,18,16,45,16,73,68,172,22,27
2020,5,10,"1,010",253,18,18,43,74,36,135,104,256,22,51
2020,5,20,"1,084",272,36,25,37,81,44,152,157,225,20,35
2020,5,30,"1,041",325,23,20,39,81,25,114,143,209,28,34
2020,5,40,"1,595",403,48,32,43,121,77,227,215,326,37,66
