년도,월,나이,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020,1,총,"565,352","243,176","14,025","21,669","16,791","7,274","13,213","19,644","16,113","11,159","17,660","20,146","32,448","14,055","15,678","23,301","322,176","22,184","11,262","23,310","17,950","11,319","37,542","19,371","27,502","15,629","24,369","17,014","8,188","23,733","22,276","15,778","13,388","11,361"
2020,1,0,"42,436","16,629","1,065","1,256",965,314,605,"1,100","1,822",542,"1,071","1,536","2,307","1,022",808,"2,216","25,807","1,963",854,"1,337","1,585",857,"2,453","1,330","2,553","1,491","2,592","1,473",982,"1,641","1,683","1,227",981,805
2020,1,10,"55,356","19,897","1,253","1,594","1,358",508,976,"1,252","1,365",751,"1,371","1,645","2,733","1,482","1,239","2,370","35,459","2,387","1,165","1,974","2,361",801,"3,129","1,493","2,538","1,810","3,831","3,425",752,"2,054","2,172","2,373","1,663","1,531"
2020,1,20,"80,888","35,340","2,133","3,377","2,506","1,081","1,820","2,924","2,123","1,726","2,622","2,675","4,636","2,005","2,206","3,506","45,548","2,994","1,633","3,707","2,177","1,428","6,086","2,952","3,681","2,293","2,669","1,994",971,"3,861","3,355","2,105","2,043","1,599"
2020,1,30,"80,258","34,305","2,183","3,128","2,307",936,"1,663","3,223","2,886","1,587","2,210","2,804","4,377","1,674","1,779","3,548","45,953","2,929","1,442","2,990","2,310","2,521","5,062","3,153","5,906","1,921","3,382","1,271","1,630","3,616","3,098","1,936","1,616","1,170"
2020,1,40,"91,667","36,302","2,187","3,069","2,366","1,089","1,889","2,931","2,640","1,557","2,359","3,116","4,887","2,228","2,406","3,578","55,365","3,685","1,784","3,193","3,451","1,937","5,390","3,041","5,211","2,751","5,381","4,088","1,447","3,272","3,398","3,099","2,246","1,991"
2020,1,50,"100,827","44,647","2,454","4,006","3,131","1,326","2,472","3,460","2,691","2,074","3,419","3,585","6,197","2,641","3,185","4,006","56,180","3,992","2,156","4,737","2,761","1,676","7,161","3,515","3,959","3,005","3,457","2,649","1,234","4,507","4,304","2,560","2,538","1,969"
2020,1,60,"67,148","32,501","1,673","3,017","2,467","1,026","2,066","2,773","1,626","1,744","2,650","2,766","4,147","1,754","2,225","2,567","34,647","2,662","1,351","3,223","1,947","1,157","4,785","2,211","2,143","1,410","1,778","1,187",740,"3,082","2,827","1,323","1,487","1,334"
2020,1,70,"30,860","15,894",724,"1,546","1,177",637,"1,125","1,333",657,816,"1,320","1,348","2,154",826,"1,242",989,"14,966","1,045",600,"1,334",869,566,"2,310","1,115",987,579,772,595,280,"1,126",949,698,546,595
2020,1,80,"13,756","6,675",300,586,452,312,533,580,238,308,556,568,884,386,517,455,"7,081",431,225,690,430,329,"1,019",497,469,330,439,286,123,482,410,377,235,309
2020,1,90,"1,987",906,52,80,55,45,59,54,58,50,73,98,118,36,64,64,"1,081",78,42,118,57,46,139,60,51,35,65,45,25,84,73,78,33,52
2020,1,100,169,80,1,10,7,0,5,14,7,4,9,5,8,1,7,2,89,18,10,7,2,1,8,4,4,4,3,1,4,8,7,2,0,6
2020,2,총,"563,066","242,107","13,174","21,699","16,807","7,253","13,245","19,702","16,046","11,144","17,616","20,116","32,368","13,976","15,635","23,326","320,959","22,125","11,255","23,191","17,905","11,330","37,428","19,400","27,530","15,523","24,379","17,044","8,152","22,963","22,199","15,740","13,411","11,384"
2020,2,0,"42,032","16,415","1,018","1,245",948,303,602,"1,096","1,799",534,"1,061","1,518","2,272","1,003",791,"2,225","25,617","1,942",838,"1,298","1,590",829,"2,405","1,326","2,533","1,461","2,598","1,519",971,"1,585","1,682","1,239",989,812
2020,2,10,"54,982","19,725","1,173","1,591","1,355",503,982,"1,259","1,360",746,"1,362","1,620","2,705","1,460","1,243","2,366","35,257","2,346","1,158","1,942","2,338",796,"3,096","1,496","2,542","1,798","3,824","3,424",759,"1,979","2,158","2,375","1,678","1,548"
2020,2,20,"80,174","35,058","1,997","3,394","2,495","1,070","1,818","2,915","2,086","1,700","2,592","2,673","4,635","1,998","2,198","3,487","45,116","2,999","1,624","3,677","2,156","1,444","6,039","2,973","3,665","2,264","2,665","1,957",959,"3,734","3,314","2,068","2,014","1,564"
2020,2,30,"79,771","34,063","2,080","3,095","2,305",948,"1,670","3,237","2,853","1,589","2,194","2,822","4,328","1,655","1,753","3,534","45,708","2,912","1,432","2,973","2,316","2,494","5,045","3,140","5,914","1,914","3,390","1,284","1,624","3,479","3,077","1,919","1,625","1,170"
2020,2,40,"91,376","36,141","2,060","3,101","2,377","1,075","1,894","2,952","2,644","1,546","2,339","3,092","4,870","2,211","2,390","3,590","55,235","3,664","1,788","3,162","3,446","1,926","5,361","3,035","5,216","2,718","5,406","4,099","1,440","3,186","3,401","3,120","2,265","2,002"
2020,2,50,"100,349","44,457","2,276","4,005","3,136","1,329","2,474","3,462","2,679","2,080","3,417","3,589","6,187","2,622","3,185","4,016","55,892","4,004","2,162","4,748","2,754","1,711","7,146","3,522","3,949","3,000","3,424","2,631","1,216","4,335","4,275","2,534","2,513","1,968"
