년도,월,나이,안동시,풍산읍,와룡면,북후면,서후면,풍천면,일직면,남후면,남선면,임하면,길안면,임동면,예안면,도산면,녹전면,중구동,명륜동,용상동,서구동,태화동,평화동,안기동,옥동,송하동,강남동
2020,1,총,"159,844","6,569","4,200","3,084","3,707","5,252","2,904","1,865","2,151","2,996","2,790","1,806","1,922","1,678","1,796","5,246","5,186","22,365","9,416","13,687","6,565","6,478","22,480","15,790","9,911"
2020,1,0,"11,155",216,98,71,89,225,54,39,61,81,54,34,47,28,31,270,336,"1,959",722,967,437,411,"2,222","1,567","1,136"
2020,1,10,"14,160",292,227,99,170,273,141,72,88,118,78,54,56,52,71,387,429,"2,406",918,"1,031",570,630,"2,742","1,714","1,542"
2020,1,20,"16,937",498,325,160,394,588,157,87,187,228,154,96,102,67,84,573,550,"3,054",868,"1,521",669,717,"2,811","1,903","1,144"
2020,1,30,"16,072",422,198,184,224,592,138,93,132,174,130,73,88,80,80,564,498,"2,613",908,"1,659",682,634,"2,715","2,094","1,097"
2020,1,40,"22,799",642,384,343,384,589,285,180,190,298,196,165,135,142,153,662,756,"3,607","1,412","1,956",926,901,"3,922","2,595","1,976"
2020,1,50,"27,017","1,142",711,584,651,839,497,307,461,557,550,325,409,304,307,862,968,"3,538","1,527","2,330","1,102","1,264","3,664","2,726","1,392"
2020,1,60,"24,377","1,362",880,605,803,883,622,385,451,666,666,451,450,421,447,915,800,"2,662","1,466","2,142","1,112","1,075","2,465","1,799",849
2020,1,70,"16,640","1,132",764,567,552,749,561,382,328,493,570,350,382,346,358,675,568,"1,583","1,031","1,386",716,595,"1,211",852,489
2020,1,80,"9,258",744,538,401,366,448,384,274,217,317,350,234,222,209,236,284,250,831,492,611,290,219,630,468,243
2020,1,90,"1,366",111,71,68,73,63,63,45,36,61,41,20,29,29,28,52,31,106,67,77,59,32,96,67,41
2020,1,100,63,8,4,2,1,3,2,1,0,3,1,4,2,0,1,2,0,6,5,7,2,0,2,5,2
2020,2,총,"159,645","6,557","4,176","3,086","3,692","5,265","2,879","1,864","2,146","2,976","2,771","1,814","1,919","1,677","1,792","5,216","5,179","22,438","9,362","13,657","6,560","6,462","22,396","15,795","9,966"
