년도,월,나이,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동,대구광역시 달서구 유천동
2020,1,총,"281,202","12,058","7,624","4,411","13,738","7,379","8,794","16,239","15,187","12,096","8,512","16,299","11,024","21,659","8,152","38,225","19,770","10,311","5,690","18,183","9,959","9,141","6,751",
2020,1,0,"22,134",915,345,235,"1,110",356,743,"1,164","1,110",745,516,828,"1,079","2,773",391,"4,783","1,615",610,208,"1,306",512,414,376,
2020,1,10,"30,507","1,002",414,318,"1,268",603,930,"2,059","1,691","1,422",806,"1,357","1,036","4,255",673,"4,554","2,851",855,369,"2,052",757,690,545,
2020,1,20,"43,228","1,559","1,156",710,"2,175","1,312","1,350","2,784","2,651","2,280","1,403","3,522","1,506","2,281","1,039","4,968","3,016","1,940",774,"2,844","1,545","1,415",998,
2020,1,30,"36,039","1,534","1,093",538,"1,973","1,035","1,237","1,809","1,881","1,389","1,187","2,112","1,580","2,169",781,"5,840","2,135","1,595",704,"2,115","1,312","1,131",889,
2020,1,40,"44,997","1,998","1,122",626,"2,106","1,014","1,369","2,581","2,256","1,831","1,209","2,509","2,025","5,093","1,231","6,732","3,011","1,307",682,"2,530","1,439","1,262","1,064",
2020,1,50,"51,002","2,151","1,393",761,"2,504","1,468","1,626","3,369","3,230","2,624","1,669","3,263","1,918","3,037","1,572","5,638","3,519","1,874","1,067","3,529","1,847","1,662","1,281",
2020,1,60,"33,610","1,743","1,188",658,"1,690","1,062","1,014","1,576","1,592","1,204","1,216","1,695","1,253","1,300","1,391","3,622","2,317","1,401","1,161","2,508","1,503","1,520",996,
2020,1,70,"14,633",894,686,403,711,393,406,686,561,430,378,765,486,553,791,"1,558",932,552,541,938,783,738,448,
2020,1,80,"4,693",248,215,152,185,126,112,204,199,166,117,229,132,181,256,488,343,167,163,338,245,290,137,
2020,1,90,343,14,11,10,14,9,7,7,16,5,11,19,7,16,26,36,31,10,21,22,16,18,17,
2020,1,100,16,0,1,0,2,1,0,0,0,0,0,0,2,1,1,6,0,0,0,1,0,1,0,
2020,2,총,"280,670","12,014","7,617","4,384","13,707","7,368","8,783","16,171","15,122","12,083","8,516","16,286","10,975","21,677","8,121","38,123","19,678","10,456","5,681","18,109","9,959","9,119","6,721",
