년도,월,나이,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동,서울특별시 강동구 상일제1동,서울특별시 강동구 상일제2동
2020,1,총,"440,795","31,883","14,534","26,641","17,723","26,985","20,220","36,369","14,919","18,621","28,094","35,046","27,464","20,455","24,418","23,662","45,914",268,"27,579",,
2020,1,0,"32,825","2,759","1,213","2,182","1,196","3,349","2,262","2,428","1,332","2,109","1,613","1,934","1,562","1,614","1,200","1,404","2,698",7,"1,963",,
2020,1,10,"38,907","4,482","1,667","2,782","2,654","3,476","1,778","2,863","1,022","1,982","1,953","2,040","1,443","1,854","1,322","1,981","3,205",8,"2,395",,
2020,1,20,"59,405","3,901","1,753","3,326","2,275","2,645","2,230","4,989","1,988","2,054","3,948","4,987","4,078","2,758","3,899","3,610","6,932",20,"4,012",,
2020,1,30,"68,470","3,358","2,048","4,193","1,871","4,067","3,489","5,641","2,806","2,697","4,207","6,309","4,889","3,380","4,349","3,653","7,415",27,"4,071",,
2020,1,40,"70,987","5,610","2,372","4,359","3,172","5,494","3,299","5,755","2,370","3,331","4,218","5,164","4,010","3,457","3,633","3,707","6,902",52,"4,082",,
2020,1,50,"71,420","4,991","2,479","4,198","2,885","3,639","3,149","6,160","2,214","2,727","4,834","6,075","4,580","3,104","3,998","4,023","7,659",33,"4,672",,
2020,1,60,"58,402","3,696","1,896","3,437","2,368","2,663","2,553","4,918","1,795","2,323","4,232","4,833","4,007","2,530","3,456","3,077","6,659",55,"3,904",,
2020,1,70,"28,667","2,007",794,"1,521",893,"1,066","1,023","2,590","1,027","1,008","2,227","2,685","2,095","1,265","1,853","1,633","3,200",39,"1,741",,
2020,1,80,"9,743",911,254,525,320,442,357,869,312,312,726,852,697,415,597,487,"1,044",11,612,,
2020,1,90,"1,738",153,51,108,84,118,76,135,42,70,124,142,90,74,94,76,179,8,114,,
2020,1,100,231,15,7,10,5,26,4,21,11,8,12,25,13,4,17,11,21,8,13,,
2020,2,총,"446,887","31,946","20,335","26,651","17,678","26,883","20,882","36,291","15,288","18,552","27,968","34,981","27,280","20,436","24,466","23,603","45,894",265,"27,488",,
2020,2,0,"33,840","2,736","2,281","2,191","1,214","3,350","2,363","2,400","1,416","2,122","1,586","1,897","1,509","1,612","1,179","1,370","2,658",7,"1,949",,
2020,2,10,"39,427","4,467","2,331","2,774","2,628","3,465","1,858","2,852","1,066","1,967","1,906","2,001","1,425","1,843","1,310","1,976","3,179",8,"2,371",,
2020,2,20,"59,779","3,930","2,205","3,305","2,242","2,596","2,276","4,964","2,015","2,020","3,918","5,008","4,089","2,742","3,943","3,598","6,941",19,"3,968",,
2020,2,30,"69,614","3,378","3,137","4,212","1,873","4,026","3,614","5,617","2,879","2,703","4,185","6,287","4,840","3,350","4,358","3,611","7,437",27,"4,080",,
2020,2,40,"72,343","5,615","3,555","4,368","3,184","5,519","3,460","5,750","2,439","3,313","4,201","5,155","3,972","3,465","3,646","3,706","6,886",51,"4,058",,
2020,2,50,"71,957","4,998","3,130","4,185","2,842","3,604","3,222","6,166","2,253","2,724","4,809","6,049","4,559","3,100","3,977","4,016","7,630",32,"4,661",,
2020,2,60,"59,113","3,718","2,404","3,425","2,378","2,663","2,603","4,905","1,811","2,299","4,267","4,860","4,001","2,551","3,465","3,107","6,694",55,"3,907",,
2020,2,70,"28,969","2,029",927,"1,542",906,"1,076","1,043","2,608","1,044","1,008","2,223","2,693","2,077","1,277","1,864","1,636","3,225",39,"1,752",,
2020,2,80,"9,849",909,299,529,320,436,363,871,314,318,736,863,700,418,612,496,"1,042",11,612,,
2020,2,90,"1,760",151,59,110,86,122,76,134,40,70,124,143,95,74,95,76,180,8,117,,
