년도,월,나이,화순군,화순읍,한천면,한천면영외출장소,춘양면,청풍면,이양면,능주면,도곡면,도암면,이서면,북면,백아면,동복면,남면,사평면,동면
2020,1,총,"31,641","19,835",455,224,917,545,958,"1,652","1,436",688,480,0.0,796,868,0.0,"1,090","1,697"
2020,1,0,"1,773","1,484",4,6,13,14,21,51,50,15,10,0.0,9,22,0.0,25,49
2020,1,10,"2,892","2,377",20,7,45,13,34,122,58,21,15,0.0,32,36,0.0,34,78
2020,1,20,"3,137","2,366",28,7,65,22,52,127,101,27,37,0.0,29,51,0.0,75,150
2020,1,30,"2,433","1,888",14,10,36,23,46,105,75,22,21,0.0,29,23,0.0,60,81
2020,1,40,"4,099","3,300",35,14,44,16,63,150,105,35,29,0.0,42,59,0.0,64,143
2020,1,50,"5,097","3,261",68,23,123,75,126,271,256,101,93,0.0,109,120,0.0,172,299
2020,1,60,"4,219","2,132",91,48,141,82,157,306,266,132,79,0.0,139,153,0.0,196,297
2020,1,70,"4,462","1,860",110,70,206,129,226,297,234,194,111,0.0,234,210,0.0,266,315
2020,1,80,"3,062","1,010",73,34,217,149,205,192,244,124,77,0.0,150,164,0.0,169,254
2020,1,90,438,146,12,5,27,21,26,31,46,15,6,0.0,22,28,0.0,27,26
2020,1,100,29,11,0,0,0,1,2,0,1,2,2,0.0,1,2,0.0,2,5
2020,2,총,"31,571","19,802",457,225,912,545,955,"1,646","1,440",684,481,,794,861,,"1,080","1,689"
2020,2,0,"1,767","1,467",7,6,16,14,21,52,49,16,11,,12,21,,23,52
2020,2,10,"2,861","2,359",19,5,44,13,35,114,59,20,17,,32,35,,33,76
2020,2,20,"3,115","2,361",27,8,64,25,50,128,99,22,36,,27,50,,72,146
2020,2,30,"2,407","1,862",12,10,37,23,45,106,77,23,20,,30,23,,55,84
2020,2,40,"4,102","3,306",39,14,45,15,62,146,106,35,29,,42,56,,65,142
2020,2,50,"5,075","3,259",64,24,121,76,121,267,261,102,92,,110,119,,169,290
