년도,월,나이,보령시,웅천읍,주포면,오천면,오천면어항출장소,오천면원산도출장소,천북면,청소면,청라면,남포면,주산면,미산면,성주면,주교면,대천1동,대천2동,대천3동,대천4동,대천5동,원산도출장소
2020,1,총,"100,908","6,412","1,656","2,228","1,672","1,147","3,662","2,681","4,009","5,225","2,511","1,798","2,358","5,380","15,084","7,164","16,968","14,315","6,638",
2020,1,0,"6,480",163,44,49,62,30,130,77,134,142,58,52,80,196,"1,230",556,"1,788","1,405",284,
2020,1,10,"8,613",353,99,129,103,72,197,109,235,281,104,67,126,368,"1,605",673,"2,023","1,643",426,
2020,1,20,"9,824",476,189,142,141,72,251,149,284,419,120,113,188,504,"1,760",793,"2,048","1,636",539,
2020,1,30,"9,976",407,92,140,142,65,235,159,241,325,136,95,182,434,"1,736",797,"2,457","1,724",609,
2020,1,40,"14,186",654,180,270,232,119,373,230,387,490,211,151,257,711,"2,417","1,165","3,050","2,491",798,
2020,1,50,"17,544","1,187",286,418,331,223,658,434,719,"1,012",377,287,484,"1,011","2,580","1,210","2,642","2,340","1,345",
2020,1,60,"16,283","1,459",368,491,349,250,782,577,862,"1,120",542,399,489,"1,006","1,984",933,"1,680","1,656","1,336",
2020,1,70,"10,974","1,018",244,338,181,176,574,523,655,820,535,366,363,705,"1,179",671,851,925,850,
2020,1,80,"6,112",593,130,214,116,122,415,367,435,512,372,229,161,390,522,330,383,424,397,
2020,1,90,862,99,24,37,14,17,46,56,54,96,55,38,22,53,63,32,42,61,53,
2020,1,100,54,3,0,0,1,1,1,0,3,8,1,1,6,2,8,4,4,10,1,
2020,2,총,"100,836","6,408","1,654","2,224","1,656","1,158","3,652","2,680","3,980","5,240","2,491","1,803","2,345","5,388","14,951","7,108","16,851","14,599","6,648",
2020,2,0,"6,452",158,44,48,58,30,130,75,131,152,58,53,80,197,"1,201",544,"1,772","1,434",287,
2020,2,10,"8,552",348,101,128,99,71,192,113,229,279,101,65,127,365,"1,570",661,"2,001","1,684",418,
2020,2,20,"9,743",475,185,136,140,67,244,150,276,407,118,115,185,495,"1,739",785,"2,018","1,660",548,
2020,2,30,"9,919",396,90,144,142,71,232,153,236,324,127,93,177,434,"1,710",793,"2,430","1,762",605,
2020,2,40,"14,225",658,181,268,227,122,381,234,386,497,213,150,256,712,"2,403","1,160","3,019","2,556",802,
2020,2,50,"17,516","1,176",284,422,330,229,647,435,710,"1,010",368,290,479,"1,015","2,557","1,192","2,638","2,406","1,328",
2020,2,60,"16,362","1,470",370,493,348,248,786,575,866,"1,129",545,403,496,"1,012","1,991",938,"1,678","1,658","1,356",
2020,2,70,"10,995","1,023",247,335,177,178,576,523,656,820,534,366,357,709,"1,183",665,858,937,851,
2020,2,80,"6,146",599,127,211,120,124,418,367,434,516,369,228,163,392,528,333,388,431,398,
