년도,월,나이,제천시,봉양읍,금성면,청풍면,수산면,덕산면,한수면,백운면,송학면,교동,의림지동,중앙동,남현동,영서동,용두동,신백동,청전동,화산동
2020,1,총,"134,359","6,832","1,980","1,284","2,048","2,250",705,"3,325","4,656","19,097","10,011","6,088","5,047","10,298","18,039","11,343","15,893","15,463"
2020,1,0,"9,297",302,58,35,43,67,15,99,91,"1,705",853,282,222,819,"1,406",829,754,"1,717"
2020,1,10,"12,249",366,94,48,79,213,35,146,231,"2,500","1,170",447,339,914,"1,908","1,217","1,224","1,318"
2020,1,20,"15,241",492,127,68,92,96,32,197,410,"2,243","1,311",669,581,"1,086","2,850","1,396","1,983","1,608"
2020,1,30,"13,623",471,116,61,84,88,42,140,242,"2,175","1,104",520,454,"1,150","2,107","1,150","1,438","2,281"
2020,1,40,"18,955",712,143,103,139,193,76,260,418,"3,427","1,653",803,577,"1,512","2,741","1,780","1,996","2,422"
2020,1,50,"24,422","1,310",418,274,431,415,148,657,974,"3,358","1,782","1,094",941,"1,808","3,152","2,119","3,112","2,429"
2020,1,60,"21,459","1,578",516,315,542,556,178,897,"1,140","2,137","1,260","1,195","1,046","1,502","2,121","1,495","3,064","1,917"
2020,1,70,"12,320",978,282,229,380,392,95,550,702,"1,065",542,732,625,"1,010","1,086",898,"1,573","1,181"
2020,1,80,"5,959",537,194,132,228,202,68,324,389,441,294,293,235,438,605,400,647,532
2020,1,90,764,84,27,15,24,28,15,50,56,41,40,48,25,42,62,55,98,54
2020,1,100,70,2,5,4,6,0,1,5,3,5,2,5,2,17,1,4,4,4
2020,2,총,"134,171","6,836","1,976","1,279","2,048","2,239",717,"3,311","4,662","19,062","9,958","6,081","5,012","10,336","17,999","11,311","15,893","15,451"
2020,2,0,"9,261",296,57,33,46,67,16,102,96,"1,701",852,286,220,818,"1,383",813,754,"1,721"
2020,2,10,"12,197",367,95,47,79,208,37,145,231,"2,488","1,153",455,337,917,"1,903","1,214","1,210","1,311"
2020,2,20,"15,097",497,121,69,91,92,31,189,396,"2,227","1,298",655,569,"1,088","2,785","1,396","1,988","1,605"
2020,2,30,"13,556",465,114,61,80,86,42,138,244,"2,165","1,095",519,439,"1,164","2,119","1,123","1,421","2,281"
2020,2,40,"18,926",720,144,96,143,193,78,258,423,"3,430","1,645",789,576,"1,513","2,732","1,774","2,003","2,409"
2020,2,50,"24,395","1,309",412,279,426,412,149,646,966,"3,338","1,772","1,096",935,"1,809","3,173","2,139","3,106","2,428"
2020,2,60,"21,571","1,583",527,315,541,556,181,905,"1,151","2,157","1,263","1,200","1,043","1,516","2,148","1,491","3,063","1,931"
2020,2,70,"12,320",978,282,227,384,394,96,551,703,"1,066",543,730,626,"1,008","1,077",900,"1,585","1,170"
2020,2,80,"5,991",536,192,133,228,202,70,322,391,441,291,297,238,441,615,400,657,537
2020,2,90,787,83,27,15,24,29,16,50,58,44,44,49,27,45,63,57,102,54
2020,2,100,70,2,5,4,6,0,1,5,3,5,2,5,2,17,1,4,4,4
2020,3,총,"133,839","6,809","1,977","1,278","2,044","2,234",711,"3,286","4,644","19,019","9,946","6,057","4,996","10,351","17,960","11,291","15,856","15,380"
2020,3,0,"9,210",291,56,33,46,65,16,98,99,"1,679",847,282,219,832,"1,388",808,743,"1,708"
2020,3,10,"12,100",368,94,45,78,206,38,142,230,"2,473","1,163",448,327,906,"1,875","1,209","1,196","1,302"
2020,3,20,"14,993",494,126,66,86,91,30,183,381,"2,235","1,285",661,577,"1,094","2,733","1,380","1,975","1,596"
2020,3,30,"13,500",457,113,65,81,84,40,138,238,"2,135","1,089",520,426,"1,157","2,147","1,127","1,421","2,262"
2020,3,40,"18,830",717,143,94,144,188,77,254,422,"3,413","1,640",775,575,"1,510","2,715","1,762","1,998","2,403"
2020,3,50,"24,278","1,292",416,281,424,416,147,634,960,"3,360","1,768","1,081",929,"1,800","3,167","2,135","3,065","2,403"
2020,3,60,"21,730","1,594",521,312,545,556,181,913,"1,157","2,169","1,266","1,211","1,053","1,531","2,176","1,507","3,100","1,938"
2020,3,70,"12,314",970,285,229,383,396,95,551,702,"1,065",547,726,626,"1,015","1,076",896,"1,591","1,161"
2020,3,80,"6,019",540,190,134,229,203,71,319,392,440,292,298,238,443,615,407,662,546
2020,3,90,793,84,28,15,22,29,15,49,60,45,47,50,24,45,67,56,100,57
2020,3,100,72,2,5,4,6,0,1,5,3,5,2,5,2,18,1,4,5,4
2020,4,총,"133,638","6,801","1,979","1,278","2,042","2,233",710,"3,274","4,628","18,947","9,941","6,025","4,996","10,339","17,932","11,256","15,863","15,394"
2020,4,0,"9,151",289,56,32,46,64,16,94,102,"1,653",841,278,216,832,"1,393",789,742,"1,708"
2020,4,10,"12,027",365,96,44,77,206,39,140,224,"2,453","1,160",448,328,902,"1,854","1,211","1,180","1,300"
2020,4,20,"14,909",476,128,65,81,90,30,182,373,"2,244","1,289",643,580,"1,086","2,698","1,369","1,973","1,602"
2020,4,30,"13,451",453,114,65,81,83,41,137,233,"2,091","1,084",529,428,"1,151","2,151","1,116","1,427","2,267"
2020,4,40,"18,791",714,139,95,147,185,77,250,425,"3,403","1,640",768,568,"1,507","2,734","1,751","1,989","2,399"
2020,4,50,"24,253","1,305",414,281,423,416,144,631,955,"3,371","1,772","1,065",930,"1,797","3,151","2,136","3,054","2,408"
2020,4,60,"21,837","1,604",521,314,545,559,182,918,"1,159","2,178","1,266","1,214","1,055","1,538","2,195","1,514","3,130","1,945"
2020,4,70,"12,318",968,286,230,383,395,95,546,698,"1,068",549,726,626,"1,013","1,076",902,"1,598","1,159"
2020,4,80,"6,034",542,192,133,232,206,70,322,398,439,290,299,237,449,607,408,664,546
2020,4,90,793,83,28,15,21,29,15,49,58,41,48,50,26,46,72,55,100,57
2020,4,100,74,2,5,4,6,0,1,5,3,6,2,5,2,18,1,5,6,3
2020,5,총,"133,513","6,797","1,971","1,288","2,043","2,223",711,"3,265","4,618","18,914","9,938","6,007","4,965","10,344","17,984","11,222","15,838","15,385"
2020,5,0,"9,110",288,56,31,45,63,16,93,101,"1,649",832,276,214,838,"1,394",784,734,"1,696"
2020,5,10,"11,977",364,95,47,78,207,39,138,220,"2,444","1,149",443,324,893,"1,850","1,203","1,169","1,314"
