년도,월,나이,장흥군,장흥읍,관산읍,대덕읍,용산면,안양면,장동면,장평면,유치면,부산면,회진면
2021,5,총,"19,063","7,767","2,498","1,732","1,198","1,433",650,"1,099",525,738,"1,423"
2021,5,0,958,635,64,81,37,28,21,21,9,16,46
2021,5,10,"1,259",741,117,93,47,54,24,52,14,37,80
2021,5,20,"1,302",706,134,91,52,81,34,62,21,40,81
2021,5,30,"1,250",757,124,82,53,63,29,36,17,25,64
2021,5,40,"1,777","1,031",167,121,75,103,31,49,37,56,107
2021,5,50,"2,816","1,159",388,245,151,211,85,165,100,97,215
2021,5,60,"3,339","1,138",480,340,238,279,131,188,123,118,304
2021,5,70,"3,090",839,521,328,239,265,115,232,98,151,302
2021,5,80,"2,725",614,424,297,242,279,160,262,90,154,203
2021,5,90,526,137,76,52,61,69,19,31,16,44,21
2021,5,100,21,10,3,2,3,1,1,1,0,0,0
2021,6,총,"19,019","7,748","2,498","1,725","1,191","1,434",648,"1,096",525,734,"1,420"
2021,6,0,945,626,62,81,37,28,21,19,10,14,47
2021,6,10,"1,259",744,120,93,45,53,24,52,14,37,77
2021,6,20,"1,292",702,131,91,51,80,33,62,21,42,79
2021,6,30,"1,233",750,123,82,51,60,29,36,16,23,63
2021,6,40,"1,775","1,030",168,120,75,104,30,47,37,55,109
2021,6,50,"2,797","1,155",386,243,149,207,84,163,99,96,215
2021,6,60,"3,348","1,141",481,339,242,284,132,188,123,115,303
2021,6,70,"3,084",835,517,329,234,266,115,235,97,153,303
2021,6,80,"2,732",620,428,293,243,280,159,261,91,155,202
2021,6,90,533,135,79,52,61,71,20,32,17,44,22
2021,6,100,21,10,3,2,3,1,1,1,0,0,0
2021,7,총,"18,985","7,720","2,504","1,725","1,189","1,446",643,"1,093",525,726,"1,414"
2021,7,0,945,625,65,80,36,29,21,18,10,14,47
2021,7,10,"1,256",739,121,95,47,54,22,53,14,36,75
2021,7,20,"1,290",704,134,90,48,83,33,59,22,41,76
2021,7,30,"1,218",740,123,81,50,61,28,34,16,22,63
2021,7,40,"1,760","1,019",168,117,76,106,30,48,37,52,107
2021,7,50,"2,792","1,154",381,243,152,208,84,161,96,97,216
2021,7,60,"3,361","1,143",486,339,242,288,132,190,125,113,303
2021,7,70,"3,072",833,513,328,232,267,113,234,98,151,303
2021,7,80,"2,730",617,431,297,244,274,159,261,90,156,201
2021,7,90,541,136,79,54,59,75,20,34,17,44,23
2021,7,100,20,10,3,1,3,1,1,1,0,0,0
2021,8,총,"18,945","7,716","2,498","1,726","1,189","1,445",635,"1,088",522,718,"1,408"
2021,8,0,946,632,66,80,34,29,19,17,10,13,46
2021,8,10,"1,241",729,122,97,50,52,22,51,12,35,71
2021,8,20,"1,282",701,135,89,45,84,31,56,25,39,77
2021,8,30,"1,219",744,120,80,50,60,26,35,17,24,63
2021,8,40,"1,747","1,015",168,115,74,106,30,48,36,52,103
2021,8,50,"2,775","1,150",373,242,152,209,81,160,95,95,218
2021,8,60,"3,378","1,147",490,342,245,288,133,190,125,115,303
2021,8,70,"3,059",833,511,326,233,269,112,235,97,148,295
2021,8,80,"2,734",618,431,299,244,272,160,261,88,154,207
2021,8,90,544,137,79,55,59,75,20,34,17,43,25
2021,8,100,20,10,3,1,3,1,1,1,0,0,0
2021,9,총,"18,886","7,683","2,498","1,720","1,193","1,443",632,"1,085",519,710,"1,403"
2021,9,0,936,623,64,78,34,30,19,18,10,13,47
