년도,월,나이,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020,1,총,"320,254","20,582","14,823","13,331","11,787","28,308","22,213","25,868","18,099","16,278","12,216","28,133","40,850","28,876","11,842","20,196","6,852"
2020,1,0,"21,831","1,206","1,019",624,597,"1,826","1,336","1,594","1,163","1,212","1,129","2,192","3,432","1,900","1,373","1,064",164
2020,1,10,"26,979","1,662","1,171",808,869,"2,517","1,789","2,258","1,255","1,388","1,034","2,528","4,242","2,674",890,"1,575",319
2020,1,20,"41,449","2,436","1,664","1,590","1,491","3,727","3,710","4,910","2,088","2,298","1,214","3,633","4,672","3,568","1,340","2,471",637
2020,1,30,"40,007","2,459","1,698","1,665","1,274","3,359","3,044","3,443","2,406","2,324","1,767","3,944","4,803","3,007","2,240","2,024",550
2020,1,40,"47,842","2,869","2,262","1,714","1,639","4,089","3,115","3,657","2,680","2,473","2,143","4,503","6,909","4,347","1,792","2,816",834
2020,1,50,"57,155","3,585","2,462","2,376","2,087","5,106","3,823","4,317","3,371","3,007","2,027","4,916","7,250","5,685","1,850","3,919","1,374"
2020,1,60,"49,036","3,374","2,540","2,521","2,141","4,561","3,184","3,357","2,957","2,260","1,675","4,031","5,501","4,444","1,483","3,640","1,367"
2020,1,70,"25,351","2,013","1,456","1,415","1,206","2,235","1,551","1,701","1,554",925,910,"1,796","2,769","2,192",629,"1,928","1,071"
2020,1,80,"9,183",837,475,529,423,788,576,569,522,342,286,519,"1,103",910,196,656,452
2020,1,90,"1,260",116,67,75,52,88,75,58,81,47,29,68,158,143,44,90,69
2020,1,100,161,25,9,14,8,12,10,4,22,2,2,3,11,6,5,13,15
2020,2,총,"319,542","20,589","14,764","13,280","11,730","28,160","22,242","25,927","18,073","16,247","12,138","28,079","40,741","28,816","11,792","20,130","6,834"
2020,2,0,"21,639","1,198",998,620,585,"1,810","1,327","1,578","1,166","1,195","1,108","2,169","3,422","1,885","1,363","1,050",165
2020,2,10,"26,812","1,657","1,164",790,857,"2,505","1,780","2,288","1,241","1,380","1,028","2,517","4,185","2,649",886,"1,569",316
2020,2,20,"41,297","2,435","1,642","1,570","1,485","3,676","3,753","4,945","2,066","2,270","1,204","3,617","4,656","3,569","1,338","2,440",631
2020,2,30,"39,672","2,444","1,677","1,653","1,254","3,335","3,030","3,424","2,394","2,319","1,733","3,921","4,762","2,972","2,194","2,020",540
2020,2,40,"47,756","2,857","2,260","1,725","1,639","4,082","3,129","3,661","2,668","2,474","2,139","4,481","6,875","4,320","1,804","2,799",843
2020,2,50,"56,924","3,587","2,450","2,344","2,068","5,066","3,805","4,293","3,370","2,998","2,021","4,907","7,244","5,681","1,843","3,901","1,346"
2020,2,60,"49,305","3,398","2,550","2,529","2,140","4,556","3,196","3,381","2,976","2,284","1,682","4,065","5,548","4,467","1,486","3,660","1,387"
2020,2,70,"25,441","2,025","1,466","1,417","1,218","2,232","1,568","1,716","1,564",930,906,"1,802","2,769","2,192",636,"1,931","1,069"
2020,2,80,"9,263",842,480,540,423,801,574,577,523,347,285,528,"1,106",927,196,660,454
2020,2,90,"1,272",121,68,78,53,85,70,60,83,48,30,69,163,147,41,88,68
2020,2,100,161,25,9,14,8,12,10,4,22,2,2,3,11,7,5,12,15
2020,3,총,"318,866","20,563","14,773","13,245","11,676","28,062","22,200","25,893","18,046","16,267","12,013","28,070","40,660","28,794","11,768","20,067","6,769"
2020,3,0,"21,498","1,189",990,614,580,"1,792","1,314","1,563","1,164","1,194","1,100","2,154","3,390","1,890","1,363","1,043",158
2020,3,10,"26,595","1,648","1,166",790,845,"2,471","1,770","2,254","1,235","1,373","1,020","2,512","4,151","2,631",870,"1,553",306
2020,3,20,"41,262","2,425","1,633","1,581","1,480","3,687","3,749","4,981","2,059","2,286","1,190","3,606","4,651","3,541","1,340","2,433",620
2020,3,30,"39,361","2,444","1,677","1,629","1,236","3,316","3,016","3,388","2,383","2,294","1,710","3,898","4,723","2,950","2,167","2,003",527
2020,3,40,"47,515","2,854","2,234","1,701","1,623","4,047","3,105","3,648","2,664","2,467","2,142","4,469","6,833","4,305","1,805","2,784",834
2020,3,50,"56,674","3,574","2,453","2,338","2,048","5,041","3,800","4,285","3,355","2,980","1,954","4,898","7,264","5,641","1,835","3,879","1,329"
2020,3,60,"49,610","3,413","2,572","2,531","2,153","4,562","3,222","3,398","2,974","2,332","1,683","4,105","5,574","4,540","1,500","3,671","1,380"
2020,3,70,"25,596","2,024","1,487","1,427","1,228","2,244","1,569","1,730","1,574",944,894,"1,821","2,792","2,210",643,"1,933","1,076"
2020,3,80,"9,319",848,486,543,426,806,573,581,534,342,287,532,"1,106",931,199,667,458
2020,3,90,"1,274",119,66,77,49,84,72,61,82,53,31,72,165,147,41,89,66
2020,3,100,162,25,9,14,8,12,10,4,22,2,2,3,11,8,5,12,15
2020,4,총,"318,196","20,506","14,706","13,221","11,645","27,961","22,214","25,862","18,051","16,259","11,848","28,025","40,641","28,758","11,781","19,992","6,726"
2020,4,0,"21,330","1,184",971,604,578,"1,774","1,311","1,557","1,173","1,176","1,081","2,129","3,358","1,874","1,365","1,041",154
2020,4,10,"26,505","1,637","1,171",790,842,"2,439","1,781","2,229","1,228","1,381","1,004","2,508","4,151","2,643",858,"1,543",300
2020,4,20,"41,169","2,419","1,624","1,572","1,480","3,684","3,746","4,968","2,058","2,286","1,176","3,591","4,662","3,530","1,341","2,421",611
2020,4,30,"39,097","2,432","1,650","1,613","1,237","3,283","2,987","3,397","2,384","2,294","1,683","3,866","4,687","2,916","2,158","1,989",521
2020,4,40,"47,303","2,828","2,231","1,703","1,612","4,032","3,099","3,629","2,653","2,447","2,114","4,455","6,828","4,291","1,808","2,746",827
2020,4,50,"56,553","3,575","2,435","2,320","2,033","5,028","3,814","4,283","3,340","2,988","1,916","4,908","7,275","5,616","1,832","3,874","1,316"
2020,4,60,"49,707","3,400","2,550","2,547","2,143","4,579","3,231","3,409","2,996","2,345","1,668","4,125","5,571","4,579","1,520","3,669","1,375"
2020,4,70,"25,718","2,034","1,512","1,432","1,235","2,237","1,586","1,739","1,585",942,891,"1,833","2,818","2,216",650,"1,933","1,075"
2020,4,80,"9,373",849,487,549,427,810,578,586,531,344,283,536,"1,113",938,202,674,466
2020,4,90,"1,279",123,66,77,50,83,71,61,81,54,30,71,167,148,42,89,66
2020,4,100,162,25,9,14,8,12,10,4,22,2,2,3,11,7,5,13,15
2020,5,총,"317,747","20,459","14,663","13,189","11,638","27,907","22,204","25,883","18,012","16,287","11,743","28,020","40,609","28,728","11,770","19,928","6,707"
2020,5,0,"21,223","1,188",962,609,573,"1,753","1,305","1,553","1,160","1,176","1,073","2,114","3,351","1,867","1,355","1,030",154
2020,5,10,"26,391","1,617","1,158",785,844,"2,434","1,781","2,214","1,229","1,373",997,"2,500","4,136","2,628",857,"1,541",297
2020,5,20,"41,069","2,399","1,632","1,558","1,481","3,678","3,735","4,989","2,052","2,292","1,157","3,584","4,659","3,518","1,331","2,394",610
2020,5,30,"38,949","2,432","1,642","1,618","1,224","3,266","2,993","3,399","2,344","2,306","1,669","3,854","4,664","2,912","2,147","1,971",508
2020,5,40,"47,219","2,825","2,222","1,703","1,625","4,010","3,106","3,622","2,654","2,443","2,103","4,450","6,816","4,271","1,804","2,739",826
2020,5,50,"56,417","3,553","2,424","2,294","2,033","5,015","3,800","4,273","3,345","2,992","1,889","4,909","7,268","5,603","1,840","3,866","1,313"
2020,5,60,"49,794","3,413","2,551","2,537","2,135","4,594","3,232","3,418","2,991","2,359","1,648","4,134","5,594","4,612","1,528","3,671","1,377"
2020,5,70,"25,832","2,033","1,514","1,445","1,234","2,247","1,587","1,756","1,595",945,892,"1,859","2,832","2,227",654,"1,937","1,075"
2020,5,80,"9,402",846,483,550,429,816,585,592,538,346,284,541,"1,111",931,207,677,466
2020,5,90,"1,286",126,66,76,52,83,70,63,82,53,29,71,167,152,42,88,66
2020,5,100,165,27,9,14,8,11,10,4,22,2,2,4,11,7,5,14,15
2020,6,총,"317,258","20,388","14,614","13,228","11,577","27,822","22,182","25,827","17,978","16,322","11,638","28,132","40,506","28,707","11,782","19,863","6,692"
2020,6,0,"21,150","1,173",953,610,566,"1,755","1,301","1,543","1,162","1,187","1,059","2,120","3,336","1,847","1,357","1,030",151
2020,6,10,"26,253","1,614","1,154",779,831,"2,426","1,767","2,180","1,222","1,374",996,"2,502","4,121","2,622",855,"1,518",292
2020,6,20,"40,911","2,381","1,627","1,549","1,470","3,625","3,726","4,990","2,031","2,289","1,142","3,605","4,635","3,517","1,341","2,377",606
2020,6,30,"38,803","2,408","1,630","1,624","1,205","3,261","2,996","3,376","2,336","2,305","1,649","3,861","4,658","2,895","2,132","1,962",505
2020,6,40,"47,142","2,830","2,204","1,707","1,620","4,014","3,093","3,611","2,650","2,459","2,090","4,474","6,765","4,273","1,810","2,720",822
2020,6,50,"56,118","3,519","2,419","2,287","2,025","4,977","3,772","4,264","3,314","2,983","1,860","4,908","7,231","5,571","1,841","3,836","1,311"
2020,6,60,"50,064","3,432","2,547","2,559","2,127","4,595","3,260","3,440","3,018","2,368","1,643","4,187","5,631","4,655","1,535","3,691","1,376"
2020,6,70,"25,921","2,032","1,518","1,470","1,238","2,258","1,600","1,760","1,597",957,887,"1,857","2,836","2,228",659,"1,948","1,076"
2020,6,80,"9,430",842,484,556,431,816,586,593,544,342,285,542,"1,119",937,204,678,471
2020,6,90,"1,301",129,69,73,57,84,71,66,82,56,25,72,163,155,43,89,67
2020,6,100,165,28,9,14,7,11,10,4,22,2,2,4,11,7,5,14,15
2020,7,총,"316,705","20,393","14,561","13,196","11,523","27,805","22,172","25,813","17,933","16,321","11,546","28,236","40,417","28,595","11,774","19,767","6,653"
2020,7,0,"21,035","1,170",955,601,565,"1,756","1,301","1,526","1,160","1,186","1,049","2,108","3,310","1,827","1,348","1,020",153
2020,7,10,"26,165","1,611","1,140",784,807,"2,433","1,763","2,173","1,204","1,371",995,"2,506","4,118","2,607",856,"1,509",288
2020,7,20,"40,741","2,389","1,619","1,534","1,460","3,605","3,702","4,996","2,023","2,296","1,110","3,629","4,605","3,478","1,333","2,363",599
2020,7,30,"38,596","2,404","1,612","1,624","1,186","3,243","3,017","3,361","2,310","2,299","1,637","3,864","4,608","2,873","2,121","1,940",497
2020,7,40,"47,027","2,815","2,211","1,692","1,616","4,010","3,079","3,595","2,648","2,456","2,080","4,502","6,756","4,236","1,813","2,701",817
2020,7,50,"55,982","3,524","2,402","2,276","2,013","4,973","3,761","4,265","3,305","2,976","1,837","4,918","7,206","5,569","1,840","3,813","1,304"
2020,7,60,"50,195","3,435","2,540","2,568","2,141","4,595","3,269","3,464","3,024","2,377","1,637","4,210","5,666","4,664","1,543","3,696","1,366"
2020,7,70,"26,034","2,040","1,513","1,473","1,241","2,275","1,610","1,762","1,608",960,892,"1,882","2,853","2,234",665,"1,946","1,080"
2020,7,80,"9,460",847,492,559,432,819,590,599,544,341,282,540,"1,121",943,206,676,469
2020,7,90,"1,305",130,68,71,55,86,70,68,85,57,25,73,163,157,43,89,65
2020,7,100,165,28,9,14,7,10,10,4,22,2,2,4,11,7,6,14,15
2020,8,총,"315,748","20,332","14,575","13,166","11,482","27,654","22,092","25,743","17,855","16,273","11,508","28,238","40,299","28,481","11,758","19,702","6,590"
2020,8,0,"20,823","1,157",950,595,558,"1,746","1,290","1,504","1,151","1,175","1,037","2,093","3,277","1,792","1,343","1,007",148
2020,8,10,"25,959","1,617","1,142",783,798,"2,405","1,733","2,131","1,205","1,355",992,"2,498","4,084","2,599",849,"1,490",278
2020,8,20,"40,529","2,358","1,601","1,519","1,453","3,558","3,680","5,045","2,000","2,273","1,108","3,616","4,595","3,440","1,337","2,352",594
2020,8,30,"38,312","2,395","1,610","1,616","1,192","3,210","3,002","3,307","2,263","2,298","1,620","3,848","4,571","2,853","2,103","1,936",488
2020,8,40,"46,825","2,805","2,219","1,690","1,593","3,999","3,062","3,571","2,650","2,451","2,070","4,508","6,690","4,219","1,812","2,683",803
2020,8,50,"55,790","3,495","2,409","2,267","2,007","4,933","3,748","4,254","3,282","2,964","1,832","4,932","7,212","5,534","1,847","3,781","1,293"
2020,8,60,"50,460","3,462","2,545","2,572","2,142","4,614","3,291","3,497","3,048","2,391","1,647","4,227","5,701","4,693","1,554","3,714","1,362"
2020,8,70,"26,071","2,041","1,519","1,480","1,242","2,267","1,612","1,762","1,608",965,893,"1,903","2,856","2,240",659,"1,953","1,071"
2020,8,80,"9,508",842,502,558,435,823,592,603,542,341,281,537,"1,141",947,207,684,473
2020,8,90,"1,308",132,69,73,55,89,72,65,84,58,26,72,161,157,41,89,65
2020,8,100,163,28,9,13,7,10,10,4,22,2,2,4,11,7,6,13,15
2020,9,총,"314,728","20,299","14,519","13,118","11,449","27,500","22,038","25,649","17,806","16,212","11,456","28,199","40,166","28,391","11,736","19,659","6,531"
2020,9,0,"20,627","1,153",949,579,552,"1,730","1,284","1,480","1,149","1,161","1,020","2,069","3,238","1,794","1,327",999,143
2020,9,10,"25,807","1,618","1,141",785,795,"2,380","1,728","2,089","1,193","1,353",988,"2,495","4,052","2,576",855,"1,484",275
2020,9,20,"40,355","2,349","1,590","1,495","1,446","3,542","3,667","5,074","1,991","2,234","1,101","3,597","4,601","3,417","1,342","2,331",578
2020,9,30,"37,959","2,374","1,593","1,609","1,178","3,162","2,968","3,260","2,248","2,279","1,607","3,834","4,522","2,830","2,083","1,930",482
2020,9,40,"46,614","2,789","2,211","1,675","1,583","3,966","3,064","3,566","2,645","2,446","2,053","4,506","6,640","4,178","1,819","2,679",794
2020,9,50,"55,523","3,476","2,379","2,250","2,003","4,895","3,725","4,221","3,254","2,962","1,819","4,917","7,217","5,519","1,843","3,768","1,275"
2020,9,60,"50,707","3,495","2,557","2,598","2,157","4,628","3,304","3,510","3,067","2,399","1,663","4,256","5,708","4,705","1,555","3,740","1,365"
