년도,월,나이,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020,2,총,"1,039,842","320,449","127,855","192,594","52,937","49,812","151,260","84,165","59,223","21,437","78,442","25,804","33,579","26,590","15,532","50,406","39,312","30,894"
2020,2,0,"87,645","31,314","10,505","20,809","2,955","3,209","16,765","7,726","3,693","1,980","8,005","1,346","1,453","1,221",655,"3,849","1,868","1,606"
2020,2,10,"99,311","33,527","12,935","20,592","4,169","4,111","16,666","8,246","4,923","3,114","7,473","2,103","2,385","1,765","1,011","4,786","2,853","2,179"
2020,2,20,"109,715","45,334","16,601","28,733","5,239","4,093","16,108","7,894","5,219","2,157","6,916","1,760","2,411","1,695","1,222","4,393","3,091","2,183"
2020,2,30,"128,112","49,992","16,376","33,616","4,660","4,529","23,479","10,257","5,371","2,391","10,330","1,925","2,137","1,634",950,"5,218","2,847","2,392"
2020,2,40,"154,044","54,271","21,241","33,030","6,509","6,433","25,237","12,958","7,422","4,367","11,604","2,868","3,430","2,735","1,365","7,017","4,446","3,382"
2020,2,50,"161,356","49,531","21,575","27,956","9,085","8,246","20,937","13,233","9,686","3,368","11,443","4,217","5,454","4,041","2,498","7,743","6,647","5,227"
2020,2,60,"132,806","29,148","14,464","14,684","8,830","8,376","15,138","10,384","9,576","2,105","9,906","4,642","6,305","5,112","2,891","7,192","7,164","6,037"
2020,2,70,"92,146","16,082","8,208","7,874","6,171","6,108","9,779","7,246","7,223","1,076","6,878","3,767","5,197","4,449","2,516","5,484","5,603","4,567"
2020,2,80,"63,689","9,498","5,006","4,492","4,569","3,983","6,135","5,247","5,211",737,"5,037","2,761","4,049","3,324","2,094","4,066","4,140","2,838"
2020,2,90,"10,334","1,633",881,752,703,680,936,918,836,131,797,395,711,581,313,613,623,464
2020,2,100,684,119,63,56,47,44,80,56,63,11,53,20,47,33,17,45,30,19
2020,3,총,"1,039,044","320,708","127,895","192,813","52,821","49,760","151,119","84,086","59,091","21,442","78,283","25,759","33,482","26,542","15,441","50,326","39,294","30,890"
2020,3,0,"87,381","31,278","10,479","20,799","2,951","3,201","16,689","7,676","3,666","1,988","7,956","1,341","1,455","1,208",651,"3,856","1,862","1,603"
2020,3,10,"98,992","33,472","12,920","20,552","4,153","4,079","16,641","8,221","4,885","3,105","7,470","2,117","2,339","1,748",997,"4,752","2,835","2,178"
2020,3,20,"109,463","45,439","16,682","28,757","5,178","4,079","16,056","7,907","5,185","2,152","6,829","1,754","2,386","1,691","1,178","4,373","3,090","2,166"
2020,3,30,"127,451","49,910","16,329","33,581","4,657","4,487","23,274","10,173","5,352","2,397","10,250","1,893","2,116","1,622",926,"5,201","2,820","2,373"
2020,3,40,"153,724","54,177","21,144","33,033","6,479","6,430","25,246","12,960","7,380","4,349","11,596","2,839","3,407","2,715","1,365","6,989","4,426","3,366"
2020,3,50,"161,068","49,575","21,531","28,044","9,047","8,215","20,994","13,167","9,656","3,377","11,411","4,200","5,412","4,036","2,470","7,697","6,601","5,210"
2020,3,60,"133,520","29,439","14,610","14,829","8,836","8,402","15,196","10,478","9,594","2,125","9,942","4,659","6,333","5,110","2,901","7,237","7,211","6,057"
2020,3,70,"92,302","16,083","8,205","7,878","6,194","6,123","9,827","7,254","7,217","1,072","6,911","3,741","5,204","4,449","2,523","5,487","5,634","4,583"
2020,3,80,"64,044","9,584","5,058","4,526","4,581","4,018","6,170","5,266","5,243",733,"5,055","2,790","4,068","3,337","2,098","4,077","4,157","2,867"
2020,3,90,"10,414","1,630",875,755,699,679,944,929,852,134,810,405,713,593,317,615,626,468
2020,3,100,685,121,62,59,46,47,82,55,61,10,53,20,49,33,15,42,32,19
2020,4,총,"1,038,201","320,726","127,852","192,874","52,724","49,715","151,081","84,052","58,993","21,463","78,167","25,717","33,388","26,476","15,378","50,250","39,202","30,869"
2020,4,0,"87,090","31,189","10,418","20,771","2,929","3,183","16,632","7,660","3,668","1,987","7,930","1,328","1,438","1,208",653,"3,823","1,848","1,614"
2020,4,10,"98,756","33,410","12,898","20,512","4,126","4,093","16,631","8,190","4,866","3,099","7,463","2,116","2,317","1,733",984,"4,735","2,822","2,171"
2020,4,20,"109,028","45,419","16,677","28,742","5,150","4,041","16,003","7,895","5,136","2,150","6,780","1,723","2,362","1,680","1,152","4,343","3,058","2,136"
2020,4,30,"127,003","49,817","16,264","33,553","4,605","4,487","23,175","10,137","5,313","2,393","10,197","1,893","2,109","1,602",923,"5,205","2,799","2,348"
2020,4,40,"153,544","54,072","21,088","32,984","6,463","6,403","25,303","12,942","7,376","4,356","11,601","2,817","3,401","2,709","1,358","6,958","4,411","3,374"
2020,4,50,"160,812","49,681","21,537","28,144","9,019","8,172","20,979","13,152","9,615","3,391","11,364","4,198","5,374","4,011","2,438","7,674","6,553","5,191"
2020,4,60,"134,054","29,641","14,723","14,918","8,881","8,423","15,269","10,535","9,623","2,138","9,975","4,668","6,339","5,089","2,909","7,260","7,238","6,066"
2020,4,70,"92,500","16,129","8,226","7,903","6,203","6,146","9,865","7,284","7,212","1,076","6,924","3,749","5,200","4,462","2,516","5,491","5,646","4,597"
2020,4,80,"64,251","9,618","5,078","4,540","4,589","4,037","6,181","5,272","5,265",729,"5,061","2,794","4,078","3,349","2,112","4,111","4,170","2,885"
2020,4,90,"10,472","1,627",879,748,712,684,962,931,855,134,818,410,721,600,317,609,625,467
2020,4,100,691,123,64,59,47,46,81,54,64,10,54,21,49,33,16,41,32,20
2020,5,총,"1,038,085","321,201","127,671","193,530","52,659","49,685","151,049","84,045","58,901","21,424","78,124","25,689","33,340","26,404","15,322","50,282","39,121","30,839"
2020,5,0,"86,860","31,176","10,351","20,825","2,921","3,163","16,580","7,632","3,650","1,984","7,875","1,331","1,429","1,204",654,"3,817","1,832","1,612"
2020,5,10,"98,488","33,329","12,856","20,473","4,099","4,083","16,630","8,178","4,849","3,074","7,462","2,095","2,298","1,713",969,"4,730","2,820","2,159"
2020,5,20,"108,883","45,563","16,649","28,914","5,120","4,013","15,950","7,899","5,094","2,136","6,758","1,720","2,344","1,665","1,143","4,352","3,008","2,118"
2020,5,30,"126,705","49,866","16,182","33,684","4,576","4,476","23,064","10,082","5,283","2,385","10,167","1,895","2,093","1,586",915,"5,201","2,775","2,341"
2020,5,40,"153,375","54,020","21,026","32,994","6,439","6,404","25,305","12,951","7,366","4,349","11,597","2,816","3,374","2,698","1,341","6,961","4,388","3,366"
2020,5,50,"160,787","49,778","21,521","28,257","9,033","8,111","21,014","13,159","9,582","3,396","11,340","4,181","5,374","3,986","2,437","7,653","6,569","5,174"
2020,5,60,"134,503","29,832","14,782","15,050","8,881","8,475","15,325","10,565","9,655","2,149","10,013","4,665","6,349","5,087","2,907","7,285","7,234","6,081"
2020,5,70,"92,866","16,228","8,268","7,960","6,216","6,175","9,938","7,326","7,221","1,078","6,942","3,763","5,225","4,462","2,508","5,508","5,664","4,612"
2020,5,80,"64,405","9,651","5,094","4,557","4,613","4,044","6,187","5,267","5,276",731,"5,091","2,800","4,081","3,365","2,118","4,116","4,172","2,893"
2020,5,90,"10,520","1,636",880,756,714,694,975,932,861,132,825,401,723,605,314,618,627,463
2020,5,100,693,122,62,60,47,47,81,54,64,10,54,22,50,33,16,41,32,20
2020,6,총,"1,038,547","322,284","127,757","194,527","52,602","49,660","150,656","84,062","58,834","21,484","78,069","25,631","33,271","26,380","15,316","50,269","39,146","30,883"
