년도,월,나이,성주군,성주읍,선남면,용암면,수륜면,가천면,금수면,대가면,벽진면,초전면,월항면
2020,5,80,"2,319",462,300,230,272,146,106,153,189,271,190
2020,5,90,346,68,43,32,49,23,15,23,40,25,28
2020,5,100,20,4,4,1,4,1,0,0,2,3,1
2020,6,총,"21,017","6,782","2,805","1,684","1,581",997,568,"1,225","1,523","2,231","1,621"
2020,6,0,963,484,93,61,37,27,13,43,55,89,61
2020,6,10,"1,024",563,80,39,58,23,17,46,39,101,58
2020,6,20,"1,496",659,181,97,71,48,19,82,83,146,110
2020,6,30,"1,530",684,201,94,78,38,17,61,92,151,114
2020,6,40,"1,937",965,176,119,106,55,38,88,83,188,119
2020,6,50,"3,918","1,172",631,334,286,203,97,197,301,399,298
2020,6,60,"4,343","1,027",660,395,351,254,141,285,370,489,371
2020,6,70,"3,110",690,435,281,272,179,106,243,268,366,270
2020,6,80,"2,326",462,301,229,271,146,105,156,191,273,192
2020,6,90,350,72,43,34,47,23,15,24,39,26,27
2020,6,100,20,4,4,1,4,1,0,0,2,3,1
2020,7,총,"20,977","6,775","2,800","1,681","1,579",998,569,"1,215","1,516","2,227","1,617"
2020,7,0,961,482,91,62,37,27,13,42,55,89,63
2020,7,10,"1,018",558,81,39,58,23,16,47,38,101,57
2020,7,20,"1,483",657,179,95,67,49,22,80,83,144,107
2020,7,30,"1,508",676,200,94,77,38,17,60,89,148,109
2020,7,40,"1,926",958,179,119,102,56,38,87,82,188,117
2020,7,50,"3,912","1,183",620,327,291,200,96,197,297,400,301
2020,7,60,"4,331","1,028",662,401,348,250,141,279,370,482,370
2020,7,70,"3,136",695,439,278,279,182,106,245,271,371,270
2020,7,80,"2,327",462,300,230,268,149,105,154,190,275,194
2020,7,90,355,72,45,35,48,23,15,24,39,26,28
2020,7,100,20,4,4,1,4,1,0,0,2,3,1
2020,8,총,"20,903","6,775","2,792","1,677","1,570",992,566,"1,206","1,505","2,211","1,609"
2020,8,0,963,486,88,62,37,27,11,44,56,90,62
