년도,월,나이,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020,3,총,"150,903","12,812","15,115","9,795","8,011","10,545","11,933","14,816","9,883","15,700","11,006","17,766","13,521"
2020,3,0,"9,813",734,"1,044",414,325,504,813,"1,013",476,"1,153",792,"1,008","1,537"
2020,3,10,"13,555","1,131","1,404",673,531,829,"1,317","1,459",710,"1,742",902,"1,467","1,390"
2020,3,20,"21,740","1,786","2,076","1,489","1,227","1,732","2,022","2,083","1,438","2,237","1,566","2,587","1,497"
2020,3,30,"18,906","1,388","1,803","1,184",899,"1,432","1,387","1,884","1,214","1,937","1,397","2,170","2,211"
2020,3,40,"23,904","1,918","2,327","1,343","1,088","1,605","2,146","2,407","1,306","2,821","1,669","2,783","2,491"
2020,3,50,"31,498","2,725","3,196","2,154","1,822","2,501","2,640","3,039","2,185","3,231","2,236","3,706","2,063"
2020,3,60,"17,489","1,748","1,933","1,418","1,222","1,152",839,"1,699","1,452","1,333","1,292","2,002","1,399"
2020,3,70,"8,356",833,852,681,546,436,347,747,702,711,693,"1,216",592
2020,3,80,"4,781",461,427,393,282,297,343,414,331,446,392,704,291
2020,3,90,814,78,49,42,65,55,77,68,65,84,66,116,49
2020,3,100,47,10,4,4,4,2,2,3,4,5,1,7,1
2020,4,총,"150,635","12,763","15,113","9,757","8,159","10,532","11,916","14,762","9,729","15,699","10,995","17,725","13,485"
2020,4,0,"9,738",729,"1,039",420,333,502,811,997,462,"1,140",786,993,"1,526"
2020,4,10,"13,475","1,122","1,398",659,535,821,"1,304","1,452",701,"1,734",908,"1,458","1,383"
2020,4,20,"21,657","1,765","2,055","1,474","1,248","1,730","2,025","2,058","1,423","2,242","1,565","2,572","1,500"
2020,4,30,"18,801","1,375","1,795","1,183",922,"1,429","1,360","1,881","1,178","1,941","1,384","2,171","2,182"
2020,4,40,"23,784","1,903","2,316","1,325","1,097","1,587","2,148","2,392","1,297","2,819","1,656","2,754","2,490"
2020,4,50,"31,497","2,725","3,207","2,146","1,868","2,495","2,650","3,028","2,146","3,220","2,236","3,696","2,080"
2020,4,60,"17,628","1,757","1,955","1,421","1,248","1,177",851,"1,710","1,435","1,347","1,307","2,026","1,394"
2020,4,70,"8,385",835,861,686,552,437,346,749,693,726,694,"1,223",583
2020,4,80,"4,800",462,433,396,285,297,340,425,325,442,389,710,296
2020,4,90,823,80,50,43,67,55,79,67,65,83,69,115,50
2020,4,100,47,10,4,4,4,2,2,3,4,5,1,7,1
2020,5,총,"150,469","12,750","15,068","9,740","8,214","10,511","11,892","14,742","9,685","15,738","10,967","17,684","13,478"
2020,5,0,"9,667",722,"1,032",413,335,505,810,990,459,"1,129",781,990,"1,501"
2020,5,10,"13,382","1,114","1,389",650,529,812,"1,287","1,450",690,"1,729",908,"1,436","1,388"
2020,5,20,"21,623","1,762","2,034","1,479","1,257","1,719","2,026","2,044","1,421","2,256","1,554","2,558","1,513"
2020,5,30,"18,735","1,371","1,790","1,161",943,"1,437","1,351","1,871","1,175","1,953","1,374","2,155","2,154"
2020,5,40,"23,685","1,891","2,302","1,335","1,090","1,566","2,128","2,380","1,286","2,809","1,649","2,744","2,505"
2020,5,50,"31,435","2,712","3,199","2,138","1,873","2,482","2,655","3,034","2,120","3,222","2,227","3,693","2,080"
2020,5,60,"17,811","1,775","1,964","1,430","1,274","1,191",866,"1,723","1,450","1,371","1,323","2,043","1,401"
2020,5,70,"8,403",842,864,686,553,444,342,749,689,728,688,"1,227",591
2020,5,80,"4,841",469,438,401,289,295,342,430,328,452,392,710,295
2020,5,90,836,80,52,43,67,58,83,68,62,83,70,121,49
