년도,월,나이,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020,3,총,"110,189","13,227","2,687","3,156","5,628","5,059","2,629","25,895","4,723","13,491","14,148","19,546"
2020,3,0,"9,710",796,73,197,335,237,101,"2,619",335,983,"1,247","2,787"
2020,3,10,"11,617","1,265",166,196,438,262,137,"3,600",385,"1,347","1,852","1,969"
2020,3,20,"12,283","1,540",293,308,571,454,283,"2,504",682,"1,709","1,779","2,160"
2020,3,30,"13,311","1,138",188,325,519,504,215,"3,056",539,"1,399","1,569","3,859"
2020,3,40,"18,826","1,991",275,328,793,549,279,"5,404",683,"2,177","2,771","3,576"
2020,3,50,"17,565","2,546",528,549,"1,113",899,537,"3,431",854,"2,672","2,229","2,207"
2020,3,60,"13,433","1,984",587,589,919,"1,070",482,"2,689",631,"1,669","1,161","1,652"
2020,3,70,"8,485","1,218",326,360,570,620,363,"1,778",378,"1,012",978,882
2020,3,80,"4,186",640,205,239,319,358,193,696,201,456,502,377
2020,3,90,717,105,43,60,47,101,35,110,25,62,59,70
2020,3,100,56,4,3,5,4,5,4,8,10,5,1,7
2020,4,총,"110,544","13,196","2,678","3,149","5,614","5,048","2,622","25,789","4,695","13,419","14,070","20,264"
2020,4,0,"9,683",781,72,196,329,235,102,"2,589",328,967,"1,236","2,848"
2020,4,10,"11,655","1,272",162,193,438,260,132,"3,571",386,"1,338","1,817","2,086"
2020,4,20,"12,355","1,537",293,310,558,447,283,"2,520",671,"1,695","1,790","2,251"
2020,4,30,"13,312","1,124",190,326,521,505,212,"3,013",532,"1,381","1,559","3,949"
2020,4,40,"18,884","1,985",274,324,781,544,276,"5,376",680,"2,174","2,718","3,752"
2020,4,50,"17,621","2,529",530,545,"1,119",894,537,"3,426",846,"2,661","2,226","2,308"
2020,4,60,"13,541","1,998",583,591,927,"1,074",483,"2,701",633,"1,670","1,172","1,709"
2020,4,70,"8,523","1,218",327,362,574,622,366,"1,775",381,"1,014",982,902
2020,4,80,"4,198",640,205,237,316,362,193,701,203,449,508,384
2020,4,90,715,107,39,60,47,100,34,110,25,64,61,68
2020,4,100,57,5,3,5,4,5,4,7,10,6,1,7
2020,5,총,"110,833","13,184","2,674","3,133","5,618","5,062","2,620","25,711","4,677","13,440","14,074","20,640"
2020,5,0,"9,662",779,72,196,335,236,103,"2,558",323,966,"1,214","2,880"
2020,5,10,"11,661","1,274",155,195,436,259,127,"3,551",387,"1,329","1,810","2,138"
2020,5,20,"12,411","1,524",295,308,559,450,279,"2,529",666,"1,705","1,803","2,293"
2020,5,30,"13,313","1,124",190,325,527,502,217,"2,963",536,"1,376","1,545","4,008"
2020,5,40,"18,857","1,982",270,316,768,541,270,"5,344",673,"2,168","2,706","3,819"
2020,5,50,"17,724","2,513",534,539,"1,126",887,535,"3,447",839,"2,675","2,242","2,387"
2020,5,60,"13,632","2,012",582,592,934,"1,085",485,"2,709",632,"1,679","1,181","1,741"
2020,5,70,"8,581","1,219",326,364,569,637,369,"1,780",383,"1,017","1,000",917
2020,5,80,"4,216",643,208,234,315,361,197,710,203,454,510,381
2020,5,90,720,109,39,59,45,100,34,113,25,65,62,69
2020,5,100,56,5,3,5,4,4,4,7,10,6,1,7
2020,6,총,"111,258","13,178","2,658","3,121","5,583","5,052","2,620","25,669","4,660","13,396","14,006","21,315"
2020,6,0,"9,680",769,72,198,330,236,102,"2,534",323,957,"1,196","2,963"
2020,6,10,"11,681","1,263",155,189,423,253,126,"3,543",380,"1,328","1,802","2,219"
2020,6,20,"12,479","1,523",289,303,559,449,281,"2,554",668,"1,686","1,795","2,372"
2020,6,30,"13,341","1,111",186,319,519,496,214,"2,948",529,"1,372","1,528","4,119"
2020,6,40,"18,915","1,968",264,316,755,540,270,"5,318",670,"2,156","2,681","3,977"
2020,6,50,"17,759","2,516",536,532,"1,131",887,530,"3,441",827,"2,664","2,228","2,467"
2020,6,60,"13,741","2,028",580,606,929,"1,087",493,"2,711",637,"1,680","1,195","1,795"
2020,6,70,"8,634","1,233",326,360,569,644,367,"1,787",389,"1,027","1,002",930
2020,6,80,"4,242",647,208,235,316,356,200,713,201,452,519,395
2020,6,90,730,115,39,58,47,101,33,113,26,67,59,72
2020,6,100,56,5,3,5,5,3,4,7,10,7,1,6
2020,7,총,"112,277","13,112","2,638","3,138","5,550","5,054","2,605","25,603","4,642","13,353","13,916","22,666"
2020,7,0,"9,841",757,69,203,321,236,101,"2,511",318,955,"1,171","3,199"
2020,7,10,"11,752","1,251",154,197,423,250,127,"3,528",372,"1,320","1,781","2,349"
2020,7,20,"12,561","1,512",289,300,555,441,274,"2,565",668,"1,674","1,767","2,516"
2020,7,30,"13,550","1,098",180,316,511,494,212,"2,939",527,"1,354","1,524","4,395"
2020,7,40,"19,034","1,945",268,319,751,541,267,"5,282",662,"2,144","2,636","4,219"
