년도,월,나이,당진시,합덕읍,송악읍,고대면,석문면,대호지면,정미면,면천면,순성면,우강면,신평면,송산면,당진1동,당진2동,당진3동
2020,1,총,"78,616","4,427","13,653","2,731","4,122","1,230","1,842","1,749","2,551","2,610","7,920","5,271","11,289","10,120","9,101"
2020,1,0,"8,079",166,"2,023",96,223,27,57,58,93,111,831,668,"1,319","1,249","1,158"
2020,1,10,"7,516",267,"1,174",154,238,45,100,89,153,162,892,498,"1,217","1,203","1,324"
2020,1,20,"6,990",307,"1,126",165,345,63,129,110,171,177,638,414,"1,444",973,928
2020,1,30,"10,395",312,"2,559",148,381,48,108,92,128,148,918,786,"1,876","1,525","1,366"
2020,1,40,"11,585",453,"2,025",247,442,88,146,145,237,260,"1,207",742,"1,904","1,803","1,886"
2020,1,50,"11,489",726,"1,770",432,778,192,299,333,446,422,"1,170",719,"1,562","1,449","1,191"
2020,1,60,"9,852",935,"1,431",581,748,299,391,373,522,511,"1,004",582,972,921,582
2020,1,70,"6,868",685,828,441,534,239,315,268,396,456,692,466,626,554,368
2020,1,80,"5,012",483,627,401,377,202,244,245,341,314,489,342,320,377,250
2020,1,90,778,79,83,63,53,25,52,36,60,49,73,52,48,58,47
2020,1,100,52,14,7,3,3,2,1,0,4,0,6,2,1,8,1
2020,2,총,"78,442","4,413","13,621","2,726","4,102","1,229","1,843","1,755","2,556","2,604","7,914","5,258","11,251","10,074","9,096"
2020,2,0,"8,005",164,"2,013",95,221,25,59,57,92,113,825,661,"1,298","1,236","1,146"
2020,2,10,"7,473",263,"1,172",150,238,44,102,87,154,159,886,497,"1,213","1,182","1,326"
2020,2,20,"6,916",302,"1,104",163,342,62,122,113,170,179,639,407,"1,433",965,915
2020,2,30,"10,330",309,"2,562",147,371,51,107,94,128,143,905,783,"1,849","1,519","1,362"
2020,2,40,"11,604",451,"2,024",248,440,90,148,145,240,258,"1,222",736,"1,922","1,795","1,885"
2020,2,50,"11,443",718,"1,770",425,770,189,290,329,446,418,"1,154",719,"1,560","1,444","1,211"
2020,2,60,"9,906",940,"1,434",586,749,302,401,373,523,513,"1,016",586,977,920,586
2020,2,70,"6,878",688,821,442,532,238,317,273,396,452,697,465,630,562,365
2020,2,80,"5,037",484,632,402,383,201,245,243,342,320,485,348,317,384,251
2020,2,90,797,81,82,65,53,25,50,41,61,48,79,54,51,58,49
2020,2,100,53,13,7,3,3,2,2,0,4,1,6,2,1,9,0
2020,3,총,"78,283","4,397","13,592","2,723","4,103","1,221","1,835","1,755","2,555","2,595","7,873","5,243","11,222","10,088","9,081"
2020,3,0,"7,956",162,"2,003",96,226,27,58,58,93,113,822,654,"1,284","1,226","1,134"
2020,3,10,"7,470",263,"1,171",147,236,43,102,88,155,157,877,501,"1,209","1,198","1,323"
2020,3,20,"6,829",294,"1,077",161,336,62,119,110,168,170,630,395,"1,420",963,924
2020,3,30,"10,250",306,"2,549",148,367,49,107,95,127,141,891,781,"1,831","1,512","1,346"
2020,3,40,"11,596",449,"2,035",246,432,88,144,145,236,256,"1,214",731,"1,934","1,798","1,888"
2020,3,50,"11,411",706,"1,776",421,777,187,290,322,446,415,"1,159",712,"1,549","1,434","1,217"
2020,3,60,"9,942",943,"1,434",588,751,297,399,379,526,516,"1,010",595,988,934,582
2020,3,70,"6,911",694,825,443,532,243,317,271,394,457,698,466,633,568,370
2020,3,80,"5,055",484,631,402,385,200,245,243,347,318,487,353,322,389,249
2020,3,90,810,83,84,68,58,23,52,44,59,51,79,53,51,57,48
2020,3,100,53,13,7,3,3,2,2,0,4,1,6,2,1,9,0
2020,4,총,"78,167","4,386","13,577","2,717","4,100","1,212","1,823","1,748","2,546","2,574","7,837","5,229","11,215","10,111","9,092"
2020,4,0,"7,930",158,"2,005",98,227,26,60,57,94,107,820,650,"1,281","1,223","1,124"
2020,4,10,"7,463",259,"1,172",146,236,44,96,90,157,159,874,503,"1,205","1,205","1,317"
2020,4,20,"6,780",291,"1,059",164,332,58,117,109,162,170,620,386,"1,418",961,933
2020,4,30,"10,197",304,"2,542",149,362,47,104,96,126,138,878,765,"1,828","1,519","1,339"
2020,4,40,"11,601",445,"2,044",240,433,87,143,143,237,251,"1,211",739,"1,934","1,800","1,894"
2020,4,50,"11,364",702,"1,773",414,773,184,289,314,439,412,"1,150",714,"1,541","1,431","1,228"
2020,4,60,"9,975",948,"1,438",593,758,298,399,384,529,513,"1,001",594,991,941,588
2020,4,70,"6,924",698,824,439,534,241,311,269,392,457,707,470,642,573,367
2020,4,80,"5,061",484,629,401,386,202,248,242,346,317,490,351,321,390,254
2020,4,90,818,84,84,70,56,23,54,44,60,49,80,54,53,59,48
2020,4,100,54,13,7,3,3,2,2,0,4,1,6,3,1,9,0
2020,5,총,"78,124","4,385","13,579","2,719","4,077","1,216","1,818","1,748","2,547","2,567","7,825","5,242","11,210","10,122","9,069"
2020,5,0,"7,875",159,"1,993",99,226,25,61,56,94,107,810,644,"1,270","1,214","1,117"
2020,5,10,"7,462",256,"1,184",139,233,43,93,89,158,157,871,507,"1,202","1,215","1,315"
2020,5,20,"6,758",295,"1,046",165,320,57,122,109,158,170,620,380,"1,422",960,934
2020,5,30,"10,167",306,"2,527",147,359,49,102,99,130,138,875,767,"1,832","1,518","1,318"
2020,5,40,"11,597",442,"2,056",240,433,86,139,143,235,248,"1,210",745,"1,923","1,799","1,898"
2020,5,50,"11,340",693,"1,766",416,764,184,287,310,435,415,"1,143",718,"1,544","1,437","1,228"
2020,5,60,"10,013",951,"1,455",593,757,299,400,389,524,509,"1,013",600,988,943,592
2020,5,70,"6,942",699,822,446,538,245,309,269,396,450,704,476,652,569,367
2020,5,80,"5,091",488,637,399,387,203,249,240,351,323,494,348,321,399,252
2020,5,90,825,83,86,72,57,23,54,44,62,49,79,54,55,59,48
2020,5,100,54,13,7,3,3,2,2,0,4,1,6,3,1,9,0
2020,6,총,"78,069","4,371","13,562","2,718","4,048","1,225","1,824","1,753","2,548","2,564","7,839","5,232","11,156","10,153","9,076"
2020,6,0,"7,840",158,"1,991",97,227,25,61,54,95,107,804,633,"1,258","1,219","1,111"
2020,6,10,"7,462",251,"1,185",140,231,43,94,92,159,158,879,512,"1,189","1,214","1,315"
2020,6,20,"6,725",288,"1,028",162,306,57,122,110,158,170,629,373,"1,420",967,935
2020,6,30,"10,113",305,"2,523",149,358,50,100,97,130,133,868,759,"1,810","1,512","1,319"
2020,6,40,"11,626",445,"2,046",237,432,87,140,144,236,251,"1,214",749,"1,925","1,820","1,900"
2020,6,50,"11,323",686,"1,771",413,748,184,290,312,432,412,"1,148",725,"1,540","1,434","1,228"
2020,6,60,"10,052",951,"1,456",597,763,307,395,392,525,511,"1,011",602,987,953,602
2020,6,70,"6,949",700,827,445,536,244,317,267,395,448,707,478,652,568,365
2020,6,80,"5,097",489,642,400,388,201,249,239,352,325,493,345,319,401,254
2020,6,90,827,85,86,75,56,25,54,46,62,48,80,52,55,56,47
2020,6,100,55,13,7,3,3,2,2,0,4,1,6,4,1,9,0
2020,7,총,"78,050","4,361","13,579","2,720","4,031","1,224","1,825","1,750","2,541","2,559","7,818","5,242","11,128","10,221","9,051"
2020,7,0,"7,816",157,"1,994",97,226,26,62,52,96,105,800,634,"1,246","1,217","1,104"
2020,7,10,"7,450",252,"1,188",146,227,43,92,91,154,156,873,517,"1,179","1,220","1,312"
2020,7,20,"6,691",277,"1,029",162,303,57,119,108,157,165,622,381,"1,406",975,930
2020,7,30,"10,067",299,"2,514",150,356,50,100,93,129,133,861,753,"1,813","1,514","1,302"
2020,7,40,"11,629",446,"2,048",235,430,87,142,142,232,250,"1,218",750,"1,915","1,843","1,891"
2020,7,50,"11,333",682,"1,762",414,742,184,292,315,430,412,"1,145",728,"1,550","1,441","1,236"
2020,7,60,"10,094",954,"1,470",595,765,305,396,394,525,515,"1,011",602,989,969,604
2020,7,70,"6,988",707,836,449,535,244,317,268,399,448,711,476,652,577,369
2020,7,80,"5,105",490,642,393,390,201,250,241,354,325,494,346,322,401,256
2020,7,90,823,84,89,76,54,25,53,46,60,49,78,51,56,55,47
2020,7,100,54,13,7,3,3,2,2,0,5,1,5,4,0,9,0
2020,8,총,"78,018","4,342","13,558","2,711","4,030","1,231","1,820","1,752","2,538","2,560","7,800","5,217","11,134","10,303","9,022"
2020,8,0,"7,790",153,"1,986",98,226,26,61,51,99,106,788,621,"1,251","1,230","1,094"
2020,8,10,"7,441",253,"1,190",146,229,44,92,92,149,156,877,515,"1,162","1,229","1,307"
2020,8,20,"6,676",273,"1,024",160,306,56,116,108,160,165,613,371,"1,409",993,922
2020,8,30,"10,003",293,"2,487",149,351,51,101,93,128,134,856,742,"1,798","1,528","1,292"
2020,8,40,"11,629",444,"2,058",235,430,85,141,140,230,249,"1,212",751,"1,909","1,850","1,895"
2020,8,50,"11,347",672,"1,757",408,735,184,287,314,432,407,"1,151",735,"1,574","1,453","1,238"
2020,8,60,"10,111",954,"1,468",589,768,307,402,398,524,515,"1,010",604,996,973,603
2020,8,70,"7,034",712,849,452,535,251,319,271,400,453,713,479,654,576,370
2020,8,80,"5,104",493,643,394,391,198,247,239,349,325,495,343,326,405,256
2020,8,90,829,82,89,77,56,27,52,46,62,49,80,52,55,57,45
2020,8,100,54,13,7,3,3,2,2,0,5,1,5,4,0,9,0
2020,9,총,"77,982","4,350","13,536","2,702","4,029","1,225","1,818","1,759","2,547","2,561","7,786","5,222","11,116","10,321","9,010"
2020,9,0,"7,745",155,"1,972",98,220,26,59,52,98,102,787,624,"1,236","1,229","1,087"
2020,9,10,"7,440",253,"1,188",139,227,43,91,94,148,154,872,516,"1,171","1,237","1,307"
2020,9,20,"6,656",277,"1,016",161,307,57,112,106,162,168,604,368,"1,415",984,919
2020,9,30,"9,926",288,"2,471",146,350,50,99,95,132,132,848,735,"1,783","1,527","1,270"
2020,9,40,"11,630",443,"2,055",232,435,81,143,141,226,250,"1,211",758,"1,910","1,853","1,892"
