년도,월,나이,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020,1,총,"202,547","7,176","6,928","8,545","7,986","8,996","3,657","23,738","16,327","9,999","12,047","13,217","9,837","9,079","4,462","7,404","9,031","11,560","6,838","11,219","8,079","6,422"
2020,1,0,"14,223",585,518,552,336,659,155,"2,225","1,212",662,892,"1,118",677,516,263,347,466,"1,065",340,710,527,398
2020,1,10,"15,937",463,411,642,482,633,197,"2,373","1,732",926,855,999,456,588,350,472,655,912,507,"1,000",670,614
2020,1,20,"26,903",891,"1,023","1,044","1,328","1,399",363,"2,963","2,012","1,180","1,687","1,690","2,118","1,058",488,794,"1,279","1,402",780,"1,428","1,113",863
2020,1,30,"26,803","1,014","1,041","1,047",810,"1,354",361,"3,298","1,790","1,155","1,833","1,967","1,964","1,058",478,773,"1,112","1,870",705,"1,309","1,002",862
2020,1,40,"30,625",963,950,"1,259",924,"1,311",426,"4,161","2,941","1,606","1,712","1,894","1,382","1,226",675,929,"1,277","1,861",967,"1,774","1,146","1,241"
2020,1,50,"34,182","1,161","1,112","1,405","1,346","1,352",612,"3,895","2,872","1,760","1,919","2,213","1,527","1,564",766,"1,284","1,614","1,761","1,282","2,147","1,560","1,030"
2020,1,60,"27,679","1,021",888,"1,260","1,310","1,192",726,"2,596","1,998","1,349","1,583","1,758",983,"1,542",711,"1,396","1,325","1,457","1,142","1,535","1,145",762
2020,1,70,"16,759",681,560,837,959,719,526,"1,419","1,176",827,"1,006","1,025",473,982,498,927,793,754,726,876,568,427
2020,1,80,"7,882",345,329,438,399,309,238,686,506,438,459,467,212,456,205,394,429,395,318,383,295,181
2020,1,90,"1,425",48,82,55,80,61,44,119,84,90,94,80,44,79,25,80,75,76,65,54,47,43
2020,1,100,129,4,14,6,12,7,9,3,4,6,7,6,1,10,3,8,6,7,6,3,6,1
2020,2,총,"202,081","7,181","6,920","8,515","7,987","8,993","3,639","23,725","16,246","9,941","12,024","13,235","9,900","9,033","4,429","7,344","8,998","11,528","6,847","11,146","8,033","6,417"
2020,2,0,"14,071",583,515,541,331,660,152,"2,199","1,199",656,872,"1,117",677,508,259,336,462,"1,065",341,692,513,393
2020,2,10,"15,868",464,410,631,502,628,193,"2,369","1,725",916,848,996,466,573,348,465,646,910,506,999,668,605
2020,2,20,"26,781",884,"1,015","1,038","1,330","1,389",362,"2,960","2,001","1,160","1,671","1,688","2,136","1,055",489,788,"1,275","1,392",777,"1,405","1,092",874
2020,2,30,"26,639","1,019","1,053","1,036",815,"1,356",353,"3,268","1,766","1,142","1,830","1,964","1,966","1,044",467,763,"1,099","1,853",700,"1,285","1,005",855
2020,2,40,"30,507",957,939,"1,261",925,"1,298",424,"4,161","2,910","1,590","1,710","1,901","1,396","1,215",665,921,"1,268","1,860",975,"1,754","1,147","1,230"
2020,2,50,"34,129","1,172","1,114","1,391","1,318","1,358",610,"3,913","2,864","1,765","1,923","2,208","1,534","1,553",760,"1,270","1,616","1,759","1,274","2,143","1,547","1,037"
2020,2,60,"27,820","1,027",877,"1,278","1,315","1,196",725,"2,618","2,013","1,353","1,598","1,773",994,"1,556",707,"1,397","1,320","1,467","1,147","1,543","1,150",766
2020,2,70,"16,781",682,568,830,955,728,528,"1,421","1,173",826,"1,008","1,019",475,981,500,921,798,758,731,881,564,434
2020,2,80,"7,916",339,334,446,401,312,238,693,510,439,465,481,212,457,208,389,429,382,322,387,294,178
2020,2,90,"1,439",50,81,57,83,59,44,121,82,88,92,81,43,81,23,86,79,77,68,53,47,44
2020,2,100,130,4,14,6,12,9,10,2,3,6,7,7,1,10,3,8,6,5,6,4,6,1
2020,3,총,"201,865","7,185","6,924","8,496","7,994","8,985","3,634","23,813","16,171","9,914","11,999","13,227","9,911","8,996","4,420","7,275","8,956","11,541","6,817","11,151","8,015","6,441"
2020,3,0,"13,986",576,515,533,330,659,152,"2,184","1,190",650,878,"1,123",666,518,248,325,453,"1,060",338,692,506,390
2020,3,10,"15,791",467,412,621,510,629,194,"2,354","1,720",905,840,"1,000",456,570,350,458,629,914,496,988,671,607
2020,3,20,"26,828",885,"1,015","1,039","1,346","1,372",353,"3,040","1,980","1,151","1,677","1,684","2,156","1,034",487,782,"1,277","1,401",766,"1,401","1,092",890
2020,3,30,"26,513","1,018","1,056","1,031",803,"1,345",355,"3,269","1,750","1,137","1,807","1,954","1,961","1,049",465,757,"1,094","1,847",698,"1,282","1,002",833
2020,3,40,"30,392",949,938,"1,250",914,"1,292",421,"4,168","2,896","1,572","1,704","1,902","1,389","1,209",670,908,"1,251","1,860",965,"1,756","1,138","1,240"
2020,3,50,"34,003","1,173","1,105","1,397","1,310","1,356",607,"3,907","2,852","1,758","1,920","2,174","1,543","1,534",755,"1,249","1,612","1,758","1,268","2,135","1,539","1,051"
2020,3,60,"27,976","1,042",887,"1,282","1,318","1,212",725,"2,635","2,012","1,365","1,596","1,797","1,004","1,559",706,"1,397","1,330","1,475","1,154","1,565","1,155",760
2020,3,70,"16,813",676,572,830,959,734,530,"1,429","1,171",838,"1,010","1,023",477,974,502,913,787,770,735,879,565,439
2020,3,80,"7,972",345,331,445,408,317,246,703,515,444,471,478,214,453,209,392,437,372,322,393,292,185
2020,3,90,"1,462",50,79,62,84,61,41,122,82,88,89,85,44,86,25,86,80,79,69,56,49,45
2020,3,100,129,4,14,6,12,8,10,2,3,6,7,7,1,10,3,8,6,5,6,4,6,1
2020,4,총,"201,748","7,197","6,970","8,465","7,956","8,983","3,648","23,976","16,141","9,869","11,986","13,193","9,940","8,954","4,409","7,226","8,908","11,556","6,797","11,145","8,001","6,428"
2020,4,0,"13,915",577,523,526,324,654,149,"2,172","1,186",648,875,"1,120",666,514,244,329,443,"1,063",330,689,500,383
2020,4,10,"15,760",465,417,625,507,620,195,"2,367","1,718",902,840,999,454,564,346,451,628,906,490,992,666,608
2020,4,20,"26,857",881,"1,025","1,040","1,335","1,373",354,"3,141","1,980","1,128","1,692","1,672","2,170","1,030",488,780,"1,256","1,397",753,"1,399","1,076",887
2020,4,30,"26,443","1,034","1,065","1,020",787,"1,334",358,"3,297","1,727","1,138","1,786","1,960","1,948","1,047",456,753,"1,088","1,855",692,"1,275",998,825
2020,4,40,"30,331",951,939,"1,243",922,"1,290",420,"4,155","2,903","1,553","1,702","1,900","1,398","1,184",665,905,"1,249","1,861",962,"1,746","1,146","1,237"
2020,4,50,"33,939","1,180","1,116","1,381","1,302","1,365",602,"3,919","2,831","1,754","1,923","2,156","1,552","1,533",754,"1,238","1,605","1,757","1,276","2,133","1,520","1,042"
