년도,월,나이,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020,1,총,"479,457","37,998","40,533","29,178","24,227","29,754","33,588","27,515","25,331","25,374","25,651","47,935","28,227","21,659","15,996","8,820","57,671"
2020,1,0,"31,457","2,700","2,652","1,312","1,142","1,806","2,091","1,352","1,658","2,916","1,118","3,140","1,792","1,294",840,472,"5,172"
2020,1,10,"40,443","2,537","2,892","2,014","1,840","2,610","2,987","1,836","2,466","2,148","1,790","3,820","2,253","1,839","1,336",573,"7,502"
2020,1,20,"65,952","5,108","5,441","4,299","3,853","4,419","4,549","4,569","3,394","2,600","3,594","6,625","3,998","3,029","2,115","1,198","7,161"
2020,1,30,"69,358","6,250","5,703","4,124","3,331","4,246","4,351","4,351","3,732","4,672","3,420","7,192","4,277","2,983","2,160","1,205","7,361"
2020,1,40,"78,154","5,893","6,395","4,273","3,630","4,878","5,332","4,271","4,440","4,768","3,837","7,933","4,407","3,424","2,409","1,178","11,086"
2020,1,50,"77,268","6,035","6,858","5,079","4,136","4,918","5,776","4,274","3,838","3,350","4,357","7,817","4,600","3,611","2,751","1,617","8,251"
2020,1,60,"61,384","4,935","5,365","4,216","3,384","3,643","4,512","3,460","2,986","2,610","3,720","6,024","3,711","3,062","2,356","1,411","5,989"
2020,1,70,"38,279","3,140","3,530","2,715","2,119","2,247","2,741","2,355","1,941","1,592","2,599","3,817","2,253","1,655","1,436",782,"3,357"
2020,1,80,"14,747","1,205","1,479","1,008",669,863,"1,072",913,746,621,"1,070","1,377",828,658,508,331,"1,399"
2020,1,90,"2,012",172,188,125,109,106,158,111,121,80,127,167,96,92,76,48,236
2020,1,100,403,23,30,13,14,18,19,23,9,17,19,23,12,12,9,5,157
2020,2,총,"479,005","37,964","40,426","29,156","24,194","29,694","33,520","27,505","25,331","25,439","25,673","47,790","28,217","21,620","15,965","8,760","57,751"
2020,2,0,"31,174","2,687","2,611","1,302","1,136","1,793","2,067","1,326","1,642","2,907","1,100","3,099","1,760","1,270",828,465,"5,181"
2020,2,10,"40,161","2,508","2,846","1,988","1,830","2,605","2,961","1,814","2,445","2,147","1,775","3,760","2,251","1,839","1,324",568,"7,500"
2020,2,20,"65,999","5,087","5,443","4,336","3,833","4,425","4,531","4,624","3,381","2,602","3,612","6,619","4,004","3,019","2,130","1,193","7,160"
2020,2,30,"69,081","6,232","5,666","4,104","3,329","4,176","4,307","4,313","3,744","4,685","3,433","7,160","4,268","2,977","2,148","1,185","7,354"
2020,2,40,"78,112","5,906","6,363","4,250","3,622","4,886","5,362","4,271","4,451","4,787","3,819","7,905","4,404","3,415","2,399","1,177","11,095"
2020,2,50,"77,142","6,037","6,846","5,078","4,134","4,901","5,745","4,263","3,844","3,347","4,370","7,780","4,594","3,612","2,727","1,609","8,255"
2020,2,60,"61,682","4,946","5,416","4,220","3,398","3,653","4,534","3,476","2,990","2,630","3,728","6,079","3,740","3,066","2,370","1,395","6,041"
2020,2,70,"38,333","3,144","3,525","2,718","2,109","2,254","2,756","2,363","1,952","1,602","2,612","3,801","2,257","1,655","1,446",782,"3,357"
2020,2,80,"14,880","1,218","1,491","1,017",678,872,"1,079",925,753,630,"1,075","1,393",832,664,509,334,"1,410"
2020,2,90,"2,034",176,187,130,110,111,159,108,120,84,130,170,96,91,75,47,240
2020,2,100,407,23,32,13,15,18,19,22,9,18,19,24,11,12,9,5,158
2020,3,총,"478,019","37,974","40,310","28,988","24,080","29,621","33,432","27,430","25,251","25,605","25,573","47,680","28,154","21,538","15,858","8,740","57,785"
2020,3,0,"30,889","2,670","2,568","1,283","1,119","1,761","2,036","1,300","1,622","2,924","1,086","3,060","1,752","1,266",825,459,"5,158"
2020,3,10,"39,917","2,510","2,849","1,965","1,798","2,578","2,941","1,812","2,417","2,160","1,735","3,749","2,238","1,819","1,295",570,"7,481"
