년도,월,나이,광양시,광양읍,봉강면,옥룡면,옥곡면,진상면,진월면,다압면,골약동,중마동,광영동,금호동,태인동
2020,7,30,"8,780","2,997",55,79,74,76,71,44,50,"4,147",585,563,39
2020,7,40,"11,840","3,829",83,130,116,92,105,58,54,"5,463",941,894,75
2020,7,50,"12,996","3,997",185,281,256,234,213,160,113,"4,753","1,315","1,324",165
2020,7,60,"7,690","2,719",188,295,265,284,293,187,137,"1,696",734,740,152
2020,7,70,"4,492","1,608",181,281,256,292,306,184,157,699,290,123,115
2020,7,80,"3,160","1,053",158,239,197,239,221,131,129,397,199,87,110
2020,7,90,600,206,30,43,38,48,59,20,24,64,35,17,16
2020,7,100,17,9,0,1,1,1,2,1,1,1,0,0,0
2020,8,총,"72,396","23,892","1,035","1,555","1,384","1,429","1,426",901,758,"27,671","5,883","5,640",822
2020,8,0,"6,732","2,255",24,48,29,40,36,28,19,"3,317",472,436,28
2020,8,10,"7,754","2,461",57,67,56,54,40,42,28,"3,583",596,717,53
2020,8,20,"8,435","2,793",79,99,102,74,83,47,47,"3,580",704,758,69
2020,8,30,"8,719","2,974",55,76,70,71,71,44,50,"4,128",586,553,41
2020,8,40,"11,745","3,807",81,128,110,94,102,57,52,"5,409",946,884,75
2020,8,50,"12,980","3,986",183,277,260,234,211,159,111,"4,764","1,312","1,320",163
2020,8,60,"7,759","2,737",186,297,267,286,291,190,141,"1,730",739,743,152
2020,8,70,"4,484","1,604",180,281,257,288,309,183,152,693,297,124,116
2020,8,80,"3,171","1,061",159,240,194,238,222,130,133,401,196,88,109
2020,8,90,600,205,31,41,38,49,59,20,24,65,35,17,16
2020,8,100,17,9,0,1,1,1,2,1,1,1,0,0,0
2020,9,총,"72,278","23,873","1,036","1,546","1,384","1,422","1,412",900,754,"27,630","5,887","5,616",818
2020,9,0,"6,695","2,236",25,48,30,41,36,27,18,"3,309",471,429,25
2020,9,10,"7,745","2,454",56,65,55,53,39,42,28,"3,581",601,715,56
2020,9,20,"8,354","2,779",79,95,98,73,77,47,46,"3,541",702,749,68
2020,9,30,"8,663","2,956",56,78,70,69,67,45,49,"4,095",591,545,42
2020,9,40,"11,717","3,802",80,126,111,90,101,57,53,"5,407",944,874,72
2020,9,50,"12,994","3,988",185,275,255,232,208,155,108,"4,784","1,315","1,326",163
2020,9,60,"7,809","2,762",187,295,272,284,294,192,144,"1,740",739,750,150
2020,9,70,"4,498","1,608",179,282,258,288,308,182,152,700,299,124,118
2020,9,80,"3,177","1,071",158,240,196,240,217,131,130,406,194,87,107
2020,9,90,608,208,31,41,38,50,63,21,25,66,31,17,17
2020,9,100,18,9,0,1,1,2,2,1,1,1,0,0,0
2020,10,총,"72,074","23,806","1,033","1,536","1,379","1,418","1,417",897,745,"27,533","5,871","5,630",809
2020,10,0,"6,633","2,212",25,47,29,40,37,26,18,"3,272",462,439,26
2020,10,10,"7,724","2,449",55,68,55,54,38,44,28,"3,570",594,712,57
2020,10,20,"8,310","2,771",81,96,102,72,75,45,44,"3,528",692,742,62
2020,10,30,"8,602","2,927",55,73,67,70,65,45,50,"4,054",596,557,43
2020,10,40,"11,630","3,785",79,124,107,88,103,56,50,"5,374",935,862,67
2020,10,50,"12,991","3,977",185,275,254,231,210,152,103,"4,800","1,312","1,328",164
2020,10,60,"7,867","2,780",186,292,271,283,298,193,145,"1,754",753,761,151
2020,10,70,"4,509","1,605",179,284,260,287,306,181,153,708,304,125,117
