년도,월,나이,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면,강원도 양구군 국토정중앙면
2020,3,총,"22,301","14,209","3,348","2,068","1,344","1,332",
2020,3,0,"1,796","1,510",117,77,52,40,
2020,3,10,"2,035","1,581",198,103,68,85,
2020,3,20,"3,116","1,836",402,480,282,116,
2020,3,30,"2,587","2,012",248,134,107,86,
2020,3,40,"2,599","1,880",317,168,84,150,
2020,3,50,"3,650","2,087",677,351,227,308,
2020,3,60,"3,175","1,707",642,324,252,250,
2020,3,70,"2,078",980,462,284,161,191,
2020,3,80,"1,102",538,245,124,102,93,
2020,3,90,147,65,37,23,9,13,
2020,3,100,16,13,3,0,0,0,
2020,4,총,"22,375","14,322","3,345","2,056","1,327","1,325",
2020,4,0,"1,793","1,506",119,74,54,40,
2020,4,10,"2,129","1,675",197,102,67,88,
2020,4,20,"3,071","1,836",389,466,268,112,
2020,4,30,"2,583","2,002",253,133,107,88,
2020,4,40,"2,620","1,909",316,167,82,146,
2020,4,50,"3,641","2,081",672,356,223,309,
2020,4,60,"3,206","1,721",654,329,255,247,
2020,4,70,"2,064",976,457,279,163,189,
2020,4,80,"1,106",538,248,128,99,93,
2020,4,90,147,66,37,22,9,13,
2020,4,100,15,12,3,0,0,0,
2020,5,총,"22,378","14,330","3,341","2,053","1,330","1,324",
2020,5,0,"1,796","1,511",120,72,53,40,
2020,5,10,"2,117","1,670",195,100,66,86,
2020,5,20,"3,083","1,846",390,466,266,115,
2020,5,30,"2,592","2,009",251,130,112,90,
2020,5,40,"2,597","1,893",315,164,80,145,
2020,5,50,"3,633","2,077",671,359,222,304,
2020,5,60,"3,232","1,731",657,335,259,250,
2020,5,70,"2,060",975,458,277,164,186,
2020,5,80,"1,109",541,247,128,99,94,
2020,5,90,144,65,34,22,9,14,
2020,5,100,15,12,3,0,0,0,
2020,6,총,"22,332","14,288","3,332","2,042","1,347","1,323",
2020,6,0,"1,787","1,505",118,71,54,39,
2020,6,10,"2,111","1,668",191,98,67,87,
2020,6,20,"3,064","1,835",384,451,279,115,
2020,6,30,"2,608","2,019",250,132,114,93,
2020,6,40,"2,576","1,875",314,165,81,141,
2020,6,50,"3,604","2,067",668,355,217,297,
2020,6,60,"3,254","1,735",663,340,261,255,
2020,6,70,"2,062",968,460,279,166,189,
2020,6,80,"1,106",542,245,127,99,93,
2020,6,90,147,64,36,24,9,14,
2020,6,100,13,10,3,0,0,0,
2020,7,총,"22,295","14,280","3,321","2,028","1,337","1,329",
2020,7,0,"1,777","1,502",115,72,50,38,
2020,7,10,"2,106","1,666",186,96,70,88,
2020,7,20,"3,050","1,832",386,440,273,119,
2020,7,30,"2,601","2,019",247,134,109,92,
2020,7,40,"2,569","1,871",309,164,82,143,
2020,7,50,"3,599","2,069",664,351,217,298,
2020,7,60,"3,271","1,743",667,343,263,255,
2020,7,70,"2,051",962,462,276,163,188,
2020,7,80,"1,112",542,247,128,101,94,
2020,7,90,146,64,35,24,9,14,
2020,7,100,13,10,3,0,0,0,
2020,8,총,"22,329","14,277","3,353","2,028","1,345","1,326",
2020,8,0,"1,767","1,491",118,70,49,39,
2020,8,10,"2,100","1,662",188,95,68,87,
2020,8,20,"3,099","1,840",418,443,281,117,
2020,8,30,"2,597","2,016",244,134,111,92,
2020,8,40,"2,567","1,875",304,160,84,144,
2020,8,50,"3,570","2,052",662,352,213,291,
2020,8,60,"3,312","1,766",675,345,265,261,
2020,8,70,"2,037",954,461,271,164,187,
2020,8,80,"1,122",548,246,134,100,94,
2020,8,90,144,62,34,24,10,14,
2020,8,100,14,11,3,0,0,0,
2020,9,총,"22,315","14,236","3,373","2,035","1,347","1,324",
2020,9,0,"1,767","1,482",122,74,49,40,
2020,9,10,"2,083","1,655",184,94,65,85,
2020,9,20,"3,111","1,834",428,442,289,118,
2020,9,30,"2,588","2,005",245,137,108,93,
2020,9,40,"2,556","1,864",309,157,85,141,
2020,9,50,"3,568","2,048",664,354,214,288,
2020,9,60,"3,322","1,773",677,346,262,264,
2020,9,70,"2,037",954,461,272,163,187,
2020,9,80,"1,122",547,245,135,101,94,
2020,9,90,147,63,35,24,11,14,
2020,9,100,14,11,3,0,0,0,
2020,10,총,"22,276","14,224","3,377","2,031","1,325","1,319",
2020,10,0,"1,744","1,463",119,73,49,40,
2020,10,10,"2,084","1,661",183,91,65,84,
2020,10,20,"3,097","1,825",439,439,275,119,
2020,10,30,"2,576","2,006",238,134,107,91,
2020,10,40,"2,562","1,872",308,159,83,140,
2020,10,50,"3,548","2,041",664,351,208,284,
2020,10,60,"3,335","1,776",678,350,264,267,
2020,10,70,"2,034",956,462,272,160,184,
2020,10,80,"1,133",548,247,139,102,97,
2020,10,90,149,65,36,23,12,13,
2020,10,100,14,11,3,0,0,0,
2020,11,총,"22,350","14,273","3,377","2,035","1,347","1,318",
2020,11,0,"1,719","1,454",112,70,43,40,
2020,11,10,"2,078","1,657",183,88,66,84,
2020,11,20,"3,167","1,861",438,444,307,117,
2020,11,30,"2,566","1,995",246,134,101,90,
2020,11,40,"2,570","1,887",303,159,81,140,
2020,11,50,"3,557","2,043",670,350,210,284,
2020,11,60,"3,357","1,796",675,353,264,269,
2020,11,70,"2,033",952,462,273,159,187,
2020,11,80,"1,138",553,248,140,103,94,
2020,11,90,151,64,37,24,13,13,
2020,11,100,14,11,3,0,0,0,
2020,12,총,"22,278","14,214","3,381","2,024","1,346","1,313",
2020,12,0,"1,702","1,437",115,65,45,40,
2020,12,10,"2,047","1,625",184,91,64,83,
2020,12,20,"3,171","1,869",436,442,307,117,
2020,12,30,"2,547","1,985",243,130,100,89,
2020,12,40,"2,556","1,873",302,158,83,140,
2020,12,50,"3,547","2,033",670,352,209,283,
2020,12,60,"3,365","1,803",677,351,263,271,
2020,12,70,"2,020",949,460,270,157,184,
2020,12,80,"1,160",564,256,141,105,94,
2020,12,90,148,65,34,24,13,12,
2020,12,100,15,11,4,0,0,0,
2021,1,총,"22,161","14,113",0,"2,015","1,341","1,323","3,369"
2021,1,0,"1,685","1,426",0,65,43,40,111
2021,1,10,"1,988","1,573",0,87,62,85,181
2021,1,20,"3,142","1,850",0,436,305,116,435
2021,1,30,"2,524","1,958",0,132,100,90,244
2021,1,40,"2,544","1,869",0,152,83,143,297
2021,1,50,"3,536","2,030",0,356,209,284,657
2021,1,60,"3,386","1,809",0,350,264,273,690
2021,1,70,"2,027",951,0,269,158,187,462
2021,1,80,"1,161",569,0,144,104,92,252
2021,1,90,153,67,0,24,13,13,36
2021,1,100,15,11,0,0,0,0,4
2021,2,총,"22,123","14,003",,"2,084","1,335","1,319","3,382"
2021,2,0,"1,704","1,419",,90,43,39,113
2021,2,10,"1,950","1,538",,90,58,83,181
2021,2,20,"3,133","1,803",,465,301,120,444
2021,2,30,"2,540","1,958",,144,101,89,248
2021,2,40,"2,518","1,848",,155,80,141,294
2021,2,50,"3,510","2,016",,352,213,282,647
2021,2,60,"3,413","1,817",,354,267,275,700
2021,2,70,"2,018",953,,267,154,186,458
2021,2,80,"1,165",569,,142,105,92,257
2021,2,90,157,71,,25,13,12,36
2021,2,100,15,11,,0,0,0,4
2021,3,총,"22,172","14,043",,"2,102","1,327","1,318","3,382"
2021,3,0,"1,702","1,413",,94,42,38,115
2021,3,10,"2,034","1,627",,86,55,85,181
2021,3,20,"3,100","1,773",,475,295,117,440
2021,3,30,"2,542","1,948",,156,100,89,249
2021,3,40,"2,504","1,837",,153,83,138,293
2021,3,50,"3,496","2,007",,349,211,284,645
2021,3,60,"3,447","1,843",,353,269,276,706
2021,3,70,"2,002",944,,266,151,186,455
2021,3,80,"1,172",568,,143,108,93,260
2021,3,90,158,72,,27,13,12,34
2021,3,100,15,11,,0,0,0,4
2021,4,총,"22,114","14,006",,"2,117","1,321","1,307","3,363"
2021,4,0,"1,675","1,394",,97,42,32,110
2021,4,10,"2,042","1,628",,88,58,84,184
2021,4,20,"3,064","1,759",,471,292,113,429
2021,4,30,"2,510","1,918",,167,94,86,245
2021,4,40,"2,502","1,841",,152,85,138,286
2021,4,50,"3,484","2,013",,345,205,286,635
2021,4,60,"3,495","1,861",,360,275,278,721
2021,4,70,"1,994",940,,269,150,185,450
2021,4,80,"1,172",570,,139,107,93,263
2021,4,90,161,71,,29,13,12,36
2021,4,100,15,11,,0,0,0,4
2021,5,총,"22,094","13,998",,"2,113","1,318","1,305","3,360"
2021,5,0,"1,687","1,404",,98,41,31,113
2021,5,10,"2,041","1,631",,86,59,86,179
2021,5,20,"3,019","1,735",,460,291,110,423
2021,5,30,"2,520","1,922",,168,93,87,250
2021,5,40,"2,492","1,837",,150,86,136,283
2021,5,50,"3,462","2,005",,346,203,283,625
2021,5,60,"3,521","1,867",,367,276,281,730
2021,5,70,"1,991",936,,269,148,182,456
2021,5,80,"1,183",577,,140,108,98,260
2021,5,90,164,74,,29,13,11,37
2021,5,100,14,10,,0,0,0,4
2021,6,총,"22,027","13,989",,"2,086","1,315","1,297","3,340"
2021,6,0,"1,688","1,411",,98,42,27,110
2021,6,10,"2,039","1,628",,83,59,87,182
2021,6,20,"2,975","1,716",,448,283,112,416
2021,6,30,"2,515","1,919",,167,96,84,249
2021,6,40,"2,486","1,842",,145,88,133,278
2021,6,50,"3,426","1,993",,339,199,281,614
2021,6,60,"3,552","1,881",,368,281,284,738
2021,6,70,"1,974",935,,267,146,179,447
2021,6,80,"1,193",581,,141,108,99,264
2021,6,90,165,73,,30,13,11,38
2021,6,100,14,10,,0,0,0,4
2021,7,총,"21,981","13,970",,"2,053","1,305","1,294","3,359"
2021,7,0,"1,684","1,411",,94,44,27,108
2021,7,10,"2,026","1,616",,83,57,86,184
2021,7,20,"2,926","1,704",,423,269,113,417
2021,7,30,"2,527","1,921",,165,96,86,259
2021,7,40,"2,480","1,836",,144,87,133,280
2021,7,50,"3,410","1,987",,342,199,274,608
2021,7,60,"3,573","1,891",,363,284,290,745
2021,7,70,"1,970",935,,263,147,176,449
2021,7,80,"1,199",582,,146,108,97,266
2021,7,90,172,77,,30,14,12,39
2021,7,100,14,10,,0,0,0,4
2021,8,총,"21,972","13,974",,"2,053","1,303","1,285","3,357"
2021,8,0,"1,690","1,416",,95,45,27,107
2021,8,10,"2,022","1,609",,85,57,85,186
2021,8,20,"2,898","1,688",,414,266,109,421
2021,8,30,"2,522","1,919",,168,96,82,257
2021,8,40,"2,466","1,827",,147,84,133,275
2021,8,50,"3,414","1,998",,340,198,270,608
2021,8,60,"3,595","1,904",,367,287,293,744
2021,8,70,"1,974",941,,264,147,176,446
2021,8,80,"1,200",586,,144,109,97,264
2021,8,90,177,76,,29,14,13,45
2021,8,100,14,10,,0,0,0,4
2021,9,총,"21,924","13,936",,"2,048","1,294","1,280","3,366"
2021,9,0,"1,688","1,417",,95,44,26,106
2021,9,10,"1,998","1,594",,84,56,83,181
2021,9,20,"2,874","1,665",,406,262,107,434
2021,9,30,"2,513","1,912",,168,96,81,256
2021,9,40,"2,451","1,821",,141,82,131,276
2021,9,50,"3,406","2,001",,339,196,266,604
2021,9,60,"3,629","1,909",,377,290,301,752
2021,9,70,"1,968",942,,262,145,176,443
2021,9,80,"1,205",590,,146,109,96,264
2021,9,90,177,74,,30,14,13,46
2021,9,100,15,11,,0,0,0,4
2021,10,총,"21,925","13,934",,"2,048","1,290","1,276","3,377"
2021,10,0,"1,680","1,410",,94,43,26,107
