년도,월,나이,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020,3,총,"133,353","8,131","16,232","6,302","8,307","7,652","21,983","8,731","6,215","4,309","4,129","7,369","3,633","6,850","7,224","4,494","7,067","4,725"
2020,3,0,"9,698",295,"1,533",545,616,884,"1,830",798,271,315,266,408,196,394,467,201,476,203
2020,3,10,"12,397",528,"1,668",457,764,783,"2,733",995,480,336,389,578,281,497,683,230,641,354
2020,3,20,"18,836","1,935","3,110",701,"1,308",940,"2,761",962,823,502,586,934,394,784,935,603,953,605
2020,3,30,"16,344","1,076","2,199",979,"1,079","1,147","2,088",987,676,593,415,845,416,759,786,752,992,555
2020,3,40,"21,447","1,124","2,790","1,002","1,326","1,308","3,762","1,481",843,703,670,"1,150",601,"1,041","1,171",680,"1,064",731
2020,3,50,"21,364","1,118","2,224",900,"1,212","1,103","3,851","1,326","1,105",637,739,"1,246",628,"1,151","1,304",753,"1,235",832
2020,3,60,"18,572","1,063","1,567",909,"1,067",830,"2,889","1,284","1,115",706,649,"1,255",556,"1,238","1,059",671,945,769
2020,3,70,"11,004",720,838,597,683,500,"1,520",704,700,397,322,713,427,769,617,432,578,487
2020,3,80,"3,427",256,280,199,238,144,492,181,190,104,88,224,130,203,192,157,172,177
2020,3,90,241,14,21,12,13,13,55,12,12,14,4,13,4,12,9,12,11,10
2020,3,100,23,2,2,1,1,0,2,1,0,2,1,3,0,2,1,3,0,2
2020,4,총,"133,034","8,119","16,208","6,280","8,318","7,555","21,957","8,711","6,196","4,310","4,140","7,357","3,622","6,840","7,190","4,499","7,078","4,654"
2020,4,0,"9,640",296,"1,527",540,606,885,"1,818",796,266,308,273,408,188,391,460,200,479,199
2020,4,10,"12,315",526,"1,655",453,765,764,"2,717",986,479,339,384,582,282,493,673,234,638,345
2020,4,20,"18,856","1,938","3,124",691,"1,315",930,"2,762",959,826,505,597,937,399,781,932,602,961,597
2020,4,30,"16,239","1,073","2,199",973,"1,082","1,114","2,080",986,672,591,411,833,411,758,781,751,986,538
2020,4,40,"21,386","1,127","2,778","1,006","1,329","1,307","3,746","1,477",838,701,666,"1,142",597,"1,040","1,159",679,"1,066",728
2020,4,50,"21,269","1,104","2,218",900,"1,214","1,087","3,855","1,319","1,097",644,744,"1,243",625,"1,139","1,299",743,"1,233",805
2020,4,60,"18,581","1,066","1,561",902,"1,066",817,"2,898","1,285","1,119",702,647,"1,262",558,"1,244","1,060",679,948,767
2020,4,70,"11,039",713,842,605,682,499,"1,523",711,704,400,319,716,426,776,623,433,580,487
2020,4,80,"3,442",260,281,198,245,138,498,178,185,104,93,219,132,204,193,163,176,175
2020,4,90,243,14,21,11,13,14,58,13,10,14,5,12,4,12,8,12,11,11
2020,4,100,24,2,2,1,1,0,2,1,0,2,1,3,0,2,2,3,0,2
2020,5,총,"132,724","8,096","16,226","6,289","8,288","7,532","21,875","8,696","6,181","4,317","4,138","7,330","3,606","6,798","7,156","4,494","7,088","4,614"
2020,5,0,"9,600",290,"1,524",548,599,890,"1,796",797,264,310,271,404,189,384,455,197,482,200
2020,5,10,"12,252",524,"1,641",454,765,764,"2,697",984,475,343,381,578,279,490,670,235,631,341
2020,5,20,"18,806","1,941","3,167",686,"1,311",910,"2,744",940,819,505,594,936,399,779,921,601,966,587
2020,5,30,"16,128","1,065","2,195",970,"1,064","1,105","2,060",992,665,591,413,817,408,746,774,748,981,534
2020,5,40,"21,332","1,126","2,759","1,007","1,335","1,318","3,724","1,481",839,695,666,"1,139",594,"1,030","1,150",683,"1,065",721
2020,5,50,"21,236","1,106","2,219",900,"1,207","1,087","3,858","1,307","1,098",646,746,"1,243",623,"1,137","1,292",737,"1,234",796
2020,5,60,"18,566","1,052","1,573",906,"1,065",809,"2,909","1,283","1,117",703,643,"1,259",553,"1,236","1,062",677,957,762
2020,5,70,"11,064",717,841,602,679,498,"1,524",715,708,405,325,720,426,776,626,439,575,488
2020,5,80,"3,470",259,282,204,248,137,504,182,187,104,92,219,132,205,196,162,185,172
2020,5,90,246,14,23,11,14,14,57,14,9,13,6,12,3,13,8,12,12,11
2020,5,100,24,2,2,1,1,0,2,1,0,2,1,3,0,2,2,3,0,2
2020,6,총,"132,436","8,076","16,246","6,292","8,284","7,534","21,826","8,676","6,174","4,311","4,113","7,307","3,587","6,772","7,115","4,495","7,090","4,538"
2020,6,0,"9,544",286,"1,508",555,591,882,"1,788",789,258,312,272,400,189,386,449,196,486,197
2020,6,10,"12,217",519,"1,645",457,764,776,"2,681",980,475,339,380,574,277,489,673,235,619,334
2020,6,20,"18,777","1,935","3,185",682,"1,326",898,"2,741",938,811,501,587,936,397,778,917,597,972,576
2020,6,30,"16,011","1,076","2,175",967,"1,053","1,111","2,039",982,662,594,407,808,396,735,759,751,976,520
2020,6,40,"21,346","1,118","2,783","1,021","1,330","1,325","3,721","1,487",841,694,659,"1,134",594,"1,026","1,152",676,"1,070",715
2020,6,50,"21,137","1,102","2,217",887,"1,212","1,075","3,834","1,306","1,096",643,741,"1,240",621,"1,134","1,276",744,"1,231",778
2020,6,60,"18,592","1,050","1,581",910,"1,065",817,"2,919","1,286","1,125",705,639,"1,259",555,"1,221","1,058",681,963,758
2020,6,70,"11,070",717,844,600,673,496,"1,540",711,711,403,328,723,425,780,628,440,575,476
2020,6,80,"3,476",257,285,202,255,140,506,182,186,105,93,218,131,206,193,160,186,171
2020,6,90,242,14,21,10,14,14,55,14,9,13,6,12,2,15,8,12,12,11
2020,6,100,24,2,2,1,1,0,2,1,0,2,1,3,0,2,2,3,0,2
2020,7,총,"132,209","8,061","16,216","6,260","8,271","7,536","21,802","8,672","6,150","4,296","4,129","7,293","3,567","6,745","7,092","4,509","7,116","4,494"
2020,7,0,"9,482",281,"1,498",545,583,879,"1,778",785,259,309,269,397,190,383,445,195,496,190
2020,7,10,"12,153",506,"1,634",454,762,794,"2,679",980,463,329,385,574,268,486,662,234,618,325
2020,7,20,"18,770","1,948","3,178",681,"1,339",885,"2,731",938,808,502,590,934,394,777,922,607,957,579
2020,7,30,"15,932","1,076","2,174",953,"1,044","1,103","2,027",970,661,594,402,795,393,731,749,750,"1,001",509
2020,7,40,"21,308","1,107","2,781","1,012","1,329","1,328","3,708","1,496",842,685,666,"1,136",589,"1,022","1,148",676,"1,075",708
2020,7,50,"21,058","1,099","2,220",880,"1,202","1,072","3,823","1,305","1,083",641,744,"1,236",618,"1,124","1,273",738,"1,231",769
2020,7,60,"18,641","1,050","1,578",919,"1,064",824,"2,937","1,283","1,127",706,640,"1,260",553,"1,221","1,064",696,963,756
2020,7,70,"11,104",721,842,602,676,495,"1,551",717,711,407,333,728,427,778,629,439,576,472
2020,7,80,"3,491",257,285,203,255,141,509,184,187,108,94,218,133,206,190,159,187,175
