년도,월,나이,포천시,소흘읍,군내면,내촌면,가산면,신북면,창수면,영중면,일동면,이동면,영북면,관인면,화현면,포천동,선단동
2020,1,총,"148,137","44,700","8,716","4,645","7,777","12,588","2,190","4,935","9,524","6,093","8,576","2,827","2,747","18,424","14,395"
2020,1,0,"9,218","3,155",609,135,245,759,51,210,551,534,659,75,202,"1,273",760
2020,1,10,"13,049","5,284",606,225,430,"1,025",97,293,728,384,470,143,162,"1,941","1,261"
2020,1,20,"17,843","5,860","1,041",468,838,"1,459",190,432,962,783,940,243,269,"2,473","1,885"
2020,1,30,"14,973","4,531","1,112",354,620,"1,285",129,320,888,816,"1,062",133,351,"1,920","1,452"
2020,1,40,"21,379","7,657","1,162",569,975,"1,739",231,559,"1,233",631,887,272,275,"2,842","2,347"
2020,1,50,"29,664","9,052","1,677","1,111","1,982","2,552",400,"1,047","1,647",941,"1,412",564,473,"3,539","3,267"
2020,1,60,"22,464","5,215","1,347",969,"1,498","2,110",528,"1,035","1,731",971,"1,423",644,529,"2,440","2,024"
2020,1,70,"12,412","2,549",734,512,714,"1,040",373,679,"1,090",669,"1,051",489,293,"1,308",911
2020,1,80,"6,141","1,189",376,274,409,527,170,312,586,327,551,229,173,584,434
2020,1,90,924,196,50,27,66,85,21,45,101,33,106,33,19,94,48
2020,1,100,70,12,2,1,0,7,0,3,7,4,15,2,1,10,6
2020,2,총,"147,770","44,509","8,653","4,656","7,749","12,553","2,191","4,907","9,460","6,109","8,576","2,822","2,729","18,478","14,378"
2020,2,0,"9,153","3,112",606,131,239,741,52,208,551,538,663,74,200,"1,275",763
2020,2,10,"12,916","5,229",599,226,421,"1,015",95,285,707,379,471,143,159,"1,934","1,253"
2020,2,20,"17,685","5,822","1,001",462,815,"1,459",189,426,950,780,936,234,269,"2,468","1,874"
2020,2,30,"14,913","4,515","1,110",351,622,"1,266",128,318,874,825,"1,052",134,342,"1,941","1,435"
2020,2,40,"21,308","7,613","1,156",569,965,"1,734",228,552,"1,229",634,889,277,276,"2,838","2,348"
2020,2,50,"29,558","9,027","1,666","1,113","1,976","2,551",401,"1,039","1,617",936,"1,407",561,471,"3,533","3,260"
2020,2,60,"22,647","5,250","1,354",989,"1,518","2,124",533,"1,043","1,745",974,"1,430",646,526,"2,482","2,033"
2020,2,70,"12,412","2,545",730,511,710,"1,044",372,676,"1,083",677,"1,055",487,295,"1,310",917
2020,2,80,"6,177","1,187",378,274,416,527,172,311,594,330,550,232,172,593,441
2020,2,90,928,196,51,29,67,86,21,46,103,32,107,31,18,93,48
2020,2,100,73,13,2,1,0,6,0,3,7,4,16,3,1,11,6
2020,3,총,"147,853","44,361","8,636","4,669","7,769","12,643","2,182","4,888","9,458","6,088","8,594","2,809","2,724","18,626","14,406"
2020,3,0,"9,084","3,069",600,133,242,735,48,202,544,520,669,68,198,"1,298",758
2020,3,10,"12,832","5,169",606,223,420,"1,007",94,286,708,368,469,142,158,"1,938","1,244"
2020,3,20,"17,833","5,844",987,463,826,"1,519",191,425,954,787,950,237,274,"2,497","1,879"
2020,3,30,"14,892","4,459","1,108",354,615,"1,274",127,313,866,829,"1,054",122,335,"1,984","1,452"
2020,3,40,"21,198","7,528","1,156",570,962,"1,733",223,544,"1,229",629,892,277,274,"2,837","2,344"
2020,3,50,"29,509","9,010","1,657","1,100","1,966","2,560",395,"1,038","1,610",931,"1,397",561,472,"3,555","3,257"
2020,3,60,"22,887","5,340","1,363","1,009","1,538","2,143",537,"1,043","1,769",979,"1,440",643,525,"2,508","2,050"
2020,3,70,"12,398","2,540",716,505,713,"1,050",374,674,"1,076",680,"1,051",490,297,"1,315",917
2020,3,80,"6,217","1,198",389,282,418,529,172,313,593,329,548,237,172,589,448
2020,3,90,929,192,51,29,69,87,21,47,102,32,107,29,18,94,51
2020,3,100,74,12,3,1,0,6,0,3,7,4,17,3,1,11,6
2020,4,총,"148,144","44,368","8,670","4,669","7,786","12,688","2,192","4,892","9,471","6,140","8,577","2,809","2,735","18,705","14,442"
2020,4,0,"9,062","3,053",606,134,248,732,48,201,536,524,661,68,203,"1,295",753
2020,4,10,"12,789","5,134",608,223,426,"1,001",93,283,707,372,468,141,157,"1,937","1,239"
2020,4,20,"17,932","5,872",998,459,813,"1,526",198,423,961,803,962,235,276,"2,519","1,887"
2020,4,30,"14,942","4,461","1,110",359,623,"1,280",129,310,866,844,"1,053",123,339,"1,995","1,450"
2020,4,40,"21,109","7,487","1,152",571,950,"1,735",220,538,"1,219",624,878,280,272,"2,836","2,347"
2020,4,50,"29,557","9,037","1,662","1,097","1,970","2,571",392,"1,044","1,614",928,"1,392",551,474,"3,569","3,256"
2020,4,60,"23,060","5,373","1,377","1,010","1,551","2,155",542,"1,044","1,783",995,"1,437",647,521,"2,545","2,080"
2020,4,70,"12,428","2,551",712,507,714,"1,058",375,678,"1,075",682,"1,044",496,302,"1,314",920
2020,4,80,"6,250","1,193",389,279,418,535,176,321,600,332,556,236,171,593,451
2020,4,90,940,195,53,29,73,88,19,47,103,32,109,29,19,91,53
2020,4,100,75,12,3,1,0,7,0,3,7,4,17,3,1,11,6
2020,5,총,"148,081","44,276","8,686","4,656","7,770","12,704","2,194","4,880","9,476","6,144","8,564","2,803","2,761","18,745","14,422"
2020,5,0,"9,002","3,039",613,134,241,727,48,199,528,517,647,67,204,"1,292",746
2020,5,10,"12,690","5,084",599,217,420,"1,007",89,279,707,369,472,141,154,"1,920","1,232"
2020,5,20,"17,941","5,857",983,452,804,"1,524",202,417,964,817,979,229,286,"2,546","1,881"
2020,5,30,"14,921","4,460","1,123",356,620,"1,271",124,307,874,840,"1,040",121,346,"1,984","1,455"
2020,5,40,"21,016","7,433","1,145",559,941,"1,733",216,540,"1,220",621,869,279,273,"2,846","2,341"
2020,5,50,"29,561","9,005","1,673","1,105","1,977","2,584",399,"1,039","1,612",932,"1,385",553,483,"3,571","3,243"
2020,5,60,"23,218","5,439","1,386","1,016","1,559","2,165",542,"1,050","1,788",993,"1,447",649,521,"2,570","2,093"
2020,5,70,"12,423","2,550",715,507,712,"1,068",374,673,"1,071",682,"1,045",492,304,"1,315",915
2020,5,80,"6,277","1,198",392,282,422,529,181,325,598,334,554,241,167,596,458
2020,5,90,958,199,54,27,74,89,19,48,107,35,110,28,22,94,52
2020,5,100,74,12,3,1,0,7,0,3,7,4,16,3,1,11,6
2020,6,총,"148,015","44,207","8,670","4,647","7,736","12,675","2,197","4,901","9,491","6,172","8,588","2,798","2,762","18,786","14,385"
2020,6,0,"8,944","3,007",609,132,238,718,48,202,523,516,652,63,205,"1,292",739
2020,6,10,"12,625","5,045",596,217,418,"1,002",85,277,707,370,473,145,155,"1,912","1,223"
2020,6,20,"17,943","5,858",988,447,794,"1,511",204,422,966,832,983,228,284,"2,552","1,874"
2020,6,30,"14,874","4,437","1,119",353,621,"1,273",124,303,874,849,"1,040",118,344,"1,985","1,434"
2020,6,40,"20,917","7,383","1,144",567,925,"1,723",213,535,"1,208",613,881,274,279,"2,843","2,329"
2020,6,50,"29,491","9,004","1,659","1,106","1,964","2,564",394,"1,039","1,619",938,"1,375",553,475,"3,582","3,219"
