년도,월,나이,장흥군,장흥읍,관산읍,대덕읍,용산면,안양면,장동면,장평면,유치면,부산면,회진면
2020,1,총,"38,489","15,622","5,055","3,554","2,404","2,891","1,305","2,139","1,129","1,485","2,905"
2020,1,0,"2,089","1,351",154,150,90,83,38,45,21,46,111
2020,1,10,"2,989","1,668",320,234,124,144,60,112,46,84,197
2020,1,20,"3,283","1,646",360,269,146,221,84,149,86,98,224
2020,1,30,"2,996","1,690",304,212,155,194,76,89,44,70,162
2020,1,40,"4,340","2,155",453,383,220,269,118,178,109,157,298
2020,1,50,"6,544","2,497",894,617,377,530,211,392,278,253,495
2020,1,60,"6,308","2,078",961,643,467,529,269,364,227,217,553
2020,1,70,"5,579","1,483",910,578,439,488,213,434,186,279,569
2020,1,80,"3,758",878,624,421,325,361,207,331,114,228,269
2020,1,90,577,163,75,42,57,71,27,45,17,53,27
2020,1,100,26,13,0,5,4,1,2,0,1,0,0
2020,2,총,"38,400","15,583","5,055","3,545","2,396","2,893","1,304","2,133","1,126","1,478","2,887"
2020,2,0,"2,072","1,351",157,149,87,82,38,40,20,44,104
2020,2,10,"2,974","1,651",321,235,121,145,60,114,46,83,198
2020,2,20,"3,249","1,629",355,266,148,219,82,145,86,99,220
2020,2,30,"2,960","1,673",303,206,149,188,78,91,41,68,163
2020,2,40,"4,342","2,166",451,385,221,269,118,176,107,153,296
2020,2,50,"6,536","2,499",893,614,377,528,209,401,275,255,485
2020,2,60,"6,319","2,074",959,644,467,536,270,363,229,217,560
2020,2,70,"5,563","1,479",918,576,438,488,212,426,185,278,563
2020,2,80,"3,776",884,619,421,328,364,209,332,119,228,272
2020,2,90,583,164,79,44,56,73,26,45,17,53,26
2020,2,100,26,13,0,5,4,1,2,0,1,0,0
2020,3,총,"38,333","15,573","5,041","3,521","2,394","2,888","1,306","2,134","1,125","1,473","2,878"
2020,3,0,"2,068","1,336",155,146,88,87,39,42,20,45,110
2020,3,10,"2,966","1,650",323,233,118,142,58,114,46,85,197
2020,3,20,"3,217","1,628",343,263,152,213,83,146,80,96,213
2020,3,30,"2,944","1,655",305,204,146,190,80,89,43,68,164
2020,3,40,"4,303","2,156",448,377,218,268,115,169,108,153,291
2020,3,50,"6,506","2,495",886,606,371,525,209,406,272,254,482
2020,3,60,"6,375","2,104",961,648,478,539,272,362,232,218,561
2020,3,70,"5,531","1,480",917,570,436,484,213,421,184,268,558
2020,3,80,"3,809",892,624,424,327,365,208,341,121,231,276
2020,3,90,587,165,78,45,56,74,26,44,18,55,26
