년도,월,나이,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020,1,총,"29,664","10,850","5,547","2,508","2,100","3,337","1,975","1,567","1,780"
2020,1,0,"1,279",683,284,57,58,91,51,21,34
2020,1,10,"2,107","1,009",426,110,139,180,86,40,117
2020,1,20,"2,438","1,208",514,129,111,159,104,86,127
2020,1,30,"2,174","1,095",455,112,91,170,88,76,87
2020,1,40,"3,508","1,551",739,200,203,359,164,137,155
2020,1,50,"5,864","2,044","1,010",549,423,707,440,319,372
2020,1,60,"6,027","1,716",977,626,530,792,517,431,438
2020,1,70,"3,943",987,756,449,353,552,327,261,258
2020,1,80,"2,051",490,350,231,171,291,179,172,167
2020,1,90,249,65,35,39,18,33,17,24,18
2020,1,100,24,2,1,6,3,3,2,0,7
2020,2,총,"29,592","10,803","5,530","2,510","2,106","3,342","1,972","1,558","1,771"
2020,2,0,"1,280",681,282,60,58,93,51,21,34
2020,2,10,"2,086",999,421,109,142,179,86,38,112
2020,2,20,"2,406","1,195",511,127,108,156,103,83,123
2020,2,30,"2,156","1,078",448,114,92,170,90,77,87
2020,2,40,"3,496","1,544",743,201,201,359,165,132,151
2020,2,50,"5,821","2,036","1,003",543,417,701,432,315,374
2020,2,60,"6,061","1,722",973,628,537,799,525,438,439
2020,2,70,"3,928",989,757,446,356,547,319,259,255
2020,2,80,"2,081",489,355,236,173,301,183,173,171
2020,2,90,254,68,36,40,19,34,17,22,18
2020,2,100,23,2,1,6,3,3,1,0,7
2020,3,총,"29,546","10,792","5,529","2,505","2,101","3,347","1,962","1,553","1,757"
2020,3,0,"1,273",678,281,60,56,91,51,21,35
2020,3,10,"2,073",991,423,106,141,178,88,39,107
2020,3,20,"2,388","1,182",511,126,109,159,101,83,117
2020,3,30,"2,141","1,074",444,114,92,168,87,76,86
2020,3,40,"3,475","1,539",737,199,195,360,163,132,150
2020,3,50,"5,792","2,032","1,005",543,417,693,426,310,366
2020,3,60,"6,095","1,745",977,632,538,802,525,434,442
2020,3,70,"3,921",982,754,443,358,551,319,258,256
2020,3,80,"2,101",495,358,237,174,305,183,176,173
2020,3,90,264,72,38,39,18,37,18,24,18
2020,3,100,23,2,1,6,3,3,1,0,7
2020,4,총,"29,451","10,754","5,513","2,496","2,099","3,346","1,947","1,546","1,750"
2020,4,0,"1,268",675,280,61,56,91,48,22,35
2020,4,10,"2,052",982,423,102,142,179,84,35,105
2020,4,20,"2,368","1,168",507,124,110,160,98,86,115
2020,4,30,"2,118","1,072",440,109,90,164,84,75,84
2020,4,40,"3,440","1,523",733,198,193,355,159,131,148
2020,4,50,"5,780","2,033","1,003",544,415,694,422,305,364
2020,4,60,"6,109","1,752",978,631,538,801,530,437,442
2020,4,70,"3,918",982,753,442,357,552,316,257,259
2020,4,80,"2,109",495,354,239,177,310,187,173,174
2020,4,90,266,70,41,40,18,37,18,25,17
2020,4,100,23,2,1,6,3,3,1,0,7
2020,5,총,"29,392","10,717","5,498","2,486","2,101","3,346","1,938","1,552","1,754"
2020,5,0,"1,247",661,274,60,60,90,48,21,33
2020,5,10,"2,049",983,422,101,142,178,81,36,106
2020,5,20,"2,339","1,162",501,122,108,159,96,81,110
2020,5,30,"2,096","1,063",437,106,89,159,82,77,83
2020,5,40,"3,425","1,514",729,196,192,353,162,130,149
2020,5,50,"5,768","2,024","1,001",539,410,696,418,309,371
2020,5,60,"6,147","1,767",987,631,539,809,530,438,446
2020,5,70,"3,916",974,748,443,363,552,316,262,258
2020,5,80,"2,116",498,359,240,177,310,186,173,173
2020,5,90,267,69,39,42,18,38,18,25,18
2020,5,100,22,2,1,6,3,2,1,0,7
2020,6,총,"29,387","10,717","5,478","2,504","2,109","3,337","1,942","1,545","1,755"
2020,6,0,"1,246",663,272,63,59,87,48,21,33
2020,6,10,"2,042",974,421,101,146,176,80,36,108
2020,6,20,"2,322","1,153",498,122,109,157,96,79,108
2020,6,30,"2,089","1,068",431,108,88,155,81,75,83
2020,6,40,"3,406","1,513",721,200,192,350,157,127,146
2020,6,50,"5,768","2,025",998,541,409,701,415,310,369
2020,6,60,"6,186","1,778",993,634,539,816,538,436,452
2020,6,70,"3,922",974,747,439,371,549,318,264,260
2020,6,80,"2,117",496,357,247,175,308,190,172,172
2020,6,90,268,71,39,43,18,37,18,25,17
2020,6,100,21,2,1,6,3,1,1,0,7
2020,7,총,"29,337","10,703","5,452","2,495","2,112","3,336","1,940","1,541","1,758"
2020,7,0,"1,229",657,266,62,59,85,48,20,32
2020,7,10,"2,041",973,424,100,143,179,79,35,108
2020,7,20,"2,302","1,148",496,121,105,153,96,79,104
2020,7,30,"2,073","1,060",421,107,92,154,81,72,86
2020,7,40,"3,388","1,516",715,195,193,343,154,126,146
2020,7,50,"5,768","2,022",997,538,410,708,414,314,365
2020,7,60,"6,191","1,773",995,633,543,815,542,431,459
2020,7,70,"3,936",983,744,443,371,550,316,267,262
2020,7,80,"2,117",499,354,247,174,309,190,172,172
2020,7,90,271,70,39,43,19,39,19,25,17
2020,7,100,21,2,1,6,3,1,1,0,7
2020,8,총,"29,268","10,658","5,443","2,490","2,110","3,327","1,943","1,544","1,753"
2020,8,0,"1,215",645,263,60,64,84,48,19,32
2020,8,10,"2,034",967,421,102,143,179,79,36,107
2020,8,20,"2,286","1,143",493,118,102,154,95,78,103
2020,8,30,"2,046","1,043",423,105,88,153,78,72,84
2020,8,40,"3,367","1,507",706,193,193,341,155,126,146
2020,8,50,"5,768","2,024","1,002",536,412,703,416,310,365
2020,8,60,"6,217","1,777",997,642,543,814,547,438,459
2020,8,70,"3,923",980,744,442,367,548,314,266,262
2020,8,80,"2,116",500,355,242,175,310,189,174,171
2020,8,90,275,70,38,44,20,40,21,25,17
2020,8,100,21,2,1,6,3,1,1,0,7
2020,9,총,"29,270","10,662","5,460","2,481","2,111","3,320","1,935","1,543","1,758"
2020,9,0,"1,213",640,265,60,64,85,48,19,32
2020,9,10,"2,047",968,418,103,148,179,78,37,116
2020,9,20,"2,265","1,139",485,117,98,151,93,76,106
2020,9,30,"2,041","1,045",426,101,88,152,77,69,83
2020,9,40,"3,358","1,507",704,188,196,334,157,127,145
2020,9,50,"5,757","2,014","1,016",534,408,704,410,310,361
2020,9,60,"6,255","1,794","1,001",645,545,819,550,440,461
2020,9,70,"3,907",976,746,438,365,545,313,267,257
2020,9,80,"2,122",506,358,244,176,307,187,173,171
2020,9,90,284,71,40,45,20,43,21,25,19
2020,9,100,21,2,1,6,3,1,1,0,7
2020,10,총,"29,265","10,653","5,456","2,483","2,108","3,322","1,935","1,551","1,757"
2020,10,0,"1,198",632,261,60,62,81,47,21,34
2020,10,10,"2,028",962,413,103,145,179,78,37,111
2020,10,20,"2,271","1,138",486,115,102,151,95,77,107
2020,10,30,"2,035","1,042",425,101,85,146,79,74,83
2020,10,40,"3,343","1,510",699,189,196,335,151,124,139
