년도,월,나이,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020,9,총,"31,751","9,309","9,668","1,207","2,991","1,429","1,770","2,627",948,"1,358",444
2020,9,0,"2,103",650,"1,007",31,157,34,27,142,14,35,6
2020,9,10,"2,809",907,"1,254",51,133,40,73,247,29,64,11
2020,9,20,"2,300",856,706,68,175,70,94,187,41,83,20
2020,9,30,"2,832",960,"1,127",68,231,58,61,197,34,78,18
2020,9,40,"4,308","1,406","1,867",88,212,93,114,350,54,103,21
2020,9,50,"5,136","1,628","1,414",191,444,238,256,452,148,281,84
2020,9,60,"5,233","1,359","1,191",252,587,338,402,425,241,315,123
2020,9,70,"3,778",858,641,234,525,294,391,353,209,191,82
2020,9,80,"2,813",593,389,194,463,233,299,235,160,181,66
2020,9,90,431,87,69,30,64,31,53,39,18,27,13
2020,9,100,8,5,3,0,0,0,0,0,0,0,0
2020,10,총,"31,716","9,299","9,650","1,205","2,997","1,429","1,754","2,627",949,"1,362",444
2020,10,0,"2,091",636,"1,009",31,159,37,26,139,14,35,5
2020,10,10,"2,809",905,"1,257",49,135,40,70,247,29,65,12
2020,10,20,"2,303",858,703,68,173,73,93,192,40,82,21
2020,10,30,"2,809",954,"1,113",67,233,57,61,192,37,78,17
2020,10,40,"4,304","1,406","1,860",87,214,94,113,348,53,107,22
2020,10,50,"5,103","1,625","1,409",189,438,234,250,453,143,280,82
2020,10,60,"5,263","1,365","1,200",257,594,337,398,429,246,312,125
2020,10,70,"3,769",857,641,233,519,294,389,352,208,194,82
2020,10,80,"2,829",601,387,196,469,233,303,233,161,181,65
2020,10,90,427,87,67,28,63,30,51,42,18,28,13
2020,10,100,9,5,4,0,0,0,0,0,0,0,0
2020,11,총,"31,659","9,283","9,628","1,197","3,007","1,422","1,753","2,610",945,"1,370",444
2020,11,0,"2,053",626,994,31,158,35,26,132,12,34,5
2020,11,10,"2,799",904,"1,253",49,136,37,68,244,30,67,11
2020,11,20,"2,318",863,708,68,181,75,93,190,39,79,22
2020,11,30,"2,773",937,"1,094",68,238,53,60,188,37,81,17
2020,11,40,"4,304","1,392","1,872",85,218,95,114,347,52,108,21
2020,11,50,"5,106","1,631","1,412",190,434,234,253,450,141,279,82
2020,11,60,"5,272","1,375","1,196",256,596,339,395,429,246,316,124
2020,11,70,"3,755",860,640,234,510,292,381,352,209,194,83
2020,11,80,"2,837",602,390,188,473,232,308,234,160,184,66
2020,11,90,433,88,65,28,63,30,55,44,19,28,13
2020,11,100,9,5,4,0,0,0,0,0,0,0,0
2020,12,총,"31,621","9,266","9,613","1,197","3,004","1,425","1,745","2,605",947,"1,374",445
2020,12,0,"2,051",630,982,31,165,35,27,129,12,35,5
2020,12,10,"2,779",897,"1,251",49,133,37,66,242,30,63,11
2020,12,20,"2,302",847,715,67,179,73,90,190,41,77,23
2020,12,30,"2,751",938,"1,072",72,238,52,59,180,37,83,20
2020,12,40,"4,303","1,384","1,875",86,219,94,112,348,52,110,23
2020,12,50,"5,084","1,614","1,412",184,430,234,255,453,141,283,78
2020,12,60,"5,305","1,393","1,206",260,590,344,390,437,245,317,123
2020,12,70,"3,742",862,637,231,511,294,380,341,212,191,83
2020,12,80,"2,857",607,393,190,474,231,310,242,158,186,66
