년도,월,나이,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020,1,총,"105,280","18,496","19,570","19,529","7,800","14,162","16,414","4,452","4,857"
2020,1,0,"12,726","2,350","2,738","2,020","1,332","1,343","2,092",423,428
2020,1,10,"11,349","1,933","2,189","3,030",589,"1,186","1,679",366,377
2020,1,20,"12,468","1,996","2,113","2,281",595,"2,129","2,200",607,547
2020,1,30,"17,130","3,081","3,495","2,350","1,761","2,153","2,937",669,684
2020,1,40,"18,660","3,185","3,508","4,605","1,067","2,181","2,794",635,685
2020,1,50,"18,265","3,132","3,058","3,029","1,074","3,104","2,934",937,997
2020,1,60,"8,419","1,598","1,422","1,128",735,"1,278","1,045",510,703
2020,1,70,"3,818",780,617,690,348,483,409,186,305
2020,1,80,"2,062",373,358,335,249,262,274,99,112
2020,1,90,369,65,71,60,45,43,49,19,17
2020,1,100,14,3,1,1,5,0,1,1,2
2020,2,총,"105,355","18,473","19,555","19,448","7,853","14,103","16,632","4,434","4,857"
2020,2,0,"12,714","2,361","2,719","1,995","1,337","1,329","2,131",412,430
2020,2,10,"11,289","1,926","2,169","3,007",598,"1,159","1,701",356,373
2020,2,20,"12,418","1,987","2,115","2,257",597,"2,104","2,210",603,545
2020,2,30,"17,091","3,061","3,462","2,323","1,760","2,150","2,989",665,681
2020,2,40,"18,750","3,195","3,526","4,611","1,089","2,168","2,843",636,682
2020,2,50,"18,292","3,111","3,081","3,020","1,078","3,107","2,957",937,"1,001"
2020,2,60,"8,519","1,613","1,434","1,145",745,"1,300","1,062",512,708
2020,2,70,"3,835",782,616,692,349,484,414,190,308
2020,2,80,"2,063",368,358,342,245,260,277,103,110
2020,2,90,371,66,74,55,50,42,48,19,17
2020,2,100,13,3,1,1,5,0,0,1,2
2020,3,총,"105,386","18,416","19,554","19,405","7,906","14,061","16,772","4,418","4,854"
2020,3,0,"12,667","2,357","2,708","1,970","1,348","1,322","2,134",400,428
2020,3,10,"11,274","1,921","2,161","3,000",599,"1,148","1,718",354,373
2020,3,20,"12,388","1,977","2,112","2,233",599,"2,101","2,221",604,541
2020,3,30,"17,021","3,043","3,446","2,301","1,766","2,118","3,012",658,677
2020,3,40,"18,753","3,172","3,527","4,603","1,106","2,164","2,870",629,682
2020,3,50,"18,338","3,091","3,090","3,047","1,083","3,102","2,990",939,996
2020,3,60,"8,625","1,629","1,456","1,150",755,"1,317","1,079",522,717
2020,3,70,"3,846",781,622,691,347,488,419,187,311
2020,3,80,"2,086",375,359,351,248,257,280,107,109
2020,3,90,375,67,72,58,50,44,49,17,18
2020,3,100,13,3,1,1,5,0,0,1,2
2020,4,총,"105,404","18,391","19,541","19,387","7,944","14,056","16,882","4,391","4,812"
2020,4,0,"12,634","2,354","2,683","1,949","1,347","1,331","2,154",398,418
2020,4,10,"11,280","1,916","2,168","3,009",612,"1,126","1,722",356,371
2020,4,20,"12,329","1,967","2,089","2,222",604,"2,103","2,232",583,529
