년도,월,나이,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2020,1,총,"499,869","25,116","16,109","30,747","29,563","16,836","33,275","34,693","15,450","26,720","18,722","23,143","18,508","23,701","22,920","21,683","16,249","17,529","23,519","25,020","32,044","28,322"
2020,1,0,"24,804","1,369","1,483","2,210","1,292",803,"1,268","2,402",464,"1,327","1,126",770,697,939,890,427,"1,314",762,798,"1,022","1,959","1,482"
2020,1,10,"30,494","1,580","1,212","3,112","1,460",865,"1,718","2,675",703,"1,711",895,926,915,"1,145","1,269",505,"1,546",881,"1,042","1,747","2,519","2,068"
2020,1,20,"107,649","4,647","1,958","3,872","7,434","5,266","10,465","5,558","4,346","5,841","3,907","6,343","4,329","5,713","5,567","8,219","1,751","3,921","6,196","3,167","4,943","4,206"
2020,1,30,"88,627","4,332","2,696","4,091","6,102","3,492","6,316","5,685","2,988","5,135","3,896","4,758","3,280","4,674","4,044","5,657","2,076","3,332","4,711","2,926","4,575","3,861"
2020,1,40,"70,776","3,484","2,657","5,356","3,792","2,062","3,940","5,491","1,796","3,797","2,415","2,844","2,421","3,246","3,134","2,420","3,105","2,309","3,613","3,718","4,932","4,244"
2020,1,50,"69,477","3,584","2,374","4,806","3,570","1,675","3,697","4,999","1,912","3,577","2,617","2,921","2,502","3,140","3,307","1,754","2,605","2,465","3,135","4,528","5,192","5,117"
2020,1,60,"57,657","3,239","1,925","3,746","3,134","1,349","3,118","4,217","1,647","2,858","2,159","2,497","2,220","2,664","2,492","1,449","2,075","2,133","2,189","4,082","4,540","3,924"
2020,1,70,"36,348","2,097","1,204","2,500","2,068",948,"2,035","2,691","1,153","1,798","1,289","1,512","1,545","1,553","1,612",916,"1,280","1,204","1,278","2,655","2,502","2,508"
2020,1,80,"12,140",681,521,907,612,324,622,847,393,593,359,511,511,528,526,281,419,452,488,994,774,797
2020,1,90,"1,588",93,57,118,83,43,75,111,39,75,56,52,76,81,65,40,65,61,57,153,86,102
2020,1,100,309,10,22,29,16,9,21,17,9,8,3,9,12,18,14,15,13,9,12,28,22,13
2020,2,총,"499,587","25,084","16,066","30,654","29,674","16,849","33,511","34,599","15,488","26,689","18,757","23,126","18,483","23,677","22,912","21,684","16,128","17,582","23,444","24,970","31,967","28,243"
2020,2,0,"24,462","1,343","1,452","2,194","1,280",804,"1,265","2,362",462,"1,292","1,125",748,691,923,873,411,"1,294",764,784,"1,009","1,934","1,452"
2020,2,10,"30,422","1,575","1,210","3,069","1,480",869,"1,772","2,661",691,"1,705",890,940,913,"1,137","1,272",511,"1,514",873,"1,049","1,734","2,499","2,058"
2020,2,20,"107,757","4,646","1,957","3,869","7,480","5,298","10,553","5,559","4,361","5,840","3,914","6,329","4,301","5,695","5,597","8,253","1,730","3,952","6,142","3,141","4,946","4,194"
2020,2,30,"88,518","4,319","2,673","4,075","6,155","3,476","6,358","5,643","3,016","5,139","3,904","4,773","3,282","4,665","4,004","5,640","2,043","3,343","4,707","2,922","4,526","3,855"
