년도,월,나이,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020,7,60,"3,885","1,036",281,288,123,322,158,235,272,195,242,388,345
2020,7,70,"3,532",882,252,284,116,316,162,226,239,177,205,319,354
2020,7,80,"2,574",551,164,176,89,240,120,194,195,108,158,288,291
2020,7,90,466,113,30,35,19,30,26,36,41,15,23,50,48
2020,7,100,28,9,1,3,1,4,1,1,3,2,1,2,0
2020,8,총,"22,607","7,044","1,402","1,582",634,"1,794",941,"1,229","1,308",949,"1,238","2,259","2,227"
2020,8,0,"1,162",542,70,62,21,66,29,38,41,30,62,102,99
2020,8,10,"1,451",579,53,90,26,102,47,49,63,43,63,145,191
2020,8,20,"1,918",724,108,123,46,131,79,89,90,77,92,191,168
2020,8,30,"1,735",705,106,98,37,117,58,70,83,73,96,145,147
2020,8,40,"2,197",848,111,140,49,150,77,92,82,66,90,259,233
2020,8,50,"3,628","1,053",224,283,108,308,186,192,201,163,198,368,344
2020,8,60,"3,910","1,038",282,291,124,323,158,242,271,192,249,391,349
2020,8,70,"3,525",879,254,283,114,324,162,225,235,178,204,318,349
2020,8,80,"2,585",553,163,175,89,239,118,196,199,109,160,288,296
2020,8,90,467,115,30,34,19,30,25,35,39,16,23,50,51
2020,8,100,29,8,1,3,1,4,2,1,4,2,1,2,0
2020,9,총,"22,588","7,030","1,402","1,584",638,"1,790",944,"1,231","1,303",941,"1,238","2,261","2,226"
2020,9,0,"1,161",542,68,64,23,67,29,37,41,31,59,103,97
2020,9,10,"1,437",571,54,87,26,101,46,50,63,41,63,144,191
2020,9,20,"1,912",719,107,126,45,135,80,87,88,75,90,195,165
2020,9,30,"1,730",705,105,97,39,112,58,71,83,73,100,140,147
2020,9,40,"2,186",836,109,142,48,146,79,93,81,66,89,262,235
2020,9,50,"3,604","1,051",225,280,106,306,179,189,200,161,200,366,341
2020,9,60,"3,946","1,047",284,295,128,322,163,246,270,193,250,393,355
2020,9,70,"3,519",877,254,281,113,327,164,225,235,172,204,321,346
2020,9,80,"2,593",557,163,175,89,242,119,197,200,111,160,283,297
2020,9,90,470,117,32,33,20,28,25,35,38,16,22,52,52
2020,9,100,30,8,1,4,1,4,2,1,4,2,1,2,0
2020,10,총,"22,580","7,028","1,395","1,576",633,"1,804",936,"1,229","1,305",940,"1,234","2,272","2,228"
2020,10,0,"1,161",540,68,62,22,69,27,38,43,32,60,101,99
2020,10,10,"1,434",572,54,85,27,100,46,50,62,42,61,145,190
2020,10,20,"1,915",714,105,129,43,135,79,86,91,76,91,200,166
2020,10,30,"1,733",708,105,96,40,115,52,72,82,71,99,142,151
2020,10,40,"2,153",818,108,141,46,145,77,94,81,67,88,262,226
2020,10,50,"3,598","1,055",225,274,105,307,180,183,200,158,198,363,350
2020,10,60,"3,966","1,054",284,300,126,327,162,248,271,194,248,399,353
2020,10,70,"3,524",879,254,282,113,330,166,224,233,172,205,321,345
2020,10,80,"2,598",562,160,172,90,244,119,199,199,110,161,284,298
2020,10,90,468,118,31,32,20,28,26,34,39,16,21,53,50
2020,10,100,30,8,1,3,1,4,2,1,4,2,2,2,0
2020,11,총,"22,593","7,071","1,384","1,582",624,"1,803",935,"1,229","1,304",934,"1,230","2,269","2,228"
2020,11,0,"1,161",548,64,66,18,68,27,38,45,28,57,104,98
2020,11,10,"1,424",570,53,84,26,100,48,50,57,41,61,146,188
2020,11,20,"1,933",719,104,134,41,133,81,86,94,78,94,199,170
2020,11,30,"1,731",713,103,94,38,116,52,71,82,69,102,140,151
2020,11,40,"2,151",833,108,143,47,143,77,91,82,68,84,254,221
2020,11,50,"3,609","1,063",223,273,105,312,177,188,198,155,196,369,350
2020,11,60,"3,971","1,058",285,300,127,327,159,249,271,195,247,399,354
2020,11,70,"3,523",879,252,283,112,328,168,221,232,171,206,322,349
2020,11,80,"2,592",561,160,170,90,244,118,202,200,110,159,282,296
2020,11,90,467,118,31,32,19,28,26,32,39,17,22,52,51
2020,11,100,31,9,1,3,1,4,2,1,4,2,2,2,0
2020,12,총,"22,778","7,245","1,375","1,579",621,"1,821",937,"1,229","1,305",942,"1,231","2,271","2,222"
2020,12,0,"1,168",574,59,63,18,64,26,37,43,30,57,100,97
2020,12,10,"1,443",565,52,82,26,122,48,52,59,43,60,148,186
2020,12,20,"1,978",748,103,136,43,132,82,88,95,82,95,202,172
2020,12,30,"1,753",741,98,97,36,119,53,69,80,68,103,138,151
2020,12,40,"2,160",855,103,136,48,140,77,87,84,66,87,250,227
2020,12,50,"3,661","1,103",222,275,105,314,181,191,201,156,192,379,342
2020,12,60,"4,013","1,082",293,306,126,326,160,251,269,198,248,400,354
2020,12,70,"3,521",883,251,281,111,328,167,219,233,170,207,320,351
2020,12,80,"2,591",567,161,169,89,243,118,204,200,110,158,281,291
2020,12,90,459,118,32,31,18,29,23,30,37,17,22,51,51
2020,12,100,31,9,1,3,1,4,2,1,4,2,2,2,0
2021,1,총,"22,892","7,380","1,364","1,575",615,"1,820",941,"1,226","1,310",928,"1,239","2,263","2,231"
2021,1,0,"1,174",585,58,61,17,66,26,36,44,27,58,98,98
2021,1,10,"1,433",580,51,79,26,120,45,51,56,41,61,145,178
2021,1,20,"1,984",750,101,136,42,132,83,90,102,78,96,194,180
2021,1,30,"1,786",768,96,102,36,119,52,70,79,65,105,141,153
2021,1,40,"2,189",894,102,129,46,140,80,87,85,67,86,247,226
2021,1,50,"3,689","1,127",221,274,104,312,181,189,200,151,192,390,348
2021,1,60,"4,032","1,087",293,306,126,332,164,251,271,199,249,398,356
2021,1,70,"3,515",893,245,282,109,325,166,219,234,170,208,314,350
2021,1,80,"2,600",566,164,172,90,243,120,203,198,110,160,282,292
2021,1,90,460,121,32,31,18,27,22,30,37,18,22,52,50
2021,1,100,30,9,1,3,1,4,2,0,4,2,2,2,0
2021,2,총,"22,918","7,437","1,364","1,562",611,"1,824",940,"1,224","1,305",930,"1,232","2,265","2,224"
2021,2,0,"1,180",591,61,58,18,67,27,34,44,27,58,97,98
2021,2,10,"1,433",576,53,80,26,118,43,53,59,42,60,148,175
2021,2,20,"1,950",746,99,131,38,132,83,91,98,78,90,186,178
2021,2,30,"1,787",785,96,99,36,118,53,66,78,64,100,141,151
2021,2,40,"2,204",908,101,128,47,144,80,86,86,65,87,249,223
2021,2,50,"3,700","1,143",219,273,103,312,177,190,201,151,195,384,352
2021,2,60,"4,049","1,088",294,308,126,334,168,250,268,202,249,407,355
2021,2,70,"3,488",893,246,277,105,320,162,217,233,168,205,314,348
2021,2,80,"2,629",578,162,175,93,246,122,204,197,113,163,285,291
2021,2,90,465,119,32,30,18,29,23,32,36,18,23,52,53
2021,2,100,33,10,1,3,1,4,2,1,5,2,2,2,0
2021,3,총,"22,942","7,480","1,356","1,570",608,"1,824",940,"1,216","1,300",932,"1,232","2,265","2,219"
2021,3,0,"1,171",589,62,58,19,65,26,32,43,27,58,96,96
2021,3,10,"1,428",581,49,80,26,115,41,52,58,43,61,145,177
2021,3,20,"1,943",743,96,126,39,135,82,89,98,79,88,190,178
2021,3,30,"1,782",792,96,100,36,117,55,62,78,62,99,136,149
2021,3,40,"2,225",923,96,132,45,144,78,88,84,65,88,259,223
2021,3,50,"3,700","1,149",222,272,102,311,178,191,197,151,195,386,346
2021,3,60,"4,096","1,102",293,318,125,339,171,251,270,204,250,411,362
2021,3,70,"3,484",894,248,278,104,318,159,220,230,169,206,313,345
2021,3,80,"2,624",585,159,176,93,247,123,196,200,112,162,279,292
2021,3,90,463,115,34,27,18,31,26,34,37,18,23,49,51
2021,3,100,26,7,1,3,1,2,1,1,5,2,2,1,0
2021,4,총,"22,997","7,508","1,365","1,572",610,"1,818",936,"1,213","1,291",932,"1,233","2,271","2,248"
2021,4,0,"1,167",586,66,57,19,63,26,31,43,28,58,91,99
2021,4,10,"1,425",576,52,81,24,111,41,52,55,43,61,142,187
2021,4,20,"1,945",750,95,123,40,132,78,89,96,78,83,199,182
2021,4,30,"1,784",793,98,100,37,116,56,61,77,61,102,132,151
2021,4,40,"2,248",933,97,129,45,144,77,89,83,63,93,262,233
2021,4,50,"3,720","1,157",223,277,106,314,178,189,195,151,193,392,345
2021,4,60,"4,099","1,103",294,318,125,337,171,251,273,206,250,409,362
2021,4,70,"3,477",892,247,277,101,320,158,222,229,167,206,314,344
2021,4,80,"2,638",595,155,179,93,247,123,196,197,115,161,281,296
2021,4,90,468,116,37,28,19,32,27,32,38,18,24,48,49
2021,4,100,26,7,1,3,1,2,1,1,5,2,2,1,0
2021,5,총,"23,002","7,541","1,358","1,573",607,"1,808",931,"1,205","1,292",931,"1,224","2,276","2,256"
2021,5,0,"1,158",588,65,56,19,61,26,29,43,26,54,91,100
2021,5,10,"1,426",580,50,81,24,109,43,51,55,43,61,139,190
2021,5,20,"1,951",746,98,122,41,134,79,86,96,78,84,202,185
2021,5,30,"1,777",792,96,99,37,115,52,58,79,62,104,131,152
2021,5,40,"2,238",934,97,128,45,140,78,89,86,62,93,260,226
2021,5,50,"3,710","1,169",222,277,106,310,176,188,190,151,189,387,345
2021,5,60,"4,122","1,111",291,321,124,343,171,255,270,205,247,417,367
2021,5,70,"3,471",903,247,278,98,312,156,219,229,165,204,315,345
2021,5,80,"2,652",593,154,180,93,251,122,199,197,119,163,284,297
2021,5,90,472,118,38,28,19,31,27,30,42,18,23,49,49
2021,5,100,25,7,0,3,1,2,1,1,5,2,2,1,0
2021,6,총,"22,915","7,501","1,352","1,565",606,"1,828",924,"1,197","1,290",925,"1,214","2,276","2,237"
2021,6,0,"1,158",591,65,55,19,60,26,27,45,25,54,92,99
2021,6,10,"1,454",580,49,81,24,136,42,51,57,42,61,140,191
2021,6,20,"1,926",736,97,124,40,130,75,84,94,78,83,202,183
2021,6,30,"1,766",794,99,97,38,113,53,55,76,62,99,130,150
2021,6,40,"2,230",930,96,128,46,140,77,90,87,64,92,257,223
2021,6,50,"3,676","1,160",223,275,102,310,175,184,185,150,187,382,343
2021,6,60,"4,115","1,104",289,318,126,343,171,254,270,203,250,424,363
2021,6,70,"3,435",892,244,272,97,312,155,217,228,163,203,315,337
2021,6,80,"2,663",590,152,185,93,251,122,203,200,118,162,288,299
2021,6,90,468,118,38,27,20,31,27,31,43,18,21,45,49
2021,6,100,24,6,0,3,1,2,1,1,5,2,2,1,0
2021,7,총,"22,868","7,494","1,354","1,561",605,"1,816",913,"1,184","1,290",924,"1,214","2,284","2,229"
2021,7,0,"1,153",585,66,56,18,61,26,27,46,26,52,92,98
2021,7,10,"1,445",579,48,80,26,135,41,51,56,41,61,139,188
2021,7,20,"1,903",739,98,123,37,126,72,80,94,77,81,198,178
2021,7,30,"1,774",788,100,97,38,114,54,55,78,63,97,135,155
2021,7,40,"2,210",933,95,129,44,135,75,84,83,65,93,253,221
2021,7,50,"3,665","1,152",222,272,104,306,175,183,185,148,189,387,342
2021,7,60,"4,133","1,117",290,318,128,344,169,253,270,205,252,427,360
2021,7,70,"3,424",889,245,271,95,310,154,218,224,164,202,318,334
2021,7,80,"2,673",591,152,186,94,252,121,201,206,116,163,287,304
2021,7,90,464,115,38,26,20,31,25,31,43,17,22,47,49
2021,7,100,24,6,0,3,1,2,1,1,5,2,2,1,0
2021,8,총,"22,817","7,509","1,341","1,541",607,"1,809",907,"1,187","1,286",915,"1,207","2,298","2,210"
2021,8,0,"1,155",595,64,55,19,57,25,29,46,25,52,92,96
2021,8,10,"1,429",584,45,76,26,134,40,48,54,40,60,140,182
2021,8,20,"1,895",738,98,121,38,125,72,84,92,74,79,199,175
2021,8,30,"1,754",788,93,93,37,113,51,58,77,60,96,136,152
2021,8,40,"2,199",931,96,123,42,134,75,84,82,65,96,257,214
2021,8,50,"3,662","1,158",223,270,106,303,173,181,184,148,185,393,338
2021,8,60,"4,138","1,111",288,320,125,347,169,253,273,203,252,430,367
2021,8,70,"3,406",884,244,266,98,308,152,216,224,165,202,312,335
2021,8,80,"2,687",597,153,187,95,255,124,201,206,117,159,290,303
2021,8,90,469,117,37,27,20,31,25,32,44,16,24,48,48
2021,8,100,23,6,0,3,1,2,1,1,4,2,2,1,0
2021,9,총,"22,746","7,499","1,346","1,538",603,"1,794",903,"1,185","1,272",910,"1,205","2,291","2,200"
2021,9,0,"1,143",586,64,55,19,55,26,30,43,24,51,95,95
2021,9,10,"1,431",583,48,78,25,132,41,48,53,40,62,138,183
2021,9,20,"1,842",731,98,114,37,118,67,79,90,71,78,193,166
2021,9,30,"1,745",787,91,95,37,114,49,59,74,58,93,140,148
2021,9,40,"2,202",932,99,125,42,131,78,86,80,65,97,252,215
2021,9,50,"3,646","1,149",222,268,104,305,171,179,183,147,186,394,338
2021,9,60,"4,153","1,124",288,323,126,346,170,251,272,203,250,429,371
2021,9,70,"3,392",883,247,262,97,309,152,213,222,167,200,309,331
2021,9,80,"2,699",600,153,188,96,253,124,205,209,118,161,291,301
2021,9,90,470,118,36,27,19,29,24,34,42,15,25,49,52
2021,9,100,23,6,0,3,1,2,1,1,4,2,2,1,0
2021,10,총,"22,771","7,500","1,350","1,537",599,"1,792",908,"1,189","1,278",908,"1,200","2,302","2,208"
2021,10,0,"1,138",587,64,54,18,55,26,30,43,25,48,95,93
2021,10,10,"1,443",586,48,80,25,133,39,48,54,42,63,140,185
2021,10,20,"1,838",724,101,114,34,116,70,82,89,66,79,198,165
2021,10,30,"1,735",787,88,94,37,113,53,59,73,59,87,140,145
2021,10,40,"2,201",931,103,123,40,130,74,87,85,65,96,251,216
2021,10,50,"3,646","1,150",215,264,104,309,169,180,183,144,188,397,343
2021,10,60,"4,171","1,130",290,327,125,345,174,250,272,202,251,430,375
2021,10,70,"3,387",883,248,262,100,305,150,213,222,171,197,309,327
2021,10,80,"2,719",599,157,189,96,254,127,204,210,116,165,295,307
2021,10,90,468,118,36,27,19,30,24,34,42,16,24,46,52
2021,10,100,25,5,0,3,1,2,2,2,5,2,2,1,0
2021,11,총,"22,752","7,504","1,349","1,531",600,"1,784",909,"1,191","1,269",905,"1,193","2,313","2,204"
2021,11,0,"1,122",582,65,52,17,54,24,30,42,24,47,94,91
2021,11,10,"1,441",587,48,78,25,132,38,48,55,41,64,138,187
2021,11,20,"1,842",727,99,111,38,115,75,84,87,66,76,200,164
2021,11,30,"1,732",789,85,96,36,114,52,58,69,59,86,141,147
2021,11,40,"2,196",933,103,123,41,122,74,86,86,65,96,251,216
2021,11,50,"3,639","1,140",215,267,103,310,168,181,179,144,186,404,342
2021,11,60,"4,179","1,141",289,329,124,347,175,250,272,202,251,430,369
2021,11,70,"3,390",882,250,258,101,305,151,215,222,169,198,312,327
2021,11,80,"2,721",598,159,188,96,254,127,204,211,117,163,295,309
2021,11,90,465,118,36,27,18,30,23,33,41,16,24,47,52
2021,11,100,25,7,0,2,1,1,2,2,5,2,2,1,0
2021,12,총,"22,752","7,519","1,340","1,532",596,"1,775",902,"1,188","1,262",903,"1,198","2,328","2,209"
2021,12,0,"1,115",586,65,50,16,52,24,26,41,24,46,95,90
2021,12,10,"1,442",589,49,79,25,128,37,48,54,41,62,142,188
2021,12,20,"1,855",735,100,107,39,113,75,86,90,65,76,201,168
2021,12,30,"1,712",778,83,94,36,111,51,58,66,58,87,143,147
2021,12,40,"2,206",933,106,125,40,125,75,86,86,65,98,249,218
2021,12,50,"3,644","1,145",209,268,102,308,164,179,182,144,188,413,342
2021,12,60,"4,176","1,146",288,332,122,348,173,246,267,200,252,432,370
2021,12,70,"3,371",885,246,256,99,305,150,216,220,168,199,304,323
2021,12,80,"2,738",598,160,191,97,253,129,205,209,119,164,302,311
2021,12,90,468,117,34,28,19,31,22,36,42,17,24,46,52
2021,12,100,25,7,0,2,1,1,2,2,5,2,2,1,0
