년도,월,나이,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020,3,총,"50,382","3,442",751,"2,013","1,599",526,"1,387","2,065",844,989,"1,310",864,394,"1,032","1,474",617,166,"1,498",636,185,"1,164","1,106",439,"6,429","4,670","4,067","4,208","1,911","4,596"
2020,3,0,"2,613",137,17,57,43,16,41,50,29,34,56,27,10,37,61,17,4,59,13,6,20,21,17,476,380,263,251,91,380
2020,3,10,"3,711",260,36,69,85,24,38,75,28,39,76,36,18,57,86,29,7,79,22,5,50,61,21,612,408,409,389,166,526
2020,3,20,"3,653",194,33,72,69,23,58,97,38,45,75,38,18,50,87,41,4,51,25,4,43,44,30,621,455,344,398,138,558
2020,3,30,"3,580",209,31,98,58,22,70,89,38,48,53,34,22,50,82,25,7,71,17,4,43,30,20,631,547,329,360,150,442
2020,3,40,"5,578",340,37,112,118,27,82,118,38,74,112,69,20,70,134,57,11,148,38,13,61,79,24,958,690,581,624,233,710
2020,3,50,"8,209",531,96,300,236,90,215,319,131,180,247,149,92,168,269,117,27,245,86,26,164,145,69,"1,087",784,680,701,304,751
2020,3,60,"9,113",652,177,419,315,108,297,511,181,208,303,195,74,229,284,134,43,298,144,32,254,210,90,982,698,639,678,367,591
2020,3,70,"7,306",589,173,419,318,98,294,420,170,180,215,164,67,189,246,107,34,273,165,44,253,250,76,635,409,448,464,258,348
2020,3,80,"5,592",450,128,395,295,105,237,328,160,154,149,138,62,147,197,72,25,230,103,44,229,220,74,352,254,326,301,170,247
2020,3,90,981,75,22,70,58,11,53,57,31,27,22,14,11,35,27,16,4,41,21,7,45,44,17,69,45,46,39,31,43
2020,3,100,46,5,1,2,4,2,2,1,0,0,2,0,0,0,1,2,0,3,2,0,2,2,1,6,0,2,3,3,0
2020,4,총,"50,261","3,444",746,"2,006","1,603",522,"1,392","2,046",852,971,"1,307",868,395,"1,030","1,462",614,164,"1,506",630,184,"1,159","1,093",440,"6,425","4,657","4,107","4,188","1,894","4,556"
2020,4,0,"2,593",138,17,57,44,16,41,47,30,34,55,27,9,37,60,17,4,59,13,6,20,20,17,467,377,262,252,90,377
2020,4,10,"3,681",254,35,69,80,23,40,73,28,30,77,37,19,55,81,29,7,82,20,5,49,61,21,613,409,419,384,163,518
2020,4,20,"3,593",196,30,68,71,21,57,92,40,44,69,37,18,51,88,39,3,50,23,4,42,40,30,614,453,348,388,130,547
2020,4,30,"3,572",211,32,93,57,21,72,85,39,47,56,32,23,48,81,25,6,71,18,3,43,29,20,624,542,342,359,149,444
2020,4,40,"5,550",344,39,115,118,27,83,115,39,66,110,70,20,70,130,54,11,147,34,12,59,75,24,965,693,582,617,227,704
2020,4,50,"8,191",533,96,298,236,90,210,313,128,179,244,149,93,168,269,118,27,247,89,26,162,146,68,"1,088",777,691,701,306,739
2020,4,60,"9,139",653,172,420,315,108,303,511,184,209,308,199,73,231,283,134,43,298,144,32,257,208,90,991,694,634,684,368,593
2020,4,70,"7,276",576,176,418,318,97,291,422,171,178,210,165,67,190,246,107,33,274,161,44,251,247,75,638,412,452,463,256,338
2020,4,80,"5,628",459,127,393,299,106,240,330,160,156,154,138,62,144,196,73,26,234,104,45,231,221,76,348,255,328,298,171,254
2020,4,90,987,74,21,72,61,11,52,57,33,28,22,14,11,36,27,16,4,41,22,7,44,44,18,69,45,47,38,31,42
2020,4,100,51,6,1,3,4,2,3,1,0,0,2,0,0,0,1,2,0,3,2,0,1,2,1,8,0,2,4,3,0
2020,5,총,"50,149","3,445",744,"1,993","1,599",514,"1,391","2,035",850,963,"1,300",870,392,"1,027","1,459",619,164,"1,505",625,184,"1,151","1,093",438,"6,416","4,654","4,123","4,173","1,885","4,537"
2020,5,0,"2,585",141,17,55,47,15,40,46,31,34,54,29,9,36,59,17,4,57,12,5,19,20,16,469,375,266,248,90,374
2020,5,10,"3,660",251,35,68,81,20,39,73,28,29,74,37,19,54,79,29,7,82,20,5,50,61,21,610,412,422,386,159,509
2020,5,20,"3,565",198,30,63,69,21,58,87,39,43,68,37,17,53,86,41,3,49,21,4,41,40,29,610,453,342,385,128,550
2020,5,30,"3,546",216,32,93,55,20,70,83,40,44,53,32,23,47,80,24,6,72,17,3,40,27,20,624,543,343,353,148,438
2020,5,40,"5,518",338,39,114,118,26,83,114,36,63,109,67,19,70,132,55,11,145,33,12,61,77,22,960,684,587,617,226,700
2020,5,50,"8,189",535,94,297,235,87,212,314,130,182,243,154,90,167,269,120,27,243,87,26,160,145,71,"1,084",782,695,696,306,738
2020,5,60,"9,131",649,172,416,311,109,304,506,183,210,308,198,74,228,284,132,44,303,143,32,256,208,90,997,695,641,683,364,591
2020,5,70,"7,280",578,178,419,318,96,290,424,172,177,212,164,68,193,246,106,33,269,163,45,252,249,75,638,409,447,463,257,339
2020,5,80,"5,629",456,126,393,300,106,242,330,159,153,154,137,62,144,197,76,24,240,104,45,225,219,74,349,256,330,299,173,256
2020,5,90,997,77,20,72,61,12,50,57,32,28,23,15,11,35,26,17,5,42,23,7,46,45,19,69,45,48,39,31,42
2020,5,100,49,6,1,3,4,2,3,1,0,0,2,0,0,0,1,2,0,3,2,0,1,2,1,6,0,2,4,3,0
2020,6,총,"50,026","3,424",739,"1,990","1,600",510,"1,387","2,031",848,969,"1,301",865,398,"1,021","1,451",620,163,"1,489",623,184,"1,149","1,097",435,"6,384","4,638","4,140","4,158","1,878","4,534"
2020,6,0,"2,580",137,14,57,48,15,37,46,31,34,53,29,11,33,61,17,4,57,13,5,19,20,16,469,373,269,248,90,374
2020,6,10,"3,659",254,35,68,77,19,42,75,28,29,76,36,21,55,79,28,6,80,19,5,50,61,20,610,411,428,384,160,503
2020,6,20,"3,523",192,26,64,69,20,58,86,39,42,66,36,18,52,82,42,3,47,20,4,39,41,30,595,449,339,386,128,550
2020,6,30,"3,508",211,33,93,55,16,68,84,40,45,55,32,24,45,81,22,6,71,16,4,40,27,20,613,536,348,347,144,432
2020,6,40,"5,515",341,35,114,118,28,82,114,36,61,110,67,19,71,130,56,11,143,35,12,62,80,22,960,685,585,610,227,701
2020,6,50,"8,139",528,96,296,237,85,209,306,130,184,243,151,88,164,265,121,27,237,84,26,158,146,71,"1,080",771,699,696,302,739
2020,6,60,"9,141",647,171,410,312,110,305,506,180,215,310,200,77,226,284,133,44,302,144,32,254,208,88,998,706,641,679,364,595
2020,6,70,"7,288",575,181,421,317,94,289,425,174,178,211,163,67,194,246,105,33,271,163,44,253,249,75,641,405,447,467,256,344
2020,6,80,"5,635",455,126,393,301,109,244,330,159,155,153,137,62,145,196,77,24,238,106,45,227,217,73,345,257,333,298,175,255
2020,6,90,989,78,21,71,62,12,50,58,31,26,22,14,11,36,26,17,5,40,21,7,46,47,19,67,45,49,39,29,40
2020,6,100,49,6,1,3,4,2,3,1,0,0,2,0,0,0,1,2,0,3,2,0,1,1,1,6,0,2,4,3,1
2020,7,총,"49,961","3,447",742,"1,982","1,594",510,"1,391","2,030",841,963,"1,299",869,397,"1,016","1,440",614,165,"1,488",619,183,"1,138","1,101",435,"6,375","4,618","4,111","4,223","1,867","4,503"
2020,7,0,"2,551",137,14,58,47,14,39,45,31,34,51,28,11,33,57,17,4,53,13,5,18,20,12,469,368,268,251,87,367
2020,7,10,"3,687",276,36,66,76,20,43,83,25,29,76,34,20,55,80,28,5,81,19,5,50,61,21,604,409,415,409,163,498
2020,7,20,"3,490",193,26,63,68,20,57,83,38,40,64,38,18,51,78,40,4,47,20,4,35,42,30,590,446,338,376,128,553
2020,7,30,"3,506",210,31,92,53,16,70,81,41,44,60,32,24,44,79,22,6,71,17,4,39,27,20,618,533,348,356,136,432
2020,7,40,"5,483",343,38,113,116,28,82,111,34,59,105,67,18,71,125,55,11,141,35,11,59,82,23,947,685,576,622,227,699
2020,7,50,"8,116",521,97,295,236,86,209,305,128,185,246,152,88,162,263,118,29,240,82,25,156,145,72,"1,078",765,693,708,303,729
2020,7,60,"9,141",650,171,412,311,110,304,504,181,213,306,198,76,225,287,132,44,304,143,33,253,208,89,"1,002",709,638,686,358,594
2020,7,70,"7,290",577,182,416,317,94,290,427,172,180,214,167,68,193,247,103,33,266,162,44,254,249,75,643,401,448,474,257,337
2020,7,80,"5,655",458,126,395,302,108,244,332,160,151,153,138,63,146,197,79,24,242,105,45,227,218,72,351,257,335,298,176,253
2020,7,90,994,76,21,69,64,12,50,58,31,28,22,15,11,36,26,18,5,40,21,7,46,48,20,66,45,51,39,29,40
2020,7,100,48,6,0,3,4,2,3,1,0,0,2,0,0,0,1,2,0,3,2,0,1,1,1,7,0,1,4,3,1
