년도,월,나이,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2020,1,총,"269,654","22,829","20,778","15,778","24,559","13,654","14,099","3,211","5,017","11,154","6,641","7,504","16,356","5,556","10,785","8,185","5,378","16,072","11,421","12,172","14,392","12,168","11,945",
2020,1,0,"25,682","2,454","1,295","1,983","3,460","2,059","1,637",182,262,648,410,308,"1,451",271,766,379,411,"1,421","1,039","1,289","1,593","1,203","1,161",
2020,1,10,"28,160","2,155","1,835","2,170","3,007","1,757","1,033",228,420,794,439,725,"1,595",434,"1,032",665,368,"1,726","1,436","1,727","1,615","1,327","1,672",
2020,1,20,"35,274","3,188","3,202","1,925","2,872","1,416","1,719",491,782,"1,583",830,"1,085","2,170",759,"1,530","1,088",742,"2,267","1,355","1,279","1,956","1,479","1,556",
2020,1,30,"40,533","4,341","2,404","3,135","4,584","2,701","2,592",402,530,"1,286",755,714,"2,320",619,"1,345",817,823,"2,208","1,326","1,860","2,477","1,721","1,573",
2020,1,40,"47,355","4,072","3,321","3,240","4,897","2,678","2,098",405,712,"1,568",910,"1,142","2,555",816,"1,622","1,156",784,"2,899","2,326","2,845","2,785","2,138","2,386",
2020,1,50,"45,759","3,376","4,361","1,880","3,251","1,793","2,362",787,"1,213","2,442","1,393","1,661","3,115","1,182","2,192","1,733","1,015","2,707","1,774","1,453","2,163","2,111","1,795",
2020,1,60,"26,281","1,878","2,265",836,"1,571",773,"1,549",439,619,"1,593","1,066","1,020","1,916",777,"1,339","1,313",691,"1,528","1,076",911,981,"1,167",973,
2020,1,70,"12,656",901,"1,232",384,570,276,668,144,295,760,513,528,781,461,572,628,311,806,701,523,520,588,494,
2020,1,80,"6,642",387,714,188,289,161,359,101,159,410,278,276,377,203,321,349,188,420,354,230,257,351,270,
2020,1,90,"1,241",74,142,37,55,40,77,28,23,64,44,44,70,33,65,51,41,83,30,51,44,80,65,
2020,1,100,71,3,7,0,3,0,5,4,2,6,3,1,6,1,1,6,4,7,4,4,1,3,0,
2020,2,총,"269,519","22,753","20,764","15,767","24,651","13,672","14,136","3,193","5,011","11,137","6,629","7,499","16,361","5,569","10,751","8,167","5,366","16,054","11,422","12,141","14,359","12,173","11,944",
2020,2,0,"25,503","2,412","1,293","1,962","3,465","2,049","1,633",179,260,646,402,305,"1,431",274,756,377,403,"1,413","1,038","1,262","1,584","1,203","1,156",
2020,2,10,"28,059","2,150","1,820","2,167","2,992","1,755","1,036",229,408,796,441,717,"1,595",433,"1,029",652,370,"1,710","1,427","1,728","1,609","1,325","1,670",
2020,2,20,"35,180","3,186","3,183","1,925","2,873","1,416","1,725",476,786,"1,574",826,"1,089","2,167",760,"1,518","1,085",740,"2,253","1,347","1,276","1,933","1,484","1,558",
2020,2,30,"40,306","4,281","2,399","3,124","4,563","2,678","2,582",399,525,"1,284",752,720,"2,313",620,"1,328",809,816,"2,207","1,330","1,838","2,463","1,711","1,564",
2020,2,40,"47,390","4,084","3,314","3,249","4,961","2,702","2,100",407,710,"1,559",907,"1,127","2,538",812,"1,626","1,160",783,"2,908","2,312","2,836","2,782","2,138","2,375",
2020,2,50,"45,812","3,369","4,356","1,882","3,256","1,803","2,372",783,"1,216","2,428","1,392","1,653","3,128","1,188","2,185","1,728","1,010","2,717","1,785","1,482","2,161","2,107","1,811",
2020,2,60,"26,561","1,897","2,291",848,"1,599",789,"1,569",438,620,"1,601","1,069","1,032","1,950",784,"1,348","1,325",703,"1,541","1,082",911,"1,004","1,179",981,
2020,2,70,"12,708",902,"1,246",383,585,280,672,146,299,762,516,531,775,462,576,628,308,808,704,519,519,591,496,
2020,2,80,"6,685",391,712,188,298,163,362,105,162,417,278,281,386,203,317,343,187,407,362,235,260,357,271,
2020,2,90,"1,242",77,143,38,56,37,80,27,23,64,43,43,72,32,67,54,42,83,31,50,43,75,62,
2020,2,100,73,4,7,1,3,0,5,4,2,6,3,1,6,1,1,6,4,7,4,4,1,3,0,
2020,3,총,"269,338","22,756","20,690","15,822","24,660","13,700","14,156","3,174","5,008","11,139","6,615","7,478","16,339","5,585","10,734","8,154","5,360","16,042","11,388","12,101","14,352","12,155","11,930",
2020,3,0,"25,368","2,402","1,283","1,964","3,451","2,058","1,623",176,259,652,392,301,"1,430",269,746,376,402,"1,400","1,027","1,259","1,570","1,195","1,133",
2020,3,10,"27,942","2,141","1,795","2,170","3,001","1,742","1,037",225,397,788,446,707,"1,580",435,"1,021",645,364,"1,705","1,423","1,706","1,615","1,320","1,679",
2020,3,20,"35,215","3,192","3,182","1,966","2,883","1,434","1,732",475,787,"1,564",819,"1,086","2,165",765,"1,508","1,078",741,"2,263","1,331","1,277","1,930","1,466","1,571",
2020,3,30,"40,120","4,275","2,378","3,099","4,551","2,678","2,564",396,528,"1,283",750,720,"2,294",620,"1,319",811,814,"2,198","1,320","1,826","2,448","1,713","1,535",
2020,3,40,"47,234","4,073","3,277","3,257","4,961","2,714","2,112",396,704,"1,550",902,"1,119","2,538",818,"1,618","1,157",775,"2,889","2,296","2,818","2,770","2,122","2,368",
2020,3,50,"45,855","3,378","4,354","1,897","3,269","1,808","2,366",787,"1,209","2,421","1,382","1,639","3,110","1,189","2,184","1,722","1,010","2,715","1,794","1,495","2,181","2,116","1,829",
2020,3,60,"26,814","1,920","2,314",853,"1,603",787,"1,593",440,634,"1,620","1,074","1,046","1,982",784,"1,371","1,321",709,"1,569","1,090",923,"1,012","1,191",978,
2020,3,70,"12,767",900,"1,252",385,589,278,680,143,304,762,522,534,773,465,581,640,313,813,707,515,517,590,504,
2020,3,80,"6,695",396,705,192,294,165,365,103,161,427,280,281,383,207,320,344,184,400,365,230,262,358,273,
2020,3,90,"1,252",75,144,37,55,36,79,29,23,66,44,44,78,32,64,54,44,83,31,48,46,81,59,
2020,3,100,76,4,6,2,3,0,5,4,2,6,4,1,6,1,2,6,4,7,4,4,1,3,1,
2020,4,총,"269,350","22,796","20,652","15,848","24,704","13,699","14,178","3,170","5,001","11,155","6,597","7,462","16,284","5,634","10,706","8,144","5,343","16,031","11,389","12,121","14,340","12,179","11,917",
2020,4,0,"25,269","2,408","1,278","1,951","3,448","2,035","1,624",175,257,650,392,298,"1,428",272,736,377,396,"1,383","1,027","1,248","1,569","1,195","1,122",
2020,4,10,"27,893","2,149","1,775","2,176","3,007","1,743","1,032",222,391,789,444,697,"1,567",439,"1,020",635,360,"1,702","1,420","1,709","1,624","1,323","1,669",
2020,4,20,"35,222","3,187","3,174","1,967","2,910","1,438","1,740",471,779,"1,546",801,"1,095","2,159",778,"1,492","1,080",737,"2,256","1,340","1,293","1,913","1,475","1,591",
2020,4,30,"40,037","4,269","2,379","3,093","4,548","2,676","2,553",397,529,"1,284",755,707,"2,281",625,"1,320",803,813,"2,182","1,320","1,829","2,450","1,702","1,522",
2020,4,40,"47,132","4,076","3,247","3,270","4,962","2,720","2,125",391,707,"1,537",892,"1,114","2,529",827,"1,606","1,150",770,"2,893","2,281","2,797","2,761","2,123","2,354",
2020,4,50,"45,905","3,393","4,357","1,909","3,285","1,811","2,365",790,"1,208","2,431","1,377","1,631","3,083","1,189","2,184","1,719","1,005","2,719","1,793","1,511","2,179","2,126","1,840",
2020,4,60,"27,017","1,936","2,339",857,"1,602",797,"1,601",446,640,"1,649","1,078","1,058","2,003",792,"1,374","1,326",714,"1,578","1,098",926,"1,019","1,202",982,
2020,4,70,"12,822",899,"1,251",390,595,277,683,144,300,770,529,533,769,467,585,647,317,824,708,523,517,588,506,
2020,4,80,"6,711",398,700,195,289,166,370,100,165,424,281,284,380,211,322,345,184,403,365,233,262,363,271,
2020,4,90,"1,268",78,146,38,55,36,80,30,23,69,44,44,79,33,65,56,43,84,33,48,45,80,59,
2020,4,100,74,3,6,2,3,0,5,4,2,6,4,1,6,1,2,6,4,7,4,4,1,2,1,
2020,5,총,"269,331","22,819","20,586","15,902","24,673","13,780","14,183","3,182","4,995","11,133","6,583","7,424","16,254","5,643","10,686","8,155","5,351","16,032","11,392","12,119","14,318","12,199","11,922",
2020,5,0,"25,148","2,410","1,273","1,938","3,431","2,062","1,617",176,255,642,393,289,"1,412",269,729,361,400,"1,366","1,023","1,244","1,548","1,196","1,114",
2020,5,10,"27,874","2,147","1,758","2,194","3,012","1,743","1,038",227,385,780,446,686,"1,558",437,"1,013",638,364,"1,692","1,413","1,720","1,633","1,320","1,670",
2020,5,20,"35,242","3,177","3,142","1,986","2,897","1,446","1,752",467,778,"1,551",801,"1,100","2,156",783,"1,491","1,087",730,"2,267","1,351","1,296","1,905","1,485","1,594",
2020,5,30,"39,882","4,264","2,377","3,091","4,512","2,687","2,531",404,532,"1,270",738,704,"2,282",628,"1,313",812,811,"2,169","1,306","1,807","2,428","1,687","1,529",
2020,5,40,"47,101","4,080","3,214","3,278","4,974","2,736","2,129",396,695,"1,539",895,"1,094","2,510",832,"1,596","1,144",775,"2,911","2,279","2,794","2,762","2,124","2,344",
2020,5,50,"45,915","3,396","4,352","1,918","3,289","1,817","2,365",788,"1,214","2,416","1,372","1,627","3,079","1,175","2,185","1,718",997,"2,710","1,801","1,525","2,181","2,141","1,849",
2020,5,60,"27,185","1,957","2,356",868,"1,614",808,"1,615",447,640,"1,658","1,070","1,065","2,014",799,"1,385","1,338",724,"1,588","1,098",923,"1,034","1,211",973,
2020,5,70,"12,864",902,"1,260",388,597,278,676,143,304,776,535,532,777,471,581,644,319,824,715,526,518,586,512,
2020,5,80,"6,769",405,702,200,291,168,374,100,168,424,284,281,380,216,325,350,181,414,369,231,265,366,275,
2020,5,90,"1,280",78,146,39,54,35,81,30,22,72,45,45,80,32,66,57,46,84,33,49,43,82,61,
2020,5,100,71,3,6,2,2,0,5,4,2,5,4,1,6,1,2,6,4,7,4,4,1,1,1,
2020,6,총,"269,375","22,763","20,543","15,869","24,661","14,137","14,163","3,167","4,974","11,131","6,545","7,399","16,230","5,676","10,661","8,164","5,347","16,004","11,385","12,147","14,306","12,183","11,920",
2020,6,0,"25,083","2,379","1,276","1,945","3,418","2,129","1,609",180,253,632,386,290,"1,411",279,720,352,402,"1,345","1,017","1,251","1,531","1,181","1,097",
2020,6,10,"27,840","2,119","1,761","2,175","3,024","1,768","1,037",220,388,781,448,673,"1,555",439,"1,011",638,362,"1,683","1,425","1,706","1,625","1,320","1,682",
2020,6,20,"35,161","3,198","3,100","1,986","2,885","1,483","1,753",463,771,"1,540",785,"1,090","2,145",777,"1,475","1,110",722,"2,227","1,336","1,319","1,921","1,481","1,594",
2020,6,30,"39,833","4,201","2,383","3,087","4,510","2,784","2,516",394,534,"1,272",736,704,"2,250",642,"1,320",811,804,"2,186","1,298","1,806","2,391","1,689","1,515",
2020,6,40,"47,142","4,105","3,199","3,287","4,958","2,798","2,128",392,696,"1,534",887,"1,086","2,506",839,"1,595","1,145",778,"2,911","2,270","2,795","2,764","2,119","2,350",
2020,6,50,"45,887","3,401","4,332","1,911","3,290","1,856","2,370",790,"1,197","2,415","1,363","1,608","3,075","1,171","2,174","1,706",995,"2,701","1,818","1,529","2,197","2,129","1,859",
2020,6,60,"27,379","1,967","2,374",870,"1,625",830,"1,604",450,644,"1,673","1,073","1,076","2,036",812,"1,383","1,342",741,"1,609","1,095",932,"1,037","1,229",977,
2020,6,70,"12,925",914,"1,261",378,605,285,686,146,299,784,539,534,786,469,585,643,315,830,719,519,527,592,509,
2020,6,80,"6,767",400,706,191,288,167,375,99,168,421,278,290,375,216,329,352,181,421,369,236,268,359,278,
2020,6,90,"1,289",76,145,37,56,37,80,29,22,73,46,47,85,31,67,59,43,84,34,51,44,84,59,
2020,6,100,69,3,6,2,2,0,5,4,2,6,4,1,6,1,2,6,4,7,4,3,1,0,0,
2020,7,총,"269,392","22,765","20,472","15,875","24,621","14,584","14,116","3,176","4,957","11,104","6,529","7,382","16,203","5,651","10,620","8,154","5,336","15,976","11,396","12,152","14,263","12,172","11,888",
2020,7,0,"24,961","2,353","1,249","1,914","3,395","2,228","1,592",179,251,633,381,287,"1,409",273,713,343,401,"1,328","1,012","1,249","1,517","1,169","1,085",
