년도,월,나이,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020,1,총,"1,817,302","654,963","338,977","315,986","269,779","286,997","110,310","81,439","83,803","92,171","25,681","24,271","22,382","28,446","28,311","55,604","53,145"
2020,1,0,"136,102","55,983","25,481","30,502","22,370","20,747","6,848","5,297","4,668","7,533","1,383","1,274","1,229","1,474","1,656","2,896","2,744"
2020,1,10,"181,692","74,055","37,843","36,212","27,702","29,321","10,170","7,625","6,484","8,474","1,714","1,856","1,713","1,840","2,293","4,513","3,932"
2020,1,20,"213,494","92,038","49,026","43,012","29,836","37,110","10,899","7,724","7,506","9,013","2,051","1,905","1,744","2,425","2,193","4,535","4,515"
2020,1,30,"196,940","82,718","40,181","42,537","32,417","30,403","9,415","6,786","7,032","10,109","1,813","1,786","1,711","2,202","2,208","4,152","4,188"
2020,1,40,"274,349","108,228","54,713","53,515","44,381","43,291","15,401","11,083","10,374","13,613","2,893","2,968","2,651","3,114","3,415","6,558","6,379"
2020,1,50,"303,487","105,725","57,079","48,646","44,195","50,042","18,901","13,944","14,245","15,503","4,650","4,286","3,840","4,919","4,687","9,347","9,203"
2020,1,60,"243,700","72,769","40,149","32,620","35,782","38,442","16,206","12,374","14,063","13,095","4,623","4,219","4,046","4,838","4,571","9,329","9,343"
2020,1,70,"165,237","41,948","22,686","19,262","21,818","23,507","13,306","9,673","11,129","8,927","3,791","3,408","3,110","4,298","4,249","8,432","7,641"
2020,1,80,"88,857","18,771","10,279","8,492","9,759","12,223","7,953","5,988","7,149","5,136","2,383","2,238","2,044","2,892","2,648","5,074","4,599"
2020,1,90,"12,637","2,563","1,456","1,107","1,408","1,811","1,106",902,"1,089",731,355,316,275,418,369,732,562
2020,1,100,807,165,84,81,111,100,105,43,64,37,25,15,19,26,22,36,39
2020,2,총,"1,815,112","655,447","339,281","316,166","269,201","286,096","110,120","81,358","83,595","92,201","25,652","24,230","22,285","28,253","28,260","55,425","52,989"
2020,2,0,"135,297","55,888","25,524","30,364","22,151","20,575","6,792","5,268","4,599","7,493","1,377","1,269","1,212","1,451","1,647","2,864","2,711"
2020,2,10,"180,675","73,815","37,699","36,116","27,532","29,054","10,119","7,577","6,444","8,460","1,705","1,841","1,684","1,836","2,279","4,441","3,888"
2020,2,20,"212,339","91,899","48,907","42,992","29,668","36,781","10,807","7,661","7,387","8,998","2,031","1,899","1,721","2,371","2,177","4,466","4,473"
2020,2,30,"195,971","82,690","40,275","42,415","32,117","30,163","9,358","6,746","7,021","10,034","1,798","1,764","1,683","2,162","2,178","4,118","4,139"
2020,2,40,"274,471","108,523","54,783","53,740","44,369","43,212","15,397","11,088","10,344","13,669","2,872","2,964","2,656","3,055","3,426","6,538","6,358"
2020,2,50,"303,074","105,695","57,046","48,649","44,178","49,941","18,847","13,933","14,182","15,502","4,669","4,279","3,804","4,874","4,664","9,318","9,188"
2020,2,60,"244,901","73,159","40,366","32,793","35,924","38,642","16,273","12,440","14,169","13,174","4,634","4,216","4,071","4,868","4,604","9,366","9,361"
2020,2,70,"165,445","42,119","22,766","19,353","21,893","23,539","13,292","9,696","11,114","8,934","3,782","3,411","3,111","4,283","4,225","8,405","7,641"
2020,2,80,"89,352","18,910","10,354","8,556","9,815","12,265","8,019","5,993","7,171","5,158","2,398","2,252","2,048","2,911","2,667","5,119","4,626"
2020,2,90,"12,770","2,582","1,475","1,107","1,443","1,822","1,111",914,"1,100",741,360,320,275,418,366,753,565
2020,2,100,817,167,86,81,111,102,105,42,64,38,26,15,20,24,27,37,39
2020,3,총,"1,812,936","655,519","339,291","316,228","268,766","285,431","109,951","81,257","83,570","92,135","25,621","24,178","22,277","28,073","28,155","55,190","52,813"
2020,3,0,"134,584","55,721","25,471","30,250","22,010","20,424","6,755","5,249","4,587","7,441","1,361","1,271","1,208","1,424","1,619","2,826","2,688"
2020,3,10,"179,656","73,458","37,480","35,978","27,417","28,887","10,030","7,545","6,418","8,429","1,694","1,813","1,681","1,814","2,280","4,340","3,850"
2020,3,20,"212,222","92,176","49,050","43,126","29,611","36,651","10,825","7,641","7,380","8,988","2,015","1,880","1,715","2,297","2,154","4,459","4,430"
2020,3,30,"194,883","82,511","40,201","42,310","31,913","29,899","9,302","6,699","6,976","9,967","1,777","1,770","1,669","2,127","2,127","4,067","4,079"
2020,3,40,"273,525","108,230","54,570","53,660","44,204","43,006","15,335","11,055","10,335","13,658","2,864","2,942","2,653","3,023","3,416","6,474","6,330"
2020,3,50,"302,523","105,664","56,997","48,667","44,109","49,791","18,804","13,896","14,170","15,472","4,665","4,255","3,785","4,856","4,652","9,273","9,131"
2020,3,60,"246,072","73,555","40,599","32,956","36,059","38,833","16,338","12,523","14,218","13,239","4,672","4,236","4,085","4,862","4,623","9,398","9,431"
2020,3,70,"165,942","42,376","22,906","19,470","22,020","23,673","13,275","9,691","11,119","8,972","3,782","3,398","3,117","4,303","4,200","8,384","7,632"
2020,3,80,"89,805","19,041","10,426","8,615","9,856","12,323","8,063","6,008","7,194","5,186","2,400","2,268","2,064","2,919","2,690","5,168","4,625"
2020,3,90,"12,902","2,624","1,507","1,117","1,454","1,838","1,119",908,"1,109",745,365,328,278,425,365,765,579
2020,3,100,822,163,84,79,113,106,105,42,64,38,26,17,22,23,29,36,38
2020,4,총,"1,811,619","655,713","338,965","316,748","268,667","285,255","109,763","81,170","83,391","91,976","25,548","24,127","22,277","27,895","28,124","55,021","52,692"
2020,4,0,"133,951","55,480","25,268","30,212","21,913","20,345","6,737","5,214","4,554","7,389","1,361","1,267","1,205","1,407","1,601","2,805","2,673"
2020,4,10,"178,989","73,314","37,316","35,998","27,302","28,759","9,981","7,533","6,392","8,372","1,676","1,810","1,677","1,779","2,275","4,284","3,835"
2020,4,20,"212,153","92,311","49,122","43,189","29,681","36,688","10,768","7,613","7,355","8,966","1,994","1,861","1,711","2,253","2,137","4,426","4,389"
2020,4,30,"194,215","82,469","40,093","42,376","31,788","29,738","9,248","6,674","6,927","9,901","1,756","1,765","1,655","2,089","2,122","4,036","4,047"
2020,4,40,"272,813","108,083","54,330","53,753","44,101","42,872","15,267","11,007","10,277","13,627","2,840","2,941","2,645","2,997","3,403","6,440","6,313"
2020,4,50,"302,242","105,704","56,990","48,714","44,103","49,730","18,797","13,901","14,135","15,426","4,642","4,243","3,764","4,820","4,636","9,239","9,102"
2020,4,60,"246,819","73,797","40,735","33,062","36,188","39,040","16,357","12,555","14,214","13,304","4,685","4,225","4,116","4,856","4,637","9,410","9,435"
2020,4,70,"166,423","42,590","23,042","19,548","22,116","23,746","13,266","9,685","11,157","8,998","3,793","3,404","3,114","4,319","4,208","8,383","7,644"
2020,4,80,"90,207","19,152","10,471","8,681","9,900","12,384","8,101","6,040","7,197","5,211","2,409","2,262","2,090","2,929","2,713","5,189","4,630"
2020,4,90,"12,982","2,648","1,515","1,133","1,459","1,847","1,136",910,"1,117",744,366,333,278,423,362,773,586
2020,4,100,825,165,83,82,116,106,105,38,66,38,26,16,22,23,30,36,38
2020,5,총,"1,810,097","655,607","338,482","317,125","268,558","284,746","109,646","81,067","83,384","91,835","25,514","24,089","22,230","27,807","28,040","54,950","52,624"
2020,5,0,"133,311","55,268","25,100","30,168","21,821","20,198","6,699","5,201","4,528","7,326","1,355","1,266","1,207","1,399","1,582","2,793","2,668"
2020,5,10,"178,351","73,030","37,037","35,993","27,242","28,641","9,931","7,487","6,377","8,360","1,674","1,810","1,663","1,777","2,260","4,263","3,836"
2020,5,20,"211,775","92,289","49,133","43,156","29,659","36,562","10,749","7,605","7,353","8,942","1,991","1,828","1,697","2,209","2,135","4,391","4,365"
2020,5,30,"193,615","82,442","40,026","42,416","31,664","29,551","9,201","6,646","6,901","9,819","1,750","1,761","1,641","2,073","2,105","4,032","4,029"
2020,5,40,"272,051","107,814","54,083","53,731","44,011","42,722","15,227","10,983","10,247","13,587","2,819","2,923","2,630","2,982","3,397","6,396","6,313"
