년도,월,나이,경주시,감포읍,안강읍,건천읍,외동읍,양북면,양남면,내남면,산내면,서면,현곡면,강동면,천북면,중부동,황오동,성건동,황남동,선도동,월성동,용강동,황성동,동천동,불국동,보덕동,문무대왕면
2020,1,총,"127,424","2,794","12,953","4,749","8,835","2,111","2,993","2,432","1,654","1,651","10,976","3,191","2,659","2,792","3,501","7,285","2,616","7,558","3,042","11,046","14,983","11,695","4,986",922,
2020,1,0,"8,257",77,629,189,513,123,147,56,25,32,"1,156",112,106,119,108,230,53,630,183,"1,335","1,360",705,332,37,
2020,1,10,"10,444",107,"1,119",224,513,80,163,110,41,47,"1,251",176,171,150,176,454,121,833,164,"1,228","1,823","1,153",283,57,
2020,1,20,"12,117",162,"1,100",303,766,179,218,135,63,86,"1,116",237,235,269,315,917,171,851,203,"1,130","1,744","1,397",440,80,
2020,1,30,"12,425",142,931,296,851,202,211,99,67,80,"1,578",172,222,250,235,588,152,818,291,"1,603","1,802","1,189",581,65,
2020,1,40,"18,029",228,"1,719",456,"1,005",144,327,197,90,135,"1,923",328,282,302,354,900,235,"1,375",362,"1,965","3,005","2,004",587,106,
2020,1,50,"22,800",487,"2,455",844,"1,753",279,607,409,313,261,"1,723",590,486,480,611,"1,310",409,"1,326",496,"1,914","2,704","2,316",871,156,
2020,1,60,"19,905",629,"2,163","1,004","1,575",391,604,537,429,385,"1,121",632,485,585,799,"1,480",569,862,587,988,"1,385","1,640",861,194,
2020,1,70,"13,470",566,"1,632",820,984,360,405,447,336,363,614,493,388,405,580,959,504,509,426,520,643,811,570,135,
2020,1,80,"8,635",335,"1,068",523,761,298,256,391,245,234,424,395,248,200,275,390,351,307,293,306,441,431,386,77,
2020,1,90,"1,272",60,128,83,111,53,54,49,43,27,68,54,34,27,40,56,46,45,36,52,73,49,70,14,
2020,1,100,70,1,9,7,3,2,1,2,2,1,2,2,2,5,8,1,5,2,1,5,3,0,5,1,
2020,2,총,"127,166","2,791","12,899","4,719","8,869","2,111","2,962","2,413","1,662","1,644","11,046","3,182","2,696","2,778","3,492","7,263","2,566","7,558","3,022","11,012","14,933","11,672","4,961",915,
2020,2,0,"8,197",75,629,188,520,121,139,51,26,31,"1,170",109,110,116,109,228,51,622,180,"1,310","1,351",698,327,36,
2020,2,10,"10,386",105,"1,092",218,515,80,162,113,43,47,"1,240",176,176,149,171,455,118,841,159,"1,230","1,817","1,145",280,54,
2020,2,20,"11,999",153,"1,098",294,752,180,213,128,61,86,"1,117",230,242,267,314,912,164,840,205,"1,109","1,727","1,397",430,80,
2020,2,30,"12,335",145,918,294,857,200,210,96,68,81,"1,584",177,228,249,233,576,142,802,281,"1,589","1,786","1,179",578,62,
2020,2,40,"17,993",233,"1,700",460,"1,009",146,311,194,89,132,"1,945",322,293,303,350,897,233,"1,379",355,"1,970","2,984","1,993",588,107,
2020,2,50,"22,771",486,"2,466",823,"1,753",277,601,408,308,261,"1,745",586,488,470,609,"1,301",403,"1,328",497,"1,914","2,699","2,324",870,154,
2020,2,60,"19,996",630,"2,172","1,012","1,596",392,606,541,432,383,"1,128",636,489,584,807,"1,476",554,872,588,"1,001","1,400","1,640",862,195,
2020,2,70,"13,454",564,"1,611",820,984,357,404,441,340,361,624,488,387,406,575,965,501,515,429,521,652,810,565,134,
2020,2,80,"8,678",339,"1,076",522,766,302,258,393,248,234,423,401,247,203,274,393,349,310,287,311,441,437,388,76,
2020,2,90,"1,287",59,128,81,114,54,57,46,45,27,69,55,34,26,42,59,46,47,40,52,73,49,68,16,
