년도,월,나이,청양군,청양읍,운곡면,대치면,정산면,목면,청남면,장평면,남양면,화성면,비봉면
2020,1,총,"15,640","5,109","1,117","1,096","1,745",764,957,"1,200","1,418","1,106","1,128"
2020,1,0,662,335,26,45,74,10,30,41,46,29,26
2020,1,10,"1,023",500,48,36,129,36,55,60,48,63,48
2020,1,20,"1,268",626,75,74,125,50,47,72,90,46,63
2020,1,30,960,458,46,48,122,36,40,52,57,48,53
2020,1,40,"1,374",609,85,84,180,54,68,76,86,63,69
2020,1,50,"2,542",821,184,189,293,142,141,168,223,183,198
2020,1,60,"2,887",764,194,221,304,147,204,266,291,253,243
2020,1,70,"2,513",513,220,204,282,137,187,260,286,209,215
2020,1,80,"2,083",405,212,174,210,129,156,172,253,189,183
2020,1,90,311,74,27,21,24,22,27,30,38,22,26
2020,1,100,17,4,0,0,2,1,2,3,0,1,4
2020,2,총,"15,532","5,082","1,099","1,091","1,738",754,960,"1,191","1,398","1,106","1,113"
2020,2,0,655,334,26,43,72,10,30,40,44,30,26
2020,2,10,"1,011",495,40,37,131,35,56,61,46,63,47
2020,2,20,"1,222",600,75,72,122,49,46,70,85,45,58
2020,2,30,950,462,42,45,117,34,40,48,58,48,56
2020,2,40,"1,365",609,83,83,185,52,68,75,82,60,68
2020,2,50,"2,498",807,180,188,285,138,139,168,222,181,190
2020,2,60,"2,891",770,197,223,307,148,204,264,283,256,239
2020,2,70,"2,516",517,219,201,286,135,189,259,286,209,215
2020,2,80,"2,094",408,212,177,208,131,156,175,255,189,183
2020,2,90,313,76,25,22,23,21,30,28,37,24,27
2020,2,100,17,4,0,0,2,1,2,3,0,1,4
2020,3,총,"15,441","5,037","1,097","1,087","1,728",755,955,"1,190","1,393","1,102","1,097"
2020,3,0,651,331,25,42,71,10,32,40,44,29,27
2020,3,10,997,487,38,37,129,39,55,62,46,61,43
2020,3,20,"1,178",572,76,68,120,46,44,69,79,45,59
2020,3,30,926,450,41,44,119,34,38,44,56,49,51
2020,3,40,"1,365",609,84,82,186,51,67,73,84,61,68
2020,3,50,"2,470",805,178,183,276,139,137,170,221,179,182
2020,3,60,"2,901",774,198,231,309,146,204,263,279,257,240
2020,3,70,"2,523",523,218,196,284,135,191,264,286,210,216
2020,3,80,"2,098",406,214,182,210,133,157,173,258,185,180
2020,3,90,317,76,25,22,22,22,28,29,40,25,28
2020,3,100,15,4,0,0,2,0,2,3,0,1,3
2020,4,총,"15,378","5,004","1,092","1,079","1,719",756,955,"1,191","1,396","1,096","1,090"
2020,4,0,653,335,24,40,71,11,33,40,46,29,24
2020,4,10,984,474,38,37,130,39,53,62,45,61,45
2020,4,20,"1,152",549,76,65,119,46,46,69,82,44,56
2020,4,30,923,451,41,45,115,34,41,45,56,46,49
2020,4,40,"1,358",607,85,83,183,51,66,73,84,60,66
2020,4,50,"2,438",802,173,177,275,138,134,169,217,171,182
2020,4,60,"2,909",775,199,233,309,143,203,263,282,259,243
2020,4,70,"2,516",524,214,194,280,136,195,261,285,211,216
2020,4,80,"2,112",406,218,183,211,136,154,177,260,189,178
2020,4,90,317,77,24,21,24,22,28,29,39,25,28
2020,4,100,16,4,0,1,2,0,2,3,0,1,3
2020,5,총,"15,322","4,996","1,089","1,075","1,712",748,954,"1,184","1,390","1,098","1,076"
2020,5,0,654,335,25,41,70,11,33,41,46,29,23
2020,5,10,969,464,39,35,128,39,52,62,45,60,45
2020,5,20,"1,143",549,73,65,121,45,47,67,77,46,53
2020,5,30,915,453,41,45,111,32,39,44,57,46,47
2020,5,40,"1,341",607,83,80,179,51,65,70,82,60,64
2020,5,50,"2,437",803,173,173,278,137,136,171,216,170,180
