년도,월,나이,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020,9,90,494,141,38,26,44,29,21,50,13,42,49,41
2020,9,100,27,11,3,2,2,3,1,1,0,1,1,2
2020,10,총,"32,476","14,916","1,917","1,469","2,219","1,668","2,310","1,943",758,"1,780","1,707","1,789"
2020,10,0,"1,474","1,019",35,75,50,26,59,52,23,59,34,42
2020,10,10,"2,134","1,339",87,78,96,57,142,95,24,65,70,81
2020,10,20,"2,384","1,404",117,103,89,85,161,107,26,88,104,100
2020,10,30,"2,237","1,314",92,141,98,71,158,101,26,64,85,87
2020,10,40,"3,376","1,962",173,163,159,111,193,166,57,123,115,154
2020,10,50,"5,931","2,671",397,253,397,269,402,343,138,342,355,364
2020,10,60,"6,725","2,528",475,267,555,413,509,494,230,439,387,428
2020,10,70,"4,573","1,541",339,208,432,344,387,300,138,316,295,273
2020,10,80,"3,120",986,160,153,299,259,276,233,83,242,212,217
2020,10,90,495,141,39,26,42,30,22,51,13,41,49,41
2020,10,100,27,11,3,2,2,3,1,1,0,1,1,2
2020,11,총,"32,456","14,920","1,915","1,474","2,202","1,665","2,311","1,935",759,"1,769","1,710","1,796"
2020,11,0,"1,459","1,018",33,75,50,25,59,50,23,53,34,39
2020,11,10,"2,119","1,333",87,78,92,56,143,92,24,68,69,77
2020,11,20,"2,382","1,410",113,104,86,85,155,106,27,89,106,101
2020,11,30,"2,216","1,298",93,142,93,71,161,104,25,60,82,87
2020,11,40,"3,356","1,960",168,162,156,107,193,164,57,123,113,153
2020,11,50,"5,940","2,680",402,256,391,271,400,341,140,340,350,369
2020,11,60,"6,759","2,530",478,268,561,413,516,494,227,440,398,434
2020,11,70,"4,591","1,552",340,207,430,349,389,302,140,313,295,274
2020,11,80,"3,111",985,159,154,300,255,272,231,83,240,214,218
2020,11,90,495,143,39,26,40,30,22,50,13,42,48,42
2020,11,100,28,11,3,2,3,3,1,1,0,1,1,2
2020,12,총,"32,412","14,938","1,907","1,467","2,193","1,667","2,295","1,932",761,"1,763","1,704","1,785"
2020,12,0,"1,464","1,021",32,75,54,24,57,48,26,54,34,39
2020,12,10,"2,111","1,335",84,76,90,59,137,90,25,68,70,77
2020,12,20,"2,377","1,411",118,104,86,85,151,107,27,85,104,99
2020,12,30,"2,210","1,300",91,140,93,71,161,104,25,60,80,85
2020,12,40,"3,320","1,949",165,159,151,104,193,161,58,121,109,150
2020,12,50,"5,900","2,690",397,257,384,269,392,331,138,338,342,362
2020,12,60,"6,814","2,544",478,266,560,416,522,511,227,440,410,440
2020,12,70,"4,584","1,555",342,207,431,351,383,297,142,315,289,272
2020,12,80,"3,114",981,159,155,301,255,274,235,80,239,218,217
2020,12,90,490,141,38,26,40,30,24,47,13,42,47,42
2020,12,100,28,11,3,2,3,3,1,1,0,1,1,2
2021,1,총,"32,364","14,899","1,902","1,462","2,190","1,661","2,297","1,934",754,"1,765","1,705","1,795"
2021,1,0,"1,445","1,006",32,76,53,24,58,46,24,55,34,37
2021,1,10,"2,098","1,329",83,75,89,57,133,93,25,67,69,78
2021,1,20,"2,363","1,399",115,105,86,86,149,108,26,85,104,100
2021,1,30,"2,194","1,290",92,139,92,67,165,102,24,58,80,85
2021,1,40,"3,304","1,947",155,158,152,105,193,156,54,122,111,151
2021,1,50,"5,850","2,682",401,252,381,258,380,328,138,331,337,362
2021,1,60,"6,874","2,553",482,270,553,426,537,518,227,449,415,444
2021,1,70,"4,582","1,555",343,204,435,344,379,299,141,317,289,276
2021,1,80,"3,130",984,159,155,305,260,279,236,82,236,216,218
2021,1,90,497,143,37,26,41,32,23,47,13,44,49,42
2021,1,100,27,11,3,2,3,2,1,1,0,1,1,2
2021,2,총,"32,371","14,909","1,908","1,469","2,191","1,657","2,292","1,925",748,"1,763","1,710","1,799"
2021,2,0,"1,438","1,003",32,79,53,24,58,45,23,51,34,36
2021,2,10,"2,090","1,319",89,74,90,56,130,94,23,67,69,79
2021,2,20,"2,344","1,387",116,105,82,85,148,108,26,85,101,101
2021,2,30,"2,174","1,284",89,144,92,63,161,96,21,56,82,86
2021,2,40,"3,299","1,951",154,156,154,106,194,150,53,123,109,149
2021,2,50,"5,843","2,680",399,254,381,258,380,330,137,327,337,360
2021,2,60,"6,942","2,579",488,273,559,427,540,516,229,458,420,453
2021,2,70,"4,577","1,556",345,203,432,343,375,303,139,318,289,274
2021,2,80,"3,135",993,155,153,304,260,281,237,83,233,219,217
2021,2,90,502,146,38,26,42,33,24,45,14,44,49,41
2021,2,100,27,11,3,2,2,2,1,1,0,1,1,3
2021,3,총,"32,206","14,874","1,895","1,463","2,186","1,646","2,273","1,907",742,"1,750","1,683","1,787"
2021,3,0,"1,425",990,31,81,54,24,59,46,23,49,35,33
2021,3,10,"2,079","1,315",91,73,93,56,121,94,23,65,70,78
2021,3,20,"2,331","1,379",116,103,82,82,147,108,26,85,100,103
2021,3,30,"2,144","1,283",88,140,85,65,157,97,20,55,77,77
2021,3,40,"3,272","1,935",154,157,157,107,189,149,53,115,110,146
2021,3,50,"5,782","2,674",390,247,374,256,378,323,131,324,330,355
2021,3,60,"6,982","2,607",490,284,560,423,541,510,230,462,415,460
2021,3,70,"4,552","1,553",343,199,430,340,372,299,139,316,285,276
2021,3,80,"3,129",986,155,153,307,261,284,237,83,235,212,216
2021,3,90,495,146,36,25,42,32,24,43,14,43,48,42
2021,3,100,15,6,1,1,2,0,1,1,0,1,1,1
2021,4,총,"32,211","14,897","1,890","1,470","2,170","1,644","2,281","1,895",745,"1,751","1,680","1,788"
2021,4,0,"1,420",990,29,80,51,23,61,46,23,49,35,33
2021,4,10,"2,073","1,313",89,75,94,55,119,90,23,66,70,79
2021,4,20,"2,346","1,391",121,105,82,82,152,109,25,85,93,101
2021,4,30,"2,120","1,279",83,139,84,67,155,91,18,55,75,74
2021,4,40,"3,260","1,932",153,159,152,106,189,149,55,112,109,144
2021,4,50,"5,751","2,668",382,249,367,251,381,315,131,328,332,347
2021,4,60,"7,044","2,624",498,286,564,427,538,518,234,466,418,471
2021,4,70,"4,531","1,549",341,196,428,332,375,297,137,316,286,274
2021,4,80,"3,153",994,156,156,305,269,284,237,85,232,215,220
2021,4,90,498,151,37,24,41,32,26,42,14,41,46,44
2021,4,100,15,6,1,1,2,0,1,1,0,1,1,1
2021,5,총,"32,180","14,873","1,886","1,477","2,168","1,644","2,286","1,896",744,"1,746","1,675","1,785"
2021,5,0,"1,404",980,29,79,51,23,60,44,23,48,35,32
2021,5,10,"2,063","1,310",85,78,93,55,119,89,23,63,67,81
2021,5,20,"2,334","1,379",122,105,83,83,154,111,23,83,91,100
2021,5,30,"2,101","1,268",84,141,81,67,154,88,18,52,75,73
2021,5,40,"3,237","1,930",149,160,147,103,185,150,55,112,102,144
2021,5,50,"5,720","2,650",385,240,376,249,377,309,128,325,336,345
2021,5,60,"7,129","2,653",501,295,566,433,545,529,238,472,422,475
2021,5,70,"4,520","1,549",338,197,421,328,380,301,135,314,284,273
