년도,월,나이,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020,1,총,"104,985","10,763","2,485","1,453","2,015","2,257","3,089","2,849","2,087","1,964","3,184","8,128","6,289","4,239","3,684","6,736","8,381","8,264","19,064","8,054"
2020,1,0,"6,555",511,68,28,64,63,79,86,44,40,58,537,366,176,202,497,460,514,"2,192",570
2020,1,10,"9,347",739,117,61,101,127,135,140,94,76,138,"1,027",652,327,278,889,641,776,"2,149",880
2020,1,20,"10,057",975,233,79,158,160,232,189,144,135,149,805,625,343,325,725,"1,000","1,011","1,955",814
2020,1,30,"9,117",762,128,59,104,116,173,140,102,83,157,631,474,333,291,599,722,711,"2,703",829
2020,1,40,"14,365","1,299",214,106,199,209,264,283,153,166,227,"1,370",910,504,450,"1,157","1,091","1,118","3,357","1,288"
2020,1,50,"18,406","1,944",503,260,326,395,546,547,419,359,641,"1,363","1,121",740,658,"1,170","1,655","1,646","2,717","1,396"
2020,1,60,"17,742","2,211",533,337,430,481,699,701,521,459,813,"1,124","1,025",858,712,853,"1,426","1,285","2,120","1,154"
2020,1,70,"11,778","1,417",355,286,327,397,527,456,352,340,580,808,711,603,506,550,898,786,"1,202",677
2020,1,80,"6,613",765,296,204,250,253,382,260,212,272,371,380,363,312,233,262,443,363,599,393
2020,1,90,953,130,35,32,52,54,51,40,46,33,47,80,38,40,29,32,44,52,68,50
2020,1,100,52,10,3,1,4,2,1,7,0,1,3,3,4,3,0,2,1,2,2,3
2020,2,총,"104,795","10,754","2,470","1,460","1,999","2,250","3,109","2,829","2,074","1,956","3,184","8,119","6,278","4,206","3,682","6,715","8,388","8,225","19,078","8,019"
2020,2,0,"6,518",510,66,26,66,60,81,81,43,38,56,534,366,170,200,491,472,508,"2,199",551
2020,2,10,"9,278",737,112,63,97,125,134,139,92,76,140,"1,022",647,320,277,889,643,763,"2,131",871
2020,2,20,"10,010",962,227,77,157,161,237,187,146,129,147,800,624,341,324,719,989,"1,001","1,960",822
2020,2,30,"9,050",769,128,58,104,118,172,138,98,84,154,632,471,327,287,589,732,699,"2,677",813
2020,2,40,"14,335","1,288",213,107,197,207,265,280,149,165,233,"1,357",901,499,452,"1,156","1,087","1,114","3,381","1,284"
2020,2,50,"18,354","1,932",500,264,328,392,543,541,411,361,633,"1,369","1,120",730,649,"1,183","1,637","1,638","2,727","1,396"
2020,2,60,"17,777","2,219",532,339,428,483,707,702,522,452,817,"1,130","1,031",856,720,833,"1,434","1,295","2,112","1,165"
2020,2,70,"11,830","1,416",358,284,329,392,535,456,355,342,586,804,710,606,510,561,907,792,"1,218",669
2020,2,80,"6,632",779,295,208,245,257,382,258,213,274,367,389,367,315,234,262,436,359,599,393
2020,2,90,955,131,36,33,44,52,52,40,44,34,47,79,38,39,29,31,49,54,72,51
2020,2,100,56,11,3,1,4,3,1,7,1,1,4,3,3,3,0,1,2,2,2,4
2020,3,총,"104,557","10,720","2,450","1,454","1,998","2,248","3,112","2,840","2,063","1,945","3,177","8,122","6,259","4,199","3,653","6,730","8,387","8,178","19,039","7,983"
2020,3,0,"6,468",496,60,27,66,62,83,80,45,38,57,533,365,173,189,499,473,500,"2,166",556
2020,3,10,"9,212",738,108,62,93,121,135,144,89,74,138,"1,019",640,315,274,888,640,754,"2,125",855
2020,3,20,"9,975",953,224,77,160,158,239,186,142,124,145,812,612,332,322,711,992,995,"1,975",816
2020,3,30,"8,979",758,127,57,103,122,171,136,98,85,150,630,479,324,278,579,723,691,"2,668",800
2020,3,40,"14,220","1,286",201,103,195,204,259,286,148,162,227,"1,342",892,501,441,"1,158","1,084","1,101","3,357","1,273"
2020,3,50,"18,348","1,933",498,265,334,381,542,537,396,361,631,"1,376","1,118",733,655,"1,199","1,632","1,623","2,739","1,395"
2020,3,60,"17,810","2,215",538,331,434,491,712,707,530,451,817,"1,133","1,021",861,718,838,"1,422","1,310","2,108","1,173"
2020,3,70,"11,865","1,428",364,288,324,394,534,456,354,339,588,802,719,595,515,558,926,787,"1,224",670
2020,3,80,"6,667",774,292,209,241,261,381,260,216,275,374,395,369,323,232,267,441,361,602,394
2020,3,90,956,128,36,34,45,51,55,41,44,35,46,78,41,38,29,31,50,54,73,47
2020,3,100,57,11,2,1,3,3,1,7,1,1,4,2,3,4,0,2,4,2,2,4
2020,4,총,"104,418","10,706","2,428","1,446","1,992","2,234","3,105","2,824","2,049","1,935","3,167","8,124","6,231","4,180","3,640","6,736","8,377","8,170","19,068","8,006"
2020,4,0,"6,438",491,56,26,63,60,80,80,40,37,56,533,360,170,185,507,462,486,"2,182",564
2020,4,10,"9,176",736,104,59,94,120,135,139,88,74,135,"1,017",625,305,268,885,643,755,"2,136",858
2020,4,20,"9,924",948,222,77,162,152,233,184,143,118,144,810,612,330,318,710,977,995,"1,980",809
2020,4,30,"8,883",748,121,54,103,125,169,134,89,84,143,618,468,320,279,575,718,683,"2,643",809
2020,4,40,"14,189","1,282",194,104,189,203,256,281,146,160,223,"1,345",890,502,436,"1,165","1,081","1,094","3,370","1,268"
2020,4,50,"18,328","1,923",495,258,330,380,542,532,397,359,628,"1,382","1,120",730,656,"1,197","1,634","1,627","2,744","1,394"
2020,4,60,"17,833","2,221",534,336,438,488,710,707,530,452,812,"1,136","1,022",859,716,838,"1,425","1,323","2,106","1,180"
2020,4,70,"11,919","1,442",363,288,321,393,536,457,348,342,598,807,719,598,519,560,942,788,"1,221",677
2020,4,80,"6,707",773,301,210,243,260,387,261,223,270,374,396,371,323,234,267,440,364,612,398
2020,4,90,964,131,36,33,46,50,56,42,44,38,50,77,41,39,29,30,51,53,72,46
2020,4,100,57,11,2,1,3,3,1,7,1,1,4,3,3,4,0,2,4,2,2,3
2020,5,총,"104,236","10,686","2,429","1,450","1,982","2,237","3,103","2,814","2,044","1,924","3,157","8,103","6,233","4,153","3,642","6,733","8,353","8,140","19,044","8,009"
2020,5,0,"6,395",485,58,25,61,62,82,79,40,33,55,534,358,168,182,501,456,482,"2,171",563
2020,5,10,"9,127",726,107,60,91,118,133,138,89,73,136,"1,015",623,303,265,889,642,745,"2,120",854
2020,5,20,"9,864",951,216,80,160,153,228,179,137,112,137,799,610,327,315,705,979,989,"1,978",809
2020,5,30,"8,854",753,123,54,100,126,169,134,90,86,142,616,466,317,280,572,707,671,"2,636",812
2020,5,40,"14,129","1,263",194,102,186,199,259,280,145,161,223,"1,324",888,494,437,"1,165","1,086","1,082","3,381","1,260"
2020,5,50,"18,303","1,922",497,261,330,377,537,527,399,355,623,"1,397","1,122",726,656,"1,196","1,619","1,626","2,739","1,394"
2020,5,60,"17,840","2,222",532,334,441,493,713,708,525,453,811,"1,133","1,021",856,718,838,"1,428","1,327","2,102","1,185"
2020,5,70,"11,964","1,442",363,286,324,392,537,463,349,340,598,806,727,596,521,567,940,795,"1,232",686
2020,5,80,"6,728",780,300,213,242,264,387,258,224,271,376,398,372,322,236,269,441,369,610,396
2020,5,90,976,131,38,34,45,50,57,41,45,39,52,78,43,40,32,29,51,52,73,46
2020,5,100,56,11,1,1,2,3,1,7,1,1,4,3,3,4,0,2,4,2,2,4
2020,6,총,"104,003","10,677","2,416","1,454","1,984","2,229","3,095","2,813","2,044","1,921","3,142","8,044","6,230","4,138","3,612","6,720","8,338","8,131","19,025","7,990"
2020,6,0,"6,354",480,59,26,63,57,87,80,39,31,56,525,358,169,174,501,456,477,"2,158",558
2020,6,10,"9,073",728,103,59,92,117,129,134,87,70,135,997,619,299,262,886,643,736,"2,127",850
2020,6,20,"9,835",951,213,84,159,153,223,178,142,110,138,807,612,326,310,705,970,984,"1,956",814
2020,6,30,"8,795",745,122,54,99,120,165,135,93,84,143,605,469,319,274,561,706,668,"2,629",804
2020,6,40,"14,089","1,261",191,102,186,201,268,280,141,160,217,"1,310",880,490,431,"1,168","1,081","1,088","3,384","1,250"
2020,6,50,"18,233","1,908",501,256,331,375,526,529,392,357,612,"1,391","1,128",718,653,"1,192","1,608","1,627","2,741","1,388"
2020,6,60,"17,896","2,227",532,336,440,495,710,706,533,456,812,"1,133","1,019",859,719,837,"1,442","1,337","2,104","1,199"
2020,6,70,"11,992","1,454",363,289,326,393,545,467,348,342,596,801,729,595,521,569,936,792,"1,241",685
2020,6,80,"6,710",778,295,213,243,263,385,256,226,271,378,396,371,321,236,269,441,365,609,394
2020,6,90,969,134,36,33,43,52,56,41,42,39,51,76,42,38,32,30,51,55,73,45
2020,6,100,57,11,1,2,2,3,1,7,1,1,4,3,3,4,0,2,4,2,3,3
2020,7,총,"103,862","10,672","2,406","1,464","1,980","2,234","3,095","2,808","2,044","1,915","3,138","8,042","6,211","4,127","3,595","6,699","8,301","8,147","18,997","7,987"
2020,7,0,"6,318",475,57,26,61,57,86,79,40,29,53,519,352,175,169,508,458,471,"2,150",553
2020,7,10,"9,038",723,104,60,93,116,130,137,89,68,132,994,609,295,259,882,631,743,"2,134",839
2020,7,20,"9,797",953,207,86,153,153,222,176,144,106,141,805,616,320,304,703,958,993,"1,938",819
2020,7,30,"8,750",738,123,54,106,122,165,133,91,85,143,604,466,309,267,547,711,663,"2,619",804
2020,7,40,"14,077","1,258",190,102,186,203,269,279,145,159,215,"1,314",872,494,427,"1,168","1,081","1,088","3,382","1,245"
2020,7,50,"18,216","1,912",500,260,329,368,528,532,389,355,611,"1,397","1,134",715,648,"1,186","1,602","1,629","2,731","1,390"
2020,7,60,"17,933","2,227",534,338,444,501,709,707,530,459,814,"1,133","1,018",856,727,834,"1,432","1,348","2,117","1,205"
