년도,월,나이,연제구,거제제1동,거제제2동,거제제3동,거제제4동,연산제1동,연산제2동,연산제3동,연산제4동,연산제5동,연산제6동,연산제8동,연산제9동
2020,1,총,"101,486","14,839","6,176","5,003","5,443","8,278","8,236","3,731","8,278","7,807","8,598","7,332","17,765"
2020,1,0,"7,847","1,490",549,300,405,693,782,134,397,415,563,689,"1,430"
2020,1,10,"8,789","2,002",775,394,574,686,526,219,481,356,583,607,"1,586"
2020,1,20,"13,485","1,707",738,603,706,"1,051","1,032",451,"1,203","1,419","1,105",947,"2,523"
2020,1,30,"14,170","1,649",644,594,683,"1,179","1,455",442,"1,152","1,634","1,332",964,"2,442"
2020,1,40,"15,748","2,654","1,184",725,801,"1,251","1,234",527,"1,167","1,217","1,227","1,161","2,600"
2020,1,50,"16,387","2,374",962,813,906,"1,293","1,273",651,"1,428","1,106","1,372","1,245","2,964"
2020,1,60,"14,470","1,634",771,793,831,"1,254","1,054",744,"1,406",956,"1,339","1,051","2,637"
2020,1,70,"7,989",959,413,550,400,662,666,438,810,531,806,528,"1,226"
2020,1,80,"2,394",339,131,205,129,192,196,117,217,162,251,127,328
2020,1,90,187,30,7,24,8,15,15,7,16,9,18,10,28
2020,1,100,20,1,2,2,0,2,3,1,1,2,2,3,1
2020,2,총,"101,738","14,808","6,195","4,986","5,445","8,260","8,581","3,711","8,311","7,823","8,592","7,315","17,711"
2020,2,0,"7,872","1,501",555,295,407,685,814,134,398,410,562,693,"1,418"
2020,2,10,"8,801","1,984",787,397,568,676,562,221,485,356,582,598,"1,585"
2020,2,20,"13,475","1,702",725,595,710,"1,046","1,072",449,"1,212","1,426","1,096",947,"2,495"
2020,2,30,"14,149","1,643",636,590,672,"1,178","1,518",429,"1,142","1,632","1,325",954,"2,430"
2020,2,40,"15,861","2,646","1,204",716,804,"1,256","1,299",527,"1,181","1,223","1,241","1,166","2,598"
2020,2,50,"16,380","2,364",957,819,910,"1,292","1,322",643,"1,421","1,103","1,358","1,244","2,947"
2020,2,60,"14,536","1,636",773,793,833,"1,251","1,091",744,"1,410",965,"1,344","1,048","2,648"
2020,2,70,"8,012",956,412,546,402,664,680,434,819,533,810,523,"1,233"
2020,2,80,"2,443",344,137,209,131,196,205,122,225,164,254,130,326
2020,2,90,189,31,7,24,8,14,15,7,17,9,18,9,30
2020,2,100,20,1,2,2,0,2,3,1,1,2,2,3,1
2020,3,총,"101,595","14,749","6,137","4,976","5,424","8,231","8,664","3,702","8,301","7,828","8,580","7,293","17,710"
2020,3,0,"7,808","1,491",540,286,405,680,814,130,391,413,567,692,"1,399"
2020,3,10,"8,756","1,959",766,398,566,681,563,221,475,353,578,598,"1,598"
2020,3,20,"13,484","1,715",722,593,705,"1,042","1,096",453,"1,211","1,428","1,097",935,"2,487"
2020,3,30,"14,120","1,631",638,591,662,"1,163","1,543",421,"1,137","1,635","1,320",951,"2,428"
2020,3,40,"15,755","2,611","1,183",706,800,"1,253","1,310",519,"1,178","1,211","1,236","1,163","2,585"
2020,3,50,"16,368","2,370",960,817,909,"1,285","1,321",646,"1,426","1,102","1,347","1,234","2,951"
2020,3,60,"14,578","1,639",764,799,834,"1,242","1,104",745,"1,419",968,"1,346","1,057","2,661"
2020,3,70,"8,047",950,419,555,405,672,688,436,815,541,805,527,"1,234"
2020,3,80,"2,470",354,136,204,131,197,207,122,230,165,264,125,335
2020,3,90,189,28,7,25,7,14,15,8,18,10,18,8,31
2020,3,100,20,1,2,2,0,2,3,1,1,2,2,3,1
2020,4,총,"101,425","14,668","6,134","4,977","5,393","8,220","8,720","3,698","8,250","7,827","8,536","7,280","17,722"
2020,4,0,"7,761","1,459",544,287,396,678,821,129,388,411,563,697,"1,388"
2020,4,10,"8,698","1,941",761,395,563,684,552,217,472,350,578,594,"1,591"
2020,4,20,"13,460","1,705",719,593,705,"1,031","1,121",452,"1,193","1,430","1,082",922,"2,507"
