년도,월,나이,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020,3,총,"34,401","11,511","3,869","2,417","3,395","2,215","2,085","1,566","2,010",932,"1,590","1,420","1,082",188,121
2020,3,0,"1,588",704,263,103,150,88,70,22,55,23,57,27,23,1,2
2020,3,10,"2,292","1,121",320,104,189,79,111,66,81,40,70,62,41,6,2
2020,3,20,"2,329",997,290,131,219,128,107,85,95,38,104,68,55,9,3
2020,3,30,"2,570","1,071",351,152,293,133,110,83,113,34,85,72,59,10,4
2020,3,40,"3,587","1,606",514,195,317,157,193,131,144,69,97,71,83,6,4
2020,3,50,"5,942","1,914",670,430,681,408,357,284,301,152,253,249,186,34,23
2020,3,60,"6,863","1,797",661,593,761,552,471,363,449,216,347,304,259,57,33
2020,3,70,"5,276","1,388",440,377,455,383,369,326,430,203,310,330,205,28,32
2020,3,80,"3,339",774,303,266,272,234,251,186,288,134,239,199,142,36,15
2020,3,90,585,130,56,63,57,50,44,20,50,22,24,36,29,1,3
2020,3,100,30,9,1,3,1,3,2,0,4,1,4,2,0,0,0
2020,4,총,"34,421","11,500","3,873","2,412","3,418","2,211","2,096","1,575","2,013",927,"1,593","1,409","1,086",188,120
2020,4,0,"1,567",690,255,102,150,87,71,23,57,22,57,27,23,1,2
2020,4,10,"2,291","1,118",321,101,193,82,111,66,78,41,70,59,43,6,2
2020,4,20,"2,324",994,295,133,216,125,104,88,96,38,103,66,54,9,3
2020,4,30,"2,569","1,066",352,152,296,131,112,83,112,34,88,73,56,10,4
2020,4,40,"3,592","1,606",514,190,323,159,194,132,144,69,99,68,85,6,3
2020,4,50,"5,920","1,910",671,430,676,406,358,280,298,149,251,250,184,34,23
2020,4,60,"6,898","1,803",667,592,773,552,469,371,454,217,348,303,261,56,32
2020,4,70,"5,300","1,392",439,379,463,384,376,325,429,202,310,329,211,29,32
2020,4,80,"3,346",783,301,266,270,234,254,187,289,132,238,198,142,36,16
2020,4,90,586,129,57,64,57,49,45,20,52,22,25,35,27,1,3
2020,4,100,28,9,1,3,1,2,2,0,4,1,4,1,0,0,0
2020,5,총,"34,446","11,491","3,876","2,420","3,423","2,219","2,109","1,577","2,010",923,"1,599","1,402","1,088",189,120
2020,5,0,"1,580",695,258,104,155,84,69,25,57,22,60,25,23,1,2
2020,5,10,"2,277","1,104",320,104,190,86,110,66,77,42,69,60,41,6,2
2020,5,20,"2,319",999,293,130,212,127,105,87,94,38,102,64,55,10,3
2020,5,30,"2,566","1,058",357,153,296,130,114,86,110,34,90,73,52,9,4
2020,5,40,"3,585","1,602",508,192,323,163,194,125,147,69,100,65,87,7,3
2020,5,50,"5,902","1,900",667,432,677,406,363,280,294,144,249,249,184,34,23
2020,5,60,"6,924","1,814",671,589,774,552,471,376,454,220,349,303,264,55,32
2020,5,70,"5,317","1,385",444,382,470,389,377,324,432,198,312,329,213,30,32
2020,5,80,"3,364",796,299,269,268,234,257,188,290,135,238,197,141,36,16
2020,5,90,584,129,58,62,57,46,47,20,51,21,26,36,27,1,3
2020,5,100,28,9,1,3,1,2,2,0,4,0,4,1,1,0,0
2020,6,총,"34,443","11,484","3,881","2,417","3,435","2,228","2,119","1,566","2,002",920,"1,599","1,404","1,075",189,124
2020,6,0,"1,580",696,259,103,149,87,75,22,56,21,60,27,21,1,3
2020,6,10,"2,268","1,096",321,102,194,85,112,63,73,41,71,61,41,6,2
2020,6,20,"2,318","1,000",290,130,215,125,107,88,97,38,101,63,50,11,3
2020,6,30,"2,559","1,052",355,156,300,130,113,84,107,34,90,73,51,10,4
2020,6,40,"3,584","1,602",510,191,323,164,193,124,147,69,101,65,84,7,4
2020,6,50,"5,874","1,892",664,429,673,411,364,277,292,143,245,249,181,32,22
2020,6,60,"6,958","1,817",681,591,785,554,473,375,453,218,351,304,267,55,34
2020,6,70,"5,328","1,396",441,382,468,389,377,326,435,201,311,328,212,29,33
2020,6,80,"3,363",794,299,270,269,236,255,186,288,134,239,198,142,37,16
2020,6,90,582,129,60,60,58,45,48,21,50,21,26,35,25,1,3
2020,6,100,29,10,1,3,1,2,2,0,4,0,4,1,1,0,0
2020,7,총,"34,450","11,493","3,882","2,423","3,442","2,223","2,112","1,570","1,998",917,"1,595","1,410","1,072",190,123
2020,7,0,"1,579",696,257,103,149,87,74,24,53,23,60,27,22,1,3
2020,7,10,"2,257","1,097",321,100,192,85,110,59,72,40,70,62,41,6,2
2020,7,20,"2,318",999,297,131,214,118,110,91,93,36,100,65,50,11,3
2020,7,30,"2,562","1,054",349,156,303,133,111,87,107,32,92,71,53,10,4
2020,7,40,"3,560","1,586",509,187,325,164,195,120,146,67,101,68,80,8,4
2020,7,50,"5,871","1,904",662,432,667,407,355,280,291,145,245,247,182,32,22
2020,7,60,"6,974","1,821",687,590,794,554,473,375,454,216,349,307,265,55,34
2020,7,70,"5,348","1,399",441,387,472,392,379,327,439,201,309,330,210,29,33
2020,7,80,"3,365",797,295,271,267,235,256,186,289,137,239,199,143,37,14
2020,7,90,587,129,63,63,58,46,47,21,51,20,26,33,25,1,4
2020,7,100,29,11,1,3,1,2,2,0,3,0,4,1,1,0,0
