년도,월,나이,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동,해밀동,반곡동
2020,1,총,"171,599","20,905","1,139","1,549","2,836","4,114","2,756","3,473","2,769","1,709","1,199","9,832","27,731","16,565","11,980","15,363","17,154","15,338","9,835","5,352",,,
2020,1,0,"23,128","1,680",40,58,182,167,101,205,111,52,61,"1,361","4,434","2,150","1,889","2,472","3,039","2,724","1,625",777,,,
2020,1,10,"20,103","2,072",59,64,179,193,157,205,190,63,98,"1,697","3,294","2,229","2,059","2,061","2,249","1,537","1,183",514,,,
2020,1,20,"18,034","2,816",124,120,279,360,360,315,252,137,118,839,"3,303","2,058",842,"1,442","1,326","1,633","1,026",684,,,
2020,1,30,"31,465","2,537",94,121,256,336,260,293,221,103,86,"1,495","6,395","3,124","2,106","3,181","3,722","3,813","2,128","1,194",,,
2020,1,40,"31,607","3,240",110,132,348,397,291,369,306,145,154,"2,338","5,239","3,487","3,031","3,073","3,496","2,721","1,834",896,,,
2020,1,50,"20,603","3,226",224,247,466,744,543,585,478,315,195,"1,127","2,866","1,775","1,121","1,535","1,686","1,647","1,101",722,,,
2020,1,60,"13,841","2,564",206,306,487,801,473,618,444,376,189,552,"1,448",947,560,953,"1,099",834,603,381,,,
2020,1,70,"7,407","1,710",147,230,375,607,298,495,398,253,156,251,456,461,226,411,373,255,204,101,,,
2020,1,80,"4,540",898,114,221,235,430,237,331,299,221,123,149,243,283,116,202,127,141,103,67,,,
2020,1,90,826,153,19,47,28,73,34,54,65,39,18,21,51,51,29,33,36,32,27,16,,,
2020,1,100,45,9,2,3,1,6,2,3,5,5,1,2,2,0,1,0,1,1,1,0,,,
2020,2,총,"172,385","20,913","1,128","1,538","2,818","4,110","2,761","3,462","2,755","1,702","1,188","9,900","27,976","16,628","12,025","15,423","17,233","15,568","9,894","5,363",,,
2020,2,0,"23,170","1,671",40,57,179,170,99,200,112,51,59,"1,371","4,452","2,155","1,880","2,471","3,052","2,747","1,619",785,,,
2020,2,10,"20,219","2,072",55,64,177,195,150,207,183,62,96,"1,684","3,395","2,233","2,058","2,065","2,251","1,573","1,192",507,,,
2020,2,20,"17,926","2,810",119,120,269,352,360,307,246,134,116,849,"3,249","2,046",850,"1,444","1,323","1,644","1,023",665,,,
2020,2,30,"31,519","2,518",96,120,259,328,254,290,215,101,83,"1,506","6,423","3,140","2,103","3,197","3,710","3,843","2,142","1,191",,,
2020,2,40,"31,936","3,262",110,135,341,392,296,364,302,145,150,"2,349","5,375","3,507","3,042","3,075","3,534","2,786","1,869",902,,,
2020,2,50,"20,716","3,221",223,247,461,745,546,580,481,312,196,"1,144","2,853","1,798","1,142","1,544","1,702","1,691","1,099",731,,,
2020,2,60,"14,015","2,577",205,308,492,808,484,624,450,376,189,569,"1,473",953,573,965,"1,121",839,615,394,,,
2020,2,70,"7,425","1,716",147,228,372,611,298,499,393,258,154,254,453,455,228,415,378,263,202,101,,,
2020,2,80,"4,576",902,112,210,238,430,238,332,300,221,127,151,248,289,118,214,126,146,106,68,,,
2020,2,90,838,154,19,46,29,73,34,56,68,37,17,21,54,52,30,33,35,35,26,19,,,
2020,2,100,45,10,2,3,1,6,2,3,5,5,1,2,1,0,1,0,1,1,1,0,,,
2020,3,총,"172,841","20,891","1,145","1,538","2,811","4,107","2,766","3,460","2,740","1,697","1,207","9,886","28,079","16,653","12,040","15,469","17,423","15,601","9,949","5,379",,,
2020,3,0,"23,163","1,653",42,54,181,166,98,204,112,52,58,"1,360","4,444","2,139","1,884","2,466","3,078","2,743","1,641",788,,,
2020,3,10,"20,292","2,081",55,64,173,196,154,205,180,64,95,"1,682","3,444","2,248","2,056","2,070","2,259","1,573","1,193",500,,,
2020,3,20,"17,972","2,801",123,123,264,351,360,307,251,132,123,839,"3,270","2,056",849,"1,440","1,348","1,651","1,023",661,,,
2020,3,30,"31,502","2,494",98,120,257,326,243,289,210,99,85,"1,505","6,396","3,143","2,097","3,210","3,714","3,862","2,153","1,201",,,
2020,3,40,"32,082","3,259",113,135,338,394,306,361,303,145,154,"2,345","5,411","3,517","3,038","3,093","3,588","2,801","1,884",897,,,
2020,3,50,"20,804","3,224",226,244,468,737,541,578,480,309,197,"1,163","2,872","1,793","1,162","1,547","1,731","1,698","1,088",746,,,
