년도,월,나이,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020,3,총,"172,040","4,273","2,106","3,627","1,087",963,"1,301",822,758,749,"1,656","10,861","2,415",807,"2,072",535,"1,089","13,930","5,439","5,701","7,176","10,236","12,925","6,174","13,785","13,709","5,826","6,216","10,497","12,761","12,544"
2020,3,0,"15,250",361,219,418,24,22,53,20,14,15,46,"1,234",144,8,79,11,32,888,280,227,388,612,823,399,"1,921","1,173",377,420,"1,390","1,223","2,429"
2020,3,10,"18,987",370,234,235,64,34,102,37,29,37,94,"1,542",219,40,115,28,62,"1,489",417,390,614,902,"1,460",575,"2,292","1,953",623,750,"1,468","1,383","1,429"
2020,3,20,"24,706",494,217,495,99,78,138,52,53,71,150,"1,341",254,55,206,64,74,"2,357",759,679,"1,003","1,661","2,221",892,"1,873","2,249",898,983,"1,273","2,655","1,362"
2020,3,30,"21,485",513,216,707,87,75,96,50,45,48,103,"1,281",217,39,156,26,57,"1,494",725,549,751,"1,227","1,557",792,"1,819","1,519",648,588,"1,294","2,007","2,799"
2020,3,40,"27,395",587,345,522,118,104,186,77,115,107,202,"1,969",374,86,248,63,160,"2,071",857,824,"1,084","1,536","1,891",991,"2,497","2,219",809,880,"2,010","1,990","2,473"
2020,3,50,"28,514",774,366,528,224,205,263,178,129,147,338,"1,682",481,175,424,111,241,"2,280",892,"1,048","1,347","1,810","2,454","1,087","2,012","2,523","1,004","1,180","1,607","1,788","1,216"
2020,3,60,"20,831",706,296,456,226,231,248,206,173,145,322,"1,093",402,195,480,127,240,"1,738",830,"1,061","1,104","1,414","1,663",881,908,"1,292",853,859,955,"1,116",611
2020,3,70,"10,952",335,158,199,156,129,151,131,138,128,268,522,223,138,254,70,142,"1,189",500,708,663,818,670,428,351,537,446,444,388,474,194
2020,3,80,"3,585",120,51,61,82,76,57,64,59,45,118,185,94,64,100,30,75,381,166,190,213,241,170,118,100,223,154,97,105,117,29
2020,3,90,314,13,3,6,7,9,6,7,3,6,14,12,7,7,9,5,6,37,12,23,9,15,14,11,9,21,13,14,7,7,2
2020,3,100,21,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,2,0,0,2,0,3,0,1,1,0,1,0
2020,4,총,"172,050","4,277","2,089","3,760","1,086",954,"1,300",821,757,751,"1,642","10,830","2,409",809,"2,060",529,"1,088","13,887","5,423","5,670","7,165","10,210","12,876","6,150","13,790","13,730","5,821","6,169","10,493","12,913","12,591"
2020,4,0,"15,176",364,218,426,22,23,53,19,16,16,41,"1,223",139,9,80,11,32,877,276,225,388,609,815,393,"1,910","1,172",370,409,"1,378","1,233","2,429"
2020,4,10,"18,949",369,229,246,66,31,102,37,30,35,91,"1,535",219,39,113,25,63,"1,483",413,388,612,885,"1,450",575,"2,289","1,940",628,751,"1,471","1,392","1,442"
2020,4,20,"24,764",486,222,519,101,76,138,50,50,72,151,"1,338",260,57,203,65,72,"2,351",756,668,"1,004","1,666","2,214",883,"1,875","2,267",906,963,"1,282","2,698","1,371"
2020,4,30,"21,456",518,212,736,85,74,97,48,47,45,99,"1,272",212,38,147,26,57,"1,481",724,545,747,"1,227","1,547",785,"1,811","1,525",643,578,"1,294","2,039","2,797"
2020,4,40,"27,349",593,339,552,118,101,183,77,113,108,199,"1,959",367,87,250,60,157,"2,060",848,826,"1,079","1,524","1,878",983,"2,498","2,207",803,881,"2,006","2,004","2,489"
2020,4,50,"28,474",766,365,542,220,203,260,178,129,149,337,"1,672",487,172,420,111,237,"2,271",886,"1,038","1,334","1,805","2,442","1,083","2,029","2,535",999,"1,177","1,599","1,803","1,225"
2020,4,60,"20,929",710,291,468,231,230,252,209,172,145,325,"1,105",400,199,480,129,246,"1,742",842,"1,051","1,118","1,418","1,655",890,914,"1,296",852,849,965,"1,136",609
2020,4,70,"10,987",338,160,203,155,130,150,130,137,128,265,530,222,137,257,67,140,"1,191",497,711,658,820,687,427,351,540,448,450,383,480,195
2020,4,80,"3,633",119,49,62,81,77,59,66,59,47,118,184,96,64,100,31,78,388,168,194,215,241,173,120,100,227,158,99,108,120,32
2020,4,90,312,14,3,6,7,9,5,7,4,6,15,12,7,7,9,4,6,37,12,22,10,15,13,11,10,21,13,11,7,7,2
2020,4,100,21,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,2,0,0,2,0,3,0,1,1,0,1,0
2020,5,총,"172,037","4,285","2,091","3,865","1,085",962,"1,293",814,755,748,"1,639","10,849","2,419",800,"2,055",531,"1,087","13,880","5,429","5,626","7,154","10,159","12,846","6,131","13,761","13,714","5,808","6,153","10,483","13,011","12,604"
2020,5,0,"15,114",374,215,432,20,24,52,19,16,18,37,"1,229",138,7,80,11,32,878,273,218,388,598,806,389,"1,908","1,167",364,403,"1,367","1,239","2,412"
2020,5,10,"18,894",365,230,254,68,32,103,33,30,33,90,"1,532",221,39,110,25,62,"1,474",409,388,606,876,"1,441",574,"2,275","1,945",620,742,"1,469","1,392","1,456"
2020,5,20,"24,744",477,225,539,99,75,138,51,50,68,149,"1,335",259,56,202,65,71,"2,354",766,654,999,"1,659","2,208",883,"1,867","2,242",900,964,"1,284","2,729","1,376"
2020,5,30,"21,489",526,209,757,85,79,96,46,45,47,100,"1,277",216,36,144,26,57,"1,487",727,531,745,"1,240","1,534",776,"1,813","1,535",642,575,"1,284","2,057","2,797"
2020,5,40,"27,263",598,341,570,120,100,180,77,114,109,195,"1,943",361,86,248,62,155,"2,035",843,824,"1,074","1,508","1,861",976,"2,486","2,200",800,869,"2,001","2,023","2,504"
2020,5,50,"28,480",767,365,554,218,205,253,174,130,150,341,"1,673",492,171,422,111,239,"2,270",885,"1,035","1,325","1,789","2,457","1,080","2,026","2,527","1,003","1,183","1,604","1,813","1,218"
2020,5,60,"21,030",708,290,478,230,233,256,211,173,143,329,"1,128",403,199,479,131,247,"1,761",845,"1,044","1,121","1,409","1,659",898,914,"1,311",856,852,973,"1,141",608
2020,5,70,"11,038",338,163,210,155,128,150,131,137,128,264,532,225,135,260,68,140,"1,186",501,714,670,820,689,423,358,542,447,453,385,487,199
2020,5,80,"3,656",118,48,65,83,77,59,65,56,46,118,188,97,64,100,29,79,391,168,195,216,245,176,122,102,225,162,99,109,122,32
2020,5,90,308,14,4,6,7,9,5,7,4,6,15,12,7,7,9,3,5,38,11,21,10,15,13,10,9,20,13,12,7,7,2
2020,5,100,21,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,2,0,0,2,0,3,0,1,1,0,1,0
2020,6,총,"172,027","4,286","2,098","3,964","1,080",960,"1,289",816,755,748,"1,646","10,847","2,415",803,"2,041",533,"1,088","13,838","5,413","5,628","7,157","10,097","12,803","6,132","13,784","13,681","5,786","6,140","10,456","13,064","12,679"
2020,6,0,"15,069",376,213,440,20,24,52,18,15,19,37,"1,212",140,7,77,11,32,880,274,218,384,590,804,388,"1,901","1,164",361,398,"1,356","1,246","2,412"
2020,6,10,"18,816",365,235,259,66,30,102,32,32,33,92,"1,532",218,38,110,25,60,"1,448",409,392,605,868,"1,428",565,"2,279","1,923",614,730,"1,467","1,382","1,477"
2020,6,20,"24,706",475,222,552,100,76,136,53,47,66,145,"1,342",257,54,199,64,72,"2,350",755,652,990,"1,642","2,203",881,"1,878","2,237",889,963,"1,276","2,757","1,373"
2020,6,30,"21,510",520,207,789,82,79,96,46,46,48,103,"1,281",216,37,139,26,55,"1,487",713,528,755,"1,236","1,519",779,"1,809","1,528",644,581,"1,288","2,074","2,799"
2020,6,40,"27,249",604,346,584,119,100,179,75,115,109,196,"1,934",354,85,246,62,155,"2,027",847,820,"1,076","1,498","1,850",977,"2,490","2,195",795,865,"1,991","2,024","2,531"
2020,6,50,"28,476",761,365,570,219,205,253,178,131,150,340,"1,680",495,171,421,111,241,"2,261",882,"1,035","1,322","1,775","2,450","1,080","2,037","2,526",997,"1,172","1,592","1,818","1,238"
2020,6,60,"21,099",713,292,484,230,234,257,211,171,145,331,"1,136",403,203,478,134,252,"1,762",850,"1,042","1,121","1,403","1,663",903,914,"1,316",857,862,980,"1,145",607
2020,6,70,"11,104",339,164,216,155,125,149,132,140,126,266,530,226,138,261,68,138,"1,189",502,723,677,826,693,426,360,547,452,455,388,489,204
2020,6,80,"3,673",119,49,64,83,78,59,64,53,46,120,188,99,64,100,29,78,391,169,195,217,245,178,123,104,225,163,102,111,121,36
2020,6,90,304,14,4,6,6,9,5,7,5,6,15,12,7,6,9,3,5,37,11,21,10,14,13,10,9,20,13,11,7,7,2
2020,6,100,21,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,2,0,0,2,0,3,0,1,1,0,1,0
2020,7,총,"171,907","4,281","2,100","3,967","1,074",954,"1,282",814,755,749,"1,646","10,825","2,413",795,"2,030",526,"1,082","13,784","5,426","5,613","7,139","10,063","12,738","6,124","13,771","13,630","5,767","6,111","10,432","13,189","12,827"
2020,7,0,"15,008",376,215,443,20,25,49,18,14,19,36,"1,207",141,7,79,11,33,865,267,210,384,579,792,391,"1,892","1,158",358,395,"1,347","1,264","2,413"
2020,7,10,"18,759",362,232,255,66,30,100,32,34,33,88,"1,521",218,37,110,26,60,"1,444",400,399,601,864,"1,415",564,"2,281","1,912",606,728,"1,465","1,374","1,502"
2020,7,20,"24,700",470,216,552,98,75,138,53,44,67,146,"1,346",261,53,196,61,72,"2,333",770,643,976,"1,638","2,206",883,"1,876","2,220",890,948,"1,273","2,809","1,387"
2020,7,30,"21,469",514,213,798,82,77,94,47,47,45,101,"1,273",207,35,137,27,54,"1,475",712,523,755,"1,221","1,505",767,"1,805","1,531",636,573,"1,280","2,108","2,827"
2020,7,40,"27,200",606,340,576,119,98,175,75,114,112,194,"1,933",356,82,247,62,153,"2,018",862,822,"1,081","1,494","1,829",975,"2,474","2,168",790,866,"1,988","2,020","2,571"
2020,7,50,"28,458",759,368,568,213,202,255,175,132,150,341,"1,679",494,173,418,109,238,"2,250",880,"1,030","1,317","1,769","2,447","1,079","2,049","2,526",995,"1,161","1,581","1,841","1,259"
2020,7,60,"21,158",714,294,490,234,235,255,210,172,147,335,"1,133",403,202,471,133,250,"1,768",853,"1,037","1,121","1,404","1,652",905,920,"1,317",859,868,995,"1,154",627
2020,7,70,"11,149",346,166,212,152,126,150,132,140,124,268,535,226,139,262,67,141,"1,194",502,731,677,833,698,430,361,549,453,458,386,490,201
2020,7,80,"3,681",120,51,67,84,77,60,65,53,46,121,186,100,61,100,28,76,393,168,195,217,247,179,121,100,229,166,102,110,121,38
2020,7,90,303,14,4,6,6,9,5,7,5,6,15,12,7,6,9,2,5,38,11,20,10,14,13,9,10,20,13,11,7,7,2
2020,7,100,22,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,3,0,0,2,0,3,0,1,1,0,1,0
2020,8,총,"171,852","4,243","2,087","3,991","1,065",942,"1,287",812,757,749,"1,634","10,755","2,405",791,"2,028",523,"1,079","13,713","5,406","5,575","7,107","10,016","12,697","6,097","13,731","13,557","5,760","6,068","10,364","13,346","13,267"
2020,8,0,"14,979",363,215,444,18,25,47,20,15,19,35,"1,208",139,8,78,11,33,859,267,196,373,562,784,387,"1,888","1,142",366,387,"1,329","1,289","2,472"
2020,8,10,"18,692",360,233,252,66,29,104,32,33,33,88,"1,493",217,37,104,24,61,"1,423",394,399,598,856,"1,406",560,"2,285","1,881",610,718,"1,459","1,371","1,566"
2020,8,20,"24,704",459,212,565,95,72,139,53,42,70,144,"1,331",263,50,202,62,70,"2,326",774,629,966,"1,652","2,193",873,"1,861","2,231",882,944,"1,262","2,850","1,432"
2020,8,30,"21,409",502,212,794,78,74,92,48,48,44,96,"1,269",203,32,136,27,53,"1,474",695,515,743,"1,208","1,487",768,"1,780","1,523",625,558,"1,265","2,153","2,907"
2020,8,40,"27,162",607,339,587,119,96,175,75,113,111,190,"1,898",353,83,243,62,148,"1,999",856,819,"1,080","1,481","1,815",965,"2,466","2,146",792,860,"1,965","2,030","2,689"
2020,8,50,"28,480",761,363,564,214,199,258,173,135,152,343,"1,688",491,175,418,109,238,"2,232",887,"1,022","1,322","1,763","2,453","1,076","2,057","2,514",983,"1,151","1,580","1,850","1,309"
2020,8,60,"21,249",709,292,500,234,237,257,210,173,147,335,"1,136",403,204,477,131,256,"1,772",852,"1,043","1,118","1,401","1,666",899,917,"1,318",863,877,997,"1,181",644
2020,8,70,"11,147",350,167,213,151,124,150,130,140,122,266,535,227,132,258,67,140,"1,186",496,734,681,825,701,437,365,548,457,460,388,492,205
2020,8,80,"3,709",117,49,67,84,77,59,64,53,46,121,185,102,64,102,28,75,398,173,197,214,255,177,123,100,234,168,103,111,122,41
2020,8,90,299,15,4,5,6,9,5,7,5,5,15,12,7,6,9,2,5,38,11,18,12,13,13,9,9,20,13,9,8,7,2
2020,8,100,22,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,3,0,0,2,0,3,0,1,1,0,1,0
