년도,월,나이,성북구,성북동,삼선동,동선동,돈암제1동,돈암제2동,안암동,보문동,정릉제1동,정릉제2동,정릉제3동,정릉제4동,길음제1동,길음제2동,종암동,월곡제1동,월곡제2동,장위제1동,장위제2동,장위제3동,석관동
2020,1,총,"442,471","17,040","25,021","15,477","15,777","24,882","15,369","16,258","18,881","23,532","15,599","26,310","36,851","16,663","40,180","27,272","20,004","20,326","13,739","17,659","35,631"
2020,1,0,"30,758",868,"1,308",630,903,"2,196",510,"1,024","1,504","1,607",731,"1,881","4,285","1,418","2,928","2,263","1,225","1,021",589,"1,760","2,107"
2020,1,10,"38,948","1,266","2,085","1,002","1,483","2,972",936,"1,048","1,881","1,985","1,044","2,313","4,896","1,426","3,835","2,721","1,528","1,655",966,"1,504","2,402"
2020,1,20,"66,322","2,769","4,438","4,281","2,151","2,983","4,840","2,875","2,354","3,195","2,986","3,282","3,485","2,114","5,832","3,072","3,518","2,995","1,778","2,247","5,127"
2020,1,30,"61,794","2,571","3,658","2,544","2,048","3,138","2,156","2,751","2,762","3,132","1,976","3,564","5,109","2,567","5,334","3,709","2,807","2,455","1,593","2,854","5,066"
2020,1,40,"72,461","2,657","4,028","2,117","2,372","4,719","1,792","2,521","3,363","3,726","2,051","4,425","8,114","2,898","6,732","4,770","2,974","3,025","2,018","2,818","5,341"
2020,1,50,"69,926","2,740","3,919","1,867","2,820","4,021","2,132","2,584","2,845","3,813","2,408","4,213","4,787","2,655","6,410","4,289","3,049","3,907","2,564","2,846","6,057"
2020,1,60,"53,168","1,979","2,735","1,431","2,136","2,609","1,460","1,839","2,135","3,265","2,138","3,502","3,195","2,025","4,572","3,439","2,526","2,880","2,147","2,065","5,090"
2020,1,70,"33,351","1,393","1,924","1,096","1,258","1,453","1,034","1,073","1,399","1,929","1,497","2,192","2,050","1,067","2,889","2,121","1,604","1,650","1,435","1,116","3,171"
2020,1,80,"13,458",657,789,423,531,678,444,455,558,758,641,795,789,420,"1,385",771,671,643,542,385,"1,123"
2020,1,90,"1,921",126,105,68,63,102,52,72,67,105,118,124,116,54,221,93,91,81,80,52,131
2020,1,100,364,14,32,18,12,11,13,16,13,17,9,19,25,19,42,24,11,14,27,12,16
2020,2,총,"442,483","17,039","24,729","15,527","15,731","24,869","15,397","16,233","18,915","23,522","15,552","26,194","36,846","16,926","40,088","27,209","20,089","20,344","13,764","17,844","35,665"
2020,2,0,"30,617",860,"1,286",619,894,"2,196",504,"1,006","1,507","1,593",720,"1,849","4,274","1,484","2,892","2,237","1,218","1,019",597,"1,796","2,066"
2020,2,10,"38,918","1,249","2,059","1,059","1,453","2,946",982,"1,045","1,860","1,990","1,063","2,284","4,881","1,433","3,838","2,697","1,548","1,654",957,"1,524","2,396"
2020,2,20,"66,407","2,778","4,419","4,305","2,151","2,976","4,859","2,861","2,357","3,181","2,980","3,285","3,498","2,129","5,770","3,068","3,534","2,987","1,792","2,281","5,196"
2020,2,30,"61,677","2,564","3,588","2,508","2,065","3,153","2,136","2,761","2,756","3,137","1,955","3,524","5,096","2,599","5,347","3,676","2,824","2,453","1,590","2,885","5,060"
2020,2,40,"72,270","2,649","3,976","2,114","2,351","4,686","1,785","2,516","3,354","3,716","2,038","4,384","8,085","2,965","6,695","4,758","2,977","3,025","2,036","2,846","5,314"
2020,2,50,"69,979","2,752","3,869","1,870","2,796","4,022","2,114","2,594","2,887","3,813","2,394","4,210","4,827","2,678","6,400","4,298","3,052","3,907","2,563","2,856","6,077"
2020,2,60,"53,374","2,001","2,713","1,445","2,139","2,627","1,479","1,841","2,143","3,266","2,138","3,519","3,194","2,039","4,592","3,454","2,548","2,898","2,146","2,083","5,109"
2020,2,70,"33,382","1,390","1,897","1,093","1,264","1,458","1,032","1,068","1,399","1,939","1,495","2,191","2,059","1,097","2,885","2,127","1,607","1,648","1,437","1,121","3,175"
