년도,월,나이,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020,3,총,"217,669","2,038","11,450","2,300","9,551","10,099","4,883","5,690","4,637","4,591","9,424","4,010","13,789","3,538","15,073","18,902","11,338","12,362","18,427","8,783","13,634","14,435","6,613","12,102"
2020,3,0,"17,919",84,"1,254",94,"1,206",971,141,322,157,178,688,105,"1,114",202,"1,433","2,412",764,915,"1,471",545,966,"1,309",359,"1,229"
2020,3,10,"23,300",126,"1,057",144,"1,173","1,203",284,527,268,285,624,216,"1,577",248,"1,853","1,642","1,011","1,391","2,817",892,"1,449","2,453",346,"1,714"
2020,3,20,"32,864",268,"1,345",290,"1,111","1,325",658,"1,000","1,252",754,"1,614","1,248","2,234",471,"1,643","2,200","1,981","1,983","2,919","1,417","2,369","2,200",822,"1,760"
2020,3,30,"28,268",213,"1,887",261,"1,415","1,222",471,651,676,633,"1,307",607,"1,765",495,"1,833","3,498","1,521","1,479","1,846",954,"1,677","1,414",966,"1,477"
2020,3,40,"36,045",301,"2,048",295,"1,792","1,706",674,744,638,603,"1,428",481,"2,130",502,"3,080","3,297","1,663","2,004","3,353","1,291","1,891","2,805",973,"2,346"
2020,3,50,"38,442",414,"1,634",502,"1,383","1,741","1,017","1,142",654,849,"1,509",576,"2,416",630,"2,552","2,858","2,049","2,275","3,590","1,795","2,638","2,725","1,331","2,162"
2020,3,60,"24,752",338,"1,240",457,846,"1,101",938,783,551,719,"1,241",484,"1,655",591,"1,634","2,005","1,461","1,408","1,557","1,205","1,706",914,"1,084",834
2020,3,70,"11,772",219,671,199,448,613,494,390,312,417,728,208,654,286,823,790,621,698,622,502,664,412,582,419
2020,3,80,"4,030",67,285,50,159,208,197,118,121,147,260,81,234,106,211,189,251,198,233,173,260,196,136,150
2020,3,90,260,6,28,7,18,9,7,13,8,6,20,3,9,7,11,10,16,11,19,9,13,6,13,11
2020,3,100,17,2,1,1,0,0,2,0,0,0,5,1,1,0,0,1,0,0,0,0,1,1,1,0
2020,4,총,"217,681","2,043","11,440","2,298","9,522","10,076","4,842","5,667","4,647","4,569","9,448","4,064","13,791","3,504","15,403","18,832","11,325","12,360","18,364","8,749","13,647","14,434","6,544","12,112"
2020,4,0,"17,860",83,"1,248",95,"1,197",962,139,323,160,175,684,105,"1,101",198,"1,490","2,404",748,907,"1,465",538,965,"1,300",358,"1,215"
2020,4,10,"23,203",126,"1,061",140,"1,176","1,196",279,522,265,287,614,217,"1,576",247,"1,867","1,634","1,016","1,378","2,786",880,"1,439","2,437",339,"1,721"
2020,4,20,"32,972",268,"1,344",289,"1,104","1,311",648,993,"1,265",746,"1,659","1,287","2,237",460,"1,688","2,197","1,977","1,987","2,921","1,422","2,378","2,213",815,"1,763"
2020,4,30,"28,243",224,"1,872",260,"1,401","1,234",462,646,663,628,"1,304",612,"1,779",494,"1,893","3,453","1,530","1,493","1,837",936,"1,673","1,416",953,"1,480"
2020,4,40,"35,985",299,"2,056",295,"1,799","1,693",668,741,648,604,"1,417",482,"2,129",492,"3,143","3,293","1,645","1,996","3,321","1,293","1,881","2,801",954,"2,335"
2020,4,50,"38,410",415,"1,622",499,"1,380","1,740","1,003","1,137",648,843,"1,501",588,"2,399",620,"2,601","2,859","2,050","2,268","3,584","1,773","2,646","2,729","1,323","2,182"
2020,4,60,"24,887",329,"1,255",463,847,"1,106",941,786,556,715,"1,245",483,"1,667",591,"1,670","2,005","1,470","1,420","1,572","1,218","1,718",921,"1,076",833
2020,4,70,"11,792",222,667,200,442,611,494,387,314,417,734,207,658,290,824,789,624,698,623,510,672,415,575,419
2020,4,80,"4,048",69,286,49,157,214,198,119,120,147,264,79,235,105,216,188,249,202,236,170,261,194,137,153
2020,4,90,264,6,28,7,19,9,8,13,8,7,21,3,9,7,11,9,16,11,19,9,13,7,13,11
2020,4,100,17,2,1,1,0,0,2,0,0,0,5,1,1,0,0,1,0,0,0,0,1,1,1,0
2020,5,총,"217,981","2,283","11,380","2,295","9,497","10,013","4,833","5,642","4,676","4,557","9,433","4,102","13,760","3,485","16,060","18,763","11,299","12,344","18,307","8,724","13,635","14,363","6,494","12,036"
2020,5,0,"17,821",119,"1,232",94,"1,190",947,140,322,155,179,671,100,"1,097",195,"1,569","2,399",728,903,"1,459",532,952,"1,287",356,"1,195"
2020,5,10,"23,107",150,"1,049",144,"1,165","1,186",275,514,265,283,611,220,"1,567",242,"1,907","1,632","1,017","1,362","2,768",870,"1,424","2,412",336,"1,708"
2020,5,20,"33,080",290,"1,340",284,"1,105","1,314",640,990,"1,289",739,"1,665","1,316","2,231",456,"1,793","2,181","1,985","1,988","2,900","1,422","2,389","2,203",801,"1,759"
2020,5,30,"28,322",279,"1,851",258,"1,397","1,224",459,643,669,632,"1,299",617,"1,778",491,"2,025","3,425","1,515","1,489","1,834",932,"1,665","1,426",945,"1,469"
