년도,월,나이,강화군,강화읍,선원면,불은면,길상면,화도면,양도면,내가면,하점면,양사면,송해면,교동면,삼산면,서도면,서도면볼음출장소
2020,1,총,"34,682","11,273","3,866","2,477","3,508","2,275","2,127","1,538","2,087",922,"1,590","1,514","1,172",195,138
2020,1,0,"1,716",780,275,75,162,76,81,41,55,29,55,38,40,5,4
2020,1,10,"2,466","1,123",350,115,210,116,139,72,89,34,76,62,72,7,1
2020,1,20,"3,242","1,356",410,188,316,167,166,110,154,54,123,120,65,9,4
2020,1,30,"2,908","1,166",332,176,322,191,130,110,127,48,123,89,80,9,5
2020,1,40,"4,346","1,697",569,266,415,226,251,166,219,79,182,141,111,17,7
2020,1,50,"6,250","1,888",695,452,700,396,389,266,370,199,296,294,230,43,32
2020,1,60,"6,702","1,668",648,607,730,562,458,360,458,207,316,324,277,49,38
2020,1,70,"4,720","1,099",390,395,476,357,329,280,401,171,277,288,191,37,29
2020,1,80,"2,128",448,178,184,163,163,165,122,203,97,133,142,97,17,16
2020,1,90,192,42,19,19,12,21,18,9,11,4,9,15,9,2,2
2020,1,100,12,6,0,0,2,0,1,2,0,0,0,1,0,0,0
2020,2,총,"34,663","11,270","3,866","2,476","3,508","2,264","2,121","1,547","2,086",928,"1,584","1,512","1,173",190,138
2020,2,0,"1,721",784,271,75,160,77,80,42,58,30,58,38,40,4,4
2020,2,10,"2,469","1,132",345,117,207,117,139,75,88,37,72,61,72,6,1
2020,2,20,"3,205","1,330",416,191,319,162,161,110,151,52,121,114,65,9,4
2020,2,30,"2,896","1,166",331,176,314,188,128,110,129,50,122,93,76,8,5
2020,2,40,"4,323","1,686",562,261,420,222,254,165,215,78,181,140,114,17,8
2020,2,50,"6,260","1,898",694,455,696,392,389,269,371,198,296,294,233,43,32
2020,2,60,"6,738","1,683",654,603,736,568,456,362,460,210,315,327,279,47,38
2020,2,70,"4,707","1,089",394,393,480,356,331,279,395,172,277,284,191,37,29
2020,2,80,"2,143",455,180,185,163,162,164,124,210,96,133,144,95,17,15
2020,2,90,190,42,19,20,11,20,18,9,9,5,9,16,8,2,2
2020,2,100,11,5,0,0,2,0,1,2,0,0,0,1,0,0,0
2020,3,총,"34,595","11,261","3,862","2,468","3,512","2,260","2,099","1,537","2,080",930,"1,582","1,507","1,167",191,139
2020,3,0,"1,710",768,266,77,162,72,83,42,63,30,60,39,40,4,4
2020,3,10,"2,446","1,131",343,115,210,116,126,73,87,35,71,59,73,6,1
2020,3,20,"3,191","1,334",418,186,313,160,159,110,147,52,118,115,66,9,4
2020,3,30,"2,872","1,161",327,179,307,188,123,104,127,49,124,94,75,9,5
2020,3,40,"4,272","1,669",556,251,421,222,249,163,212,79,177,137,111,17,8
2020,3,50,"6,250","1,910",695,454,700,388,385,264,367,200,292,290,232,41,32
2020,3,60,"6,764","1,689",663,604,737,567,461,363,464,210,314,328,276,49,39
2020,3,70,"4,726","1,092",397,394,488,360,329,283,387,174,280,285,191,37,29
2020,3,80,"2,162",461,177,187,160,167,166,124,218,96,137,143,95,16,15
2020,3,90,191,41,20,21,12,20,17,9,8,5,9,16,8,3,2
2020,3,100,11,5,0,0,2,0,1,2,0,0,0,1,0,0,0
2020,4,총,"34,609","11,249","3,864","2,470","3,513","2,270","2,096","1,533","2,078",930,"1,582","1,514","1,175",192,143
2020,4,0,"1,707",762,263,75,166,71,83,42,63,30,62,42,40,4,4
2020,4,10,"2,430","1,123",340,113,210,117,126,70,87,36,68,59,74,6,1
2020,4,20,"3,195","1,338",420,188,315,159,153,111,146,54,117,113,66,10,5
2020,4,30,"2,855","1,146",327,179,306,192,127,103,128,46,122,91,74,9,5
2020,4,40,"4,282","1,665",550,254,423,222,246,166,213,83,179,141,114,17,9
2020,4,50,"6,228","1,912",697,450,690,383,387,265,359,198,294,296,225,40,32
2020,4,60,"6,802","1,695",669,606,742,575,460,360,471,209,314,324,287,50,40
2020,4,70,"4,734","1,099",404,394,484,364,328,282,381,174,279,286,192,37,30
2020,4,80,"2,175",464,174,190,163,167,168,123,222,95,138,145,95,16,15
2020,4,90,191,41,20,21,12,20,17,9,8,5,9,16,8,3,2
2020,4,100,10,4,0,0,2,0,1,2,0,0,0,1,0,0,0
2020,5,총,"34,656","11,258","3,872","2,473","3,521","2,286","2,096","1,530","2,083",928,"1,585","1,517","1,171",193,143
2020,5,0,"1,713",760,263,78,162,73,84,44,63,30,64,44,40,4,4
2020,5,10,"2,419","1,120",337,112,212,120,126,66,87,35,67,59,71,6,1
2020,5,20,"3,198","1,337",422,189,315,158,150,112,152,54,115,112,67,10,5
2020,5,30,"2,849","1,141",329,178,308,191,128,102,125,47,121,92,73,10,4
