년도,월,나이,제주특별자치도,제주특별자치도 제주시,제주특별자치도 서귀포시
2020,1,총,"333,518","243,813","89,705"
2020,1,0,"30,141","22,814","7,327"
2020,1,10,"34,268","25,877","8,391"
2020,1,20,"38,764","29,628","9,136"
2020,1,30,"41,519","31,439","10,080"
2020,1,40,"54,493","40,839","13,654"
2020,1,50,"53,188","38,539","14,649"
2020,1,60,"37,821","26,068","11,753"
2020,1,70,"24,470","16,142","8,328"
2020,1,80,"15,366","10,063","5,303"
2020,1,90,"3,253","2,258",995
2020,1,100,235,146,89
2020,2,총,"333,581","243,910","89,671"
2020,2,0,"30,183","22,860","7,323"
2020,2,10,"34,115","25,753","8,362"
2020,2,20,"38,579","29,553","9,026"
2020,2,30,"41,448","31,398","10,050"
2020,2,40,"54,535","40,858","13,677"
2020,2,50,"53,332","38,623","14,709"
2020,2,60,"37,969","26,199","11,770"
2020,2,70,"24,486","16,156","8,330"
2020,2,80,"15,433","10,096","5,337"
2020,2,90,"3,269","2,270",999
2020,2,100,232,144,88
