년도,월,나이,창녕군,창녕읍,남지읍,고암면,성산면,대합면,이방면,유어면,대지면,계성면,영산면,장마면,도천면,길곡면,부곡면
2020,1,총,"30,945","8,622","6,213","1,032",803,"1,991","1,221",880,"1,333","1,178","2,872",907,"1,363",765,"1,765"
2020,1,0,"1,845",751,535,29,21,55,37,22,85,37,116,25,56,20,56
2020,1,10,"2,303",848,512,87,51,106,103,25,98,40,212,32,81,29,79
2020,1,20,"2,988","1,003",560,80,61,190,85,55,130,106,323,62,112,62,159
2020,1,30,"3,040","1,061",689,60,52,137,93,74,114,95,264,65,131,55,150
2020,1,40,"4,118","1,297","1,003",89,82,243,123,96,181,122,376,90,155,89,172
2020,1,50,"5,920","1,475","1,117",179,170,435,235,174,256,273,605,193,281,149,378
2020,1,60,"5,746","1,217","1,012",217,194,407,265,204,243,263,553,213,306,199,453
2020,1,70,"3,423",693,558,170,117,274,184,156,146,160,310,146,161,124,224
2020,1,80,"1,454",257,215,107,46,134,88,71,75,79,110,75,74,36,87
2020,1,90,105,20,11,14,9,9,7,3,5,3,3,6,6,2,7
2020,1,100,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2020,2,총,"30,941","8,615","6,196","1,037",809,"2,009","1,228",882,"1,339","1,177","2,864",906,"1,363",761,"1,755"
2020,2,0,"1,842",752,533,28,18,58,36,23,89,37,116,25,55,20,52
2020,2,10,"2,313",840,508,86,58,115,108,27,103,39,209,32,81,29,78
2020,2,20,"2,971",999,548,87,58,188,83,55,130,105,321,61,117,59,160
2020,2,30,"3,029","1,058",683,59,55,141,96,74,114,95,259,67,127,54,147
2020,2,40,"4,101","1,290","1,000",92,80,243,122,92,180,119,374,92,153,89,175
2020,2,50,"5,927","1,484","1,120",173,171,440,237,175,255,276,607,192,277,147,373
2020,2,60,"5,764","1,223","1,024",223,193,409,260,204,243,260,552,211,309,200,453
2020,2,70,"3,421",688,553,171,118,272,189,158,145,164,307,144,164,124,224
2020,2,80,"1,465",262,215,105,49,134,88,70,75,79,114,77,74,36,87
2020,2,90,105,19,11,13,9,8,8,4,5,3,5,5,6,3,6
2020,2,100,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2020,3,총,"30,801","8,582","6,187","1,024",803,"1,991","1,211",878,"1,337","1,174","2,844",908,"1,364",753,"1,745"
2020,3,0,"1,825",743,531,26,18,56,36,23,90,35,118,25,54,19,51
2020,3,10,"2,285",838,505,84,49,111,103,25,106,40,205,32,81,31,75
2020,3,20,"2,951",992,544,80,61,180,83,58,131,106,323,61,116,59,157
2020,3,30,"2,983","1,045",670,59,58,141,92,71,112,93,253,68,127,50,144
2020,3,40,"4,075","1,280","1,001",92,79,241,119,92,178,115,370,92,155,87,174
2020,3,50,"5,913","1,487","1,126",174,168,439,230,173,255,277,599,191,279,144,371
2020,3,60,"5,791","1,229","1,026",221,195,409,265,206,242,259,557,213,309,201,459
2020,3,70,"3,408",685,557,171,118,272,184,157,142,166,303,143,163,123,224
2020,3,80,"1,461",263,216,104,49,134,89,68,75,80,110,78,74,36,85
2020,3,90,107,20,10,13,8,8,9,5,6,3,6,5,6,3,5
2020,3,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020,4,총,"30,770","8,576","6,182","1,023",793,"1,982","1,203",887,"1,335","1,185","2,835",903,"1,360",755,"1,751"
2020,4,0,"1,816",741,527,26,18,51,35,25,88,37,116,26,55,19,52
2020,4,10,"2,265",831,500,79,47,107,103,27,108,40,207,31,78,31,76
2020,4,20,"2,934",992,543,78,59,183,81,60,127,104,320,59,115,56,157
2020,4,30,"2,976","1,047",664,61,59,142,93,70,112,95,250,68,124,51,140
2020,4,40,"4,053","1,268",997,92,75,238,117,94,179,114,368,91,157,87,176
2020,4,50,"5,941","1,501","1,137",176,166,441,227,171,254,280,602,190,277,141,378
2020,4,60,"5,808","1,223","1,035",225,197,407,266,210,245,262,557,214,310,204,453
2020,4,70,"3,406",686,552,169,118,272,184,155,142,168,299,142,166,125,228
2020,4,80,"1,462",267,216,103,47,133,88,69,75,81,110,77,72,38,86
2020,4,90,107,20,10,14,7,8,8,6,5,4,6,5,6,3,5
2020,4,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020,5,총,"30,755","8,574","6,178","1,031",790,"1,978","1,205",890,"1,337","1,187","2,820",906,"1,356",757,"1,746"
2020,5,0,"1,802",737,518,29,19,51,35,25,86,38,115,26,53,19,51
2020,5,10,"2,262",829,507,77,44,107,104,26,109,39,202,33,76,32,77
2020,5,20,"2,920",994,544,77,58,178,81,61,125,109,312,59,115,55,152
2020,5,30,"2,961","1,043",661,60,60,142,90,70,114,94,252,67,123,51,134
2020,5,40,"4,016","1,261",988,92,76,235,114,92,178,112,360,89,157,86,176
2020,5,50,"5,929","1,496","1,141",180,161,440,229,168,254,280,598,191,276,141,374
2020,5,60,"5,859","1,234","1,037",228,201,407,271,213,247,263,564,214,316,205,459
2020,5,70,"3,433",691,557,172,117,276,183,161,142,167,300,145,164,127,231
2020,5,80,"1,465",270,214,103,47,135,88,68,77,81,110,76,71,38,87
2020,5,90,106,19,10,13,7,7,9,6,5,4,7,6,5,3,5
2020,5,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020,6,총,"30,708","8,547","6,171","1,022",792,"1,977","1,200",890,"1,330","1,185","2,821",899,"1,362",764,"1,748"
2020,6,0,"1,790",736,516,29,17,52,36,25,85,38,110,25,54,18,49
2020,6,10,"2,265",829,510,74,45,111,102,27,102,38,209,34,75,32,77
2020,6,20,"2,904",989,542,75,60,169,83,59,128,110,317,55,110,58,149
2020,6,30,"2,924","1,033",657,60,61,140,87,71,110,91,241,69,124,49,131
2020,6,40,"4,011","1,254",987,91,76,235,116,89,178,113,361,90,158,86,177
2020,6,50,"5,898","1,491","1,134",177,158,441,221,169,253,281,595,187,272,142,377
2020,6,60,"5,897","1,233","1,039",232,205,406,273,214,251,260,571,214,328,210,461
2020,6,70,"3,442",693,557,171,116,281,184,162,140,167,302,143,165,127,234
2020,6,80,"1,470",270,218,101,47,135,88,68,78,83,108,76,71,39,88
2020,6,90,105,19,10,12,7,7,9,6,5,4,7,6,5,3,5
2020,6,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020,7,총,"30,641","8,513","6,171","1,013",790,"1,964","1,201",878,"1,330","1,178","2,817",905,"1,365",770,"1,746"
2020,7,0,"1,763",727,509,28,15,52,36,26,83,36,109,26,51,17,48
2020,7,10,"2,272",826,523,73,45,104,103,27,103,39,210,34,77,33,75
2020,7,20,"2,889",998,542,72,59,168,81,55,126,108,309,56,111,58,146
2020,7,30,"2,903","1,007",651,58,63,143,92,71,112,88,243,70,122,51,132
2020,7,40,"3,997","1,252",983,89,78,234,118,87,175,115,361,88,159,86,172
2020,7,50,"5,857","1,480","1,135",172,154,437,214,168,256,274,589,188,276,142,372
2020,7,60,"5,919","1,236","1,037",233,207,404,274,211,250,267,574,217,326,211,472
2020,7,70,"3,458",697,561,174,116,280,185,161,142,165,306,143,167,130,231
2020,7,80,"1,475",270,219,102,46,135,87,66,79,82,109,77,71,39,93
2020,7,90,106,20,10,12,7,7,10,6,4,4,7,6,5,3,5
2020,7,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020,8,총,"30,605","8,491","6,165","1,011",783,"1,970","1,201",882,"1,327","1,177","2,813",905,"1,367",767,"1,746"
2020,8,0,"1,756",726,510,27,15,55,37,25,79,36,108,24,49,18,47
2020,8,10,"2,263",822,518,73,43,106,101,27,105,37,209,36,80,32,74
2020,8,20,"2,871",991,540,69,61,167,78,57,124,108,306,56,113,58,143
2020,8,30,"2,879","1,001",648,58,63,144,95,70,109,85,239,66,116,51,134
2020,8,40,"3,982","1,236",979,89,76,231,117,87,178,118,363,89,162,85,172
2020,8,50,"5,861","1,487","1,137",175,152,434,216,168,256,273,583,191,277,140,372
2020,8,60,"5,931","1,233","1,044",233,206,410,277,212,249,270,580,210,322,212,473
2020,8,70,"3,479",701,558,176,115,281,184,164,145,164,308,150,172,129,232
2020,8,80,"1,472",271,219,99,46,135,85,66,78,82,110,77,71,39,94
2020,8,90,109,23,11,12,6,7,10,6,4,4,7,6,5,3,5
2020,8,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020,9,총,"30,533","8,445","6,163","1,016",775,"1,971","1,202",885,"1,321","1,178","2,802",904,"1,362",766,"1,743"
2020,9,0,"1,733",712,511,28,14,52,38,25,76,36,106,23,48,18,46
2020,9,10,"2,238",818,520,69,37,102,101,28,101,35,206,37,78,32,74
2020,9,20,"2,853",979,535,70,60,169,78,59,126,110,297,57,111,58,144
2020,9,30,"2,853",988,640,57,60,146,96,68,106,86,240,65,117,49,135
2020,9,40,"3,968","1,229",978,92,76,231,116,87,177,118,363,90,156,85,170
2020,9,50,"5,860","1,491","1,141",173,151,433,212,168,257,272,579,188,282,139,374
2020,9,60,"5,950","1,236","1,045",238,208,415,281,213,249,274,586,209,319,214,463
2020,9,70,"3,482",699,557,178,116,279,184,164,147,161,307,151,174,130,235
2020,9,80,"1,484",270,223,99,47,137,84,67,78,82,111,78,72,39,97
2020,9,90,110,23,12,12,6,7,11,6,4,4,7,6,5,2,5
2020,9,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020,10,총,"30,574","8,468","6,165","1,004",772,"1,974","1,207",888,"1,337","1,182","2,808",905,"1,360",770,"1,734"
2020,10,0,"1,722",707,508,28,13,51,40,26,75,33,106,23,47,18,47
2020,10,10,"2,238",825,525,66,36,101,101,28,100,36,206,37,77,31,69
2020,10,20,"2,850",982,535,71,61,170,77,58,133,110,288,55,109,59,142
2020,10,30,"2,851",995,632,56,59,141,92,70,107,85,246,66,119,48,135
2020,10,40,"3,970","1,234",982,87,74,232,115,87,184,121,360,89,152,85,168
2020,10,50,"5,832","1,477","1,134",172,149,437,216,164,260,276,573,184,284,137,369
2020,10,60,"6,027","1,260","1,059",238,211,420,282,217,249,273,601,211,320,220,466
2020,10,70,"3,495",701,555,178,116,279,186,165,147,160,310,157,175,130,236
2020,10,80,"1,477",264,221,96,47,137,86,67,78,84,111,77,72,39,98
2020,10,90,110,23,13,12,6,6,11,6,4,4,7,6,5,3,4
2020,10,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020,11,총,"30,495","8,433","6,132","1,008",761,"1,980","1,206",884,"1,335","1,175","2,800",909,"1,357",772,"1,743"
2020,11,0,"1,690",693,499,28,11,50,39,28,74,31,106,23,46,18,44
2020,11,10,"2,229",824,524,66,31,101,102,24,100,37,205,37,78,30,70
2020,11,20,"2,859",979,534,71,60,175,77,59,134,112,290,57,105,61,145
2020,11,30,"2,799",972,616,57,59,141,90,70,106,81,236,67,121,48,135
2020,11,40,"3,959","1,233",981,87,74,227,115,87,179,120,360,92,149,86,169
2020,11,50,"5,818","1,474","1,122",174,149,441,217,163,261,275,576,184,281,134,367
2020,11,60,"6,047","1,268","1,063",239,205,421,279,219,251,271,601,208,324,226,472
2020,11,70,"3,504",702,559,178,118,281,187,162,148,161,309,160,173,128,238
2020,11,80,"1,477",265,218,96,48,137,89,66,78,84,110,75,74,38,99
2020,11,90,111,23,15,12,6,6,10,6,4,3,7,6,6,3,4
2020,11,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020,12,총,"30,452","8,415","6,140","1,005",751,"1,987","1,206",871,"1,331","1,174","2,795",907,"1,362",767,"1,741"
2020,12,0,"1,670",683,495,29,12,51,38,25,74,31,105,22,44,19,42
2020,12,10,"2,220",821,530,62,26,103,101,23,96,39,207,39,77,27,69
2020,12,20,"2,837",974,525,67,57,176,81,55,130,109,287,57,110,63,146
2020,12,30,"2,780",964,617,61,59,145,89,70,101,78,232,65,121,48,130
2020,12,40,"3,962","1,234",988,85,75,229,111,81,180,119,366,93,147,83,171
2020,12,50,"5,803","1,471","1,128",171,147,435,218,165,268,274,570,180,279,133,364
2020,12,60,"6,090","1,282","1,062",244,204,425,282,219,248,276,605,211,330,225,477
2020,12,70,"3,499",700,562,177,117,281,185,161,151,160,306,160,173,128,238
2020,12,80,"1,482",264,218,97,48,136,91,67,79,85,110,74,75,38,100
2020,12,90,107,22,14,12,6,6,9,5,4,3,7,6,6,3,4
2020,12,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2021,1,총,"30,468","8,377","6,153","1,038",743,"2,004","1,212",871,"1,335","1,182","2,788",913,"1,358",765,"1,729"
2021,1,0,"1,661",678,490,30,12,51,38,26,76,33,101,21,43,19,43
2021,1,10,"2,276",810,530,97,24,127,117,22,98,40,202,41,73,27,68
2021,1,20,"2,798",949,529,67,55,169,77,54,131,106,285,59,112,62,143
2021,1,30,"2,797",970,618,62,58,147,89,70,101,80,243,63,123,47,126
2021,1,40,"3,926","1,229",973,81,73,226,112,81,178,121,362,98,142,79,171
2021,1,50,"5,790","1,459","1,147",170,147,437,214,165,262,276,566,175,277,133,362
2021,1,60,"6,109","1,289","1,070",244,201,424,282,218,254,277,602,217,329,229,473
2021,1,70,"3,508",699,564,177,119,284,181,160,151,159,312,159,176,127,240
2021,1,80,"1,496",272,216,98,48,133,92,70,80,89,108,74,77,40,99
2021,1,90,105,22,15,12,6,6,9,5,4,1,7,6,6,2,4
2021,1,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2021,2,총,"30,473","8,368","6,124","1,039",749,"2,030","1,198",869,"1,349","1,186","2,794",917,"1,354",769,"1,727"
2021,2,0,"1,649",674,478,28,19,50,37,25,77,36,98,22,44,19,42
2021,2,10,"2,301",816,525,103,23,142,106,21,112,41,202,43,70,27,70
2021,2,20,"2,774",940,519,67,54,169,80,54,128,104,286,60,112,63,138
2021,2,30,"2,799",963,619,59,58,148,89,71,103,81,249,62,125,45,127
2021,2,40,"3,919","1,231",963,80,73,231,111,79,174,122,363,100,141,80,171
2021,2,50,"5,796","1,457","1,146",175,145,441,212,169,265,276,564,174,278,135,359
2021,2,60,"6,110","1,289","1,069",242,202,426,283,215,254,279,604,215,328,228,476
2021,2,70,"3,509",704,568,173,120,282,177,160,153,155,313,161,173,129,241
2021,2,80,"1,508",271,220,101,49,135,94,70,79,91,109,72,77,41,99
2021,2,90,106,23,16,11,6,6,8,5,4,1,6,8,6,2,4
2021,2,100,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2021,3,총,"30,399","8,366","6,097","1,030",742,"2,036","1,186",865,"1,345","1,182","2,790",915,"1,351",767,"1,727"
2021,3,0,"1,629",666,474,29,13,51,38,25,73,36,97,22,47,18,40
2021,3,10,"2,282",813,523,98,23,143,101,21,112,39,201,44,69,27,68
2021,3,20,"2,743",935,510,70,48,170,79,53,128,101,283,61,106,63,136
2021,3,30,"2,753",959,601,57,59,147,81,70,105,80,245,56,122,45,126
2021,3,40,"3,917","1,228",964,81,72,228,115,78,172,124,359,101,147,80,168
2021,3,50,"5,787","1,467","1,135",171,145,441,211,168,266,279,568,175,272,130,359
2021,3,60,"6,131","1,298","1,081",240,204,432,278,213,252,276,603,218,326,231,479
2021,3,70,"3,521",702,571,169,124,280,181,159,153,156,320,157,177,127,245
2021,3,80,"1,528",274,222,104,48,138,94,73,80,90,108,72,79,44,102
2021,3,90,108,24,16,11,6,6,8,5,4,1,6,9,6,2,4
2021,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,4,총,"30,349","8,354","6,079","1,018",740,"2,027","1,182",864,"1,349","1,184","2,786",920,"1,358",768,"1,720"
2021,4,0,"1,620",660,464,28,14,51,38,25,75,37,99,22,49,18,40
2021,4,10,"2,250",800,521,96,22,140,100,21,110,38,196,44,69,27,66
2021,4,20,"2,731",943,499,67,47,173,76,52,127,102,283,65,102,61,134
2021,4,30,"2,738",956,599,55,58,140,80,69,104,80,246,57,123,47,124
2021,4,40,"3,902","1,220",959,82,72,227,118,76,171,121,359,100,151,81,165
2021,4,50,"5,787","1,471","1,137",168,146,439,209,169,271,278,564,174,271,130,360
2021,4,60,"6,146","1,299","1,081",240,204,434,279,215,256,278,601,221,333,230,475
2021,4,70,"3,512",700,572,170,124,277,179,158,149,156,320,155,174,128,250
2021,4,80,"1,555",281,230,102,48,140,95,74,82,93,111,73,80,44,102
2021,4,90,108,24,17,10,5,6,8,5,4,1,7,9,6,2,4
2021,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,5,총,"30,363","8,359","6,073","1,022",746,"2,023","1,182",863,"1,347","1,194","2,777",919,"1,360",769,"1,729"
2021,5,0,"1,611",645,464,29,18,52,40,25,77,35,97,23,47,19,40
2021,5,10,"2,244",802,520,96,21,136,97,22,110,40,192,43,71,27,67
2021,5,20,"2,744",953,500,68,50,174,73,51,124,101,286,64,105,61,134
2021,5,30,"2,718",955,592,57,58,140,81,67,108,76,242,55,119,47,121
2021,5,40,"3,866","1,209",953,82,70,218,118,73,170,127,351,96,153,81,165
2021,5,50,"5,785","1,477","1,133",170,146,442,204,172,267,281,560,179,268,129,357
2021,5,60,"6,202","1,309","1,089",242,205,436,285,215,256,283,611,220,335,230,486
2021,5,70,"3,525",700,575,166,124,281,182,159,150,155,319,158,176,128,252
2021,5,80,"1,553",282,229,102,49,137,94,74,81,95,111,72,79,45,103
2021,5,90,115,27,18,10,5,7,8,5,4,1,8,9,7,2,4
2021,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,6,총,"30,247","8,342","6,054","1,007",742,"2,006","1,178",863,"1,333","1,193","2,777",918,"1,356",765,"1,713"
2021,6,0,"1,588",641,456,29,18,50,39,26,73,35,96,23,48,15,39
2021,6,10,"2,245",799,530,94,19,132,96,22,109,42,194,42,72,26,68
2021,6,20,"2,710",940,495,65,50,168,75,50,121,98,286,64,106,59,133
2021,6,30,"2,691",951,584,58,56,139,80,69,108,74,240,53,114,48,117
2021,6,40,"3,871","1,206",957,82,67,219,119,76,166,130,355,97,156,78,163
2021,6,50,"5,750","1,480","1,127",171,149,432,198,172,265,276,558,177,263,131,351
2021,6,60,"6,229","1,324","1,089",241,204,441,290,212,257,285,612,223,336,232,483
2021,6,70,"3,503",693,573,166,125,278,181,156,150,154,316,157,175,126,253
2021,6,80,"1,546",281,224,91,49,139,93,75,79,98,112,75,80,48,102
2021,6,90,114,27,19,10,5,8,7,5,5,1,8,7,6,2,4
2021,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,총,"30,156","8,291","6,052",990,741,"2,003","1,176",864,"1,326","1,192","2,778",921,"1,341",768,"1,713"
2021,7,0,"1,573",634,453,27,15,51,42,26,70,35,96,23,46,15,40
2021,7,10,"2,216",791,520,89,21,131,96,22,109,45,190,42,67,26,67
2021,7,20,"2,683",927,499,65,49,168,73,51,124,99,281,63,99,56,129
2021,7,30,"2,663",932,587,55,54,139,81,70,102,71,241,52,110,50,119
2021,7,40,"3,852","1,195",954,82,69,214,118,74,165,132,358,94,155,77,165
2021,7,50,"5,749","1,475","1,128",174,146,435,199,171,263,273,561,180,264,131,349
2021,7,60,"6,263","1,339","1,093",242,205,441,287,214,259,286,613,227,340,233,484
2021,7,70,"3,497",691,574,161,127,276,181,156,149,152,317,156,175,130,252
2021,7,80,"1,546",280,225,86,50,139,93,75,80,98,113,76,79,48,104
2021,7,90,113,27,19,9,5,9,6,5,5,1,7,8,6,2,4
2021,7,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,8,총,"30,044","8,259","6,036",980,737,"1,997","1,160",865,"1,315","1,193","2,760",918,"1,339",764,"1,721"
2021,8,0,"1,554",629,445,26,15,52,43,27,65,32,94,22,47,17,40
2021,8,10,"2,195",791,523,87,20,123,91,23,105,46,186,42,65,27,66
2021,8,20,"2,641",904,492,60,48,168,72,51,120,102,274,64,104,53,129
2021,8,30,"2,644",920,578,56,53,137,80,70,105,73,240,52,109,49,122
2021,8,40,"3,842","1,198",953,82,68,217,114,73,167,131,354,91,152,74,168
2021,8,50,"5,745","1,476","1,128",176,145,438,197,171,257,272,564,183,261,130,347
2021,8,60,"6,265","1,339","1,099",241,206,439,286,216,260,285,611,225,340,232,486
2021,8,70,"3,490",693,569,160,126,275,178,154,151,154,314,156,175,133,252
2021,8,80,"1,551",282,229,84,50,139,92,75,80,97,116,75,79,47,106
2021,8,90,116,27,20,8,6,9,7,5,5,1,6,8,7,2,5
2021,8,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,9,총,"29,926","8,251","6,012",970,742,"1,978","1,151",862,"1,307","1,190","2,741",908,"1,332",760,"1,722"
2021,9,0,"1,527",624,442,27,14,46,42,26,63,31,89,21,44,17,41
2021,9,10,"2,165",789,519,80,20,117,91,23,101,45,181,41,65,27,66
2021,9,20,"2,602",890,479,56,50,168,69,53,122,103,274,57,101,52,128
2021,9,30,"2,604",905,576,57,50,138,78,67,101,74,234,52,104,48,120
2021,9,40,"3,809","1,213",938,81,65,210,111,69,164,128,348,88,153,74,167
2021,9,50,"5,733","1,476","1,134",173,151,430,197,168,260,268,561,181,258,130,346
2021,9,60,"6,309","1,344","1,099",245,207,445,285,220,259,290,618,227,344,233,493
