년도,월,나이,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020,5,20,"11,908","3,503",113,163,158,141,127,65,86,"4,826","1,039","1,555",132
2020,5,30,"10,298","3,256",82,89,107,94,104,59,82,"4,780",767,788,90
2020,5,40,"12,352","4,263",139,157,165,143,166,110,126,"5,306","1,059",585,133
2020,5,50,"15,872","4,544",266,396,336,316,305,192,216,"5,896","1,547","1,610",248
2020,5,60,"8,437","2,894",193,297,293,291,275,205,156,"1,937",807,909,180
2020,5,70,"3,501","1,252",128,207,204,213,234,111,129,517,248,169,89
2020,5,80,"1,442",481,73,103,107,126,102,79,74,168,62,29,38
2020,5,90,135,50,14,13,8,10,9,4,6,10,5,4,2
2020,5,100,5,1,1,1,0,0,0,0,0,2,0,0,0
2020,6,총,"79,189","25,208","1,134","1,531","1,448","1,436","1,403",908,928,"30,683","6,652","6,846","1,012"
2020,6,0,"7,025","2,315",46,47,32,35,27,24,19,"3,426",529,492,33
2020,6,10,"8,400","2,732",84,70,59,71,54,53,37,"3,863",599,709,69
2020,6,20,"11,830","3,467",113,158,153,139,123,68,83,"4,814","1,034","1,545",133
2020,6,30,"10,171","3,205",82,88,103,91,105,58,82,"4,733",749,787,88
2020,6,40,"12,302","4,254",137,153,155,138,168,111,122,"5,289","1,058",585,132
2020,6,50,"15,823","4,528",260,391,329,321,304,193,214,"5,882","1,544","1,613",244
2020,6,60,"8,534","2,918",195,299,301,291,276,206,162,"1,970",822,911,183
2020,6,70,"3,520","1,255",131,209,200,216,233,112,130,523,250,170,91
2020,6,80,"1,446",482,72,102,108,125,104,79,74,171,62,30,37
2020,6,90,133,51,13,13,8,9,9,4,5,10,5,4,2
2020,6,100,5,1,1,1,0,0,0,0,0,2,0,0,0
2020,7,총,"79,014","25,138","1,130","1,520","1,437","1,432","1,391",906,921,"30,651","6,652","6,828","1,008"
2020,7,0,"6,993","2,304",45,45,32,34,27,24,19,"3,419",524,488,32
2020,7,10,"8,377","2,727",83,70,59,73,54,52,36,"3,845",596,712,70
2020,7,20,"11,762","3,452",115,156,149,135,120,70,84,"4,777","1,036","1,533",135
2020,7,30,"10,115","3,160",83,86,102,91,100,57,80,"4,740",744,786,86
2020,7,40,"12,264","4,260",134,149,156,131,164,109,122,"5,261","1,068",577,133
2020,7,50,"15,816","4,504",258,389,323,325,301,193,208,"5,924","1,533","1,617",241
2020,7,60,"8,569","2,929",196,301,300,289,281,206,164,"1,981",831,910,181
2020,7,70,"3,535","1,270",131,208,197,219,228,112,130,524,254,172,90
2020,7,80,"1,446",480,72,103,111,126,107,79,73,168,60,29,38
2020,7,90,132,51,12,12,8,9,9,4,5,10,6,4,2
2020,7,100,5,1,1,1,0,0,0,0,0,2,0,0,0
2020,8,총,"78,726","25,056","1,115","1,509","1,428","1,432","1,388",905,916,"30,569","6,650","6,743","1,015"
2020,8,0,"6,949","2,293",45,44,29,34,27,22,20,"3,398",522,482,33
2020,8,10,"8,337","2,732",83,67,59,73,50,52,35,"3,819",596,699,72
2020,8,20,"11,637","3,428",108,153,150,136,123,68,80,"4,741","1,023","1,493",134
2020,8,30,"10,014","3,108",81,87,98,89,97,56,78,"4,706",747,777,90
2020,8,40,"12,196","4,246",130,143,154,133,162,108,123,"5,243","1,053",566,135
2020,8,50,"15,835","4,511",255,390,318,324,302,194,209,"5,945","1,546","1,601",240
2020,8,60,"8,626","2,938",195,301,302,290,283,208,163,"2,007",840,920,179
2020,8,70,"3,551","1,273",132,208,198,218,228,115,130,527,256,174,92
2020,8,80,"1,446",475,73,105,112,127,107,78,73,171,61,26,38
2020,8,90,130,51,12,10,8,8,9,4,5,10,6,5,2
2020,8,100,5,1,1,1,0,0,0,0,0,2,0,0,0
2020,9,총,"78,570","25,006","1,111","1,503","1,431","1,426","1,384",900,918,"30,523","6,649","6,710","1,009"
2020,9,0,"6,912","2,293",45,43,31,34,27,20,19,"3,374",517,476,33
2020,9,10,"8,303","2,706",81,67,58,70,47,50,36,"3,810",603,703,72
2020,9,20,"11,560","3,411",109,157,150,135,121,66,82,"4,716","1,016","1,465",132
2020,9,30,"9,973","3,092",84,83,103,91,99,56,80,"4,685",739,771,90
2020,9,40,"12,183","4,240",128,140,150,135,162,106,120,"5,250","1,051",565,136
2020,9,50,"15,817","4,495",251,387,317,318,302,196,207,"5,947","1,552","1,608",237
2020,9,60,"8,676","2,964",198,303,301,292,284,208,165,"2,026",846,911,178
2020,9,70,"3,568","1,276",133,206,201,219,228,115,128,531,260,180,91
2020,9,80,"1,445",478,69,106,112,124,106,79,75,172,60,26,38
2020,9,90,128,50,12,10,8,8,8,4,6,10,5,5,2
2020,9,100,5,1,1,1,0,0,0,0,0,2,0,0,0
