년도,월,나이,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2020,1,총,"109,825","5,076","8,540","4,436","2,530","5,739","6,721","10,242","17,147","11,815","11,328","10,284","5,495","10,472"
2020,1,0,"8,620",231,732,202,112,479,248,687,"1,713",634,760,"1,081",658,"1,083"
2020,1,10,"9,786",327,646,320,174,515,353,791,"1,743","1,032","1,113",885,645,"1,242"
2020,1,20,"12,604",503,"1,074",632,299,726,708,"1,147","1,766","1,494","1,382","1,086",654,"1,133"
2020,1,30,"13,450",463,"1,201",461,244,786,585,"1,296","2,423","1,036","1,144","1,487",877,"1,447"
2020,1,40,"17,510",626,"1,264",611,310,920,794,"1,490","3,069","1,925","1,794","1,607",990,"2,110"
2020,1,50,"21,277",925,"1,743",910,541,"1,080","1,354","1,956","3,156","2,580","2,485","1,938",957,"1,652"
2020,1,60,"15,390","1,034","1,154",736,484,717,"1,398","1,626","2,040","1,704","1,651","1,338",444,"1,064"
2020,1,70,"7,452",659,480,387,259,320,851,821,828,919,689,584,181,474
2020,1,80,"3,186",263,205,150,91,163,360,380,347,432,256,245,80,214
2020,1,90,507,42,39,25,13,30,52,45,61,58,50,32,8,52
2020,1,100,43,3,2,2,3,3,18,3,1,1,4,1,1,1
2020,2,총,"109,521","5,058","8,503","4,418","2,524","5,713","6,726","10,190","17,144","11,727","11,320","10,240","5,497","10,461"
2020,2,0,"8,580",228,717,200,110,483,248,678,"1,728",614,763,"1,070",660,"1,081"
2020,2,10,"9,698",329,648,318,169,510,350,786,"1,716","1,024","1,100",874,640,"1,234"
2020,2,20,"12,483",495,"1,043",620,297,713,715,"1,143","1,750","1,480","1,376","1,074",650,"1,127"
2020,2,30,"13,343",460,"1,193",462,241,773,564,"1,275","2,423","1,014","1,143","1,474",880,"1,441"
2020,2,40,"17,454",616,"1,256",609,307,928,796,"1,493","3,066","1,897","1,789","1,607",983,"2,107"
2020,2,50,"21,228",922,"1,752",910,545,"1,073","1,357","1,939","3,146","2,569","2,477","1,935",957,"1,646"
2020,2,60,"15,489","1,033","1,163",733,485,720,"1,406","1,628","2,067","1,723","1,661","1,339",454,"1,077"
2020,2,70,"7,459",661,480,387,261,317,855,821,832,907,696,584,183,475
2020,2,80,"3,227",268,207,152,93,162,366,380,352,440,261,248,80,218
2020,2,90,516,43,42,25,13,31,51,44,63,58,50,34,9,53
2020,2,100,44,3,2,2,3,3,18,3,1,1,4,1,1,2
2020,3,총,"109,190","5,039","8,464","4,391","2,502","5,729","6,708","10,143","17,116","11,658","11,266","10,207","5,472","10,495"
2020,3,0,"8,528",230,706,202,108,486,248,671,"1,733",611,755,"1,059",649,"1,070"
2020,3,10,"9,639",325,640,310,168,509,339,782,"1,710","1,011","1,080",876,641,"1,248"
2020,3,20,"12,398",486,"1,031",612,288,722,722,"1,141","1,739","1,458","1,368","1,062",643,"1,126"
2020,3,30,"13,235",457,"1,189",464,239,778,562,"1,255","2,399","1,000","1,131","1,453",875,"1,433"
2020,3,40,"17,353",608,"1,234",594,304,922,790,"1,486","3,061","1,881","1,776","1,609",977,"2,111"
2020,3,50,"21,148",908,"1,754",896,539,"1,073","1,351","1,921","3,133","2,553","2,475","1,931",959,"1,655"
2020,3,60,"15,596","1,040","1,173",747,487,724,"1,396","1,632","2,088","1,743","1,668","1,349",454,"1,095"
2020,3,70,"7,482",667,488,386,262,320,858,829,832,905,691,579,185,480
2020,3,80,"3,254",271,208,153,91,161,374,379,357,442,266,253,79,220
2020,3,90,513,44,39,25,13,31,50,44,63,53,52,35,9,55
2020,3,100,44,3,2,2,3,3,18,3,1,1,4,1,1,2
2020,4,총,"108,968","5,031","8,434","4,390","2,480","5,717","6,693","10,073","17,112","11,630","11,270","10,182","5,495","10,461"
2020,4,0,"8,467",228,698,205,107,487,241,664,"1,728",605,757,"1,050",645,"1,052"
2020,4,10,"9,589",318,637,311,165,512,340,773,"1,703",991,"1,075",876,644,"1,244"
2020,4,20,"12,363",480,"1,020",620,281,714,729,"1,135","1,744","1,455","1,363","1,059",649,"1,114"
2020,4,30,"13,139",453,"1,172",460,232,770,555,"1,243","2,386","1,002","1,130","1,438",882,"1,416"
2020,4,40,"17,285",602,"1,238",582,300,918,787,"1,475","3,058","1,863","1,769","1,609",975,"2,109"
2020,4,50,"21,117",916,"1,744",893,533,"1,074","1,343","1,906","3,139","2,546","2,478","1,923",959,"1,663"
2020,4,60,"15,665","1,044","1,180",753,491,721,"1,398","1,624","2,095","1,754","1,681","1,358",463,"1,103"
2020,4,70,"7,512",672,493,386,262,327,859,827,834,913,696,577,188,478
2020,4,80,"3,267",270,212,153,91,161,372,381,359,447,266,253,80,222
2020,4,90,518,45,38,25,15,30,49,42,65,53,51,38,9,58
2020,4,100,46,3,2,2,3,3,20,3,1,1,4,1,1,2
2020,5,총,"108,719","5,049","8,407","4,373","2,461","5,724","6,671","10,017","17,100","11,591","11,245","10,159","5,481","10,441"
2020,5,0,"8,393",229,697,198,105,483,239,656,"1,707",600,759,"1,040",641,"1,039"
2020,5,10,"9,524",320,630,301,161,514,338,764,"1,708",986,"1,070",866,633,"1,233"
2020,5,20,"12,329",476,"1,011",615,278,730,728,"1,122","1,751","1,438","1,356","1,055",647,"1,122"
2020,5,30,"13,039",449,"1,154",459,226,763,551,"1,238","2,374",994,"1,118","1,424",880,"1,409"
2020,5,40,"17,266",598,"1,243",576,302,917,787,"1,475","3,060","1,858","1,762","1,616",967,"2,105"
2020,5,50,"21,078",923,"1,741",903,530,"1,074","1,342","1,886","3,132","2,529","2,466","1,925",964,"1,663"
2020,5,60,"15,707","1,055","1,189",757,486,722,"1,382","1,621","2,108","1,760","1,695","1,361",468,"1,103"
2020,5,70,"7,539",677,488,384,262,323,866,825,834,921,700,583,189,487
2020,5,80,"3,286",274,212,153,92,165,370,384,359,454,265,253,81,224
2020,5,90,512,45,40,25,16,30,48,43,66,50,50,35,10,54
2020,5,100,46,3,2,2,3,3,20,3,1,1,4,1,1,2
2020,6,총,"108,469","5,073","8,392","4,393","2,445","5,715","6,624","9,950","17,083","11,557","11,209","10,125","5,480","10,423"
2020,6,0,"8,341",229,698,198,102,485,236,649,"1,697",597,753,"1,026",639,"1,032"
2020,6,10,"9,501",324,627,301,162,511,328,759,"1,714",972,"1,068",870,636,"1,229"
2020,6,20,"12,274",478,"1,006",627,272,719,724,"1,103","1,744","1,446","1,337","1,050",649,"1,119"
2020,6,30,"12,954",450,"1,140",457,226,763,543,"1,215","2,375",979,"1,110","1,420",878,"1,398"
