년도,월,나이,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2020,3,총,"20,694","3,650","9,358","1,548","1,856","1,230",828,482,"1,297",82,363
2020,3,0,"1,392",353,789,56,68,47,22,8,32,5,12
2020,3,10,"1,511",211,923,87,79,67,32,22,67,6,17
2020,3,20,"1,961",398,"1,065",97,133,89,56,30,65,6,22
2020,3,30,"1,850",425,999,91,112,68,47,25,60,4,19
2020,3,40,"2,281",363,"1,294",116,178,110,59,32,94,10,25
2020,3,50,"3,381",485,"1,517",281,347,237,169,63,192,13,77
2020,3,60,"3,499",532,"1,267",318,402,241,191,120,339,15,74
2020,3,70,"2,789",510,830,276,327,235,151,119,265,13,63
2020,3,80,"1,710",316,551,200,170,123,89,54,155,8,44
2020,3,90,289,52,110,23,34,12,11,9,27,1,10
2020,3,100,31,5,13,3,6,1,1,0,1,1,0
2020,4,총,"20,736","3,642","9,418","1,542","1,858","1,227",827,481,"1,292",83,366
2020,4,0,"1,394",358,796,49,66,47,21,9,32,5,11
2020,4,10,"1,508",205,927,84,77,68,34,21,69,6,17
2020,4,20,"1,972",395,"1,074",106,135,85,56,30,63,5,23
2020,4,30,"1,870",426,"1,019",88,110,71,46,26,59,5,20
2020,4,40,"2,278",360,"1,293",119,175,109,59,32,94,11,26
2020,4,50,"3,383",483,"1,525",279,348,237,167,62,192,13,77
2020,4,60,"3,511",534,"1,276",317,410,242,192,117,334,15,74
2020,4,70,"2,777",508,825,276,325,229,151,121,266,13,63
2020,4,80,"1,729",318,559,199,172,126,89,55,158,8,45
2020,4,90,283,50,111,22,34,12,11,8,24,1,10
2020,4,100,31,5,13,3,6,1,1,0,1,1,0
2020,5,총,"20,759","3,626","9,454","1,539","1,862","1,235",826,479,"1,288",83,367
2020,5,0,"1,394",354,795,48,72,48,20,9,32,5,11
2020,5,10,"1,500",204,924,84,76,68,32,20,69,6,17
2020,5,20,"1,981",387,"1,082",107,139,89,55,30,64,5,23
2020,5,30,"1,869",421,"1,024",89,112,71,46,26,56,4,20
2020,5,40,"2,279",359,"1,300",119,171,110,58,33,93,11,25
2020,5,50,"3,381",484,"1,530",275,348,235,168,59,193,14,75
2020,5,60,"3,526",537,"1,288",316,407,244,193,119,330,15,77
2020,5,70,"2,773",505,822,278,323,230,152,119,267,13,64
2020,5,80,"1,740",319,564,197,176,127,89,56,159,8,45
2020,5,90,284,51,112,23,31,12,12,8,24,1,10
2020,5,100,32,5,13,3,7,1,1,0,1,1,0
2020,6,총,"20,767","3,646","9,445","1,543","1,861","1,229",828,477,"1,294",83,361
2020,6,0,"1,396",361,787,47,78,47,20,8,32,5,11
2020,6,10,"1,503",202,931,87,76,65,32,19,68,6,17
2020,6,20,"1,976",386,"1,078",106,138,88,57,30,68,5,20
2020,6,30,"1,866",428,"1,015",89,112,71,48,25,56,4,18
2020,6,40,"2,279",356,"1,307",118,170,110,59,32,92,11,24
2020,6,50,"3,357",480,"1,524",277,338,231,165,61,194,13,74
2020,6,60,"3,556",545,"1,295",318,413,248,194,118,331,16,78
2020,6,70,"2,771",505,821,279,321,228,153,120,267,13,64
2020,6,80,"1,746",325,563,196,177,128,87,56,161,8,45
2020,6,90,286,53,111,23,32,12,12,8,24,1,10
2020,6,100,31,5,13,3,6,1,1,0,1,1,0
2020,7,총,"20,732","3,629","9,439","1,532","1,862","1,220",835,477,"1,296",82,360
2020,7,0,"1,383",358,785,46,75,43,20,9,32,5,10
2020,7,10,"1,493",202,925,84,78,63,33,18,66,6,18
2020,7,20,"1,975",384,"1,079",104,140,86,57,31,68,5,21
2020,7,30,"1,847",418,"1,007",88,112,69,48,27,56,4,18
2020,7,40,"2,276",359,"1,306",116,167,110,58,32,95,10,23
2020,7,50,"3,347",471,"1,527",275,336,231,168,61,192,13,73
2020,7,60,"3,560",546,"1,300",316,411,248,196,117,333,16,77
2020,7,70,"2,767",502,821,278,324,228,151,120,265,12,66
2020,7,80,"1,761",330,563,200,180,129,88,54,164,9,44
2020,7,90,291,54,113,22,32,12,15,8,24,1,10
2020,7,100,32,5,13,3,7,1,1,0,1,1,0
2020,8,총,"20,729","3,614","9,472","1,520","1,846","1,221",844,479,"1,291",82,360
2020,8,0,"1,378",357,787,45,69,42,23,9,31,5,10
2020,8,10,"1,490",198,927,83,75,66,33,18,66,6,18
2020,8,20,"1,974",378,"1,085",106,139,85,57,32,67,5,20
2020,8,30,"1,834",412,"1,011",86,109,66,49,24,55,4,18
2020,8,40,"2,274",355,"1,319",113,162,110,58,33,93,10,21
2020,8,50,"3,342",471,"1,523",273,333,231,169,61,194,13,74
2020,8,60,"3,586",554,"1,310",316,412,252,196,118,333,16,79
2020,8,70,"2,763",499,821,276,327,227,153,120,263,12,65
2020,8,80,"1,768",330,564,200,182,130,89,56,164,9,44
