년도,월,나이,순천시,승주읍,해룡면,해룡면상삼출장소,해룡면신대출장소,서면,황전면,월등면,주암면,송광면,외서면,낙안면,별량면,상사면,향동,매곡동,삼산동,조곡동,덕연동,풍덕동,남제동,저전동,장천동,중앙동,도사동,왕조1동,왕조2동
2020,1,총,"140,895","1,401","2,286","9,316","15,511","6,092","1,495",981,"1,603",759,486,"1,685","2,799","1,390","1,956","2,367","12,313","3,231","22,738","3,913","4,524","1,497","1,238","1,556","9,130","20,573","10,055"
2020,1,0,"11,715",25,75,798,"2,863",417,28,19,31,5,13,41,78,25,78,77,879,179,"1,827",183,186,65,32,51,"1,009","1,787",944
2020,1,10,"14,960",67,114,"1,286","2,206",512,49,46,63,20,21,76,144,71,122,165,"1,338",302,"2,754",283,361,95,58,95,816,"2,499","1,397"
2020,1,20,"17,088",77,180,"1,458","1,488",604,81,76,88,39,26,104,167,106,163,362,"1,706",343,"3,085",446,519,161,143,153,"1,025","2,993","1,495"
2020,1,30,"16,444",60,97,"1,153","3,404",588,54,47,48,20,15,65,129,66,149,207,"1,296",309,"2,532",366,381,121,89,125,"1,336","2,515","1,272"
2020,1,40,"22,360",96,201,"1,979","3,196",825,70,50,73,35,24,101,208,132,210,245,"1,888",481,"3,913",450,529,160,122,219,"1,385","3,803","1,965"
2020,1,50,"24,311",234,389,"1,596","1,435","1,068",200,160,251,130,67,268,438,252,294,390,"2,367",570,"4,587",730,884,266,242,262,"1,517","3,826","1,888"
2020,1,60,"15,805",236,432,541,553,896,298,188,328,110,89,363,513,263,419,388,"1,557",548,"2,373",702,823,270,275,286,973,"1,732",649
2020,1,70,"10,331",309,401,285,224,645,355,200,365,201,100,343,548,252,305,330,759,301,"1,034",513,549,243,163,242,590,803,271
2020,1,80,"6,654",262,337,198,116,455,314,162,305,168,104,279,503,177,187,175,433,166,522,193,244,92,88,111,397,518,148
2020,1,90,"1,179",35,59,20,26,80,45,32,51,27,27,42,68,43,25,27,86,29,107,45,48,24,24,7,80,96,26
2020,1,100,48,0,1,2,0,2,1,1,0,4,0,3,3,3,4,1,4,3,4,2,0,0,2,5,2,1,0
2020,2,총,"141,041","1,396","2,285","9,337","15,612","6,098","1,496",979,"1,612",760,489,"1,690","2,791","1,398","1,948","2,345","12,335","3,230","22,704","3,907","4,521","1,513","1,242","1,560","9,166","20,598","10,029"
2020,2,0,"11,687",24,75,802,"2,877",417,28,18,34,5,11,41,75,25,79,73,861,177,"1,822",182,184,65,30,50,"1,006","1,786",940
2020,2,10,"14,888",69,109,"1,271","2,219",507,49,48,61,19,22,75,142,70,120,163,"1,354",301,"2,730",279,356,96,60,95,825,"2,477","1,371"
2020,2,20,"17,053",74,186,"1,460","1,485",605,78,73,84,40,26,109,166,109,163,353,"1,709",343,"3,077",432,515,161,147,158,"1,020","2,995","1,485"
2020,2,30,"16,463",58,94,"1,143","3,419",583,52,46,54,20,16,65,125,66,146,200,"1,297",308,"2,538",373,378,128,88,126,"1,340","2,529","1,271"
2020,2,40,"22,410",94,199,"1,982","3,246",832,72,52,71,35,25,103,210,132,208,250,"1,896",476,"3,908",446,527,162,121,217,"1,393","3,802","1,951"
2020,2,50,"24,346",230,392,"1,626","1,443","1,069",197,158,253,129,68,267,438,251,294,386,"2,364",575,"4,563",728,885,268,243,260,"1,513","3,843","1,903"
2020,2,60,"15,944",240,433,550,555,905,301,191,328,112,90,363,510,268,419,388,"1,575",549,"2,402",707,828,269,276,285,997,"1,740",663
2020,2,70,"10,315",305,397,281,225,643,356,198,365,200,101,343,538,251,302,327,758,302,"1,033",515,549,249,163,245,592,809,268
2020,2,80,"6,684",266,341,198,115,456,316,162,309,169,103,276,511,179,186,176,432,165,523,195,249,92,88,111,397,519,150
2020,2,90,"1,202",36,58,22,28,79,46,32,53,27,27,46,73,44,26,28,85,31,104,48,50,23,24,8,80,97,27
2020,2,100,49,0,1,2,0,2,1,1,0,4,0,2,3,3,5,1,4,3,4,2,0,0,2,5,3,1,0
2020,3,총,"141,276","1,392","2,280","9,354","15,689","6,117","1,497",974,"1,608",751,488,"1,685","2,800","1,396","1,947","2,351","12,342","3,229","22,723","3,904","4,514","1,521","1,239","1,552","9,197","20,642","10,084"
2020,3,0,"11,708",24,78,806,"2,883",419,29,18,31,5,10,40,79,23,75,71,864,172,"1,819",186,185,65,30,52,"1,007","1,799",938
2020,3,10,"14,799",67,107,"1,252","2,213",505,49,48,63,18,23,75,145,68,121,162,"1,335",299,"2,713",279,344,97,58,95,825,"2,468","1,370"
2020,3,20,"17,105",74,182,"1,461","1,499",610,76,75,84,38,26,105,168,110,162,359,"1,729",337,"3,087",414,522,160,144,154,"1,019","3,002","1,508"
2020,3,30,"16,473",58,97,"1,157","3,436",581,53,44,50,16,16,65,123,66,148,201,"1,274",306,"2,526",379,373,132,91,129,"1,345","2,543","1,264"
2020,3,40,"22,416",91,198,"1,968","3,283",835,70,51,71,35,25,97,211,130,211,243,"1,890",478,"3,913",443,526,161,119,213,"1,399","3,792","1,963"
2020,3,50,"24,374",232,385,"1,635","1,452","1,069",195,156,252,126,67,267,434,251,295,391,"2,366",574,"4,570",727,880,267,242,255,"1,517","3,853","1,916"
2020,3,60,"16,048",240,429,565,556,906,306,189,328,114,89,364,513,268,416,389,"1,588",555,"2,422",707,832,272,278,287,"1,013","1,753",669
2020,3,70,"10,374",300,401,291,225,647,356,197,363,198,102,347,534,254,304,326,768,308,"1,041",519,556,251,167,243,594,810,272
2020,3,80,"6,690",266,345,193,114,462,314,163,313,167,103,277,511,177,183,179,439,164,521,198,245,90,86,110,392,521,157
2020,3,90,"1,239",40,57,24,28,81,48,32,53,30,27,46,79,45,28,29,84,33,106,51,51,26,22,9,83,100,27
