년도,월,나이,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동,대구광역시 달서구 유천동
2020,1,총,"287,461","12,689","8,018","4,668","14,237","7,451","9,000","16,077","14,952","11,898","8,352","15,528","11,178","22,594","8,761","39,290","20,543","10,405","6,077","19,137","10,035","9,769","6,802",
2020,1,0,"21,034",921,344,200,"1,112",368,668,"1,076",960,698,478,744,"1,139","2,684",305,"4,585","1,564",568,210,"1,233",422,400,355,
2020,1,10,"28,079","1,112",382,314,"1,196",519,889,"1,813","1,510","1,328",729,"1,288","1,143","4,148",596,"4,020","2,304",750,300,"1,866",698,680,494,
2020,1,20,"37,472","1,577","1,290",648,"2,138","1,184","1,196","2,375","2,234","1,869","1,170","2,892","1,236","1,920",850,"4,384","2,496","1,698",561,"2,470","1,344","1,180",760,
2020,1,30,"33,623","1,490",977,494,"1,838",811,"1,155","1,690","1,605","1,228",976,"1,555","1,532","2,763",644,"6,214","2,200","1,225",525,"2,019","1,046",916,720,
2020,1,40,"48,012","1,822",932,611,"2,200","1,088","1,520","3,029","2,692","2,142","1,274","2,395","1,968","5,820","1,151","6,967","3,756","1,380",653,"2,985","1,392","1,252",983,
2020,1,50,"54,349","2,183","1,445",839,"2,755","1,611","1,748","3,317","3,313","2,625","1,916","3,213","2,031","2,630","1,601","6,234","3,925","2,180","1,335","4,086","2,056","1,943","1,363",
2020,1,60,"35,733","1,950","1,322",743,"1,805","1,082","1,052","1,589","1,460","1,099","1,114","1,757","1,315","1,470","1,688","3,936","2,421","1,474","1,324","2,549","1,675","1,759","1,149",
2020,1,70,"18,527","1,069",891,528,828,524,518,778,756,564,460,"1,035",523,726,"1,244","1,886","1,123",699,682,"1,186",911,"1,019",577,
2020,1,80,"9,339",492,385,252,314,245,222,368,374,308,206,580,252,381,616,933,651,373,425,653,423,535,351,
2020,1,90,"1,223",68,46,34,50,18,30,40,46,36,29,68,38,45,61,119,97,53,62,89,65,79,50,
2020,1,100,70,5,4,5,1,1,2,2,2,1,0,1,1,7,5,12,6,5,0,1,3,6,0,
2020,2,총,"287,046","12,646","8,013","4,667","14,209","7,433","8,991","16,029","14,886","11,894","8,342","15,494","11,147","22,577","8,750","39,196","20,494","10,501","6,057","19,080","10,058","9,788","6,794",
2020,2,0,"20,880",922,341,205,"1,106",357,665,"1,070",940,698,462,719,"1,119","2,687",298,"4,563","1,558",568,211,"1,232",415,392,352,
2020,2,10,"27,883","1,101",383,313,"1,178",513,875,"1,787","1,496","1,323",720,"1,301","1,143","4,137",593,"3,972","2,286",760,298,"1,839",694,679,492,
2020,2,20,"37,310","1,557","1,297",656,"2,140","1,167","1,195","2,361","2,204","1,871","1,167","2,873","1,236","1,900",860,"4,334","2,488","1,706",558,"2,433","1,353","1,199",755,
2020,2,30,"33,460","1,473",969,490,"1,828",805,"1,143","1,686","1,604","1,214",965,"1,531","1,505","2,764",642,"6,188","2,178","1,255",520,"2,010","1,048",922,720,
2020,2,40,"47,865","1,807",923,608,"2,190","1,088","1,515","2,999","2,674","2,131","1,275","2,392","1,974","5,816","1,135","6,979","3,747","1,393",646,"2,966","1,385","1,240",982,
2020,2,50,"54,429","2,182","1,448",834,"2,750","1,614","1,760","3,339","3,312","2,631","1,928","3,222","2,032","2,641","1,599","6,243","3,920","2,199","1,323","4,077","2,066","1,942","1,367",
2020,2,60,"35,929","1,961","1,327",741,"1,814","1,088","1,058","1,589","1,483","1,111","1,129","1,763","1,320","1,479","1,684","3,954","2,427","1,490","1,334","2,582","1,678","1,768","1,149",
2020,2,70,"18,609","1,078",886,525,835,531,523,782,752,569,462,"1,038",530,722,"1,251","1,891","1,136",701,681,"1,195",917,"1,027",577,
2020,2,80,"9,387",492,386,256,317,249,224,375,372,308,205,582,250,379,622,940,654,373,426,659,434,533,351,
2020,2,90,"1,225",68,49,34,50,20,31,39,47,37,29,72,37,45,61,120,95,51,60,86,65,80,49,
2020,2,100,69,5,4,5,1,1,2,2,2,1,0,1,1,7,5,12,5,5,0,1,3,6,0,
2020,3,총,"287,323","12,612","7,983","4,671","14,296","7,445","8,976","16,029","14,876","11,927","8,366","15,488","11,192","22,590","8,768","39,258","20,494","10,593","6,060","19,056","10,074","9,789","6,780",
2020,3,0,"20,811",917,325,201,"1,115",367,667,"1,055",931,694,460,720,"1,110","2,681",297,"4,551","1,554",572,209,"1,228",411,392,354,
2020,3,10,"27,739","1,091",384,308,"1,178",503,871,"1,778","1,482","1,321",712,"1,307","1,147","4,123",596,"3,976","2,262",757,295,"1,816",687,673,472,
2020,3,20,"37,500","1,556","1,299",669,"2,143","1,160","1,181","2,379","2,225","1,882","1,161","2,891","1,248","1,909",859,"4,373","2,507","1,726",561,"2,431","1,367","1,199",774,
2020,3,30,"33,428","1,466",965,489,"1,862",816,"1,127","1,672","1,590","1,205",971,"1,527","1,514","2,761",639,"6,171","2,178","1,281",513,"1,996","1,054",918,713,
