년도,월,나이,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020,3,총,"45,445","2,440","2,999","5,039","3,362","2,228","5,279","2,167","3,002","5,838","6,272","4,472","2,347"
2020,3,0,"2,004",105,75,417,111,104,209,59,86,217,194,238,189
2020,3,10,"2,581",119,130,284,201,168,329,115,192,341,348,231,123
2020,3,20,"5,206",338,336,847,296,231,626,168,271,644,648,577,224
2020,3,30,"4,855",247,243,972,239,196,518,137,223,600,543,591,346
2020,3,40,"5,628",302,351,718,426,301,643,233,355,701,672,599,327
2020,3,50,"7,452",379,486,683,543,358,896,337,526,985,"1,122",811,326
2020,3,60,"8,229",452,669,569,650,411,968,435,589,"1,055","1,296",777,358
2020,3,70,"6,133",326,460,328,564,321,714,459,487,854,904,434,282
2020,3,80,"2,884",150,210,176,281,118,334,196,231,387,477,186,138
2020,3,90,404,19,34,42,43,15,30,26,40,45,58,22,30
2020,3,100,69,3,5,3,8,5,12,2,2,9,10,6,4
2020,4,총,"45,670","2,440","2,987","5,370","3,353","2,218","5,287","2,154","2,983","5,822","6,239","4,464","2,353"
2020,4,0,"2,005",104,72,441,109,96,210,57,84,214,193,233,192
2020,4,10,"2,580",121,129,304,198,173,323,113,188,342,343,226,120
2020,4,20,"5,253",335,331,913,294,231,627,166,274,643,636,575,228
2020,4,30,"4,909",249,239,"1,047",241,189,525,135,219,595,545,579,346
2020,4,40,"5,684",306,348,795,420,296,645,235,348,689,665,610,327
2020,4,50,"7,436",371,494,708,531,357,892,335,523,975,"1,112",816,322
2020,4,60,"8,289",453,662,589,660,409,978,429,588,"1,070","1,302",786,363
2020,4,70,"6,130",327,463,348,564,322,712,454,486,850,900,421,283
2020,4,80,"2,902",154,209,177,283,125,332,201,232,388,473,190,138
2020,4,90,413,17,35,45,45,15,31,27,39,47,60,22,30
2020,4,100,69,3,5,3,8,5,12,2,2,9,10,6,4
2020,5,총,"45,703","2,429","2,981","5,540","3,330","2,205","5,277","2,147","2,982","5,796","6,208","4,461","2,347"
2020,5,0,"2,003",107,67,454,101,96,205,60,86,214,192,233,188
2020,5,10,"2,558",119,133,311,197,163,320,107,189,335,342,220,122
2020,5,20,"5,289",339,326,958,296,237,625,165,269,635,629,580,230
2020,5,30,"4,892",237,239,"1,084",237,184,521,133,214,588,542,574,339
2020,5,40,"5,684",307,348,811,421,289,648,232,351,684,658,614,321
2020,5,50,"7,436",372,491,732,524,362,884,334,523,971,"1,107",813,323
2020,5,60,"8,296",449,661,603,663,407,978,426,587,"1,073","1,298",785,366
2020,5,70,"6,142",327,464,358,556,321,713,459,490,853,897,422,282
2020,5,80,"2,918",151,210,182,282,126,338,202,232,386,475,192,142
2020,5,90,416,18,37,44,45,15,33,27,39,48,58,22,30
2020,5,100,69,3,5,3,8,5,12,2,2,9,10,6,4
2020,6,총,"45,695","2,425","2,957","5,644","3,322","2,196","5,286","2,128","2,963","5,776","6,208","4,444","2,346"
2020,6,0,"1,990",109,66,465,98,95,207,55,85,208,189,226,187
2020,6,10,"2,542",119,131,314,194,165,317,102,185,334,342,216,123
2020,6,20,"5,285",338,320,978,303,231,630,160,264,628,628,575,230
2020,6,30,"4,882",238,239,"1,107",235,183,520,127,211,575,538,569,340
2020,6,40,"5,678",305,342,825,414,289,649,228,348,685,664,610,319
2020,6,50,"7,411",370,488,758,522,364,879,335,518,962,"1,084",808,323
2020,6,60,"8,335",447,660,604,664,406,987,426,586,"1,082","1,312",793,368
2020,6,70,"6,167",328,463,368,560,319,708,459,494,856,900,429,283
2020,6,80,"2,912",150,208,179,277,124,342,207,230,388,480,189,138
2020,6,90,423,18,35,43,47,15,34,27,40,49,61,23,31
2020,6,100,70,3,5,3,8,5,13,2,2,9,10,6,4
2020,7,총,"45,705","2,421","2,951","5,712","3,316","2,194","5,288","2,120","2,961","5,771","6,204","4,421","2,346"
2020,7,0,"1,977",105,66,475,96,92,204,53,87,205,188,224,182
2020,7,10,"2,537",120,129,318,191,164,314,102,184,337,338,211,129
2020,7,20,"5,284",330,319,974,308,232,635,164,262,632,628,569,231
2020,7,30,"4,899",234,240,"1,122",241,177,524,127,212,570,543,574,335
2020,7,40,"5,670",311,342,834,408,291,642,224,346,687,657,606,322
2020,7,50,"7,403",373,488,771,520,363,879,336,518,962,"1,071",802,320
