년도,월,나이,밀양시,삼랑진읍,삼랑진임천출장소,하남읍,부북면,상동면,산외면,산내면,단장면,상남면,초동면,무안면,청도면,내일동,내이동,삼문동,가곡동,교동
2020,1,총,"53,881","2,789",683,"3,685","2,622","1,622","1,437","1,934","2,208","4,468","1,737","2,659",926,"1,487","7,503","10,859","4,028","3,234"
2020,1,0,"2,929",77,13,140,75,38,41,49,38,274,41,57,22,45,602,"1,021",175,221
2020,1,10,"3,860",133,28,214,114,46,62,95,67,263,74,124,29,73,624,"1,287",311,316
2020,1,20,"4,055",157,59,228,151,67,76,76,102,304,80,139,26,103,816,994,348,329
2020,1,30,"4,386",134,28,230,149,67,71,86,117,354,59,116,38,102,911,"1,264",334,326
2020,1,40,"6,251",239,46,316,208,84,118,134,141,472,115,197,50,149,"1,128","1,883",475,496
2020,1,50,"9,586",497,104,675,485,298,277,379,457,796,308,432,159,280,"1,360","1,755",705,619
2020,1,60,"10,338",678,165,810,620,457,342,472,604,826,454,626,225,336,"1,108","1,370",752,493
2020,1,70,"7,061",512,130,586,444,287,242,351,364,681,324,500,192,247,575,788,565,273
2020,1,80,"4,694",308,93,427,321,236,179,256,277,434,254,392,164,135,320,433,325,140
2020,1,90,686,52,17,54,54,42,28,35,39,57,25,74,21,14,57,62,37,18
2020,1,100,35,2,0,5,1,0,1,1,2,7,3,2,0,3,2,2,1,3
2020,2,총,"53,832","2,781",679,"3,680","2,618","1,622","1,427","1,935","2,210","4,440","1,737","2,646",917,"1,473","7,506","10,800","4,171","3,190"
2020,2,0,"2,903",76,13,139,74,38,37,49,38,268,39,56,21,41,597,"1,026",176,215
2020,2,10,"3,856",126,27,210,118,45,63,98,67,264,71,130,28,72,627,"1,272",336,302
2020,2,20,"4,024",155,56,230,145,68,73,79,98,301,78,138,26,105,815,971,364,322
2020,2,30,"4,365",138,29,227,148,67,73,85,118,343,61,112,39,98,913,"1,246",346,322
2020,2,40,"6,258",239,44,323,210,85,114,133,141,465,117,193,46,147,"1,127","1,872",517,485
2020,2,50,"9,548",490,102,670,481,293,275,371,457,788,303,427,156,276,"1,367","1,749",733,610
2020,2,60,"10,377",679,167,807,621,458,343,481,607,834,460,622,224,337,"1,108","1,375",760,494
2020,2,70,"7,050",511,129,587,448,287,242,347,363,677,323,500,190,246,570,787,566,277
2020,2,80,"4,709",313,94,426,317,240,177,254,280,434,251,391,164,134,321,439,332,142
2020,2,90,706,52,18,56,55,41,29,37,39,59,31,74,23,14,59,61,40,18
2020,2,100,36,2,0,5,1,0,1,1,2,7,3,3,0,3,2,2,1,3
2020,3,총,"53,738","2,764",671,"3,665","2,598","1,620","1,426","1,936","2,201","4,410","1,735","2,637",914,"1,476","7,510","10,760","4,244","3,171"
2020,3,0,"2,883",77,13,142,69,39,37,48,40,265,38,54,21,43,604,"1,010",175,208
2020,3,10,"3,834",123,27,213,117,45,61,102,68,260,71,129,25,71,621,"1,257",349,295
2020,3,20,"3,979",157,53,219,143,66,66,79,97,291,76,135,27,104,811,966,374,315
2020,3,30,"4,350",136,27,226,142,66,76,84,116,340,60,110,39,98,914,"1,244",347,325
2020,3,40,"6,227",228,43,323,205,84,110,136,139,460,116,193,46,147,"1,116","1,864",539,478
2020,3,50,"9,523",495,100,662,479,296,277,370,450,783,296,421,154,277,"1,370","1,745",739,609
2020,3,60,"10,419",678,168,807,620,456,342,480,609,834,469,628,227,339,"1,115","1,382",766,499
2020,3,70,"7,057",510,126,589,445,289,248,348,360,676,324,494,189,244,578,784,575,278
2020,3,80,"4,716",306,94,425,321,238,178,253,279,434,252,396,163,135,319,445,337,141
2020,3,90,714,52,20,54,56,41,30,35,41,60,30,74,23,15,60,61,42,20
2020,3,100,36,2,0,5,1,0,1,1,2,7,3,3,0,3,2,2,1,3
