년도,월,나이,제주특별자치도 제주시,제주특별자치도 제주시 한림읍,제주특별자치도 제주시 애월읍,제주특별자치도 제주시 구좌읍,제주특별자치도 제주시 조천읍,제주특별자치도 제주시 한경면,제주특별자치도 제주시 추자면,제주특별자치도 제주시 우도면,제주특별자치도 제주시 일도1동,제주특별자치도 제주시 일도2동,제주특별자치도 제주시 이도1동,제주특별자치도 제주시 이도2동,제주특별자치도 제주시 삼도1동,제주특별자치도 제주시 삼도2동,제주특별자치도 제주시 용담1동,제주특별자치도 제주시 용담2동,제주특별자치도 제주시 건입동,제주특별자치도 제주시 화북동,제주특별자치도 제주시 삼양동,제주특별자치도 제주시 봉개동,제주특별자치도 제주시 아라동,제주특별자치도 제주시 오라동,제주특별자치도 제주시 연동,제주특별자치도 제주시 노형동,제주특별자치도 제주시 외도동,제주특별자치도 제주시 이호동,제주특별자치도 제주시 도두동
2020,1,총,"245,389","11,004","18,697","8,004","12,747","4,559",929,972,"1,413","16,549","3,784","24,525","6,758","4,229","3,745","7,565","4,721","12,408","12,948","2,738","17,365","7,770","20,358","26,590","10,958","2,368","1,685"
2020,1,0,"24,183",810,"1,767",510,"1,095",283,35,46,56,"1,526",283,"2,554",588,266,243,566,337,"1,363","1,994",307,"2,249","1,115","1,646","2,751","1,443",201,149
2020,1,10,"28,395","1,009","1,817",596,"1,174",303,45,49,75,"2,068",408,"3,266",710,391,364,778,426,"1,685","1,607",251,"2,094",956,"2,279","4,105","1,548",244,147
2020,1,20,"33,042","1,213","1,983",821,"1,532",374,64,110,145,"2,377",515,"3,801",945,574,492,"1,068",616,"1,727","1,526",358,"2,346","1,011","3,464","4,123","1,328",324,205
2020,1,30,"32,510","1,225","2,315",875,"1,531",424,79,121,137,"2,053",475,"3,350",779,507,403,909,550,"1,570","2,118",422,"2,777","1,286","3,109","3,295","1,631",328,241
2020,1,40,"42,408","1,968","3,560","1,420","2,197",875,143,195,236,"2,592",549,"4,089","1,143",692,606,"1,181",736,"2,092","2,384",423,"3,182","1,384","3,372","4,526","2,148",407,308
2020,1,50,"40,996","2,113","3,366","1,596","2,334",929,211,205,313,"2,717",668,"3,778","1,117",819,719,"1,322",844,"2,026","1,685",434,"2,532","1,025","3,367","4,564","1,592",412,308
2020,1,60,"25,396","1,461","2,174","1,115","1,554",717,175,144,267,"1,871",499,"2,214",725,570,489,961,688,"1,224",965,289,"1,384",602,"1,999","2,064",754,278,213
2020,1,70,"13,182",834,"1,185",739,927,442,128,65,128,991,266,"1,108",529,284,309,561,385,512,465,168,578,287,866,860,377,120,68
2020,1,80,"4,892",331,492,305,372,202,47,33,44,331,112,348,213,116,114,208,125,199,185,81,201,94,237,279,128,53,42
2020,1,90,362,36,34,26,30,10,2,4,9,21,9,16,9,9,5,11,13,9,19,5,20,9,19,23,9,1,4
2020,1,100,23,4,4,1,1,0,0,0,3,2,0,1,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0
2020,2,총,"245,546","10,985","18,784","8,008","12,820","4,560",931,971,"1,401","16,538","3,797","24,529","6,754","4,215","3,733","7,572","4,705","12,383","12,962","2,739","17,399","7,788","20,329","26,643","10,943","2,360","1,697"
2020,2,0,"24,229",809,"1,801",517,"1,120",285,34,44,54,"1,527",291,"2,546",587,264,237,564,334,"1,356","1,997",301,"2,239","1,118","1,638","2,767","1,441",200,158
2020,2,10,"28,288","1,005","1,817",592,"1,181",299,46,49,72,"2,047",405,"3,272",704,387,356,788,427,"1,674","1,602",250,"2,095",956,"2,259","4,082","1,537",242,144
2020,2,20,"33,033","1,201","1,965",816,"1,535",377,62,108,145,"2,395",512,"3,798",939,577,494,"1,070",618,"1,712","1,522",360,"2,368","1,006","3,469","4,135","1,320",326,203
2020,2,30,"32,398","1,221","2,322",874,"1,532",422,85,122,134,"2,018",482,"3,329",782,502,394,899,543,"1,564","2,086",429,"2,763","1,295","3,090","3,328","1,621",323,238
2020,2,40,"42,424","1,945","3,573","1,421","2,211",867,140,197,232,"2,595",554,"4,104","1,139",692,601,"1,190",728,"2,105","2,410",415,"3,177","1,387","3,366","4,510","2,147",406,312
2020,2,50,"41,087","2,111","3,393","1,603","2,332",939,213,207,313,"2,715",663,"3,776","1,124",819,720,"1,314",839,"2,026","1,698",436,"2,541","1,029","3,361","4,584","1,606",412,313
2020,2,60,"25,554","1,473","2,195","1,115","1,578",714,172,140,268,"1,884",500,"2,239",723,565,497,962,691,"1,220",977,291,"1,405",605,"2,015","2,076",756,279,214
2020,2,70,"13,221",842,"1,188",737,924,441,130,67,128,999,269,"1,095",532,281,314,564,387,520,463,170,586,285,872,862,378,118,69
2020,2,80,"4,923",339,493,306,376,205,47,33,42,335,112,352,215,118,111,210,124,196,188,82,202,97,240,277,128,53,42
2020,2,90,366,35,33,26,30,11,2,4,10,21,9,17,9,9,8,11,13,9,19,5,21,9,19,22,9,1,4
2020,2,100,23,4,4,1,1,0,0,0,3,2,0,1,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0
