년도,월,나이,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020,3,총,"224,781","11,030","9,805","15,832","16,320","18,320","6,411","17,023","8,461","10,711","10,377","11,413","9,333","10,989","11,427","12,872","23,622","11,339","9,496"
2020,3,0,"17,229",771,775,835,"1,513","1,279",303,"1,616",909,885,870,773,610,605,684,829,"2,155",708,"1,109"
2020,3,10,"22,384",935,796,"1,180","1,996","1,978",990,"1,740","1,368","1,376","1,037","1,526",645,816,"1,007","1,433","2,115",826,620
2020,3,20,"29,195","1,449","1,497","2,701","1,877","2,439",771,"2,374",707,"1,120","1,229","1,420","1,338","1,576","1,420","1,842","2,781","1,703",951
2020,3,30,"35,847","2,071","2,082","2,615","2,271","2,873",515,"3,210","1,022","1,428","1,616","1,398","1,724","1,726","1,623","2,060","3,783","2,215","1,615"
2020,3,40,"41,550","2,002","1,731","2,615","3,435","3,625","1,405","3,313","2,037","2,351","1,962","2,256","1,554","1,668","1,824","2,400","4,013","1,895","1,464"
2020,3,50,"32,130","1,520","1,220","2,415","2,227","2,833","1,016","1,981",966,"1,506","1,470","1,714","1,316","1,795","1,957","1,799","3,322","1,698","1,375"
2020,3,60,"25,358","1,259",967,"1,879","1,610","1,806",667,"1,573",707,"1,074","1,260","1,164","1,153","1,572","1,679","1,255","3,108","1,348","1,277"
2020,3,70,"14,177",674,515,"1,091",941,943,535,840,506,642,623,737,684,864,809,863,"1,532",666,712
2020,3,80,"5,436",285,159,401,351,428,172,288,168,256,243,347,249,286,341,312,636,206,308
2020,3,90,"1,309",61,47,88,89,104,29,73,54,60,64,73,53,69,76,69,172,71,57
2020,3,100,166,3,16,12,10,12,8,15,17,13,3,5,7,12,7,10,5,3,8
2020,4,총,"224,277","10,998","9,826","15,828","16,311","18,265","6,342","16,962","8,446","10,701","10,361","11,404","9,330","10,917","11,388","12,845","23,579","11,310","9,464"
2020,4,0,"17,075",756,773,834,"1,499","1,271",300,"1,600",895,880,850,767,605,602,675,830,"2,153",689,"1,096"
2020,4,10,"22,358",947,792,"1,173","2,002","1,977",966,"1,742","1,382","1,371","1,040","1,516",645,806,"1,006","1,430","2,111",830,622
2020,4,20,"29,168","1,438","1,493","2,711","1,880","2,439",756,"2,380",701,"1,128","1,239","1,424","1,345","1,563","1,426","1,826","2,775","1,689",955
2020,4,30,"35,622","2,047","2,093","2,625","2,265","2,828",517,"3,182","1,006","1,428","1,599","1,392","1,711","1,707","1,602","2,053","3,746","2,218","1,603"
2020,4,40,"41,475","1,998","1,731","2,603","3,424","3,628","1,384","3,306","2,041","2,342","1,965","2,251","1,567","1,652","1,826","2,390","4,027","1,887","1,453"
2020,4,50,"32,100","1,520","1,230","2,414","2,225","2,837","1,007","1,976",968,"1,506","1,468","1,716","1,320","1,786","1,953","1,795","3,306","1,706","1,367"
2020,4,60,"25,325","1,263",969,"1,871","1,616","1,801",668,"1,554",705,"1,074","1,257","1,171","1,146","1,567","1,673","1,257","3,111","1,341","1,281"
2020,4,70,"14,221",680,523,"1,093",945,937,539,842,505,644,632,735,684,862,805,871,"1,539",670,715
2020,4,80,"5,458",285,157,403,354,426,169,296,174,255,245,354,247,289,342,315,634,208,305
2020,4,90,"1,312",61,49,89,91,109,27,69,52,60,63,73,53,71,76,68,173,69,59
2020,4,100,163,3,16,12,10,12,9,15,17,13,3,5,7,12,4,10,4,3,8
2020,5,총,"224,076","10,983","9,831","15,834","16,303","18,061","6,330","16,921","8,443","10,980","10,320","11,408","9,318","10,905","11,331","12,853","23,535","11,302","9,418"
2020,5,0,"16,957",748,761,823,"1,495","1,252",297,"1,593",897,904,834,761,603,595,671,836,"2,129",681,"1,077"
2020,5,10,"22,313",954,791,"1,160","1,999","1,955",954,"1,735","1,387","1,397","1,041","1,514",638,808,"1,007","1,422","2,104",829,618
2020,5,20,"29,187","1,448","1,511","2,740","1,883","2,418",765,"2,366",700,"1,154","1,231","1,421","1,348","1,539","1,408","1,835","2,774","1,689",957
2020,5,30,"35,457","2,040","2,075","2,631","2,251","2,780",511,"3,168",994,"1,457","1,583","1,386","1,710","1,713","1,595","2,043","3,730","2,218","1,572"
2020,5,40,"41,389","1,996","1,735","2,595","3,407","3,574","1,380","3,301","2,037","2,387","1,969","2,250","1,551","1,656","1,813","2,382","4,016","1,888","1,452"
2020,5,50,"32,208","1,507","1,243","2,409","2,249","2,821","1,009","1,978",971,"1,563","1,468","1,729","1,327","1,783","1,940","1,816","3,319","1,705","1,371"
2020,5,60,"25,352","1,262",958,"1,887","1,615","1,792",668,"1,556",708,"1,114","1,241","1,172","1,145","1,577","1,671","1,253","3,108","1,343","1,282"
2020,5,70,"14,286",676,537,"1,090",952,932,541,848,509,662,643,742,687,863,806,871,"1,540",672,715
2020,5,80,"5,450",288,156,401,353,419,169,293,171,268,242,355,248,293,337,315,633,205,304
2020,5,90,"1,315",62,48,86,89,106,27,68,52,61,65,72,54,67,79,70,178,69,62
2020,5,100,162,2,16,12,10,12,9,15,17,13,3,6,7,11,4,10,4,3,8
2020,6,총,"223,882","10,973","9,830","15,849","16,294","17,632","6,325","16,872","8,442","11,435","10,310","11,396","9,318","10,863","11,287","12,882","23,508","11,264","9,402"
2020,6,0,"16,876",743,761,820,"1,485","1,212",295,"1,583",891,946,819,755,606,596,662,837,"2,112",680,"1,073"
2020,6,10,"22,270",953,787,"1,156","2,014","1,904",951,"1,738","1,393","1,430","1,049","1,503",629,799,999,"1,421","2,101",817,626
2020,6,20,"29,165","1,461","1,515","2,742","1,883","2,357",760,"2,344",708,"1,224","1,234","1,432","1,357","1,506","1,397","1,835","2,787","1,672",951
2020,6,30,"35,296","2,037","2,074","2,639","2,228","2,687",511,"3,144",985,"1,515","1,566","1,386","1,706","1,720","1,592","2,051","3,705","2,203","1,547"
2020,6,40,"41,356","1,975","1,732","2,588","3,408","3,494","1,373","3,301","2,035","2,470","1,980","2,250","1,544","1,654","1,804","2,385","4,017","1,882","1,464"
2020,6,50,"32,154","1,517","1,233","2,404","2,263","2,768","1,020","1,979",970,"1,623","1,463","1,714","1,322","1,774","1,926","1,819","3,296","1,696","1,367"
2020,6,60,"25,456","1,258",966,"1,897","1,609","1,775",660,"1,561",706,"1,173","1,245","1,180","1,151","1,577","1,676","1,258","3,116","1,364","1,284"
2020,6,70,"14,376",678,543,"1,103",952,911,546,849,514,695,645,742,690,869,814,878,"1,559",673,715
2020,6,80,"5,436",283,155,401,351,405,170,290,172,282,240,352,252,292,333,317,632,206,303
2020,6,90,"1,334",66,48,87,91,107,29,68,50,65,66,76,54,65,80,71,179,68,64
2020,6,100,163,2,16,12,10,12,10,15,18,12,3,6,7,11,4,10,4,3,8
2020,7,총,"223,486","10,947","9,854","15,853","16,282","17,234","6,316","16,844","8,444","11,591","10,290","11,371","9,279","10,852","11,274","12,877","23,507","11,277","9,394"
2020,7,0,"16,781",744,762,809,"1,476","1,176",290,"1,572",888,955,810,748,600,600,659,841,"2,104",677,"1,070"
2020,7,10,"22,237",947,789,"1,158","2,020","1,873",946,"1,736","1,390","1,452","1,052","1,501",630,791,999,"1,413","2,095",820,625
2020,7,20,"29,093","1,463","1,524","2,744","1,872","2,301",762,"2,339",712,"1,223","1,240","1,429","1,349","1,490","1,392","1,826","2,798","1,685",944
2020,7,30,"35,076","2,009","2,074","2,631","2,223","2,599",514,"3,142",977,"1,523","1,540","1,371","1,692","1,720","1,580","2,052","3,692","2,198","1,539"
2020,7,40,"41,284","1,979","1,725","2,590","3,410","3,419","1,353","3,290","2,040","2,509","1,993","2,244","1,535","1,656","1,812","2,381","4,000","1,874","1,474"
2020,7,50,"32,161","1,512","1,246","2,404","2,259","2,716","1,029","1,981",974,"1,652","1,458","1,719","1,318","1,776","1,921","1,820","3,310","1,702","1,364"
2020,7,60,"25,466","1,261",974,"1,909","1,614","1,742",654,"1,556",706,"1,197","1,248","1,178","1,144","1,578","1,677","1,264","3,117","1,366","1,281"
2020,7,70,"14,461",685,543,"1,103",955,897,558,860,518,713,644,743,698,876,820,885,"1,565",677,721
2020,7,80,"5,448",280,154,408,352,398,171,285,173,286,237,357,253,291,331,316,642,208,306
2020,7,90,"1,316",65,47,86,91,102,29,68,48,68,65,74,52,63,80,69,180,67,62
2020,7,100,163,2,16,11,10,11,10,15,18,13,3,7,8,11,3,10,4,3,8
2020,8,총,"222,957","10,933","9,889","15,892","16,264","16,708","6,324","16,820","8,430","11,703","10,269","11,380","9,259","10,819","11,290","12,897","23,441","11,223","9,416"
2020,8,0,"16,680",734,768,806,"1,464","1,135",284,"1,573",880,965,820,747,595,594,663,842,"2,075",667,"1,068"
2020,8,10,"22,202",963,777,"1,166","2,025","1,833",946,"1,729","1,399","1,458","1,034","1,491",627,795,"1,000","1,425","2,096",806,632
2020,8,20,"29,015","1,468","1,549","2,750","1,869","2,211",770,"2,330",713,"1,249","1,241","1,430","1,351","1,471","1,384","1,809","2,792","1,684",944
2020,8,30,"34,840","1,989","2,075","2,656","2,210","2,487",505,"3,109",956,"1,534","1,538","1,377","1,675","1,725","1,584","2,055","3,659","2,178","1,528"
2020,8,40,"41,171","1,979","1,733","2,585","3,396","3,335","1,355","3,309","2,049","2,511","1,975","2,244","1,530","1,642","1,808","2,385","3,989","1,855","1,491"
2020,8,50,"32,097","1,516","1,246","2,406","2,280","2,637","1,032","1,972",970,"1,681","1,454","1,724","1,319","1,756","1,921","1,821","3,299","1,705","1,358"
2020,8,60,"25,525","1,257",975,"1,908","1,615","1,698",662,"1,555",711,"1,213","1,258","1,186","1,154","1,583","1,693","1,269","3,130","1,372","1,286"
2020,8,70,"14,477",685,545,"1,101",952,876,560,871,515,718,642,739,697,885,819,891,"1,579",679,723
2020,8,80,"5,476",275,159,413,355,387,171,288,173,289,239,362,253,293,332,322,641,208,316
2020,8,90,"1,311",65,46,90,86,99,29,69,46,72,65,73,50,64,83,69,177,66,62
2020,8,100,163,2,16,11,12,10,10,15,18,13,3,7,8,11,3,9,4,3,8
2020,9,총,"222,323","10,933","9,955","16,122","16,232","15,972","6,327","16,789","8,439","11,723","10,255","11,394","9,272","10,812","11,209","12,895","23,415","11,208","9,371"
2020,9,0,"16,576",734,772,822,"1,446","1,098",283,"1,567",882,958,809,754,597,593,660,831,"2,053",666,"1,051"
2020,9,10,"22,214",964,785,"1,180","2,018","1,794",945,"1,726","1,399","1,458","1,047","1,489",626,793,"1,003","1,436","2,106",813,632
