년도,월,나이,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동,대전광역시 유성구 학하동,대전광역시 유성구 상대동
2020,1,총,"349,824","35,698","33,657","40,024","22,351","25,152","36,267","25,480","27,393","28,331","28,906","46,565",,
2020,1,0,"36,488","3,472","1,582","3,632","2,426","2,615","5,032","3,095","2,697","2,797","3,336","5,804",,
2020,1,10,"39,139","3,566","1,562","3,388","3,109","3,594","4,434","3,009","3,411","3,296","4,694","5,076",,
2020,1,20,"51,885","4,637","7,862","8,015","2,859","3,223","3,674","3,904","4,337","4,268","3,559","5,547",,
2020,1,30,"56,761","4,743","6,417","6,516","3,314","3,281","6,284","5,131","4,409","4,368","4,023","8,275",,
2020,1,40,"60,882","6,076","4,359","5,671","4,410","4,938","7,093","4,135","4,551","4,892","6,152","8,605",,
2020,1,50,"53,506","6,272","5,585","6,118","3,201","3,920","4,923","3,446","4,454","4,593","4,209","6,785",,
2020,1,60,"31,035","4,040","3,654","4,218","1,715","1,936","3,032","1,739","2,249","2,264","1,969","4,219",,
2020,1,70,"12,891","1,867","1,697","1,613",848,"1,037","1,212",621,708,"1,144",627,"1,517",,
2020,1,80,"6,177",887,786,734,402,521,497,351,472,616,285,626,,
2020,1,90,"1,004",128,131,111,67,86,82,48,102,88,52,109,,
2020,1,100,56,10,22,8,0,1,4,1,3,5,0,2,,
2020,2,총,"349,915","35,609","33,797","40,001","22,382","25,191","36,308","25,461","27,403","28,245","28,990","46,528",,
2020,2,0,"36,313","3,449","1,571","3,617","2,423","2,613","5,001","3,070","2,729","2,754","3,326","5,760",,
2020,2,10,"38,973","3,532","1,580","3,356","3,090","3,593","4,424","2,979","3,380","3,264","4,687","5,088",,
2020,2,20,"51,960","4,600","7,926","8,058","2,871","3,231","3,677","3,883","4,322","4,268","3,598","5,526",,
2020,2,30,"56,665","4,711","6,405","6,490","3,329","3,262","6,295","5,165","4,450","4,304","4,038","8,216",,
2020,2,40,"60,895","6,033","4,377","5,672","4,385","4,963","7,095","4,129","4,533","4,891","6,158","8,659",,
2020,2,50,"53,577","6,297","5,588","6,082","3,229","3,917","4,942","3,443","4,452","4,622","4,228","6,777",,
2020,2,60,"31,335","4,095","3,696","4,257","1,731","1,959","3,067","1,763","2,263","2,277","1,983","4,244",,
2020,2,70,"12,947","1,863","1,710","1,621",846,"1,043","1,227",622,707,"1,149",634,"1,525",,
2020,2,80,"6,191",886,788,731,408,524,500,357,466,620,288,623,,
2020,2,90,"1,004",132,133,110,70,85,77,49,98,92,50,108,,
2020,2,100,55,11,23,7,0,1,3,1,3,4,0,2,,
2020,3,총,"350,055","35,537","33,972","40,030","22,327","25,189","36,367","25,412","27,427","28,229","29,002","46,563",,
2020,3,0,"36,198","3,443","1,560","3,624","2,401","2,612","5,005","3,043","2,734","2,723","3,316","5,737",,
2020,3,10,"38,877","3,518","1,574","3,358","3,077","3,584","4,436","2,962","3,372","3,254","4,646","5,096",,
2020,3,20,"52,084","4,537","8,004","8,078","2,870","3,226","3,682","3,899","4,317","4,293","3,645","5,533",,
2020,3,30,"56,577","4,693","6,488","6,502","3,311","3,244","6,285","5,169","4,454","4,245","4,026","8,160",,
2020,3,40,"60,786","6,019","4,336","5,643","4,375","4,956","7,104","4,110","4,523","4,900","6,127","8,693",,
2020,3,50,"53,626","6,289","5,587","6,056","3,237","3,933","4,943","3,432","4,455","4,641","4,255","6,798",,
2020,3,60,"31,588","4,115","3,751","4,279","1,724","1,980","3,098","1,759","2,294","2,306","2,007","4,275",,
2020,3,70,"13,035","1,887","1,722","1,638",850,"1,050","1,225",630,711,"1,146",636,"1,540",,
2020,3,80,"6,212",897,791,732,411,521,506,358,465,626,291,614,,
2020,3,90,"1,017",129,136,114,70,82,80,49,99,91,52,115,,
2020,3,100,55,10,23,6,1,1,3,1,3,4,1,2,,
2020,4,총,"350,439","35,462","34,114","40,087","22,304","25,127","36,635","25,516","27,377","28,249","29,033","46,535",,
2020,4,0,"36,106","3,422","1,561","3,619","2,375","2,623","5,021","3,059","2,722","2,710","3,302","5,692",,
2020,4,10,"38,820","3,494","1,570","3,327","3,078","3,552","4,478","2,962","3,356","3,227","4,635","5,141",,
2020,4,20,"52,212","4,518","8,055","8,160","2,870","3,202","3,719","3,906","4,304","4,313","3,677","5,488",,
2020,4,30,"56,692","4,664","6,515","6,512","3,303","3,242","6,336","5,195","4,479","4,251","4,039","8,156",,
2020,4,40,"60,730","6,008","4,331","5,634","4,367","4,947","7,140","4,126","4,483","4,895","6,101","8,698",,
2020,4,50,"53,712","6,292","5,601","6,049","3,245","3,923","4,977","3,433","4,461","4,647","4,291","6,793",,
2020,4,60,"31,780","4,134","3,806","4,280","1,719","1,981","3,137","1,790","2,299","2,328","2,015","4,291",,
2020,4,70,"13,072","1,886","1,721","1,644",862,"1,052","1,230",634,710,"1,148",637,"1,548",,
2020,4,80,"6,239",908,795,740,414,521,515,359,461,633,284,609,,
2020,4,90,"1,021",126,137,116,70,83,79,51,99,93,51,116,,
2020,4,100,55,10,22,6,1,1,3,1,3,4,1,3,,
2020,5,총,"351,532","35,434","34,348","40,224","22,247","25,110","37,334","25,637","27,359","28,234","29,090","46,515",,
2020,5,0,"36,105","3,414","1,559","3,601","2,359","2,613","5,118","3,067","2,718","2,709","3,278","5,669",,
2020,5,10,"38,705","3,466","1,577","3,291","3,056","3,526","4,536","2,939","3,333","3,209","4,620","5,152",,
2020,5,20,"52,562","4,534","8,151","8,287","2,851","3,184","3,794","3,965","4,302","4,297","3,710","5,487",,
2020,5,30,"56,933","4,643","6,548","6,574","3,300","3,235","6,523","5,221","4,480","4,247","4,048","8,114",,
2020,5,40,"60,764","6,002","4,361","5,601","4,357","4,937","7,222","4,134","4,474","4,889","6,097","8,690",,
2020,5,50,"53,914","6,288","5,630","6,037","3,241","3,946","5,102","3,459","4,462","4,651","4,319","6,779",,
2020,5,60,"32,050","4,148","3,840","4,311","1,734","1,996","3,185","1,801","2,318","2,346","2,033","4,338",,
2020,5,70,"13,163","1,893","1,732","1,658",857,"1,063","1,261",638,713,"1,154",651,"1,543",,
2020,5,80,"6,245",902,791,743,419,525,509,360,458,632,281,625,,
2020,5,90,"1,035",134,137,115,72,84,80,52,98,96,52,115,,
2020,5,100,56,10,22,6,1,1,4,1,3,4,1,3,,
2020,6,총,"351,882","35,352","34,449","40,180","22,236","25,127","37,779","25,643","27,354","28,182","29,120","46,460",,
2020,6,0,"35,998","3,410","1,559","3,600","2,342","2,600","5,163","3,031","2,717","2,685","3,264","5,627",,
2020,6,10,"38,611","3,440","1,556","3,279","3,040","3,526","4,559","2,927","3,322","3,195","4,609","5,158",,
2020,6,20,"52,652","4,489","8,170","8,273","2,870","3,193","3,892","3,989","4,283","4,291","3,741","5,461",,
2020,6,30,"57,035","4,634","6,602","6,575","3,286","3,247","6,569","5,224","4,498","4,245","4,066","8,089",,
2020,6,40,"60,773","5,984","4,376","5,580","4,357","4,925","7,321","4,133","4,460","4,877","6,076","8,684",,
2020,6,50,"53,963","6,279","5,634","6,012","3,242","3,948","5,154","3,471","4,452","4,637","4,351","6,783",,
2020,6,60,"32,293","4,177","3,854","4,345","1,746","2,012","3,244","1,816","2,338","2,360","2,032","4,369",,
2020,6,70,"13,226","1,896","1,741","1,656",863,"1,070","1,282",637,724,"1,162",649,"1,546",,
2020,6,80,"6,237",903,796,741,418,518,506,361,459,629,281,625,,
2020,6,90,"1,039",131,139,113,71,87,85,53,98,97,50,115,,
2020,6,100,55,9,22,6,1,1,4,1,3,4,1,3,,
2020,7,총,"352,316","35,326","34,558","40,231","22,296","25,127","37,913","25,626","27,366","28,156","29,176","46,541",,
2020,7,0,"35,941","3,408","1,557","3,596","2,344","2,594","5,153","3,017","2,708","2,678","3,266","5,620",,
2020,7,10,"38,567","3,442","1,549","3,274","3,049","3,505","4,568","2,920","3,304","3,183","4,608","5,165",,
2020,7,20,"52,765","4,470","8,230","8,307","2,896","3,211","3,885","3,979","4,305","4,274","3,739","5,469",,
2020,7,30,"57,009","4,588","6,635","6,578","3,285","3,235","6,590","5,223","4,478","4,246","4,072","8,079",,
2020,7,40,"60,845","5,994","4,373","5,597","4,366","4,901","7,362","4,126","4,448","4,867","6,104","8,707",,
2020,7,50,"54,086","6,285","5,638","5,997","3,242","3,982","5,205","3,474","4,488","4,632","4,348","6,795",,
2020,7,60,"32,455","4,197","3,861","4,365","1,750","2,020","3,257","1,824","2,352","2,385","2,054","4,390",,
2020,7,70,"13,294","1,903","1,752","1,655",867,"1,076","1,286",645,728,"1,156",655,"1,571",,
2020,7,80,"6,253",904,800,741,424,516,514,363,454,632,280,625,,
2020,7,90,"1,045",126,140,115,72,86,89,54,98,99,49,117,,
2020,7,100,56,9,23,6,1,1,4,1,3,4,1,3,,
2020,8,총,"352,550","35,335","34,618","40,297","22,289","25,074","37,976","25,816","27,377","28,112","29,068","46,588",,
2020,8,0,"35,828","3,371","1,561","3,588","2,337","2,581","5,136","3,018","2,705","2,664","3,246","5,621",,
2020,8,10,"38,465","3,441","1,532","3,259","3,034","3,491","4,588","2,938","3,277","3,175","4,575","5,155",,
