년도,월,나이,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020,1,총,"11,141","3,689","1,049","1,212","2,257","1,054","1,086",794
2020,1,0,636,299,48,51,124,26,51,37
2020,1,10,855,350,62,67,210,59,64,43
2020,1,20,971,357,97,86,221,76,87,47
2020,1,30,892,366,69,83,181,69,79,45
2020,1,40,"1,534",590,126,139,325,122,133,99
2020,1,50,"2,156",641,197,232,462,226,247,151
2020,1,60,"2,035",552,187,280,366,244,206,200
2020,1,70,"1,326",354,166,184,241,141,134,106
2020,1,80,670,164,86,86,117,80,79,58
2020,1,90,62,15,11,4,9,11,4,8
2020,1,100,4,1,0,0,1,0,2,0
2020,2,총,"11,095","3,680","1,042","1,202","2,248","1,054","1,081",788
2020,2,0,627,295,47,49,126,25,51,34
2020,2,10,843,349,62,64,206,55,64,43
2020,2,20,965,353,97,88,219,77,84,47
2020,2,30,879,361,66,79,179,69,81,44
2020,2,40,"1,529",590,122,137,324,126,133,97
2020,2,50,"2,134",641,196,226,455,220,247,149
2020,2,60,"2,045",551,189,282,371,249,202,201
2020,2,70,"1,333",359,166,184,241,141,135,107
2020,2,80,673,165,86,88,117,81,78,58
2020,2,90,63,15,11,5,9,11,4,8
2020,2,100,4,1,0,0,1,0,2,0
2020,3,총,"11,096","3,678","1,043","1,201","2,245","1,055","1,083",791
2020,3,0,626,294,47,49,125,24,51,36
2020,3,10,847,350,63,64,207,53,65,45
2020,3,20,967,355,94,87,222,78,85,46
2020,3,30,870,356,65,80,175,67,80,47
2020,3,40,"1,526",586,123,138,321,128,133,97
2020,3,50,"2,128",642,196,221,457,221,243,148
2020,3,60,"2,048",554,193,280,368,248,204,201
2020,3,70,"1,337",357,165,190,242,142,138,103
2020,3,80,680,168,87,87,118,83,77,60
2020,3,90,63,15,10,5,9,11,5,8
2020,3,100,4,1,0,0,1,0,2,0
2020,4,총,"11,103","3,691","1,039","1,208","2,242","1,052","1,080",791
2020,4,0,625,296,48,50,124,24,50,33
2020,4,10,845,352,62,64,203,52,66,46
2020,4,20,966,355,93,85,223,78,87,45
2020,4,30,868,354,63,81,180,67,78,45
2020,4,40,"1,519",592,121,137,315,122,133,99
2020,4,50,"2,121",636,198,223,455,221,239,149
2020,4,60,"2,063",565,190,281,373,249,205,200
2020,4,70,"1,339",354,165,195,237,144,138,106
